Unnamed: 0,CPU,Single,Internal,Talk time,Model Image,SIM,WLAN,Price,Dimensions,128GB 6GB RAM,128GB 8GB RAM,Dual,Model Name,NFC,Infrared port,Quad,OS,128GB 4GB RAM,SAR EU,4G bands,USB,Video,5G bands,Size,Speed,Card slot,3G bands,2G bands,Positioning,Announced,Type,Type_1,Video_1,GPRS,256GB 8GB RAM,Build,Bluetooth,Radio,Chipset,Features,Sensors,Technology,Colors,Weight,Status,Music play,Models,Loudspeaker,Single_1,_1,Charging,Features_1,EDGE,GPU,_2,3.5mm jack,Resolution,Protection,Stand-by,Brand,Triple,URL,Image
eMMC 5.1,Octa-core 2.0 GHz Cortex-A53,5 MP,32GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z71.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 80 EUR,145.6 x 70.9 x 9 mm (5.73 x 2.79 x 0.35 in),,,13 MP2 MP,Lava Z71,No,,,Android 9.0 (Pie),,,"1, 3, 5, 8, 40, 41","microUSB 2.0, OTG",1080p@30fps,,"5.71 inches, 81.4 cm2(~78.8% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2020, January",IPS LCD,Li-Po 3200 mAh,,,,"Glass front, plastic back, plastic frame","4.2, A2DP, LE",FM radio,Mediatek MT6762 Helio P22 (12 nm),"LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Ruby Red, Steel Blue",150 g (5.29 oz),"Available. Released 2020, January",,,Yes,,,,LED flash,,PowerVR GE8320,,Yes,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)",,,Lava,,,
,Quad-core 1.4 GHz,2 MP,8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z40.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 3500 INR,125.5 x 63.9 x 11.7 mm (4.94 x 2.52 x 0.46 in),,,,Lava Z40,No,,,Android 8.1 Oreo (Go edition),,,"1, 3, 5, 40, 41",microUSB 2.0,720p@30fps,,"4.0 inches, 45.5 cm2(~56.8% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,HSDPA 900 / 2100,GSM 900 / 1800,"GPS, GLONASS, BDS","2019, March",TN TFT LCD,"Li-Ion 2250 mAh, removable",,,,,"4.2, A2DP, LE",FM radio,Unisoc SC9832E,"LED flash, HDR",Accelerometer,GSM / HSPA / LTE,"Gold, Glossy Black",120 g (4.23 oz),"Available. Released 2019, March",,,Yes,2 MP,,,LED flash,,Mali,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Corning Gorilla Glass (unspecified version),,Lava,,,
eMMC 5.1,Octa-core 2.0 GHz Cortex-A53,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF",32GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z92-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,156.9 x 75.8 x 8 mm (6.18 x 2.98 x 0.31 in),,,,Lava Z92,No,,,Android 8.1 Oreo (Go edition),,,"1, 3, 5, 40, 41",microUSB 2.0,1080p@30fps,,"6.22 inches, 96.6 cm2(~81.2% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,"GPS, GLONASS, BDS","2019, January",IPS LCD,"Li-Po 3260 mAh, non-removable",,,,,"4.1, A2DP",FM radio,Mediatek MT6762 Helio P22 (12 nm),"Dual-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,Green,-,"Available. Released 2019, January",,,Yes,"8 MP, f/2.0, 1/4.0"", 1.12µm",,,LED flash,,PowerVR GE8320,,Yes,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",Corning Gorilla Glass 3,,Lava,,,
eMMC 5.1,Quad-core 2.0 GHz Cortex-A53,"13 MP, f/2.2","16GB 2GB RAM, 32GB 3GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-z81.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,152.2 x 73 x 7.9 mm (5.99 x 2.87 x 0.31 in),,,,Lava Z81,No,,,Android 8.1 (Oreo),,,"1, 3, 5, 8, 40, 41",microUSB 2.0,1080p@30fps,,"5.7 inches, 83.8 cm2(~75.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2018, October",IPS LCD,"Li-Po 3000 mAh, non-removable",,,,,"4.2, A2DP, LE",FM radio,Mediatek MT6761 Helio A22 (12 nm),"LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Black/Blue, Gold/Black",141 g (4.97 oz),"Available. Released 2018, October",,Z81,Yes,"13 MP, f/2.0",,,LED flash,,PowerVR GE8320,,Yes,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Corning Gorilla Glass 3,,Lava,,,
eMMC 5.1,Quad-core 1.5 GHz Cortex-A53,"5 MP, f/2.0, AF",16GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z60s.jpg,Nano-SIM + Micro-SIM,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 4950 INR,144.3 x 71.4 x 8.5 mm (5.68 x 2.81 x 0.33 in),,,,Lava Z60s,No,,,Android 8.1 Oreo (Go edition),,,"1, 3, 5, 8, 40, 41",microUSB 2.0,1080p@30fps,,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2018, August",IPS LCD,"Li-Po 2500 mAh, non-removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6739WW (28 nm),LED flash,"Accelerometer, proximity",GSM / HSPA / LTE,"Gold, Black",136 g (4.80 oz),"Available. Released 2018, August",,Z60s,Yes,"5 MP, f/2.4",,,LED flash,,PowerVR GE8100,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Lava,,,
eMMC 5.1,Quad-core 1.5 GHz Cortex-A53,"8 MP, f/2.0, 1/5.0"", 1.12µm, AF","16GB 1GB RAM, 16GB 2GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-z61.jpg,Nano-SIM + Micro-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 5700 INR,146.5 x 70.2 x 8.7 mm (5.77 x 2.76 x 0.34 in),,,,Lava Z61,No,,,Android 8.0 Oreo (Go edition) - 1 GB RAM modelAndroid 8.1 (Oreo) - 2 GB RAM model,,,"1, 3, 5, 40, 41",microUSB 2.0,1080p@30fps,,"5.45 inches, 76.7 cm2(~74.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC,HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2018, July",IPS LCD,"Li-Po 3000 mAh, removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6739WW (28 nm),LED flash,"Accelerometer, proximity",GSM / HSPA / LTE,"Gold, Black",139 g (4.90 oz),"Available. Released 2018, July",,"Z61, Z61_2GB",Yes,"5 MP, f/2.4",,,LED flash,,PowerVR GE8100,,Yes,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",Corning Gorilla Glass (unspecified version),,Lava,,,
eMMC 5.1,Quad-core 1.3 GHz Cortex-A53,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF",16GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z91.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 9000 INR,152 x 72.9 x 7.7 mm (5.98 x 2.87 x 0.30 in),,,,Lava Z91 (2GB),No,,,Android 7.1 (Nougat),,,"1, 3, 5, 40, 41","microUSB 2.0, OTG",1080p@30fps,,"5.7 inches, 83.8 cm2(~75.7% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2018, July",IPS LCD,"Li-Po 3000 mAh, non-removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6739 (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,Blue,147 g (5.19 oz),"Available. Released 2018, July",,,Yes,"8 MP, f/2.2",,,LED flash,,PowerVR GE8100,,Yes,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,,Lava,,,
eMMC 5.1,Quad-core 1.3 GHz Cortex-A53,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF",32GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z91.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 10000 INR,152 x 72.9 x 7.7 mm (5.98 x 2.87 x 0.30 in),,,,Lava Z91,No,,,Android 7.1 (Nougat),,,"1, 3, 5, 40, 41","microUSB 2.0, OTG",1080p@30fps,,"5.7 inches, 83.8 cm2(~75.7% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2018, March",IPS LCD,"Li-Po 3000 mAh, non-removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6739 (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,Blue,147 g (5.19 oz),"Available. Released 2018, March",,Z91,Yes,"8 MP, f/2.2",,,LED flash,,PowerVR GE8100,,Yes,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,,Lava,,,
eMMC 5.0,Quad-core 1.1 GHz Cortex-A53,"5 MP, AF",8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z50.jpg,"Dual SIM (Micro-SIM, dual stand-by)","Wi-Fi 802.11 b/g/n, hotspot",About 4400 INR,135 x 66.6 x 9.7 mm (5.31 x 2.62 x 0.38 in),,,,Lava Z50,No,,,Android Oreo (Go edition),,,"1, 3, 5, 40, 41",microUSB 2.0,720p@30fps,,"4.5 inches, 55.8 cm2(~62.1% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,HSDPA 900 / 2100,GSM 900 / 1800,GPS,"2018, March",TN TFT,"Li-Po 2000 mAh, removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6737M (28 nm),"LED flash, HDR","Accelerometer, proximity",GSM / HSPA / LTE,"Gold, Black",140 g (4.94 oz),"Available. Released 2018, March",,Z50,Yes,5 MP,,,LED flash,,Mali-T720MP2,,Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Corning Gorilla Glass 1,,Lava,,,
eMMC 5.0,Quad-core 1.3 GHz Cortex-A53,"8 MP, f/2.0",32GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z90.jpg,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 10750 INR,148.5 x 73.1 x 8.1 mm (5.85 x 2.88 x 0.32 in),,,"8 MP, f/2.0, AF2 MP, (depth)",Lava Z90,No,,,Android 7.0 (Nougat),,,"1, 3, 5, 40, 41",microUSB 2.0,1080p@30fps,,"5.2 inches, 74.5 cm2(~68.7% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,"GPS, GLONASS","2017, September. Released 2017, September",IPS LCD,"Li-Ion 2750 mAh, non-removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6737 (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Blue, Gold",159 g (5.61 oz),Discontinued,,Z90,Yes,,,,LED flash,,Mali-T720MP2,,Yes,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Corning Gorilla Glass 3,,Lava,,,
eMMC 5.0,Quad-core 1.3 GHz Cortex-A53,"8 MP, f/2.0",16GB 3GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z80.jpg,Nano-SIM + Micro-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 9000 INR,148.5 x 73.1 x 8.1 mm (5.85 x 2.88 x 0.32 in),,,,Lava Z80,No,,,Android 7.0 (Nougat),,,"1, 3, 5, 40, 41",microUSB 2.0,720p@30fps,,"5.0 inches, 68.9 cm2(~63.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,"GPS, GLONASS","2017, September. Released 2017, September",IPS LCD,"Li-Po 2500 mAh, removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6737 (28 nm),LED flash,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,Black,136.8 g (4.83 oz),Discontinued,,Z80,Yes,"5 MP, f/2.0, 1/4.0"", 1.4µm",,,LED flash,,Mali-T720MP2,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Lava,,,
eMMC 5.0,Quad-core 1.1 GHz Cortex-A53,"5 MP, f/2.0, AF",16GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z60.jpg,Nano-SIM + Micro-SIM,Wi-Fi 802.11 b/g/n,About 6500 INR,143.6 x 72.3 x 9.1 mm (5.65 x 2.85 x 0.36 in),,,,Lava Z60,No,,,Android 7.0 (Nougat),,,"1, 3, 5, 40, 41",microUSB 2.0,1080p@30fps,,"5.0 inches, 68.9 cm2(~66.4% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2017, September. Released 2017, September",IPS LCD,"Li-Po 2500 mAh, non-removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6737M (28 nm),LED flash,"Accelerometer, proximity",GSM / HSPA / LTE,"Gold, Black",149 g (5.26 oz),Discontinued,,Z60,Yes,5 MP,,,LED flash,,Mali-T720MP2,,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,Lava,,,
,Quad-core 1.3 GHz,"8 MP, AF",16GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-a972.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,About 7700 INR,145 x 72 x 9.2 mm (5.71 x 2.83 x 0.36 in),,,,Lava A97 2GB+,No,,,Android 7.0 (Nougat),,,"3, 5, 40",microUSB 2.0,720p@30fps,,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2017, June. Released 2017, June",IPS LCD,"Li-Ion 2350 mAh, removable",,,,,"4.0, A2DP",Stereo FM radio with RDS; recording,Spreadtrum SC9832,"LED flash, HDR, panorama","Accelerometer, proximity",GSM / HSPA / LTE,"Gold, Silver, Blue",160 g (5.64 oz),Discontinued,,,Yes,5 MP,,,LED flash,,Mali-400,,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,Lava,,,
eMMC 5.0,Quad-core 1.1 GHz Cortex-A53,5 MP,8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-a44.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,About 5400 INR,123 x 63.7 x 10.1 mm (4.84 x 2.51 x 0.40 in),,,,Lava A44,No,,,Android 7.0 (Nougat),,,"3, 5, 40",microUSB 2.0,Yes,,"4.0 inches, 44.1 cm2(~56.3% screen-to-body ratio)",HSPA,microSDHC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2017, June. Released 2017, June",TN,"Li-Ion 1500 mAh, removable",,,,,2.1,Stereo FM radio with RDS; recording,Mediatek MT6737M (28 nm),LED flash,"Accelerometer, proximity",GSM / HSPA / LTE,Black,141 g (4.97 oz),Discontinued,,A44,"Yes, with stereo speakers",2 MP,,,LED,,Mali-T720MP1,,Yes,"480 x 854 pixels, 16:9 ratio (~245 ppi density)",Scratch-resistant glass,,Lava,,,
,Quad-core 1.3 GHz,5 MP,8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-a77.jpg,"Dual SIM (Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,About 6099 INR,135 x 67.2 x 9.5 mm (5.31 x 2.65 x 0.37 in),,,,Lava A77,No,,,Android 6.0 (Marshmallow),,,"3, 5, 40",microUSB 2.0,Yes,,"4.5 inches, 55.8 cm2(~61.5% screen-to-body ratio)","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2017, May. Released 2017, May",TN,"Li-Ion 2000 mAh, removable",,,,,"4.0, A2DP",Stereo FM radio with RDS; recording,Spreadtrum SC9832,"LED flash, HDR, panorama","Accelerometer, proximity",GSM / HSPA / LTE,"Gold, Silver, Blue",140 g (4.94 oz),Discontinued,,,Yes,5 MP,,,LED flash,,Mali-400,,Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,Lava,,,
eMMC 5.1,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",32GB 4GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-z25.jpg,Nano-SIM + Micro-SIM,Wi-Fi 802.11 b/g/n,About 250 EUR,151.5 x 76.4 x 8.5 mm (5.96 x 3.01 x 0.33 in),,,,Lava Z25,No,,,Android 6.0 (Marshmallow),,,"3, 5, 40","microUSB 2.0, OTG",1080p@30fps,,"5.5 inches, 83.4 cm2(~72.0% screen-to-body ratio)","HSPA, LTE",microSDXC (uses shared SIM slot),HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,"2017, March. Released 2017, March",IPS LCD,"Li-Ion 3020 mAh, non-removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6750 (28 nm),Dual-LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Champagne Gold, Gray",163 g (5.75 oz),Discontinued,,,Yes,"8 MP, f/2.0",,,LED flash,,Mali-T860MP2,,Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,Lava,,,
eMMC 5.0,Quad-core 1.3 GHz Cortex-A53,"8 MP, f/2.0, 1/3.2"", 1.4µm, AF","16GB 2GB RAM, 16GB 3GB RAM",,https://fdn2.gsmarena.com/vv/bigpic/lava-z10-.jpg,Nano-SIM + Micro-SIM,Wi-Fi 802.11 b/g/n,About 160 EUR,143.2 x 71 x 8.4 mm (5.64 x 2.80 x 0.33 in),,,,Lava Z10,No,,,Android 6.0 (Marshmallow),,,"3, 5, 40","microUSB 2.0, OTG",720p@30fps,,"5.0 inches, 68.9 cm2(~67.8% screen-to-body ratio)","HSPA, LTE",microSDXC (uses shared SIM slot),HSDPA 900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,GPS,"2017, March. Released 2017, March",IPS LCD,"Li-Ion 2620 mAh, non-removable",,,,,"4.0, A2DP",FM radio,Mediatek MT6737 (28 nm),"LED flash, panorama","Accelerometer, proximity",GSM / HSPA / LTE,"Gold, Black/White",148 g (5.22 oz),Discontinued,,,Yes,"5 MP, 1/4.0"", 1.4µm",,,LED flash,,Mali-T720MP2,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Lava,,,
,Quad-core 1.3 GHz,"8 MP, AF",8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-x28-plus.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,155 x 78 x 9 mm (6.10 x 3.07 x 0.35 in),,,,Lava X28 Plus,No,,,Android 6.0 (Marshmallow),,,"3, 5, 40",microUSB 2.0,1080p@30fps,,"5.5 inches, 83.4 cm2(~69.0% screen-to-body ratio)","HSPA, LTE",microSDHC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2017, February. Released 2017, February",IPS LCD,"Li-Ion 2600 mAh, removable",,,,,"4.0, A2DP",FM radio,,"LED flash, panorama","Accelerometer, proximity",GSM / HSPA / LTE,Black/Gold,175 g (6.17 oz),Discontinued,,,Yes,5 MP,,,LED flash,,,,Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,Lava,,,
,Quad-core 1.2 GHz,5 MP,8GB 1GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-a73n.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,145.5 x 72.8 x 9.3 mm (5.73 x 2.87 x 0.37 in),,,,Lava A73,No,,,Android 6.0 (Marshmallow),,,,microUSB 2.0,720p@30fps,,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)","HSPA, LTE",microSDHC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2017, February. Released 2017, February",TN,"Li-Ion 2000 mAh, removable",,,,,"4.0, A2DP",FM radio,,LED flash,Accelerometer,GSM / HSPA,Dark Gray,-,Discontinued,,,Yes,5 MP,,,LED flash,,,,Yes,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,Lava,,,
,Quad-core 1.3 GHz,"8 MP, AF",8GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-x19.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,145.5 x 72.6 x 8.9 mm (5.73 x 2.86 x 0.35 in),,,,Lava X19,No,,,Android 6.0 (Marshmallow),,,,microUSB 2.0,Yes,,"5.0 inches, 68.9 cm2(~65.2% screen-to-body ratio)",HSPA,microSD,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2016, December. Released 2016, December",IPS LCD,"Li-Ion 2200 mAh, removable",,,,,"4.0, A2DP",FM radio,,"LED flash, panorama",Accelerometer,GSM / HSPA,"White/Gold, Gray",-,Discontinued,,,Yes,5 MP,,,LED flash,,,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Lava,,,
,Quad-core 1.2 GHz,5 MP,8GB 1GB RAM,Up to 9 h,https://fdn2.gsmarena.com/vv/bigpic/lava-a55.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,123 x 63.4 x 9.7 mm (4.84 x 2.50 x 0.38 in),,,,Lava A55,No,,,Android 6.0 (Marshmallow),,,,microUSB 2.0,Yes,,"4.0 inches, 45.5 cm2(~58.4% screen-to-body ratio)",HSPA,microSDHC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2016, November. Released 2016, November",TFT,"Li-Ion 1550 mAh, removable",,,,,"2.1, EDR",FM radio,,"LED flash, panorama",Accelerometer,GSM / HSPA,Black + Silver,-,Discontinued,,,Yes,VGA,,,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 388 h,Lava,,,
,Quad-core 1.2 GHz,5 MP,8GB 512MB RAM,Up to 9 h,https://fdn2.gsmarena.com/vv/bigpic/lava-a50.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,123 x 63.4 x 9.7 mm (4.84 x 2.50 x 0.38 in),,,,Lava A50,No,,,Android 6.0 (Marshmallow),,,,microUSB 2.0,Yes,,"4.0 inches, 45.5 cm2(~58.4% screen-to-body ratio)",HSPA,microSDHC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2016, November. Released 2016, November",TFT,"Li-Ion 1550 mAh, removable",,,,,"2.1, EDR",FM radio,,"LED flash, panorama",Accelerometer,GSM / HSPA,Black + Silver,-,Discontinued,,,Yes,VGA,,,,,,,Yes,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Up to 388 h,Lava,,,
,Quad-core,"8 MP, AF",32GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lavax50-plus.jpg,"Dual SIM (Micro-SIM, dual stand-by)","Wi-Fi 802.11 b/g/n, hotspot",,155 x 71.8 x 8.9 mm (6.10 x 2.83 x 0.35 in),,,,Lava X50 Plus,No,,,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)",,,"3, 40",microUSB 2.0,1080p@30fps,,"5.5 inches, 83.4 cm2(~74.9% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2016, November. Released 2016, November",IPS LCD,"Li-Po 2800 mAh, removable",,,,,"4.0, A2DP",FM radio,,LED flash,"Accelerometer, proximity",GSM / HSPA / LTE,Blue,158 g (5.57 oz),Discontinued,,,Yes,5 MP,,,LED flash,,,,Yes,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,Lava,,,
,Quad-core 1.3 GHz,"8 MP, f/2.0, 1/3.2"", 1.4µm",32GB 2GB RAM,,https://fdn2.gsmarena.com/vv/bigpic/lava-x41-plus.jpg,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",Wi-Fi 802.11 b/g/n,,145 x 71.2 x 8.8 mm (5.71 x 2.80 x 0.35 in),,,,Lava X41 Plus,No,,,Android 6.0 (Marshmallow),,,"3, 5, 40",microUSB 2.0,1080p@30fps,,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)","HSPA, LTE",microSDHC (dedicated slot),HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2016, October. Released 2016, October",IPS LCD,"Li-Po 2500 mAh, removable",,,,,"4.0, A2DP",FM radio,,"Panorama, LED flash","Accelerometer, proximity",GSM / HSPA / LTE,"Black, Gold",156 g (5.50 oz),Discontinued,,,Yes,"5 MP, f/2.2",,,LED flash,,,,Yes,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass (unspecified version),,Lava,,,
,Quad-core 1.2 GHz,5 MP,8GB 512MB RAM,Up to 10 h 30 min (3G),https://fdn2.gsmarena.com/vv/bigpic/lava-a51.jpg,Dual SIM,Wi-Fi 802.11 b/g/n,,136 x 66 x 9.9 mm (5.35 x 2.60 x 0.39 in),,,,Lava A51,No,,,Android 6.0 (Marshmallow),,,,microUSB 2.0,Yes,,"4.5 inches, 55.8 cm2(~62.2% screen-to-body ratio)",HSPA,microSDHC,HSDPA 900 / 2100,GSM 900 / 1800 - SIM 1 & SIM 2,GPS,"2016, October. Released 2016, October",TFT,"Li-Ion 1750 mAh, removable",,,,,"2.1, EDR",FM radio,Spreadtrum SC7731C,"LED flash, panorama",Accelerometer,GSM / HSPA,"Gray, Black, Gold",-,Discontinued,,,Yes,VGA,,,,,,,Yes,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Up to 420 h (3G),Lava,,,
