Speed,Loudspeaker,,EDGE,GPRS,Card slot,Features,CPU,Sensors,Model Image,Type_1,Talk time,OS,Dual,Bluetooth,SIM,2G bands,Internal,_1,Video_1,Positioning,Radio,Dual_1,Phonebook,Games,Model Name,Weight,5G bands,Video,Triple,Charging,Messaging,3G bands,Call records,Status,_2,SAR,NFC,3.5mm jack,Single_1,WLAN,Price,_3,GPU,Build,4G bands,Chipset,Resolution,Technology,Single,Announced,Brand,USB,Colors,Java,Features_1,Dimensions,Stand-by,Type,Size,No,Protection
"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,eMMC 5.1,,,microSDHC (dedicated slot),"Dual-LED dual-tone flash, panorama",Quad-core 1.3 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p490s.jpg,"Li-Ion 4000 mAh, non-removable",Up to 16 h (3G),Android 8.1 (Oreo),"8 MP, AF0.3 MP, (depth)","4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,16GB 2GB RAM,,,GPS,FM radio,"5 MPVGA, depth sensor",,,Energizer Power Max P490S,139 g (4.90 oz),,1080p@30fps,,,,HSDPA 900 / 2100,,"Available. Released 2018, August",,,No,Yes,,Wi-Fi 802.11 b/g/n,About 130 EUR,,Mali-T720MP2,,"1, 3, 7, 8, 20, 28, 38, 40",Mediatek MT6739WA (28 nm),"480 x 960 pixels, 18:9 ratio (~217 ppi density)",GSM / HSPA / LTE,,"2018, June",Energizer,microUSB 2.0,Black,,LED flash,139 x 65.8 x 12 mm (5.47 x 2.59 x 0.47 in),Up to 400 h (3G),TFT,"4.95 inches, 63.2 cm2(~69.1% screen-to-body ratio)",,
HSPA 42.2/5.76 Mbps,Yes,,,,microSDHC (dedicated slot),Dual-LED dual-tone flash,Quad-core 1.3 GHz Cortex-A7,"Fingerprint (rear-mounted), accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p490.jpg,"Li-Ion 4000 mAh, non-removable",Up to 10 h (3G),Android 8.0 (Oreo Go),"8 MP, AF0.3 MP, (depth)","4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,8GB 1GB RAM,,,GPS,FM radio,"5 MPVGA, depth sensor",,,Energizer Power Max P490,139 g (4.90 oz),,720p@30fps,,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2018, August",,,No,Yes,,Wi-Fi 802.11 b/g/n,About 90 EUR,,Mali-400 MP2,,,Mediatek MT6580M (28 nm),"480 x 960 pixels, 18:9 ratio (~217 ppi density)",GSM / HSPA,,"2018, June",Energizer,microUSB 2.0,Black,,LED flash,139 x 65.8 x 12 mm (5.47 x 2.59 x 0.47 in),Up to 400 h (3G),TFT,"4.95 inches, 63.2 cm2(~69.1% screen-to-body ratio)",,
"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,IP68 dust/water resistant (up to 1.5m for 30 min),,,microSDXC (uses shared SIM slot),LED flash,Quad-core 1.3 GHz Cortex-A53,"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h500s.jpg,"Li-Ion 3000 mAh, non-removable",Up to 13 h (3G),Android 7.0 (Nougat),,"4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,16GB 2GB RAM,eMMC 5.0,,GPS,FM radio,,,,Energizer Hardcase H500S,142.5 g (5.04 oz),,720p@30fps,,,,HSDPA 900 / 2100,,"Available. Released 2018, February",,0.44 W/kg (head)     1.65 W/kg (body),No,Yes,5 MP,Wi-Fi 802.11 b/g/n,About 230 EUR,,Mali-T720,,"1, 3, 7, 8, 20, 40",Mediatek MT6737 (28 nm),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM / HSPA / LTE,"13 MP, AF","2018, February",Energizer,microUSB 2.0,Black,,,145.4 x 75 x 10.3 mm (5.72 x 2.95 x 0.41 in),Up to 300 h (3G),TFT,"5.0 inches, 68.9 cm2(~63.2% screen-to-body ratio)",,Corning Gorilla Glass 3
"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,eMMC 5.0,,,microSDXC (uses shared SIM slot),LED flash,Quad-core 1.1 GHz Cortex-A53,Accelerometer,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e500s.jpg,"Li-Ion 2000 mAh, removable",Up to 12 h (3G),Android 8.0 (Oreo),,"4.0, A2DP, LE",Nano-SIM + Micro-SIM,GSM 850 / 900 / 1800 / 1900,8GB 1GB RAM,,,GPS,FM radio,,,,Energizer Energy E500S,127 g (4.48 oz),,720p@30fps,,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2018, August",,,No,Yes,5 MP,Wi-Fi 802.11 b/g/n,About 100 EUR,,Mali-T720MP2,,"1, 3, 7, 8, 20, 28",Mediatek MT6737M (28 nm),"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM / HSPA / LTE,8 MP,"2018, August",Energizer,microUSB 2.0,Black,,,139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in),Up to 200 h (3G),TFT,"5.0 inches, 68.9 cm2(~68.9% screen-to-body ratio)",,
HSPA 42.2/11.5 Mbps,Yes,,,,microSDHC (uses shared SIM slot),LED flash,Quad-core 1.3 GHz Cortex-A7,Accelerometer,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e500.jpg,"Li-Ion 2000 mAh, removable",Up to 12 h (3G),Android Go,,"4.0, A2DP, LE",Nano-SIM + Micro-SIM,GSM 850 / 900 / 1800 / 1900,8GB 1GB RAM,,,GPS,FM radio,,,,Energizer Energy E500,127 g (4.48 oz),,480p@30fps,,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2018, August",,,No,Yes,2 MP,"Wi-Fi 802.11 b/g/n, hotspot",About 70 EUR,,Mali-400MP2,,,Mediatek MT6580M (28 nm),"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM / HSPA,5 MP,"2018, August",Energizer,microUSB 2.0,Black,,,139.8 x 71.5 x 8.6 mm (5.50 x 2.81 x 0.34 in),Up to 200 h (3G),TFT,"5.0 inches, 68.9 cm2(~68.9% screen-to-body ratio)",,
,Yes,Flashlight,No,Class 12,microSDHC,,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e10-.jpg,"Li-Ion 1800 mAh, removable",Up to 12.5 h (3G),,,2.0,"Hybrid Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4MB 4MB RAM,,,No,FM radio,,Yes,No,Energizer Energy E11,90 g (3.17 oz),,No,,,"SMS, MMS",,Yes,"Available. Released 2018, July",,1.03 W/kg (head)     1.26 W/kg (body),No,Yes,VGA,No,About 20 EUR,,,,,Mediatek MT6261D,128 x 160 pixels (~114 ppi density),GSM,VGA,"2018, July",Energizer,microUSB 2.0,Black,No,,114 x 48 x 25.9 mm (4.49 x 1.89 x 1.02 in),Up to 216 h (3G),"TFT, 256K colors","1.8 inches, 10.2 cm2(~18.6% screen-to-body ratio)",,
,Yes,Flashlight,No,Class 12,microSDHC,,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e10-.jpg,"Li-Ion 1000 mAh, removable",Up to 7 h (3G),,,3.0,"Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900,4MB 4MB RAM,,,No,FM radio,,Yes,No,Energizer Energy E10+,69 g (2.43 oz),,No,,,SMS,,Yes,"Available. Released 2018, July",,0.60 W/kg (head)     0.95 W/kg (body),No,Yes,VGA,No,About 10 EUR,,,,,Mediatek MT6261D,128 x 160 pixels (~114 ppi density),GSM,VGA,"2018, July",Energizer,microUSB 2.0,Black,No,,110 x 47 x 14.3 mm (4.33 x 1.85 x 0.56 in),Up to 125 h (3G),"TFT, 256K colors","1.8 inches, 10.2 cm2(~19.7% screen-to-body ratio)",,
,Yes,Flashlight,No,Yes,microSDHC (uses shared SIM slot),,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p20.jpg,Li-Ion 4000 mAh battery,Up to 40 h (3G),,,"4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900,32MB 32MB RAM,No,,No,FM radio,,Yes,No,Energizer Power Max P20,130 g (4.59 oz),,480p,,10W wiredReverse wired,"SMS, MMS",,Yes,"Available. Released 2018, August",,0.61 W/kg (head)     0.89 W/kg (body),No,Yes,,No,About 40 EUR,,,,,Spreadtrum SC6531E,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",GSM,VGA,"2018, May",Energizer,"microUSB 2.0, USB (Reverse charging out)",Black,No,,136.5 x 55 x 17.5 mm (5.37 x 2.17 x 0.69 in),Up to 750 h (3G),"TFT, 256K colors","2.8 inches, 24.3 cm2(~32.3% screen-to-body ratio)",,
"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,eMMC 5.1,,,No,"Dual-LED dual-tone flash, panorama, HDR",Octa-core 2.5 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-p600s.jpg,"Li-Ion 16,000 mAh, non-removable",,Android 8.0 (Oreo),"16 MP, PDAF13 MP","4.2, A2DP, LE",Nano-SIM,GSM 850 / 900 / 1800 / 1900,128GB 6GB RAM,,1080p@30fps,GPS,FM radio,"13 MP5 MP, depth sensor",,,Energizer Power Max P16K Pro,350 g (12.35 oz),,4K@30fps,,"18W wired, PD2.0",,HSDPA 850 / 900 / 1900 / 2100,,Cancelled,,,No,To be confirmed,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,,Mali-G71 MP2,,LTE,Mediatek MT6763T Helio P23 (16 nm),"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",GSM / HSPA / LTE,,"2018, February",Energizer,USB Type-C 2.0,Black,,,-,,IPS LCD,"5.99 inches, 92.6 cm2",,
"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,IP68 dust/water resistant (up to 1.5m for 30 min),,,microSDHC (uses shared SIM slot),LED flash,Quad-core 1.1 GHz Cortex-A53,Accelerometer,https://fdn2.gsmarena.com/vv/bigpic/energizer-h240s.jpg,"Li-Ion 2000 mAh, removable",Up to 5 h (3G),Android 6.0 (Marshmallow),,"4.0, A2DP, LE","Hybrid Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,8GB 1GB RAM,eMMC 5.0,,"GPS, GLONASS",FM radio,,,,Energizer Hardcase H240S,256 g (9.03 oz),,Yes,,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2018, January",No,0.61 W/kg (head)     1.08 W/kg (body),No,Yes,,Wi-Fi 802.11 b/g/n,About 120 EUR,,Mali-T720MP2,,"1, 3, 7, 20, 28",Mediatek MT6737M (28 nm),"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,5 MP,"2018, January",Energizer,microUSB 2.0,Black,,,132 x 56 x 18.5 mm (5.20 x 2.20 x 0.73 in),Up to 230 h (3G),"TFT, 256K colors","2.4 inches, 17.8 cm2(~24.1% screen-to-body ratio)",,
"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliant,,,microSDHC (uses shared SIM slot),"LED flash, HDR, panorama",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-h550s.jpg,"Li-Ion 4000 mAh, non-removable",Up to 10 h (3G),Android 7.0 (Nougat),,"4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,32GB 3GB RAM,eMMC 5.1,,"GPS, GLONASS",FM radio,,,,Energizer Hardcase H550S,203 g (7.16 oz),,1080p@30fps,,,,HSDPA 900 / 2100,,"Available. Released 2018, January",,0.24 W/kg (head)     1.79 W/kg (body),Yes,Yes,8 MP,Wi-Fi 802.11 b/g/n,About 450 EUR,,Mali-T860MP2,,"1, 3, 7, 8, 20, 28",Mediatek MT6750 (28 nm),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM / HSPA / LTE,"16 MP, PDAF","2018, January",Energizer,USB Type-C,Black,,,158.8 x 80.7 x 11.1 mm (6.25 x 3.18 x 0.44 in),Up to 400 h (3G),IPS LCD,"5.5 inches, 83.4 cm2(~65.1% screen-to-body ratio)",,Corning Gorilla Glass 3
"HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,,,,microSDXC (uses shared SIM slot),"Dual-LED dual-tone flash, panorama, HDR",Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-p600s.jpg,"Li-Ion 4500 mAh, non-removable",Up to 12 h (3G),Android 7.0 (Nougat),"13 MP, PDAF5 MP, f/2.4, (depth)","4.1, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"32GB 3GB RAM, 64GB 6GB RAM",,1080p@30fps,GPS,FM radio,,,,Energizer Power Max P600S,190 g (6.70 oz),,4K@30fps,,10W wired,,HSDPA 900 / 2100,,"Available. Released 2018, January",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",About 360 EUR,,Mali-T880MP2,"Glass front, plastic back, aluminum frame","1, 3, 7, 8, 20, 28, 38, 40",Mediatek MT6757CD Helio P25 (16 nm),"1080 x 2160 pixels, 18:9 ratio (~409 ppi density)",GSM / HSPA / LTE,8 MP,"2018, January",Energizer,USB Type-C,"Black (32/3GB), Blue (64/6GB)",,,152.5 x 82 x 9.8 mm (6.00 x 3.23 x 0.39 in),Up to 400 h (3G),IPS LCD,"5.9 inches, 89.8 cm2(~71.8% screen-to-body ratio)",,
"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,eMMC 5.0,,,microSDXC (uses shared SIM slot),"LED flash, panorama, HDR",Quad-core 1.3 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-p550s.jpg,"Li-Ion 5000 mAh, non-removable",Up to 5 h (3G),Android 7.0 (Nougat),,"4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,16GB 2GB RAM,,,GPS,FM radio,,,,Energizer Power Max P550S,203 g (7.16 oz),,720p@30fps,,10W wired,,HSDPA 900 / 2100,,"Available. Released 2017, December",,0.16 W/kg (head)     1.74 W/kg (body),No,Yes,5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 190 EUR,,Mali-T720,"Glass front, aluminum back, aluminum frame","3, 7, 20",Mediatek MT6737 (28 nm),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM / HSPA / LTE,"13 MP, AF","2017, December",Energizer,USB Type-C 2.0,Black,,,154.3 x 78.3 x 9.4 mm (6.07 x 3.08 x 0.37 in),Up to 500 h (3G),IPS LCD,"5.5 inches, 83.4 cm2(~69.0% screen-to-body ratio)",,
"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,eMMC 5.0,,,microSDXC (uses shared SIM slot),LED flash,Quad-core 1.3 GHz Cortex-A53,"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-s550.jpg,"Li-Ion 3000 mAh, non-removable",Up to 10 h (3G),Android 6.0 (Marshmallow),,"4.0, A2DP, LE",Nano-SIM + Micro-SIM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,8GB 1GB RAM,,,GPS,FM radio,,,,Energizer Energy S550,180 g (6.35 oz),,720p@30fps,,,,HSDPA 900 / 2100,,"Available. Released 2017, December",,0.28 W/kg (head)     1.23 W/kg (body),No,Yes,5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",About 120 EUR,,Mali-T720,,"1, 3, 7, 20",Mediatek MT6737 (28 nm),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM / HSPA / LTE,"13 MP, AF","2017, December",Energizer,microUSB 2.0,Black,,,154.8 x 78.2 x 8.8 mm (6.09 x 3.08 x 0.35 in),Up to 400 h (3G),IPS LCD,"5.5 inches, 83.4 cm2(~68.9% screen-to-body ratio)",,
HSPA 21.1/5.76 Mbps,Yes,,,,microSDXC (uses shared SIM slot),LED flash,Quad-core 1.3 GHz Cortex-A7,Accelerometer,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-s500e.jpg,"Li-Ion 2000 mAh, removable",Up to 8 h (3G),Android 6.0 (Marshmallow),,"4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,8GB 1GB RAM,,,GPS,FM radio,,,,Energizer Energy S500E,167 g (5.89 oz),,480p@30fps,,,,HSDPA 900 / 2100,,"Available. Released 2017, December",,0.74 W/kg (head)     1.43 W/kg (body),No,Yes,2 MP,Wi-Fi 802.11 b/g/n,About 80 EUR,,Mali-400MP2,"Glass front, plastic back, plastic frame",,Mediatek MT6580 (28 nm),"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM / HSPA,5 MP,"2017, December",Energizer,microUSB 2.0,Black,,,145.5 x 74.8 x 8.9 mm (5.73 x 2.94 x 0.35 in),Up to 333 h (3G),TN TFT,"5.0 inches, 68.9 cm2(~63.3% screen-to-body ratio)",,
"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliant,,,microSDHC (uses shared SIM slot),"LED flash, HDR, panorama",Quad-core 1.3 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e520.jpg,"Li-Ion 4000 mAh, non-removable",Up to 15 h (3G),Android 6.0 (Marshmallow),,"4.0, A2DP, LE",Nano-SIM + Nano-SIM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,16GB 2GB RAM,eMMC 5.0,,"GPS, GLONASS",FM radio,,,,Energizer Energy E520 LTE,206 g (7.27 oz),,1080p@30fps,,,,HSDPA 900 / 2100,,"Available. Released 2017, September",,0.26 W/kg (head)     0.60 W/kg (body),No,Yes,5 MP,Wi-Fi 802.11 b/g/n,About 330 EUR,,Mali-T720,,"1, 3, 7, 8, 20",Mediatek MT6737 (28 nm),"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",GSM / HSPA / LTE,"13 MP, AF","2017, September",Energizer,microUSB 2.0,Black,,,150.8 x 76.2 x 11.1 mm (5.94 x 3.00 x 0.44 in),Up to 220 h (3G),IPS LCD,"5.2 inches, 74.5 cm2(~64.9% screen-to-body ratio)",,Corning Gorilla Glass 3
,Yes,"IP54, dust and splash resistant",No,Yes,microSDHC (uses shared SIM slot),,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-100-2017.jpg,"Li-Ion 1500 mAh, removable",Up to 11 h (3G),,,"2.1, A2DP","Hybrid Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,No,,No,FM radio,,Yes,No,Energizer Energy 100 (2017),112 g (3.95 oz),,No,,,SMS,,Yes,"Available. Released 2017, June",,0.27 W/kg (head)     0.54 W/kg (body),No,Yes,,No,About 50 EUR,,,,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM,VGA,"2017, June",Energizer,microUSB 2.0,Black,Yes,,129 x 63 x 15 mm (5.08 x 2.48 x 0.59 in),Up to 300 h (3G),"TFT, 65K colors","2.4 inches, 17.8 cm2(~21.9% screen-to-body ratio)",,
"HSPA, LTE",Yes,IP67 dust/water resistant (up to 1m for 30 min),,,microSDXC (uses shared SIM slot),"LED flash, HDR",Quad-core 1.3 GHz Cortex-A53,Accelerometer,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-400.jpg,Li-Ion 2500 mAh battery,Up to 16 h (3G),Android 6.0 (Marshmallow),,"4.0, A2DP, LE","Hybrid Dual SIM (Micro-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,8GB 1GB RAM,eMMC 5.0,,GPS,FM radio,,,,Energizer Energy 400 LTE,204 g (7.20 oz),,Yes,,,,HSDPA 900 / 2100,,"Available. Released 2017, Q3",,0.64 W/kg (head)     1.52 W/kg (body),No,Yes,1.3 MP,Wi-Fi 802.11 b/g/n,About 180 EUR,,Mali-T720MP2,,"3, 7, 20",Mediatek MT6737M (28 nm),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM / HSPA / LTE,"8 MP, AF","2017, Q3",Energizer,microUSB 2.0,Black,,,134 x 72 x 15 mm (5.28 x 2.83 x 0.59 in),Up to 420 h (3G),TN TFT,"4.0 inches, 45.5 cm2(~47.2% screen-to-body ratio)",,Asahi Dragontrail Glass
,Yes,No,No,Yes,microSDHC (uses shared SIM slot),,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e10-.jpg,"Li-Ion 1000 mAh, removable",Up to 8 h (3G),,,2.0,"Hybrid Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,FM radio,,Yes,No,Energizer Energy E10,69 g (2.43 oz),,No,,,SMS,,Yes,"Available. Released 2017, September",,0.60 W/kg (head)     0.95 W/kg (body),No,Yes,,No,About 10 EUR,,,,,,128 x 160 pixels (~114 ppi density),GSM,VGA,"2017, September",Energizer,microUSB 2.0,"Black, White",No,,110 x 47 x 14.3 mm (4.33 x 1.85 x 0.56 in),Up to 250 h (3G),"TFT, 256K colors","1.8 inches, 10.2 cm2(~19.7% screen-to-body ratio)",,
"HSPA, LTE",Yes,No,,,microSDHC (uses shared SIM slot),,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e20.jpg,"Li-Ion 1000 mAh, removable",,,,2.0,"Hybrid Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,No,FM radio,,Yes,No,Energizer Energy E20,92 g (3.25 oz),,No,,,SMS,HSDPA 900 / 2100,Yes,"Available. Released 2017, November",,0.07 W/kg (head)     0.73 W/kg (body),No,Yes,,No,About 40 EUR,,,,"1, 3, 7, 8, 20, 28",,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA / LTE,VGA,"2017, November",Energizer,microUSB 2.0,Black,No,,103.2 x 51 x 18.2 mm (4.06 x 2.01 x 0.72 in),,"TFT, 256K colors","2.4 inches, 17.8 cm2(~33.9% screen-to-body ratio)",,
HSPA 21.1/5.76 Mbps,Yes,HSDPA 900 / 2100 - EM5EL047,,,microSDXC,"LED flash, HDR",Quad-core 1.3 GHz Cortex-A7,"Accelerometer, gyro, proximity, compass, barometer",https://fdn2.gsmarena.com/vv/bigpic/energizer-500.jpg,"Li-Ion 3000 mAh, removable",Up to 18 h 40 min,Android 4.4 (KitKat),,"4.0, A2DP, LE","Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,8GB 1GB RAM,IP68 dust/water resistant (up to 1.8m for 30 min),,GPS,Stereo FM radio,,,,Energizer Energy 500,284 g (10.02 oz),,720p@30fps,,,,HSDPA 850 / 1900 - EM5EL043,,Discontinued,,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n, hotspot",,,Mali-400MP2,,,Mediatek MT6582 (28 nm),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM / HSPA,"13 MP, AF","2015, January. Released 2015, June",Energizer,microUSB 2.0,Gray,,,152.3 x 80.6 x 18.8 mm (6.00 x 3.17 x 0.74 in),Up to 500 h,IPS LCD,"5.0 inches, 68.9 cm2(~56.1% screen-to-body ratio)",,
HSPA 21.1/5.76 Mbps,Yes,HSDPA 900 / 2100 - EM4EI047,,,microSDXC (dedicated slot),"LED flash, HDR",Dual-core 1.3 GHz Cortex-A7,"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/energizer-400.jpg,"Li-Ion 2400 mAh, removable",Up to 15 h,Android 4.4 (KitKat),,"4.0, A2DP, LE",Mini-SIM,GSM 900 / 1900  / 850 - SIM 1 & SIM 2,4GB 512MB RAM,IP68 dust/water resistant (up to 1.8m for 30 min),,GPS,Stereo FM radio,,,,Energizer Energy 400,367 g (12.95 oz),,720p@30fps,,,,HSDPA 850 / 1900 - EM4EI043,,Discontinued,,,No,Yes,1.3 MP,"Wi-Fi 802.11 a/b/g/n, hotspot",,,Mali-400,,,Mediatek MT6572 (28 nm),"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM / HSPA,"8 MP, AF","2015, January. Released 2015, June",Energizer,microUSB 2.0,Gray,,,134.5 x 73.6 x 18.8 mm (5.30 x 2.90 x 0.74 in),Up to 400 h,IPS LCD,"4.0 inches, 45.5 cm2(~46.0% screen-to-body ratio)",,
HSPA 7.2/0.384 Mbps,Yes,HSDPA 900 / 2100 - EM24047,,,microSDHC,,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-240.jpg,"Li-Ion 1900 mAh, removable",Up to 11 h,,,"2.1, A2DP","Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,128MB 32MB RAM,IP67 dust/water resistant (up to 1m for 30 min),,No,Stereo FM radio,,Yes,Downloadable,Energizer Energy 240,134 g (4.73 oz),,Yes,,,"SMS, MMS, Email",HSDPA 850 / 1900 - EM24043,Yes,Discontinued,No,,No,Yes,,No,,Music/Video playerOrganizerCalendarCalculatorVoice memo,,,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",GSM / HSPA,3.15 MP,"2015, January. Released 2015, June",Energizer,microUSB 2.0,Gray,Yes,,125 x 58.5 x 19 mm (4.92 x 2.30 x 0.75 in),Up to 316 h,"TFT, 256K colors","2.4 inches, 17.8 cm2(~24.4% screen-to-body ratio)",,
,Yes,IP67 dust/water resistant (up to 1m for 30 min),No,Yes,microSDHC,,,,https://fdn2.gsmarena.com/vv/bigpic/energizer-200.jpg,"Li-Ion 1450 mAh, removable",Up to 9 h,,,"2.1, A2DP, EDR","Dual SIM (Mini-SIM, dual stand-by)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - EM2003,8MB 8MB RAM,No,,No,Stereo FM radio,,Yes,Downloadable,Energizer Energy 200,122 g (4.30 oz),,Yes,,,"SMS, MMS, Email",,Yes,Discontinued,Music/Video playerOrganizerCalendarCalculatorVoice memo,,No,Yes,,No,,,,,,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",GSM,1.3 MP,"2015, January. Released 2015, June",Energizer,microUSB 2.0,Gray,No,,121.7 x 55.8 x 19.8 mm (4.79 x 2.20 x 0.78 in),Up to 241 h,"TFT, 256K colors","2.0 inches, 12.4 cm2(~18.2% screen-to-body ratio)",,
