,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Features_1,Talk time,Positioning,Infrared port,Loudspeaker,Battery (old),Messaging,Models,Phonebook,EDGE,Build,Radio,Camera,OS,Speed,Quad,Loudspeaker_1,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Display,SAR,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Announced,_2,Video,_1,USB,Chipset,Triple,Price,CPU,Resolution,Audio quality,Brand,Dual,Dual_1,Java,3.5mm jack,Single,Performance,GPU,Video_1,Charging,Status,GPRS,SIM,SAR EU
CDMA 800 / 1900,microSDXC (dedicated slot),,163.3 x 80.9 x 8.3 mm (6.43 x 3.19 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 38, 39, 40, 41",,Up to 51 h (3G),GPS,Yes,Yes,,,,,,,"FM radio, RDS, recording",,"Android 6.0 (Marshmallow), Amigo 3.5","HSPA, LTE",,,AMOLED,215 g (7.58 oz),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","64GB 6GB RAM, 256GB 6GB RAM","6.0 inches, 99.2 cm2(~75.1% screen-to-body ratio)",Black,,"8 MP, f/2.0, 1/4.0"", 1.12µm","Li-Po 6020 mAh, non-removable",,,,GSM / CDMA / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee M6s Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-m6s-plus.jpg,"Dual-LED dual-tone flash, panorama, HDR",Up to 843 h (3G),"2017, April. Released 2017, May",eMMC 5.1,1080p@30fps,CDMA2000 1xEV-DO / TD-SCDMA,"microUSB 2.0, OTG",Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),,About 460 EUR,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.44 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,Gionee,,,,Yes,"12 MP, f/1.9, 1/2.55"", 1.4µm, PDAF",,Adreno 510,,"18W wired, QC3Reverse wired",Discontinued,,Nano-SIM + Nano-SIM,
,microSDXC (uses shared SIM slot),,166.4 x 83.3 x 9.1 mm (6.55 x 3.28 x 0.36 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,,GPS,,Yes,,,A1 Plus,,,,FM radio,,"Android 7 (Nougat), Amigo 4","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,IPS LCD,226 g (7.97 oz),"Fingerprint (rear-mounted), accelerometer, proximity, compass",64GB 4GB RAM,"6.0 inches, 99.2 cm2(~71.6% screen-to-body ratio)","Gray, Mocha Gold",,,"Li-Ion 4550 mAh, non-removable",,,,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee A1 Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-a1-.jpg,"LED flash, HDR",,"2017, February. Released 2017, May",,1080p@30fps,,"USB Type-C, OTG",Mediatek MT6757T Helio P25 (16 nm),,About 370 EUR,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,Gionee,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF5 MP, f/2.4, (depth)",,,Yes,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm",,Mali-T880MP2,,10W wired,Discontinued,,Nano-SIM + Nano-SIM,
eMMC 5.1,microSDXC (uses shared SIM slot),,154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,,GPS,,Yes,,,A1,,,,FM radio,,"Android 7 (Nougat), Amigo 4","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,IPS LCD,182 g (6.42 oz),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",64GB 4GB RAM,"5.5 inches, 83.4 cm2(~70.6% screen-to-body ratio)","Black, Gray, Gold",,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","Li-Ion 4010 mAh, non-removable",,,Corning Gorilla Glass (unspecified version),GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",No,Gionee A1,https://fdn2.gsmarena.com/vv/bigpic/gionee-a1.jpg,"LED flash, HDR",,"2017, February. Released 2017, April",,1080p@30fps,,"microUSB 2.0, OTG",Mediatek MT6755 Helio P10 (28 nm),,About 280 EUR,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",,Mali-T860MP2,,10W wired,Discontinued,,Nano-SIM + Micro-SIM,
CDMA2000 1xEV-DO / TD-SCDMA,microSDXC,,150 x 74.5 x 7.7 mm (5.91 x 2.93 x 0.30 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 2, 3, 5, 7, 8, 38",,,GPS,,Yes,,,,,,,FM radio,,Android 6.0 (Marshmallow),"HSPA, LTE",,,IPS LCD,162 g (5.71 oz),"Accelerometer, gyro, proximity, compass",32GB 4GB RAM,"5.3 inches, 77.4 cm2(~69.3% screen-to-body ratio)","Gold, Rose gold",,8 MP,"Li-Po 4000 mAh, non-removable",,,,GSM / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee F5,https://fdn2.gsmarena.com/vv/bigpic/gionee-f5.jpg,"LED flash, panorama, HDR",,"2017, January. Released 2017, February",,1080p@30fps,eMMC 5.1,microUSB 2.0,Mediatek MT6750 (28 nm),,About 250 EUR,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"720 x 1280 pixels, 16:9 ratio (~277 ppi density)",,Gionee,,,,Yes,"13 MP, AF",,Mali-T860MP2,,,Discontinued,,Nano-SIM + Nano-SIM,
CDMA 800,No,,"155.2 x 77.6 x 7.4 mm, 10.8 cc (6.11 x 3.06 x 0.29 in)","4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 4, 5, 7, 8, 38, 39, 40, 41",,Up to 25 h (3G),GPS,,Yes,,,,,,,FM radio,,"Android 6.0.1 (Marshmallow), Amigo 3.5","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,AMOLED,238 g (8.40 oz),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",128GB 6GB RAM,"5.7 inches, 89.6 cm2(~74.4% screen-to-body ratio)","Black, Gold",,,"Li-Po 7000 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee M2017,https://fdn2.gsmarena.com/vv/bigpic/gionee-m2017.jpg,"LED flash, panorama, HDR",Up to 915 h (3G),"2016, December. Released 2016, December",,4K@30fps,eMMC 5.1,"USB Type-C 2.0, OTG",Qualcomm MSM8976 Pro Snapdragon 653 (28 nm),,About 1150 EUR,Octa-core (4x1.95 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),"1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",,Gionee,"12 MP, PDAF13 MP, 2x optical zoom",,,No,8 MP,,Adreno 510,,"18W wired, QC3",Discontinued,,Nano-SIM + Nano-SIM,
CDMA2000 1xEV-DO / TD-SCDMA,microSDXC (dedicated slot),,144.3 x 70.5 x 8.6 mm (5.68 x 2.78 x 0.34 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,Up to 45 h (3G),GPS,,Yes,,,,,,,FM radio,,"Android 6.0 (Marshmallow), Amigo 3.5","HSPA, LTE",,,IPS LCD,160 g (5.64 oz),"Accelerometer, proximity, compass","16GB 3GB RAM, 32GB 3GB RAM","5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)","Jazz Gold, Gold Black",,5 MP,"Li-Po 4000 mAh, non-removable",,,S,GSM / HSPA / EVDO / LTE,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee Steel 2,https://fdn2.gsmarena.com/vv/bigpic/gionee-steel-2.jpg,"LED flash, panorama, HDR",Up to 527 h (3G),"2016, December. Released 2017, January",,1080p@30fps,eMMC 5.0,microUSB 2.0,Mediatek MT6737 (28 nm),,About 210 EUR,Quad-core 1.25 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-T720MP2,,,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
3D Touch display,microSDXC (uses shared SIM slot),,154.2 x 76.4 x 7.4 mm (6.07 x 3.01 x 0.29 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,,GPS,,Yes,,,,,,,FM radio,,"Android 6.0.1 (Marshmallow), Amigo 3.5","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,IPS LCD,168.2 g (5.93 oz),"Fingerprint (rear-mounted), accelerometer, proximity, compass",64GB 4GB RAM,"5.5 inches, 83.4 cm2(~70.8% screen-to-body ratio)","Black, Gold, Rose Gold",,,"Li-Ion 3000 mAh, non-removable",,,Corning Gorilla Glass 4,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee S9,https://fdn2.gsmarena.com/vv/bigpic/gionee-s9.jpg,"LED flash, panorama, HDR",,"2016, November. Released 2016, November",24-bit/192kHz audio,1080p@30fps,eMMC 5.1,"microUSB 2.0, OTG",Mediatek MT6755 Helio P10 (28 nm),,About 370 EUR,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,"13 MP, PDAF5 MP, f/2.4, (depth)",,,Yes,13 MP,,Mali-T860MP2,,,Discontinued,,Nano-SIM + Nano-SIM,
CDMA2000 1xEV-DO / TD-SCDMA,microSDXC,,-,"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,,,GPS,,Yes,,,P7,,,,FM radio,,"Android 6.0 (Marshmallow), Amigo 3.2","HSPA, LTE",,,IPS LCD,167 g (5.89 oz),"Accelerometer, proximity",16GB 2GB RAM,"5.0 inches, 68.9 cm2","White, Latte Gold, Grаy",,5 MP,"Li-Ion 2300 mAh, non-removable",,,S,GSM / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee P7,https://fdn2.gsmarena.com/vv/bigpic/gionee-p7.jpg,"LED flash, panorama, HDR",,"2016, December. Released 2016, December",,1080p@30fps,,"microUSB 2.0, OTG",,,About 140 EUR,Quad-core 1.3 GHz,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,,,,Discontinued,,Dual SIM,
,microSDXC,,154 x 76.8 x 8.8 mm (6.06 x 3.02 x 0.35 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LTE,,,GPS,,Yes,,,,,Yes,,FM radio,,"Android 6.0 (Marshmallow), Amigo 3.2","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,183 g (6.46 oz),"Accelerometer, proximity, compass",32GB 3GB RAM,"5.5 inches, 83.4 cm2(~70.5% screen-to-body ratio)",Gold,,5 MP,"Li-Ion 3100 mAh, removable",,,,GSM / HSPA / LTE,HSDPA,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee P7 Max,https://fdn2.gsmarena.com/vv/bigpic/gionee-p7-max-r.jpg,"LED flash, HDR, panorama",,"2016, October. Released 2016, October",,1080p@30fps,,microUSB 2.0,Mediatek MT6595,,About 190 EUR,Octa-core 2.2 GHz,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Gionee,,,,Yes,"13 MP, AF",,PowerVR G6200,,,Discontinued,Yes,Dual SIM,
,No,,145.3 x 70.5 x 8.5 mm (5.72 x 2.78 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 5, 40",,Up to 13 h 20 min (3G),GPS,,Yes,,,F103 Pro,,,,FM radio,,"Android 6.0 (Marshmallow), Amigo 3.2","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,143 g (5.04 oz),"Accelerometer, proximity, compass",16GB 3GB RAM,"5.0 inches, 68.9 cm2(~67.3% screen-to-body ratio)","Gold, White, Gray",,5 MP,"Li-Po 2400 mAh, removable",,0.54 W/kg (head)     0.75 W/kg (body),Asahi Dragontrail Glass,GSM / HSPA / LTE,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee F103 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-f103-pro.jpg,"LED flash, HDR, panorama",Up to 387 h (3G),"2016, September. Released 2016, October",,1080p@30fps,,"microUSB 2.0, OTG",,,,Quad-core 1.3 GHz,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"13 MP, AF",,,,,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
,microSDXC (uses shared SIM slot),,154.5 x 75.6 x 8.3 mm (6.08 x 2.98 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 5, 40",LED flash,Up to 23 h (2G) / Up to 11 h 30 min (3G),GPS,,Yes,,,S6s,,,,FM radio,,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat), Amigo 3.2","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,IPS LCD,166 g (5.86 oz),"Fingerprint (rear-mounted), accelerometer, proximity, compass",32GB 3GB RAM,"5.5 inches, 83.4 cm2(~71.4% screen-to-body ratio)","Mocha Gold, Latte Gold",,"8 MP, f/2.2","Li-Po 3150 mAh, non-removable",,0.26 W/kg (head)     0.47 W/kg (body),Corning Gorilla Glass 3,GSM / HSPA / LTE,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee S6s,https://fdn2.gsmarena.com/vv/bigpic/gionee-s6s.jpg,"LED flash, panorama, HDR",Up to 400 h (2G) / Up to 394 h (3G),"2016, August. Released 2016, August",,1080p@30fps,,USB Type-C 2.0,Mediatek MT6753 (28 nm),,About 280 EUR,Octa-core 1.3 GHz Cortex-A53,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",,Mali-T720MP3,,,Discontinued,,Nano-SIM + Micro-SIM,
CDMA2000 1xEV-DO / TD-SCDMA,microSDXC (dedicated slot),,160.5 x 80.6 x 8.2 mm (6.32 x 3.17 x 0.32 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,,GPS,Yes,Yes,,,GN8002S,,,,"FM radio, RDS, recording",,"Android 6.0 (Marshmallow), Amigo 3.5","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,AMOLED,215 g (7.58 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","64GB 4GB RAM, 128GB 4GB RAM","6.0 inches, 99.2 cm2(~76.7% screen-to-body ratio)",Champagne,,"8 MP, f/2.2, 1/4.0"", 1.12µm","Li-Po 6020 mAh, non-removable",,,,GSM / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee M6 Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-m6-plus.jpg,"Dual-LED flash, panorama, HDR",,"2016, July. Released 2016, September",,1080p@30fps,eMMC 5.1,"microUSB 2.0, OTG",Mediatek MT6755 Helio P10 (28 nm),,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,Gionee,,,,No,"16 MP, f/1.8, PDAF",,Mali-T860MP2,,10W wiredReverse wired,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
CDMA2000 1xEV-DO / TD-SCDMA,microSDXC (dedicated slot),,152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,,GPS,Yes,Yes,,,"M6, GN8003",,,,"FM radio, RDS, recording",,"Android 6.0 (Marshmallow), Amigo 3.5","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,AMOLED,180 g (6.35 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","64GB 4GB RAM, 128GB 4GB RAM","5.5 inches, 83.4 cm2(~72.7% screen-to-body ratio)","Champagne, Gold",,"8 MP, f/2.2, 1/4.0"", 1.12µm","Li-Po 5000 mAh, non-removable",,,,GSM / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee M6,https://fdn2.gsmarena.com/vv/bigpic/gionee-m6.jpg,"Dual-LED flash, panorama, HDR",,"2016, July. Released 2016, September",,1080p@30fps,eMMC 5.1,"microUSB 2.0, OTG",Mediatek MT6755 Helio P10 (28 nm),,,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",,Mali-T860MP2,,10W wiredReverse wired,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
CDMA2000 1xEV-DO / TD-SCDMA,microSDXC (uses shared SIM slot),,153 x 75.3 x 7.6 mm (6.02 x 2.96 x 0.30 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,Up to 38 h 30 min (3G),GPS,,Yes,,,S6 Pro,,,,FM radio,,"Android 6.0.1 (Marshmallow), Amigo 3.2","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,IPS LCD,170 g (6.00 oz),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",64GB 4GB RAM,"5.5 inches, 83.4 cm2(~72.4% screen-to-body ratio)","Gold, Silver, Rose Gold",,8 MP,"Li-Po 3130 mAh, non-removable",,,,GSM / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee S6 Pro,https://fdn2.gsmarena.com/vv/bigpic/gionee-s6-pro.jpg,"LED flash, panorama, HDR",Up to 558 h (3G),"2016, June. Released 2016, June",,1080p@30fps,eMMC 5.1,"USB Type-C 2.0, OTG",Mediatek MT6755 Helio P10 (28 nm),,About 390 EUR,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.0, PDAF",,Mali-T860MP2,,,Discontinued,,Nano-SIM + Micro-SIM,
,microSDHC (dedicated slot),,132 x 66 x 9.1 mm (5.20 x 2.60 x 0.36 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,GPS,,Yes,,,P5 mini,,,,FM radio,,Android 5.0 (Lollipop),HSPA,,,IPS LCD,153 g (5.40 oz),Accelerometer,8GB 1GB RAM,"4.5 inches, 55.8 cm2(~64.1% screen-to-body ratio)","White, Black, Blue",,2 MP,"Li-Ion 1800 mAh, removable",,,,GSM / HSPA,HSDPA 900 / 2100,"Wi-Fi 802.11 b/g/n, hotspot",No,Gionee P5 Mini,https://fdn2.gsmarena.com/vv/bigpic/gionee-p5-mini-.jpg,LED flash,,"2016, March. Released 2016, April",,Yes,,microUSB 2.0,Mediatek MT6580M (28 nm),,About 90 EUR,Quad-core 1.3 GHz Cortex-A7,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Gionee,,,,Yes,"5 MP, AF",,Mali-400MP2,,,Discontinued,,Dual SIM,
"External IPS LCD720 x 1280 pixels, 4.2 inches",microSDXC (dedicated slot),,124.1 x 62.8 x 16.5 mm (4.89 x 2.47 x 0.65 in),"4.0, A2DP, LE",GSM 900 / 1800 / 1900,LTE,,,GPS,,Yes,,,,,Yes,,FM radio,,Android 5.1 (Lollipop),"HSPA, LTE",,,IPS LCD,207.7 g (7.41 oz),"Fingerprint (rear-mounted), accelerometer, proximity",64GB 4GB RAM,"4.2 inches, 48.6 cm2(~62.4% screen-to-body ratio)",Rose gold/Black,,5 MP,"Li-Ion 2530 mAh, non-removable",,,,GSM / HSPA / LTE,HSDPA,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee W909,https://fdn2.gsmarena.com/vv/bigpic/gionee-w909-.jpg,"LED flash, panorama, HDR",,"2016, March. Released 2016, June",,1080p@30fps,eMMC 5.1,USB Type-C,Mediatek MT6755 Helio P10 (28 nm),,About 550 EUR,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"720 x 1280 pixels, 16:9 ratio (~350 ppi density)",,Gionee,,,,Yes,"16 MP, AF",,Mali-T860MP2,,,Discontinued,Yes,Micro-SIM,
3D Touch display,microSDXC (uses shared SIM slot),,154.3 x 74.9 x 7 mm (6.07 x 2.95 x 0.28 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3, 7, 38, 39, 40",,,GPS,,Yes,,,,,,,FM radio,,"Android 6.0.1 (Marshmallow), Amigo 3.2","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,AMOLED,147.2 g (5.19 oz),"Fingerprint (rear-mounted), accelerometer, proximity, compass",64GB 4GB RAM,"5.5 inches, 83.4 cm2(~72.2% screen-to-body ratio)","Gray, Gold, Rose Gold",,"8 MP, 1/4.0""","Li-Ion 3000 mAh, non-removable",,,Corning Gorilla Glass 4,GSM / HSPA / LTE,HSDPA 850 / 900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,Gionee S8,https://fdn2.gsmarena.com/vv/bigpic/gionee-elife-s8.jpg,"Laser AF, LED flash, panorama, HDR",,"2016, February. Released 2016, June",24-bit/192kHz audio,1080p@30fps,eMMC 5.1,"microUSB 2.0, OTG",Mediatek MT6755 Helio P10 (28 nm),,About 450 EUR,Octa-core (4x1.9 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Gionee,,,,Yes,"16 MP, f/1.8, PDAF",,Mali-T860MP2,,,Discontinued,,Nano-SIM + Micro-SIM,
,microSDXC (dedicated slot),,143.5 x 71 x 9.6 mm (5.65 x 2.80 x 0.38 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Up to 18 h (3G),GPS,Yes,Yes,,,M5 mini,,,,FM radio,,"Android 5.1 (Lollipop), Amigo 3.1",HSPA,,,IPS LCD,-,Yes,16GB 2GB RAM,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)","White, Gold, Black",,5 MP,"Li-Po 4000 mAh, non-removable",,,,GSM / HSPA,HSDPA 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Marathon M5 mini,https://fdn2.gsmarena.com/vv/bigpic/Gionee-M5-Mini-.jpg,"LED flash, panorama, HDR",,"2016, January. Released 2016, February",,Yes,,"microUSB 2.0, OTG",Mediatek MT6580 (28 nm),,About 120 EUR,Quad-core 1.3 GHz Cortex-A7,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-400MP2,,Reverse wired,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
CDMA 800,microSDXC (dedicated slot),,155 x 76 x 9 mm (6.10 x 2.99 x 0.35 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,Up to 52 h,GPS,,Yes,,,,,,,FM radio,,"Android 5.1 (Lollipop), Amigo 3.1","HSPA, LTE",,,TFT,200 g (7.05 oz),"Fingerprint (front-mounted), accelerometer, proximity, compass",16GB 3GB RAM,"5.5 inches, 83.4 cm2(~70.8% screen-to-body ratio)","White, Gold",,5 MP,"Li-Po 5000 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Marathon M5 enjoy,https://fdn2.gsmarena.com/vv/bigpic/gionee-marathon-m5-e.jpg,"LED flash, panorama, HDR",Up to 775 h,"2015, December. Released 2015, December",,1080p@30fps,TD-SCDMA,microUSB 2.0,Mediatek MT6735 (28 nm),,About 340 EUR,Quad-core 1.0 GHz Cortex-A53,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Gionee,,,,Yes,"8 MP, AF",,Mali-T720MP2,,,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
CDMA 800,microSDXC (dedicated slot),,160.9 x 81.2 x 8.4 mm (6.33 x 3.20 x 0.33 in),"4.0, A2DP",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 7, 38, 39, 40, 41",,Up to 53 h,GPS,,Yes,,,"M5 Plus, GN8001",,,,FM radio,,"Android 5.1 (Lollipop), Amigo 3.1","HSPA, LTE",,,AMOLED,208 g (7.34 oz),"Fingerprint (front-mounted), accelerometer, proximity, compass",64GB 3GB RAM,"6.0 inches, 98.7 cm2(~75.5% screen-to-body ratio)","White, Gold",,5 MP,"Li-Po 5020 mAh, non-removable",,,,GSM / CDMA / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,Gionee Marathon M5 Plus,https://fdn2.gsmarena.com/vv/bigpic/gionee-m5-plus.jpg,"LED flash, panorama, HDR",Up to 829 h,"2015, December. Released 2015, December",,1080p@30fps,TD-SCDMA,USB Type-C,Mediatek MT6753 (28 nm),,About 420 EUR,Octa-core 1.3 GHz Cortex-A53,"1080 x 1920 pixels, 16:9 ratio (~368 ppi density)",,Gionee,,,,Yes,"13 MP, f/2.2, PDAF",,Mali-T720MP3,,,Discontinued,,"Dual SIM (Micro-SIM, dual stand-by)",
