Speed,,Loudspeaker,EDGE,GPRS,_4,Card slot,Features,CPU,Sensors,Model Image,512GB 12GB RAM,Type_1,OS,Dual,Bluetooth,SIM,Performance,2G bands,Internal,_1,Video_1,Positioning,Radio,Model Name,256GB 8GB RAM,Weight,5G bands,Video,Charging,Triple,Battery (old),3G bands,_2,Status,Loudspeaker_1,Quad,NFC,3.5mm jack,Single_1,WLAN,Price,Build,GPU,_3,4G bands,512GB 16GB RAM,Chipset,Resolution,Technology,Single,Announced,Brand,USB,Colors,Dimensions,Type,Size,Protection,Display
"HSPA, LTE",Stylus support,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, compass, proximity (accessories only)",https://fdn2.gsmarena.com/vv/bigpic/doogee-t30-max.jpg,,10800 mAh,Android 14,"50 MP, (wide)2 MP, (macro)","5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 8GB RAM,uMCP,Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T30 Max,,678 g (1.49 lb),,"1440p@30fps, 1080p@30fps",33W wired,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2024, March",,,No,No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,"Glass front, aluminum frame, aluminum back, silicone polymer (eco leather) cover",Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Helio G99,"1600 x 2560 pixels, 16:10 ratio (~243 ppi density)",GSM / HSPA / LTE,20 MP,"2024, March 08",Doogee,"USB Type-C 2.0, OTG, charging/accessories connector pins","Black, Green, Khaki",285.1 x 185.4 x 7.9 mm (11.22 x 7.30 x 0.31 in),IPS LCD,"12.4 inches, 445.8 cm2(~84.3% screen-to-body ratio)",,
"HSPA, LTE",eMMC 5.1,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/doogee-t30e.jpg,,8000 mAh,Android 14,,5.0,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 4GB RAM,,Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T30E,,537 g (1.18 lb),,1080p@30/60fps,10W wired,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2024, May",,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 120 EUR,,Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"800 x 1280 pixels, 16:10 ratio (~137 ppi density)",GSM / HSPA / LTE,13 MP,"2024, April",Doogee,"USB Type-C 2.0, OTG","Black, Gray",258.1 x 169.7 x 8.8 mm (10.16 x 6.68 x 0.35 in),IPS LCD,"11.0 inches, 350.9 cm2(~80.1% screen-to-body ratio)",,
"HSPA, LTE",eMMC 5.1,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/doogee-t30se.jpg,,8580 mAh,Android 14,,5.0,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 4GB RAM,24-bit/192kHz Hi-Res audio,Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T30SE,,500 g (1.10 lb),,1080p@30/60fps,10W wired,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2024, May",,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 130 EUR,,Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",GSM / HSPA / LTE,13 MP,"2024, April",Doogee,"USB Type-C 2.0, OTG","Black, Gray",257 x 168.7 x 7.6 mm (10.12 x 6.64 x 0.30 in),IPS LCD,"11.0 inches, 350.9 cm2(~80.9% screen-to-body ratio)",,
"HSPA, LTE",UFS,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/doogee-t30s.jpg,,8580 mAh,Android 13,,5.0,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 6GB RAM,24-bit/192kHz Hi-Res audio,Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T30S,,506 g (1.12 lb),,1080p@30/60fps,10W wired,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2024, February",,,No,Yes,8 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"1200 x 1920 pixels, 16:10 ratio (~206 ppi density)",GSM / HSPA / LTE,13 MP,"2024, February",Doogee,"USB Type-C 2.0, OTG","Black, Gray, Blue",257 x 168.7 x 7.6 mm (10.12 x 6.64 x 0.30 in),IPS LCD,"11.0 inches, 350.9 cm2(~80.9% screen-to-body ratio)",,
"HSPA, LTE, 5G",CDMA 800 / 1900,Yes,,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-dk10.jpg,,5150 mAh,Android 13,,"5.1, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 12GB RAM,IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,"1440p@30fps, 1080p@30fps","GPS (L1+L5), GLONASS, GALILEO, BDS",FM radio,Doogee DK10,,-,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 71, 77, 78, 79 SA/NSA","4K@30fps, 1080p@30fps",120W wired50W wirelessReverse wired,,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,uMCP,"Available. Released 2024, March",,"50 MP, f/2.0, (wide), 1/1.31"", PDAF16 MP, f/2.5, (telephoto), 1/3.1"", PDAF, 4x optical zoom50 MP, f/2.2, 123˚ (ultrawide)64 MP, f/1.8, (night vision), 2 infrared night vision lights",Yes,Unspecified,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,Mali-G77 MC9,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 8020 (6 nm),"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",GSM / CDMA / HSPA / LTE / 5G,"50 MP, f/2.5, (wide), 1/2.76""","2024, February 28",Doogee,"USB Type-C 2.0, OTG","Emerald Green, Kevlar Black",181.7 x 83.1 x 12.7 mm (7.15 x 3.27 x 0.5 in),"AMOLED, 120Hz","6.67 inches, 107.4 cm2(~71.1% screen-to-body ratio)",Corning Gorilla Glass,
"HSPA, LTE",IP68 dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,Yes,,,,microSDXC,LED flash,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Fingerprint (side-mounted); unspecified sensors,https://fdn2.gsmarena.com/vv/bigpic/doogee-smini.jpg,,Li-Ion 3000 mAh,Android 13,,Yes,Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,Secondary display on the back,Yes,GPS,Unspecified,Doogee Smini,,155 g (5.47 oz),,1080p,18W wired,"50 MP, (wide), AF2 MP",,HSDPA 850 / 900 / 1900 / 2100,UFS,"Available. Released 2023, November 11",,,Yes,Unspecified,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 120 EUR,,Mali-G57 MC2,,LTE,,Mediatek Helio G99 (6 nm),480 x 1170 pixels (~281 ppi density),GSM / HSPA / LTE,8 MP,"2023, October 27",Doogee,Yes,"Black, Silver, Purple",133 x 60 x 13.5 mm (5.24 x 2.36 x 0.53 in),IPS LCD,"4.5 inches, 45.9 cm2(~57.5% screen-to-body ratio)",,
"HSPA, LTE, 5G",CDMA 800 / 1900,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/googee-v30-pro-.jpg,,10800 mAh,Android 13,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,512GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,1080p@30fps,"GPS (L1+L5), GLONASS, GALILEO, BDS",FM radio,Doogee V30 Pro,,-,"1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA","4K@30fps, 1080p@30fps",33W wiredReverse wired,"200 MP, f/1.7, (wide), 1/1.4"", PDAF24 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 125˚ (ultrawide)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2023, November 01",,,Yes (market/region dependent),Unspecified,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 440 EUR,,Mali-G68 MC4,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 7050 (6 nm),"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM / CDMA / HSPA / LTE / 5G,"32 MP, f/1.8, (wide), 1/2.7""","2023, October 24",Doogee,"USB Type-C 2.0, OTG","Black, Orange, Silver",178.5 x 83.1 x 17.9 mm (7.03 x 3.27 x 0.70 in),"IPS LCD, 120Hz","6.58 inches, 104.3 cm2(~70.3% screen-to-body ratio)",Corning Gorilla Glass 5,
"HSPA, LTE, 5G",CDMA 800 / 1900,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),"LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/googee-v31gt.jpg,,10800 mAh,Android 13,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,1080p@30fps,"GPS (L1+L5), GLONASS, GALILEO, BDS",FM radio,Doogee V31GT,,390 g (13.76 oz),"1, 3, 7, 28, 38, 41, 77, 78, 79 SA/NSA","4K@30fps, 1080p@30fps","66W wired, 55% in 30 minReverse wired",,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,UFS 2.2,"Available. Released 2023, September",,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF24 MP, f/1.8, (night vision), 2 infrared night vision lights8 MP, f/1.8, (wide)256×192 pixels thermal camera",Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,Mali-G68 MC4,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Dimensity 1080 (6 nm),"1080 x 2400 pixels, 20:9 ratio (~400 ppi density)",GSM / CDMA / HSPA / LTE / 5G,"32 MP, f/1.8, (wide), 1/2.8"", 0.8µm","2023, September",Doogee,"USB Type-C 2.0, OTG","Black, Gold, Silver",178.5 x 83.1 x 17.9 mm (7.03 x 3.27 x 0.70 in),"IPS LCD, 120Hz","6.58 inches, 104.5 cm2(~70.5% screen-to-body ratio)",Corning Gorilla Glass 5,
"HSPA, LTE",IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.8mMIL-STD-810H compliant,Yes,,,,microSDXC (uses shared SIM slot),"Quad-LED flash, HDR",Quad-core 2.0 GHz Cortex-A53,"Accelerometer, proximity",https://fdn2.gsmarena.com/vv/bigpic/googee-s41-pro.jpg,,6300 mAh,Android 12,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,64GB 4GB RAM,,1080p@30fps,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee S41 Pro,,262 g (9.24 oz),,1080p,,"13 MP, f/2.0, (wide), PDAFother unspecified cameras",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,"Available. Released 2023, September",,,Yes (market/region dependent),Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,PowerVR GE8320,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",,Mediatek MT6761V/WAB Helio A22 (12 nm),"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",GSM / HSPA / LTE,"8 MP, f/2.0, (wide)","2023, September",Doogee,"USB Type-C 2.0, OTG","Black, Orange, Green",162.5 x 77.8 x 16.2 mm (6.40 x 3.06 x 0.64 in),IPS LCD,"5.5 inches, 78.1 cm2(~61.7% screen-to-body ratio)",Corning Gorilla Glass,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-t30-ultra.jpg,,8580 mAh,Android 13,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,UFS 2.2,Yes,"GPS, GALILEO, GLONASS, BDS",FM radio,Doogee T30 Ultra,,539 g (1.19 lb),,"1440p@30fps, 1080p@30fps",18W wiredReverse wired,,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2023, November",,,No,Yes,8 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 250 EUR,"Glass front, aluminum frame, aluminum back",Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Helio G99 (6 nm),"1600 x 2560 pixels, 16:10 ratio (~274 ppi density)",GSM / HSPA / LTE,16 MP,"2023, October",Doogee,"USB Type-C 2.0, OTG, magnetic accessory connector pins","Blue, Gray, Black",256.5 x 168 x 7.6 mm (10.10 x 6.61 x 0.30 in),"IPS LCD, 250 nits","11.0 inches, 350.9 cm2(~81.4% screen-to-body ratio)",,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-t20-ultra.jpg,,10800 mAh,Android 13,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,UFS,Yes,"GPS, GALILEO, GLONASS, BDS",FM radio,Doogee T20 Ultra,,568 g (1.25 lb),,"1440p@30fps, 1080p@30fps",18W wiredReverse wired,,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2023, November",,,No,Yes,8 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 230 EUR,"Glass front, aluminum frame, aluminum back",Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Helio G99 (6 nm),"1200 x 2000 pixels, 5:3 ratio (~194 ppi density)",GSM / HSPA / LTE,16 MP,"2023, October",Doogee,"USB Type-C 2.0, OTG, magnetic accessory connector pins","Blue, Gray, Black",278.8 x 174.3 x 7.6 mm (10.98 x 6.86 x 0.30 in),"IPS LCD, 350 nits","12.0 inches, 409.9 cm2(~84.3% screen-to-body ratio)",,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, proximity (accessories only)",https://fdn2.gsmarena.com/vv/bigpic/doogee-t10-pro.jpg,,8580 mAh,Android 12,13 MPsecondary unspecified camera,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,еMMC 5.1,Yes,"GPS, GLONASS, GALILEO, BDS",Unspecified,Doogee T10Pro,,568 g (1.25 lb),,"1440p@30fps, 1080p@30fps",18W wired,,,HSDPA 850 / 900 / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2023, September",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,"Glass front, aluminum frame, aluminum back",Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 34, 38, 40, 41",,Unisoc T606 (12 nm),"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",GSM / HSPA / LTE,8 MP,"2023, September",Doogee,"USB Type-C 2.0, OTG","Black, Pink, Purple",242.3 x 161.1 x 8.5 mm (9.54 x 6.34 x 0.33 in),IPS LCD,"10.1 inches, 295.8 cm2(~75.8% screen-to-body ratio)",,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, proximity (accessories only), gyro, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-t10-plus.jpg,,8250 mAh,Android 13,13 MPsecondary unspecified camera,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 8GB RAM,еMMC 5.1,Yes,"GPS, GLONASS, GALILEO, BDS",Unspecified,Doogee T10Plus,,505 g (1.11 lb),,"1440p@30fps, 1080p@30fps",18W wired,,,HSDPA 850 / 900 / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2023, September",,,No,Yes,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,"Glass front, aluminum frame, aluminum back",Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 40, 41",,Unisoc T606 (12 nm),"1200 x 1920 pixels, 16:10 ratio (~216 ppi density)",GSM / HSPA / LTE,8 MP,"2023, September",Doogee,"USB Type-C 2.0, OTG, magnetic connector","Black, Green, Blue",246.4 x 161.5 x 7.4 mm (9.70 x 6.36 x 0.29 in),IPS LCD,"10.5 inches, 319.7 cm2(~80.3% screen-to-body ratio)",,
,Stylus support,"Yes, with stereo speakers",No,No,,microSDXC (dedicated slot),LED flash,Quad-core 2.0 GHz,Accelerometer,https://fdn2.gsmarena.com/vv/bigpic/doogee-u10-pro.jpg,,5060 mAh,Android 13,,"5.0, A2DP, LE",No,,N/A,128GB 8GB RAM,eMMC 5.1,720p@30fps,No,No,Doogee U10 Pro,,478 g (1.05 lb),,720p@30fps,10W wired,,,N/A,,"Available. Released 2023, September",,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,,N/A,,RK3562,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",No cellular connectivity,8 MP,"2023, September",Doogee,"USB Type-C 2.0, OTG","Black, Pink, Blue",245.3 x 163.3 x 9.9 mm (9.66 x 6.43 x 0.39 in),IPS LCD,"10.1 inches, 295.8 cm2(~73.8% screen-to-body ratio)",,
,Stylus support,"Yes, with stereo speakers",No,No,,microSDXC (dedicated slot),LED flash,Quad-core 2.0 GHz,Accelerometer,https://fdn2.gsmarena.com/vv/bigpic/doogee-u10.jpg,,5060 mAh,Android 13,,"5.0, A2DP, LE",No,,N/A,128GB 4GB RAM,UFS 2.1,720p@30fps,No,No,Doogee U10,,514 g (1.13 lb),,720p@30fps,10W wired,,,N/A,24-bit/192kHz Hi-Res audio,"Available. Released 2023, September",,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,,N/A,,RK3562,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",No cellular connectivity,8 MP,"2023, September",Doogee,"USB Type-C 2.0, OTG","Gray, Green, Purple",245.3 x 163.3 x 9.9 mm (9.66 x 6.43 x 0.39 in),IPS LCD,"10.1 inches, 295.8 cm2(~73.8% screen-to-body ratio)",,
,Stylus support,"Yes, with stereo speakers",No,No,,microSDXC (dedicated slot),LED flash,Quad-core 2.0 GHz,Accelerometer,https://fdn2.gsmarena.com/vv/bigpic/doogee-u9.jpg,,5060 mAh,Android 13,,"5.0, A2DP, LE",No,,N/A,64GB 3GB RAM,eMMC 5.1,Yes,No,No,Doogee U9,,509 g (1.12 lb),,720p@30fps,10W wired,,,N/A,,"Available. Released 2023, November",,,No,Yes,2 MP,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",,,,,N/A,,RK3562,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",No cellular connectivity,5 MP,"2023, November",Doogee,"USB Type-C 2.0, OTG","Gray, Black, Purple",245.3 x 163.3 x 9.9 mm (9.66 x 6.43 x 0.39 in),IPS LCD,"10.1 inches, 295.8 cm2(~73.8% screen-to-body ratio)",,
"HSPA, LTE",Stylus support,"Yes, with stereo speakers",,,,microSDXC (uses shared SIM slot),LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"Accelerometer, gyro, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-t20mini-kid.jpg,,5060 mAh,Android 13,,"5.0, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 4GB RAM,eMMC 5.1,Yes,"GPS, GLONASS, GALILEO, BDS",FM radio,Doogee T20mini Kid,,499 g (1.10 lb),,1080p@30/60fps,10W wired,,,HSDPA 850 / 900 / 1900 / 2100,,"Available. Released 2023, September",,,No,Yes,5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,Mali-G57 MP1,,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,Unisoc T606 (12 nm),"1200 x 1820 pixels, 3:2 ratio (~260 ppi density)",GSM / HSPA / LTE,13 MP,"2023, September",Doogee,USB Type-C 2.0,Yellow,202.5 x 125.8 x 12.4 mm (7.97 x 4.95 x 0.49 in),"IPS LCD, 350 nits","8.4 inches, 209.2 cm2(~82.1% screen-to-body ratio)",,
"HSPA, LTE",CDMA 800 / 1900,Yes,,,,microSDXC (uses shared SIM slot),"Dual-LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-s110.jpg,,10800 mAh,Android 13,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,256GB 12GB RAM,Dust/water proof,"1440p, 1080p","GPS, GLONASS, BDS, GALILEO",FM radio,Doogee S110,,390 g (13.76 oz),,"1440p, 1080p",66W wiredReverse wired,"50 MP, f/1.8, (wide), 1/1.67"", PDAF24 MP, f/1.8, (night vision), 2 infrared night vision lights16 MP, f/2.2, 130˚ (ultrawide)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"Secondary 1.1"" screen on the back","Available. Released 2023, August",,,Yes (market/region dependent),No,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 320 EUR,,Mali-G57 MC2,UFS 2.2,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71",,Mediatek Helio G99 (6 nm),"1080 x 2400 pixels, 20:9 ratio (~400 ppi density)",GSM / CDMA / HSPA / LTE,"32 MP, f/2.0, (wide), 1/2.8"", 0.8µm","2023, August 03",Doogee,"USB Type-C 2.0, OTG","Black, Silver, Gold",178.5 x 83.1 x 17.9 mm (7.03 x 3.27 x 0.70 in),"IPS LCD, 120Hz","6.58 inches, 104.5 cm2(~70.5% screen-to-body ratio)",Corning Gorilla Glass,
"HSPA, LTE",IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantStylus support,"Yes, with stereo speakers (4 speakers)",,,,microSDXC (uses shared SIM slot),"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Accelerometer, gyro, proximity, compass",https://fdn2.gsmarena.com/vv/bigpic/doogee-r10.jpg,,10800 mAh,Android 13,,"5.2, A2DP, LE",Nano-SIM + Nano-SIM,,GSM 850 / 900 / 1800 / 1900,128GB 8GB RAM,UFS 2.2,"1440p@30fps, 1080p@30fps","GPS, GLONASS, GALILEO, BDS",FM radio,Doogee R10,,826 g (1.82 lb),,"1440p@30fps, 1080p@30fps",18W wiredReverse wired,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,24-bit/192kHz Hi-Res audio,"Available. Released 2023, August",,,No,Yes,16 MP,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",About 240 EUR,,Mali-G57 MC2,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66",,Mediatek Helio G99 (6 nm),"1200 x 2000 pixels, 5:3 ratio (~225 ppi density)",GSM / HSPA / LTE,20 MP,"2023, March 13",Doogee,"USB Type-C 2.0, OTG","Black, Silver",258 x 169 x 13.5 mm (10.16 x 6.65 x 0.53 in),IPS LCD,"10.36 inches, 305.5 cm2(~70.1% screen-to-body ratio)",Corning Gorilla Glass 5,
