Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
LED flash,Quad-core 1.25 GHz Cortex-A53,,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 130 EUR,,Yes,Nano-SIM + Micro-SIM,,"13 MP, AF",133 g (4.69 oz),,,"Available. Released 2017, March","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (uses shared SIM slot),,"HSPA, LTE",No,,"2017, March",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-pulse.jpg,"5.0 inches, 68.9 cm2(~67.7% screen-to-body ratio)",Panasonic Eluga Pulse,,"Rose Gold, Dark Grey, Gold",IPS LCD,,,143 x 71.2 x 8 mm (5.63 x 2.80 x 0.31 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2200 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
Tripple-LED flash,Quad-core 1.25 GHz Cortex-A53,eMMC 5.0,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 160 EUR,,Yes,Dual SIM,,"13 MP, AF",156 g (5.50 oz),Mediatek MT6737M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,,"720 x 1280 pixels, 16:9 ratio (~277 ppi density)",,microSDHC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, December. Released 2016, December",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p88.jpg,"5.3 inches, 77.4 cm2",Panasonic P88,,"Gold, Charcoal Grey",IPS LCD,,,8.4 mm thickness,16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,P88,1080p@30fps,"Li-Ion 2600 mAh, removable",,"Accelerometer, proximity",
Tripple-LED flash,Octa-core 1.3 GHz,,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 100 EUR,,Yes,Dual SIM,,"13 MP, AF",155 g (5.47 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDHC (dedicated slot),,"HSPA, LTE",No,,"2016, November. Released 2016, November",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p55-novo.jpg,"5.5 inches, 83.4 cm2(~76.4% screen-to-body ratio)",Panasonic P55 Novo,,"Champagne Gold, Smoke Grey/Midnight Blue",IPS LCD,,,147.9 x 73.8 x 8.2 mm (5.82 x 2.91 x 0.32 in),16GB 3GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 2100,,"P55 Novo, P55 Novo 4G",1080p@30fps,"Li-Ion 2500 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.0 GHz Cortex-A53,,"3, 5, 40",2 MP,,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,About 100 EUR,,Yes,Hybrid Dual SIM,,"8 MP, AF",126 g (4.44 oz),Mediatek MT6735P (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (uses shared SIM slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, September. Released 2016, September",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p77.jpg,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",Panasonic P77,,"White, Gray",IPS LCD,,,143 x 72 x 7.6 mm (5.63 x 2.83 x 0.30 in),"8GB 1GB RAM, 16GB 1GB RAM",microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Po 2000 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.25 GHz,,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 150 EUR,,Yes,Dual SIM,,"8 MP, AF",138 g (4.87 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, October. Released 2016, October",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-tapp.jpg,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",Panasonic Eluga Tapp,,"Champagne Gold, Silver Gray",IPS LCD,,,143 x 71 x 8.2 mm (5.63 x 2.80 x 0.32 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2800 mAh, non-removable",,"Fingerprint (front-mounted), accelerometer, proximity",
LED flash,Quad-core 1.3 GHz,,"3, 5, 40",5 MP,,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,,,About 200 EUR,,Yes,Hybrid Dual SIM,,"8 MP, AF",147 g (5.19 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (uses shared SIM slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, August. Released 2016, August",,GSM / HSPA / LTE,,,Panasonic,Asahi Dragontrail Glass,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-arc2.jpg,"5.0 inches, 68.9 cm2(~66.5% screen-to-body ratio)",Panasonic Eluga Arc 2,,"Gold, Rose Gold",IPS LCD,,,144 x 72 x 7.6 mm (5.67 x 2.83 x 0.30 in),32GB 3GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 900 / 2100,,Eluga_Arc_2,1080p@30fps,"Li-Ion 2450 mAh, non-removable",,"Accelerometer, proximity",
Triple-LED flash,Octa-core 1.3 GHz,,"3, 5, 40",5 MP,,,"Android 6.0.1 (Marshmallow), FitHome UI",Yes,"4.0, A2DP",,,,,About 170 EUR,,Yes,Dual SIM,,"16 MP, f/1.9, AF",142 g (5.01 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDHC (dedicated slot),,"HSPA, LTE",No,,"2016, July. Released 2016, July",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-note.jpg,"5.5 inches, 83.4 cm2(~76.7% screen-to-body ratio)",Panasonic Eluga Note,,Champagne Gold,IPS LCD,,,146 x 74.5 x 8.2 mm (5.75 x 2.93 x 0.32 in),32GB 3GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 900 / 2100,,,1080p@30fps,"Li-Po 3000 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.0 GHz Cortex-A53,,"3, 40",5 MP,,,"Android 5.1 (Lollipop), FitHome UI",Yes,"4.0, A2DP",,,,,About 150 EUR,,Yes,Dual SIM,,"8 MP, AF",167.5 g (5.93 oz),Mediatek MT6735M (28 nm),,Discontinued,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, April. Released 2016, April",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-a2.jpg,"5.0 inches, 68.9 cm2(~66.6% screen-to-body ratio)",Panasonic Eluga A2,,"Gold, Silver",IPS LCD,,,143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,Eluga_A2,1080p@30fps,"Li-Ion 4000 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.3 GHz,,"3, 5, 40",5 MP,,,"Android 5.1 (Lollipop), FitHome UI",Yes,"4.0, A2DP",,,,,About 150 EUR,,Yes,Dual SIM,,"13 MP, AF",-,,,Discontinued,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDHC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, April. Released 2016, May",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i3.jpg,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",Panasonic Eluga I3,,"Rose Gold, Champagne Gold, Marine Blue",IPS LCD,,,151 x 77 x 8.2 mm (5.94 x 3.03 x 0.32 in),16GB 2GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 900 / 2100,,Eluga_I3,1080p@30fps,"Li-Ion 2700 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.0 GHz,,"3, 5, 40",5 MP,,,"Android 5.1 (Lollipop), FitHome UI",Yes,"4.0, A2DP",,,,,About 130 EUR,,Yes,Dual SIM,,"8 MP, AF",-,,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, May. Released 2016, May",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i2-2016.jpg,"5.0 inches, 68.9 cm2(~67.1% screen-to-body ratio)",Panasonic Eluga I2 (2016),,"Metallic Silver, Metallic Gold, Metallic Grey",IPS LCD,,,144.2 x 71.2 x 8.8 mm (5.68 x 2.80 x 0.35 in),"16GB 2GB RAM, 16GB 3GB RAM",microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.2 GHz Cortex-A53,eMMC 4.5,"3, 40",5 MP,,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,,,Yes,Dual SIM,,"8 MP, AF",-,Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Yes,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,microSDHC (dedicated slot),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2016, April. Released 2016, May",,GSM / HSPA / LTE,,,Panasonic,,Adreno 306,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-arc.jpg,"4.7 inches, 60.9 cm2(~65.4% screen-to-body ratio)",Panasonic Eluga Arc,,Gold,IPS LCD,,,139 x 67 x 8.1 mm (5.47 x 2.64 x 0.32 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,10W wired,,1080p@30fps,"Li-Ion 1800 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, proximity",
LED flash,Quad-core 1.3 GHz,,,5 MP,,,Android 5.1 (Lollipop),Yes,"2.1, A2DP",,,,,About 110 EUR,,Yes,Dual SIM,,"8 MP, AF",155 g (5.47 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2016, February. Released 2016, February",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p66.jpg,"5.0 inches, 68.9 cm2(~68.3% screen-to-body ratio)",Panasonic P66,,"Rose Gold, Russet Brown & Electric Blue",IPS LCD,,,142.4 x 70.9 x 8.4 mm (5.61 x 2.79 x 0.33 in),16GB 2GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 850 / 900 / 2100,,,1080p@30fps,"Li-Ion 3200 mAh, non-removable",,"Accelerometer, proximity",
"LED flash, HDR, panorama",Octa-core 1.5 GHz Cortex-A53,,"3, 5, 40",5 MP,,,"Android 5.1 (Lollipop), FitHome UI",Yes,"4.0, A2DP",,,,,About 140 EUR,,Yes,Nano-SIM + Micro-SIM,,"13 MP, AF",145 g (5.11 oz),Mediatek MT6753 (28 nm),,Discontinued,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (uses shared SIM slot),,"HSPA, LTE Cat4 150/50 Mbps",No,,"2016, January. Released 2016, January",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-turbo.jpg,"5.0 inches, 68.9 cm2(~68.0% screen-to-body ratio)",Panasonic Eluga Turbo,,"Marine Blue, Champagne Gold, Rose Gold",IPS LCD,,,142.4 x 71.2 x 6.9 mm (5.61 x 2.80 x 0.27 in),32GB 3GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 850 / 900 / 1900 / 2100,,ELUGA Turbo,1080p@30fps,"Li-Ion 2350 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.3 GHz,,,2 MP,,,"Android 5.1 (Lollipop), Sail UI",Yes,"4.0, A2DP",,,,,About 70 EUR,,Yes,Dual SIM,,"5 MP, AF",-,,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2016, March. Released 2016, March",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-t50.jpg,"4.5 inches, 55.8 cm2(~63.9% screen-to-body ratio)",Panasonic T50,,"Midnight Blue, Rose Gold, Champagne Gold",IPS LCD,,,131.7 x 66.3 x 8.8 mm (5.19 x 2.61 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,720p@30fps,"Li-Ion 1600 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),HSDPA 900 / 2100,"1, 3, 7, 8, 20, 40",5 MP,Up to 900 h,,Android 5.1 (Lollipop),Yes,"4.1, A2DP",,,,,About 200 EUR,,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,"13 MP, AF",145 g (5.11 oz),Qualcomm MSM8939 Snapdragon 615 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Up to 19 h,microSDHC (dedicated slot),,"HSPA, LTE Cat4 150/50 Mbps",No,,"2015, December. Released 2015, December",,GSM / HSPA / LTE,eMMC 4.5,,Panasonic,,Adreno 405,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-mark.jpg,"5.5 inches, 83.4 cm2(~71.3% screen-to-body ratio)",Panasonic Eluga Mark,,"Royal Gold, Metallic Grey",IPS LCD,,,152 x 77 x 8.2 mm (5.98 x 3.03 x 0.32 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",
LED flash,,24-bit/192kHz audio,"1, 3, 7, 8, 20",8 MP,,,Android 5.0 (Lollipop),"Yes, dual speakers","4.1, A2DP",,,,,About 270 EUR,,Yes,Dual SIM,,"13 MP, AF",141 g (4.97 oz),Qualcomm MSM8936 Snapdragon 610 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,No,,"HSPA, LTE",No,,"2015, September. Released 2015, October",,GSM / HSPA / LTE,,,Panasonic,,Adreno 405,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-switch.jpg,"5.5 inches, 83.4 cm2(~72.7% screen-to-body ratio)",Panasonic Eluga Switch,,Gunmetal Grey,IPS LCD,,,152.7 x 75.1 x 7.4 mm (6.01 x 2.96 x 0.29 in),32GB 2GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 850 / 900 / 1900 / 2100,,,1080p@30fps,"Li-Ion 2910 mAh, non-removable",,"Accelerometer, gyro, proximity, compass",
LED flash,Quad-core 1.0 GHz,,LTE,2 MP,,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,About 140 EUR,,Yes,Dual SIM,,"8 MP, AF",158 g (5.57 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"540 x 960 pixels, 16:9 ratio (~200 ppi density)",,microSDHC (dedicated slot),,"HSPA, LTE",No,,"2015, August. Released 2015, August",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l2.jpg,"5.5 inches, 83.4 cm2(~70.3% screen-to-body ratio)",Panasonic Eluga L2,,"Black, Gray",IPS LCD,,,153 x 77.5 x 8.6 mm (6.02 x 3.05 x 0.34 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.0 GHz,,LTE,2 MP,,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,About 120 EUR,,Yes,Dual SIM,,"8 MP, AF",135 g (4.76 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,"HSPA, LTE",No,,"2015, August. Released 2015, August",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i2.jpg,"5.0 inches, 68.9 cm2(~67.1% screen-to-body ratio)",Panasonic Eluga I2,,"Gold, Silver, Gray",IPS LCD,,,144.2 x 71.2 x 8.8 mm (5.68 x 2.80 x 0.35 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,ELUGA_I2,1080p@30fps,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.0 GHz Cortex-A53,,LTE 700 / 800 / 900 / 1700 / 1900 / 2300 / 2600,VGA,,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,About 100 EUR,,Yes,Dual SIM,,"5 MP, AF",-,Mediatek MT6735M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,microSDHC (dedicated slot),,"HSPA, LTE",No,,"2015, August. Released 2015, August",,GSM / HSPA / LTE,,,Panasonic,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/panasonic-t45.jpg,"4.5 inches, 55.8 cm2(~65.4% screen-to-body ratio)",Panasonic T45,,"White, Black",IPS LCD,,,130.6 x 65.3 x 9.5 mm (5.14 x 2.57 x 0.37 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,,Yes,"Li-Po 1800 mAh, removable",,"Accelerometer, proximity",
LED flash,Octa-core 1.5 GHz,,LTE,8 MP,Up to 900 h (3G),,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,About 160 EUR,,Yes,Dual SIM,,"13 MP, AF",147 g (5.19 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Up to 19 h (3G),microSDHC (dedicated slot),,"HSPA, LTE",No,,"2015, August. Released 2015, August",,GSM / HSPA / LTE,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-icon.jpg,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",Panasonic Eluga Icon,,Black,IPS LCD,,,152.3 x 76.4 x 8 mm (6.00 x 3.01 x 0.31 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 3500 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Octa-core 1.4 GHz,,,5 MP,Up to 375 h (3G),,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Yes,"4.0, A2DP",,,,,,,Yes,Dual SIM,,"13 MP, AF",-,,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 15 h 18 min (3G),microSDHC (dedicated slot),,HSPA,No,,"2015, July. Released 2015, July",,GSM / HSPA,,,Panasonic,,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-z.jpg,"5.0 inches, 68.9 cm2(~69.1% screen-to-body ratio)",Panasonic Eluga Z,,"Black, White",AMOLED,,,141.3 x 70.6 x 6.9 mm (5.56 x 2.78 x 0.27 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 2100,,,1080p@30fps,"Li-Po 2050 mAh, removable",,"Accelerometer, proximity",
LED flash,Quad-core 1.2 GHz Cortex-A53,eMMC 4.5,"3, 40",5 MP,,,Android 4.4.4 (KitKat),Yes,"4.0, A2DP",,,,,About 190 EUR,,Yes,Dual SIM,,"8 MP, AF",110 g (3.88 oz),Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDHC (dedicated slot),,"HSPA, LTE",No,,"2015, May. Released 2015, May",,GSM / HSPA / LTE,,,Panasonic,,Adreno 306,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l-4g.jpg,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",Panasonic Eluga L 4G,,Blue,IPS LCD,,,142 x 71 x 6.1 mm (5.59 x 2.80 x 0.24 in),8GB 1GB RAM,microUSB 2.0,,GPS,"FM radio, RDS",HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 2000 mAh, non-removable",,"Accelerometer, proximity",
LED flash,Octa-core 1.4 GHz Cortex-A7,,,5 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,,,,About 130 EUR,,Yes,Dual SIM,,"8 MP, AF",135 g (4.76 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,GSM 900 / 1800 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,microSDHC (dedicated slot),,HSPA,No,,"2015, June. Released 2015, June",,GSM / HSPA,,,Panasonic,,,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-s-mini.jpg,"4.7 inches, 60.9 cm2(~64.7% screen-to-body ratio)",Panasonic Eluga S mini,,"Black, White",IPS LCD,,,137.5 x 68.4 x 9.5 mm (5.41 x 2.69 x 0.37 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,"Li-Po 1980 mAh, non-removable",,Accelerometer,
LED flash,Quad-core 1.2 GHz Cortex-A53,eMMC 4.5,LTE 700 / 900 / 1800 / 2600,5 MP,,,Android 5.0 (Lollipop),Yes,"4.0, A2DP",,,,,About 220 EUR,,Yes,Micro-SIM,,"13 MP, AF",131 g (4.62 oz),Qualcomm MSM8916 Snapdragon 410 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,microSDHC (dedicated slot),,"HSPA, LTE",No,,"2015, February. Released 2015, February",,GSM / HSPA / LTE,,,Panasonic,To be confirmed,Adreno 306,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-u2.jpg,"5.0 inches, 68.9 cm2(~68.3% screen-to-body ratio)",Panasonic Eluga U2,,"Black, White",IPS LCD,,,141.5 x 71.3 x 8 mm (5.57 x 2.81 x 0.31 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,,1080p@30fps,"Li-Ion 2500 mAh, non-removable",,"Accelerometer, proximity, compass",
