,Features,CPU,Stand-by,4G bands,Single_1,Alert types,Loudspeaker,Bluetooth,Games,OS,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Battery (old),Browser,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,SAR,Brand,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Models,Video,Type_1,_4,Sensors,Java
"Audio player MP3, AAC, AAC+, SMF (MIDI)Video MP4, H.263 PlayerFile managerPhoto editingFlight modePC Sync",,,Up to 340 h,,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,Yes,No,,,,,,,No,,Mini-SIM,1.3 MP,92 g (3.25 oz),,"20 dialed, 20 received, 20 missed calls",Cancelled,No,,,GSM 900 / 1800 / 1900,,WAP 2.0,176 x 220 pixels (~148 ppi density),Up to 4 h,microSD (dedicated slot),"Yes, 384 kbps",,"2006, June",,GSM / UMTS,,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pu5000.gif,"1.9 inches, 11.4 cm2(~26.0% screen-to-body ratio)",Pantech PU-5000,,"SMS, MMS, Email, Instant Messaging",Silver black,"TFT, 260K colors",Yes,,95.7 x 45.6 x 21.6 mm (3.77 x 1.80 x 0.85 in),30MB,Proprietary,,No,No,UMTS 2100,,Yes,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
No,,,Up to 210 h,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,No,,,,,,,No,,Mini-SIM,VGA,83.4 g (2.93 oz),,"20 dialed, 20 received, 20 missed calls",Cancelled,No,,,GSM 900 / 1800 / 1900,,WAP 2.0,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Up to 2 h 10 min,No,,,"2006, June",,GSM,Video playerMotion JPEG recorderOrganizerPC Sync,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1600.gif,"1.5 inches, 7.3 cm2(~18.6% screen-to-body ratio)",Pantech PG-1600,,"SMS, MMS",Silver black,"STN, 65K colors",Yes,Class 10,89.8 x 43.5 x 18.6 mm (3.54 x 1.71 x 0.73 in),128MB 32MB RAM,No,No,No,"Stereo FM radio, RDS",,,No,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
GSM 850 / 1800 / 1900 - US version,,,Up to 110 h,,,"Vibration; Downloadable polyphonic, MP3 ringtones","Yes, with stereo speakers",1.1,No,,,,No,,"Audio player MP3, MIDI, i-melody",No,,Mini-SIM,VGA,88 g (3.10 oz),,"20 dialed, 20 received, 20 missed calls",Cancelled,No,,,GSM 900 / 1800 / 1900,,WAP 2.0,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",Up to 2.5 h,microSD (dedicated slot),,,"2006, June",,GSM,"Second external 1.06-inch CSTN display, 65K colors (96 x 96 pixels)",,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1800.gif,"1.8 inches, 10.0 cm2(~22.8% screen-to-body ratio)",Pantech PG-1800,,"SMS, MMS, Email, Instant Messaging",Silver black,"TFT, 260K colors",Yes,Class 10,95.5 x 46 x 18.5 mm (3.76 x 1.81 x 0.73 in),256MB 64MB RAM,1.1,No,No,No,,,Yes,Removable Li-Ion 720 mAh battery,,,Yes
No,,,,,,Vibration; Downloadable polyphonic ringtones,No,No,No,,,,,,,No,,Mini-SIM,,75.2 g (2.65 oz),,"10 dialed, 10 received, 10 missed calls",Cancelled,No,,,GSM 900 / 1800 / 1900,,WAP,,,No,,,"2006, June",,GSM,"Document viewer (Word, Excel, PowerPoint, PDF)Voice schedulerFatness checkerPC syncOrganizer",,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1300.gif,1.5 inches,Pantech PG-1300,,"SMS, MMS",Black,"CSTN, 65K colors",Yes,Class 10,89.9 x 44 x 18.9 mm (3.54 x 1.73 x 0.74 in),128MB 64MB RAM,No,No,No,No,,,,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
No,LED flash,,Up to 220 h,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,"2.0, A2DP",Yes,,,,,,,No,,Mini-SIM,2 MP,92 g (3.25 oz),,"20 dialed, 20 received, 20 missed calls",Cancelled,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0,176 x 220 pixels (~148 ppi density),Up to 4 h 20 min,microSD (dedicated slot),,,"2006, Q2",,GSM,"MP3/AAC/AAC+/MP4 playerDocument viewer (Word, Excel, PowerPoint, PDF)Photo editingPictbridgeFlight modePC syncVoice memoOrganizer",,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg3900.gif,"1.9 inches, 11.4 cm2(~30.1% screen-to-body ratio)",Pantech PG-3900,,"SMS, EMS, MMS, Email",Silver black,"TFT, 260K colors",Yes,Class 10,90 x 42 x 16.9 mm (3.54 x 1.65 x 0.67 in),64MB,Proprietary,No,No,No,,,Yes,Removable Li-Ion 570 mAh battery,,,"Yes, MIDP 2.0"
,,,Up to 160 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,No,Yes,,,,MP3 playerPredictive text inputOrganizerVoice memo,,,No,,Mini-SIM,VGA,80 g (2.82 oz),,"20 dialed, 20 received, 20 missed calls",Cancelled,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",Up to 2 h 30 min,microSD (dedicated slot),,,"2006, May",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1900.gif,"1.6 inches, 28 x 28 mm, 8.3 cm2(~18.4% screen-to-body ratio)",Pantech PG-1900,,"SMS, MMS, Email",Silver black,"STN, 65K colors","800 x 8 fields, Photo call",Class 10,103 x 43.5 x 13.5 mm (4.06 x 1.71 x 0.53 in),,1.1,No,No,FM radio,,,Yes,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
Second external 65K colors CSTN display (96 x 96 pixels),,,Up to 210 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,1.2,Yes,,,,Text To SpeechMP3 playerPredictive text inputOrganizerVoice memo,,,No,,Mini-SIM,1.3 MP,80 g (2.82 oz),,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 3 h 30 min,microSD (dedicated slot),,,"2006, May",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg2800.gif,"2.0 inches, 12.6 cm2(~31.1% screen-to-body ratio)",Pantech PG-2800,,"SMS, EMS, MMS, Email","Black, Silver","TFT, 256K colors","800 entries, Photo call",Class 10,90 x 45 x 18.5 mm (3.54 x 1.77 x 0.73 in),24MB,Proprietary,No,No,No,,,Yes,Removable Li-Ion 800 mAh battery,,Fingerprint (front-mounted),"Yes, MIDP 2.0"
,,,Up to 180 h,,,"Vibration; Polyphonic(64), MP3 ringtones",Yes,"2.0, A2DP",Yes,,,,MP3 playerTouch wheel sensorOrganizerVoice memoPhoto EditorVideo EditorFatness Checker,,,No,,Mini-SIM,1.3 MP,94.2 g (3.32 oz),,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels,Up to 4 h 30 min,microSD (dedicated slot),,,"2006, February",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg3600v.gif,,Pantech PG-3600V,,"SMS, MMS, Email","Black, Pink","TFT, 256K colors",Yes,Class 10,102.3 x 46.6 x 17.9 mm (4.03 x 1.83 x 0.70 in),32MB,Proprietary,No,No,No,,,Yes,Removable Li-Ion 800 mAh battery,,,"Yes, MIDP 2.0"
,LED flash,,Up to 230 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,2.0,Yes,,,Up to 160 h,MP3 playerPredictive text inputOrganizerVoice memo,,,No,,Mini-SIM,1.3 MP,75 g (2.65 oz),,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,Up to 3 h 20 min,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels,Up to 4 h 30 min,microSD (dedicated slot),,,"2005, Q4",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg3600.gif,,Pantech PG-3600,,"SMS, EMS, MMS, Email",Black,"TFT, 256K colors","800 entries, Photo call",Class 10,94.9 x 43.2 x 16.8 mm (3.74 x 1.70 x 0.66 in),22MB,Proprietary,No,No,No,,,Yes,Removable Li-Po 800 mAh battery,,,"Yes, MIDP 2.0"
Second external 65K colors TFT display (96 x 128 pixels),LED flash,,Up to 230 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,2.0,Yes,,,,MP3 playerPredictive text inputOrganizerVoice memo,,,No,,Mini-SIM,1.3 MP,75 g (2.65 oz),,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels,Up to 4 h 30 min,microSD (dedicated slot),,,"2005, Q4",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg3500.gif,,Pantech PG-3500,,"SMS, EMS, MMS",Black,"TFT, 256K colors","800 entries, Photo call",Class 10,92.7 x 45 x 16.4 mm (3.65 x 1.77 x 0.65 in),22MB,Proprietary,No,No,No,,,Yes,Removable Li-Po 800 mAh battery,,,"Yes, MIDP 2.0"
No,,,Up to 190 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,No,Yes,,,,,,,No,,Mini-SIM,,75 g (2.65 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels,Up to 4 h,No,,,"2005, Q3",,GSM,Predictive text inputOrganizerVoice memo,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1500.gif,,Pantech PG-1500,,"SMS, EMS, MMS",Black,"CSTN, 65K colors","800 entries, Photo call",Class 10,90.7 x 44.6 x 15.9 mm (3.57 x 1.76 x 0.63 in),2.2MB,Proprietary,No,No,No,,,,Removable Li-Ion 790 mAh battery,,,"Yes, MIDP 2.0"
No,LED flash,,Up to 200 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,1.2,Yes,,,,,,,No,,Mini-SIM,2 MP,106 g (3.74 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"320 x 240 pixels, 4:3 ratio (~200 ppi density)",Up to 3 h 30 min,RS-MMC,,,"2005, Q4",,GSM,MP3/AAC/MP4 playerPredictive text inputOrganizerVoice memo,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg8000.gif,"2.0 inches, 40 x 30 mm, 12.4 cm2(~24.0% screen-to-body ratio)",Pantech PG-8000,,"SMS, EMS, MMS, Email",Black,"TFT, 256K colors","800 entries, Photo call",Class 10,99.8 x 51.8 x 16.1 mm (3.93 x 2.04 x 0.63 in),8.4MB,,No,No,FM radio,,,Yes,Removable Li-Ion 820 mAh battery,,,"Yes, MIDP 2.0"
"Second external TFT display, 65K colors (96 x 128 pixels)Fingerprint identification",LED flash,,Up to 160 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,"1.2, A2DP",Yes,,,Up to 230 h,Voice recognitionMP3/AAC/AAC+/AMR playerPredictive text inputOrganizer,,,No,,Mini-SIM,2 MP,92 g (3.25 oz),,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,Up to 3 h 30 min,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels (~148 ppi density),Up to 3 h,microSD (dedicated slot),,,"2006, February",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg6200.gif,"1.9 inches, 30 x 37 mm, 11.4 cm2(~30.0% screen-to-body ratio)",Pantech PG-6200,,"SMS, EMS, MMS, Email","Silver black, Black","TFT, 256K colors","800 x 10 fields, Photo call",Class 10,87 x 43.6 x 20.9 mm (3.43 x 1.72 x 0.82 in),,Proprietary,No,No,FM radio,,,320p,Removable Li-Ion 570 mAh battery,,,"Yes, MIDP 2.0"
No,LED flash,,Up to 200 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,1.2,Yes,,,,,,,No,,Mini-SIM,2 MP,115 g (4.06 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels,Up to 3 h 30 min,RS-MMC,,,"2005, Q3",,GSM,Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg6100.gif,,Pantech PG-6100,,"SMS, EMS, MMS, Email, Instant Messaging",Silver,"TFT, 256K colors","1000 entries, Photo call",Class 10,82 x 47.5 x 25 mm (3.23 x 1.87 x 0.98 in),,Proprietary,No,No,FM radio,,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
No,,,Up to 240 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,No,Yes,,,,,,,No,,Mini-SIM,VGA,75 g (2.65 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 4 h,No,,,"2005, Q3",,GSM,Predictive text inputOrganizerVoice memo,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1400.gif,,Pantech PG-1400,,"SMS, EMS, MMS, Email","Black, Silver","CSTN, 65K colors","800 x 6 fields, Photo call",Class 10,103 x 42.5 x 12.8 mm (4.06 x 1.67 x 0.50 in),3MB,Proprietary,No,No,FM radio,,,Yes,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
Second external 65K colors CSTN display (96 x 64 pixels),,,Up to 270 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,No,Yes,,,,Predictive text inputOrganizerVoice memo,,,No,,Mini-SIM,VGA,91.5 g (3.21 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h 50 min,No,,,"2005, Q2",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1200.gif,,Pantech PG-1200,,"SMS, EMS, MMS","Dark Blue, Silver","CSTN, 65K colors","800 x 6 fields, Photo call, 10 Groups",Class 10,90 x 45.5 x 23.3 mm (3.54 x 1.79 x 0.92 in),,Proprietary,No,No,No,,,Yes,Removable Li-Ion 700 mAh battery,,,"Yes, MIDP 2.0"
Second external 256K colors TFT display (96 x 64 pixels),LED flash,,Up to 160 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,No,Yes,,,,Predictive text inputOrganizerVoice memo,,,No,,Mini-SIM,VGA,70 g (2.47 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 2 h 20 min,No,,,"2005, Q2",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg3200.gif,,Pantech PG-3200,,"SMS, EMS, MMS","Black, Silver, Navy, Red","TFT, 256K colors","800 x 6 fields, Photo call, 10 Groups",Class 10,70 x 43 x 18 mm (2.76 x 1.69 x 0.71 in),3.5MB,Proprietary,No,No,No,,,No,Removable Li-Ion 760 mAh battery,,,"Yes, MIDP 2.0"
Second external mono display (96 x 64 pixels),,,Up to 150 h,,,Vibration; Polyphonic(16) ringtones,No,No,Yes,,,,Predictive text inputOrganizer,,,No,,Mini-SIM,,80 g (2.82 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h,No,,,"2005, Q2",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1000s.gif,,Pantech PG-1000s,,"SMS, EMS, MMS","Black, Blue, Silver","TFT, 65K colors",500 entries,Class 8,82 x 42 x 23.3 mm (3.23 x 1.65 x 0.92 in),,Proprietary,No,No,No,,,,Removable Li-Ion 670 mAh battery,,,No
Second external 256K colors TFT display (128 x 160 pixels),LED flash,,Up to 150 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,No,Yes + downloadable,,,,Predictive text inputOrganizerStopwatchVoice memo,,,No,,Mini-SIM,1.3 MP,83 g (2.93 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h,No,,,"2005, Q1",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-gf500.gif,,Pantech GF500,,"SMS, EMS, MMS",2 - Silver Blue and Silver Black,"TFT, 256K colors","800 entries, Photo call",Class 10,89 x 46 x 22 mm (3.50 x 1.81 x 0.87 in),8.4MB,,No,No,No,,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
No,LED flash,,Up to 200 h,,,"Vibration; Polyphonic(64), MP3 ringtones",No,No,Yes + downloadable,,,,,,,No,,Mini-SIM,1.3 MP,99 g (3.49 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h 20 min,No,,,"2005, Q1",,GSM,Predictive text inputOrganizerStopwatchVoice memo,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pantech-pg3000.gif,,Pantech PG3000,,"SMS, EMS, MMS","Black, Silver","TFT, 256K colors","800 x 8 fields, Photo call",Class 10,87 x 42 x 22 mm (3.43 x 1.65 x 0.87 in),8.4MB,,No,No,No,,,Yes,Removable Li-Ion 850 mAh battery,,,"Yes, MIDP 2.0"
Second external 65K colors STN display  (96 x 64 pixels),,,Up to 300 h,,,Vibration; Polyphonic(64) ringtones,No,No,Yes,,,,3D sound,,Predictive text inputOrganizerStopwatchVoice memo,No,,Mini-SIM,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"128 x 128 pixels, 1:1 ratio",Up to 2 h 30 min,No,,,"2005, Q1",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pthgf100.gif,,Pantech GF100,,"SMS, EMS, MMS",,"STN, 65K colors",1000 entries,Class 10,82 x 44 x 22.5 mm (3.23 x 1.73 x 0.89 in),1.8MB,,No,No,No,,,,Removable Li-Ion 680 mAh battery,,,Yes
Second external 256K colors TFT display  (128 x 160 pixels),,,Up to 200 h,,,Vibration; Polyphonic(64) ringtones,No,No,Yes,,,,Predictive text inputOrganizerStopwatchVoice memo,,,No,,Mini-SIM,VGA,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,128 x 160 pixels,Up to 3 h 30 min,No,,,"2004, Q4",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pthg670.gif,,Pantech G670,,"SMS, EMS, MMS",Gray,"TFT, 256K colors","1000 entries, Photo call",Class 10,80 x 40 x 21 mm (3.15 x 1.57 x 0.83 in),1.8MB,,No,No,No,,,Yes,Removable Li-Ion battery,,Thermometer,Yes
External 256K colors TFT (128 x 160 pixels)ScreensaverDownloadable logos,LED flash,,Up to 90 h,,,Vibration; Downloadable polyphonic ringtones,No,No,Yes,,,,Predictive text inputVoice memo(max 30 sec)OrganizerStopwatch,,,No,,Mini-SIM,1.3 MP,82 g (2.89 oz),,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,128 x 160 pixels,Up to 3 h,No,,,"2004, Q2",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pthgi100.gif,,Pantech GI100,,"SMS, EMS, MMS","B.Silver, P.Silver","TFT, 256K colors","800 entries, Photo call",Class 10,82 x 40 x 22 mm (3.23 x 1.57 x 0.87 in),13.5MB,,No,No,No,,,Yes,Removable Li-Ion 780 mAh battery,,Fingerprint (front-mounted),"Yes, MIDP 1.0"
External 256K colors TFT (128 x 160 pixels)Downloadable logos,LED flash,,Up to 200 h,,,Vibration; Downloadable polyphonic ringtones,"Yes, with stereo speakers",No,Yes,,,,Predictive text inputVoice memoOrganizer,,,No,,Mini-SIM,VGA,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 1.2.1,128 x 160 pixels,Up to 3 h 30 min,No,,,"2004, Q2",,GSM,No,,Pantech,,https://fdn2.gsmarena.com/vv/bigpic/pthgf200.gif,,Pantech GF200,,"SMS, EMS, MMS",,"TFT, 256K colors","800 entries, Photo call",Class 10,81 x 42 x 22 mm (3.19 x 1.65 x 0.87 in),8.4MB,,No,No,No,,,Yes,Removable Li-Ion 820 mAh battery,,,Yes
