,256GB 12GB RAM,Dimensions,Camera,Model Image,Type_1,Build,Battery (old),_1,512GB 12GB,Model Name,Models,Loudspeaker_1,Card slot,Brand,256GB 8GB,Speed,SAR,Quad,Sensors,Video_1,Charging,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,64GB 4GB RAM,_3,2G bands,3.5mm jack,Video,NFC,Triple,4G bands,Features,Features_1,128GB 6GB RAM,Price,Display,Single_1,Type,256GB 8GB RAM,Chipset,64GB 3GB RAM,WLAN,128GB 8GB RAM,3G bands,Size,Single,Bluetooth,Radio,USB,Protection,Dual,Status,Internal,Performance,OS,Colors,128GB 4GB RAM,Battery (new),5G bands,512GB 12GB RAM,Weight,Infrared port,Resolution
,,163.9 x 75.5 x 8.5 mm (6.45 x 2.97 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-10c.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Spark 10C,"KI5k, KI5m",,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,18W wired,,Mali-G57 MP1,"2023, March 23",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, HDR, panorama",Dual-LED flash,,$ 99.00,,"8 MP, (wide)","IPS LCD, 90Hz",,Unisoc T606 (12 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",$ 99.00,HSDPA 850 / 900 / 2100,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)","16 MP, (wide), PDAF0.08 MP (auxiliary lens)",Yes,FM radio,USB Type-C 2.0,,,"Available. Released 2023, March 29","128GB 4GB RAM, 128GB 8GB RAM",,"Android 12, HIOS 8.6","Black, Blue, Green",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
,,163.9 x 75.4 x 8.4 mm (6.45 x 2.97 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark10.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Spark 10,KI5q,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,18W wired,,PowerVR GE8320,"2023, March 23",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes,,LTE,"Dual-LED flash, HDR, panorama",Dual-LED flash,,€ 159.30 / $ 109.00 / £ 137.39,,"8 MP, (wide)","IPS LCD, 90Hz",,Mediatek MT6765 Helio G37 (12 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",€ 159.30,HSDPA 850 / 900 / 2100,"6.6 inches, 104.6 cm2(~84.7% screen-to-body ratio)","50 MP, (wide), 0.7µm, PDAF0.08 MP (auxiliary lens)",Yes,FM radio,USB Type-C 2.0,,,"Available. Released 2023, April",128GB 8GB RAM,,"Android 13, HIOS 12","Black, Blue, White, Skin Orange",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
,,168.4 x 76.2 x 8.4 mm (6.63 x 3.00 x 0.33 in),Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark10-pro-.jpg,5000 mAh,"Glass front, plastic frame, glass back",Endurance rating 131h,,,Tecno Spark 10 Pro,KI7,-29.2 LUFS (Average),microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity, compass","1440p@30fps, 1080p@30fps",18W wired,,Mali-G52 MC2,"2023, March 06",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,"Dual-LED flash, HDR, panorama",Dual-LED flash,,€ 151.34,"1991:1 contrast ratio, 521 nits max brightness (measured)","32 MP, (wide)","IPS LCD, 90Hz",€ 159.99,Mediatek MT6769H Helio G88 (12 nm),,Wi-Fi 802.11 b/g/n,€ 151.34,HSDPA 850 / 900 / 2100,"6.8 inches, 109.3 cm2(~85.1% screen-to-body ratio)","50 MP, f/1.6, (wide), PDAF0.08 MP (auxiliary lens)","5.3, A2DP, LE",FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2023, March 22","128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","AnTuTu: 249938 (v9)GeekBench: 1358 (v5.1), 1376 (v6)GFXBench: 8.1fps (ES 3.1 onscreen)","Android 13, HIOS 12.6","Starry Black, Pearl White",,,,,208 g (7.34 oz),,1080 x 2460 pixels (~396 ppi density)
"Cover display:LTPO AMOLED, 1B colors, 120Hz, 1100 nits (peak), Corning Gorilla Glass Victus6.42 inches, 1080 x 2550 pixels, 431 PPI",,Unfolded: 159.4 x 140.4 x 6.9 mmFolded: 159.4 x 72 x 14.2-14.5 mm,Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-v-fold.jpg,5000 mAh,"Glass front folded (Gorilla Glass Victus), plastic back, aluminum frame",Endurance rating 92h,UFS 3.1,,Tecno Phantom V Fold,AD10,-24.3 LUFS (Very good),No,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@60fps,"45W wired, 40% in 15 min, 100% in 55 min",,Mali-G710 MC10,"2023, February 28",Octa-core (1x3.20 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),"GPS, GLONASS, GALILEO, BDS",GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,No,"4K@30fps, 1080p@30/60fps",Yes,"50 MP, f/1.9, (wide), 1/1.3"", 1.2µm, PDAF50 MP, f/2.0, (telephoto), 1/2.8"", 0.64µm, PDAF, 2x optical zoom13 MP, f/2.2, 120˚ (ultrawide), 1/3.0"", 1.12µm, PDAF",LTE,"Dual-LED flash, HDR, panorama",,,About 1030 EUR,492 nits max brightness (measured),,"Foldable LTPO AMOLED, 1B colors, 120Hz, 1100 nits (peak)",,Mediatek Dimensity 9000+ (4 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"7.85 inches, 196.9 cm2(~88.0% screen-to-body ratio)","16 MP, f/2.5, (wide), 1/2.8"", 1.12µmCover camera:32 MP, f/2.5, (wide), 1/2.8"", 0.8µm","5.2, A2DP, LE","FM radio, recording","USB Type-C, OTG",,,"Available. Released 2023, April 12","256GB 12GB RAM, 512GB 12GB RAM","AnTuTu: 999348 (v9)GeekBench: 3963 (v5.1), 3748 (v6)GFXBench: 45fps (ES 3.1 onscreen)","Android 13, HiOS 13 Fold","Black, White",,,SA/NSA,,299 g (10.55 oz),,2000 x 2296 pixels (~388 ppi density)
eMMC 5.1,,163.9 x 75.5 x 8.9 mm (6.45 x 2.97 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop-7-pro--.jpg,5000 mAh,"Glass front, plastic back, plastic frame",,,,Tecno Pop 7 Pro,"BF7, BF7h",,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,10W wired,,PowerVR GE8320,"2023, January 28",Quad-core 2.0 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, panorama, HDR",,,About 130 EUR,,,IPS LCD,,Mediatek MT6761 Helio A22 (12 nm),,Wi-Fi 802.11 b/g/n,,HSDPA 900 / 2100,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)",5 MP,"5.0, A2DP, LE",FM radio,USB Type-C 2.0,,"13 MP, (wide), AFQVGA","Available. Released 2023, January 28",64GB 3GB RAM,,"Android 12, HIOS 12","Turquoise Cyan, Atlantic Blue",,,,,-,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)"
eMMC 5.1,,163.9 x 75.5 x 8.9 mm (6.45 x 2.97 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-go-2023.jpg,5000 mAh,,,,,Tecno Spark Go 2023,BF7n,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,10W wired,,PowerVR GE8320,"2023, January 19",Quad-core 2.0 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Unspecified,,LTE,"Dual-LED flash, panorama, HDR",,,"€ 104.65 / ₹ 7,999",,,IPS LCD,,Mediatek MT6761 Helio A22 (12 nm),€ 104.65,Wi-Fi 802.11 b/g/n,,HSDPA 900 / 2100,"6.6 inches, 104.4 cm2(~84.4% screen-to-body ratio)",5 MP,"5.0, A2DP, LE",FM radio,"USB Type-C 2.0, OTG",,"13 MP, f/1.9, (wide), AFQVGA","Available. Released 2023, January 24","32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",,"Android 12, HIOS 12","Endless Black, Nebula Purple, Uyuni Blue, Skin Orange",,,,,-,,"720 x 1600 pixels, 20:9 ratio (~267 ppi density)"
UFS 3.1,,164.6 x 72.7 x 9 mm (6.48 x 2.86 x 0.35 in),Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-x2-pro.jpg,5160 mAh,"Glass front (Gorilla Glass Victus), aluminum frame, plastic back",Endurance rating 109h,,,Tecno Phantom X2 Pro,AD9,-29.3 LUFS (Average),No,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@30fps,"45W wired, 54% in 20 min, 100% in 60 min",,Mali-G710 MC10,"2022, December 07",Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),GPS,GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,No,"4K@30/60fps, 1080p@30fps",Yes,"50 MP, f/1.9, (wide), 1/1.3"", 1.2µm, PDAF50 MP, f/1.5, 65mm (telephoto), 1/2.7"", 0.64µm, PDAF, 2.5x optical zoom, retractable lens13 MP, f/2.2, (ultrawide), 1/1.3"", 1.12µm, AF","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66","LED flash, panorama, HDR",LED flash,,,505 nits max brightness (measured),,"AMOLED, 120Hz, 500 nits",,Mediatek Dimensity 9000 (4 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.8 inches, 111.6 cm2(~93.3% screen-to-body ratio)","32 MP, f/2.5, (wide), 1/2.8"", 0.8µm","5.3, A2DP, LE","FM radio, recording","USB Type-C 2.0, OTG",Corning Gorilla Glass Victus,,"Available. Released 2023, January 17",256GB 12GB RAM,AnTuTu: 961576 (v9)GeekBench: 3984 (v5.1)GFXBench: 71fps (ES 3.1 onscreen),"Android 12, HIOS 12","Stardust Gray, Mars Orange",,,"1, 3, 8, 28, 38, 40, 41, 71, 77, 78, 79 SA/NSA/Sub6",,201 g (7.09 oz),,"1080 x 2400 pixels, 20:9 ratio (~387 ppi density)"
UFS 3.1,,164.6 x 72.7 x 8.9 mm (6.48 x 2.86 x 0.35 in),Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-phantom-x2.jpg,5160 mAh,"Glass front (Gorilla Glass Victus), aluminum frame, plastic back",Endurance rating 110h,,,Tecno Phantom X2,AD8,-26.8 LUFS (Good),No,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",1080p@30fps,"45W wired, 54% in 20 min, 100% in 60 min",,Mali-G710 MC10,"2022, December 07",Octa-core (1x3.05 GHz Cortex-X2 & 3x2.85 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),GPS,GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,No,"4K@30/60fps, 1080p@30fps",Yes,"64 MP, f/1.7, (wide), PDAF, OIS13 MP, f/2.2, (ultrawide), 1/1.3"", 1.12µm, AF2 MP","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41, 66","LED flash, panorama, HDR",LED flash,,About 460 EUR,710 nits max brightness (measured),,"AMOLED, 120Hz",,Mediatek Dimensity 9000 (4 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"6.8 inches, 111.6 cm2(~93.3% screen-to-body ratio)","32 MP, f/2.5, (wide)","5.3, A2DP, LE","FM radio, recording","USB Type-C 2.0, OTG",Corning Gorilla Glass Victus,,"Available. Released 2023, January 09",256GB 8GB RAM,AnTuTu: 973623 (v9)GeekBench: 4027 (v5.1)GFXBench: 71fps (ES 3.1 onscreen),"Android 12, HIOS 12","Stardust Gray, Moonlight Silver",,,"1, 3, 8, 28, 38, 40, 41, 71, 77, 78, 79 SA/NSA/Sub6",,203 g (7.16 oz),,"1080 x 2400 pixels, 20:9 ratio (~387 ppi density)"
,,170.6 x 77.5 x 8.7 mm (6.72 x 3.05 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova4.jpg,6000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Pova 4,LG7n,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,18W wired,,Mali-G57 MC2,"2022, October 10",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,Dual LED flash,LED flash,,,,8 MP,"IPS LCD, 90Hz",,Mediatek Helio G99 (6 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.82 inches, 112.3 cm2(~84.9% screen-to-body ratio)","50 MP, (wide), PDAF0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, October 10",128GB 8GB RAM,,"Android 12, HIOS 12","Cryolite Blue, Uranolith Grey",,,,,214 g (7.55 oz),,"720 x 1600 pixels, 20:9 ratio (~257 ppi density)"
24-bit/192kHz Hi-Res audio,,164.8 x 77 x 9.2 mm (6.49 x 3.03 x 0.36 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova4-pro.jpg,6000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Pova 4 Pro,LG8n,,No,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,45W wired,,Mali-G57 MC2,"2022, October 10",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1440p@30fps, 1080p@30fps",Yes,,LTE,Dual LED flash,LED flash,,,,8 MP,"AMOLED, 90Hz",,Mediatek Helio G99 (6 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.66 inches, 105.3 cm2(~83.0% screen-to-body ratio)","50 MP, (wide), PDAF0.08 MP (auxiliary lens)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, October 10",256GB 8GB RAM,,"Android 12, HIOS",Fluorite Blue,,,,,-,,1080 x 2460 pixels (~403 ppi density)
,,170.9 x 77.8 x 9.6 mm (6.73 x 3.06 x 0.38 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-neo2.jpg,7000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Pova Neo 2,LG6n,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity, compass",Yes,18W wired,,Mali-G52 MC2,"2022, September 26",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"GPS, GLONASS",GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,Yes (LG6n only),,LTE,"Dual-LED flash, HDR, panorama",LED flash,,About 240 EUR,,,"IPS LCD, 90Hz",,Mediatek MT6769Z Helio G85 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.82 inches, 110.5 cm2(~83.1% screen-to-body ratio)",8 MP,Yes,FM radio,"USB Type-C 2.0, OTG",,"16 MP, (wide), AFSecondary unknown camera","Available. Released 2022, October 03","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,"Android 12, HIOS 8.6","Uranolite Gray, Virtual Blue, Orange Magma",,,,,-,,720 x 1640 pixels (~263 ppi density)
Splash resistant,,170.8 x 77.9 x 9.5 mm (6.72 x 3.07 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-neo-5g.jpg,6000 mAh,"Glass front, plastic frame, plastic back",,,,Tecno Pova Neo 5G,LE6j,,microSDXC (dedicated slot),Tecno,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, 5G",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1440p@30fps,18W wired,,Mali-G57 MC2,"2022, September 23",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1440p@30fps,No,,LTE,"Quad-LED flash, HDR, panorama","Dual-LED flash, HDR",,About 190 EUR,,,"IPS LCD, 120Hz, 500 nits",,Mediatek Dimensity 810 (6 nm),,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,"6.8 inches, 109.8 cm2(~82.5% screen-to-body ratio)",8 MP,"5.0, A2DP, LE",FM radio,"USB Type-C 2.0, OTG",,"50 MP, (wide), AFQVGA","Available. Released 2022, September 26",128GB 4GB RAM,,"Android 12, HIOS 8.6","Sprint Blue, Sapphire Black",,,SA/NSA,,-,,1080 x 2460 pixels (~395 ppi density)
Splash resistant,,164.9 x 76.3 x 8.8 mm (6.49 x 3.00 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop6-pro.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,eMMC 5.1,,Tecno Pop 6 Pro,BE8,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity",,,,PowerVR GE8320,"2022, September 17",Quad-core 2.0 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, HDR",LED flash,,About 80 EUR,,,"IPS LCD, 480 nits (peak)",,Mediatek MT6761 Helio A22 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.56 inches, 103.4 cm2(~82.2% screen-to-body ratio)",5 MP,Yes,FM radio,"microUSB 2.0, OTG",,"8 MP, f/2.0QVGA","Available. Released 2022, September 28",32GB 2GB RAM,,"Android 12 (Go edition), HiOS 8.6","Peaceful Blue, Polar Black",,,,,195 g (6.88 oz),,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)"
Splash resistant design,,164.5 x 76.1 x 8.9 mm (6.48 x 3.00 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-9t-india.jpg,5000 mAh,"Glass front, plastic frame, plastic back",,eMMC 5.1,,Tecno Spark 9T (India),,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity",1080p@30fps,18W wired,,PowerVR GE8320,"2022, July 28",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),GPS,GSM / HSPA / LTE,"Yes, with stereo speakers",Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"50 MP, f/1.6, 27mm (wide), AF2 MP, f/2.4, (depth)QVGA, f/2.0",LTE,"Quad-LED flash, HDR",Dual-LED flash,,About 120 EUR,,,"IPS LCD, 500 nits",,Mediatek MT6765G Helio G35 (12 nm),,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,HSDPA 850 / 900 / 2100,"6.6 inches, 104.9 cm2(~83.8% screen-to-body ratio)","8 MP, (wide)",Yes,FM radio,"microUSB 2.0, OTG",,,"Available. Released 2022, August 06",64GB 4GB RAM,,"Android 11, HIOS 7.6","Turquoise Cyan, Atlantic Blue, Iris Purple, Tahiti Gold",,,,,-,,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)"
,,164.6 x 76 x 9 mm (6.48 x 2.99 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-9-.jpg,5000 mAh,,,,,Tecno Spark 9,KG5p,,microSDXC (dedicated slot),Tecno,,"HSPA, LTE",,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,,,PowerVR GE8320,"2022, July 18",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,,LTE,"Dual-LED flash, panorama, HDR",LED flash,,About 120 EUR,,"8 MP, (wide)","IPS LCD, 90Hz",,Mediatek MT6765V/CB Helio G37 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.6 inches, 105.2 cm2(~84.1% screen-to-body ratio)","13 MP, f/1.9, 27mm (wide), AF0.08 MP (auxiliary lens)",Yes,FM radio,"microUSB 2.0, OTG",,,"Available. Released 2022, August 15","64GB 3GB RAM, 64GB 4GB RAM, 128GB 6GB RAM",,"Android 12, HIOS 8.6","Infinity Black, Sky Mirror",,,,,-,,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)"
,,164.3 x 75.6 x 8.7 mm (6.47 x 2.98 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-9t-.jpg,5000 mAh,,,,,Tecno Spark 9T,KH6,,microSDXC,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,10W wired,,PowerVR GE8320,"2022, June 20",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,1080p@30fps,No,"13 MP, f/1.9, 27mm (wide), AF2 MP, f/2.4, (depth)QVGA, f/2.0",LTE,"Quad-LED flash, HDR",Dual-LED flash,,About 180 EUR,,,"IPS LCD, 90Hz",,Mediatek MT6765V/CB Helio G37 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.6 inches, 105.2 cm2(~84.7% screen-to-body ratio)","32 MP, (wide)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, July","64GB 4GB RAM, 128GB 4GB RAM",,"Android 12, HIOS 8.6","Quantum Black, Burano Blue, Particle Silver, Vitality Green",,,,,-,,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)"
,,166.7 x 74.3 x 8.6 mm (6.56 x 2.93 x 0.34 in),,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-19-pro-5g.jpg,5000 mAh,,,,,Tecno Camon 19 Pro 5G,CI7n,,Unspecified,Tecno,,"HSPA, LTE, 5G",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity",1080p@30fps,"33W wired, 100% in 65 min",,Mali-G57 MC2,"2022, June 15",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE / 5G,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1080p@30fps, HDR",Yes,"64 MP, f/1.6, 26mm (wide), 1/1.7"", 0.8µm, PDAF, OIS2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",LTE,"Quad-LED flash, panorama, HDR",HDR,,,,,"IPS LCD, 120Hz",,Mediatek Dimensity 810 (6 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.8 inches, 109.8 cm2(~88.7% screen-to-body ratio)","16 MP, f/2.0, (wide)",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, July 13","128GB 8GB RAM, 256GB 8GB RAM",,"Android 12, HIOS 8.6","Eco Black, Cedar Green",,,SA/NSA,,-,,1080 x 2460 pixels (~395 ppi density)
,,166.8 x 74.6 x 8.6 mm (6.57 x 2.94 x 0.34 in),Photo/Video,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-19-pro-.jpg,5000 mAh,"Glass front, plastic back, plastic frame",Endurance rating 121h,,,Tecno Camon 19 Pro,"CI8, CI8n",-28.7 LUFS (Average),No,Tecno,,"HSPA, LTE",,,"Fingerprint (side-mounted), accelerometer, gyro, proximity",1080p@30fps,"33W wired, 100% in 65 min",,Mali-G57 MC2,"2022, June 15",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),GPS,GSM / HSPA / LTE,Yes,Nano-SIM + Nano-SIM,,,GSM 850 / 900 / 1800 / 1900,Yes,"1080p@30fps, HDR",Yes,"64 MP, f/1.6, 26mm (wide), 1/1.7"", 0.8µm, PDAF, OIS50 MP, f/2.0, 50mm (telephoto), 1/2.76"", 0.64µm, PDAF, 2x zoom2 MP, f/2.4, (depth)",LTE,"Laser AF, Quad-LED flash, panorama, HDR",HDR,,About 200 EUR,"1597:1 contrast ratio, 479 nits max brightness (measured)",,"IPS LCD, 120Hz",,Mediatek MT6781 Helio G96 (12 nm),,Yes,,HSDPA 850 / 900 / 2100,"6.8 inches, 109.8 cm2(~88.2% screen-to-body ratio)","32 MP, f/2.4, 26mm (wide), 1/3.4"", 0.8µm",Yes,FM radio,"USB Type-C 2.0, OTG",,,"Available. Released 2022, July 13","128GB 8GB RAM, 256GB 8GB RAM",AnTuTu: 348546 (v9)GeekBench: 1734 (v5.1)GFXBench: 11fps (ES 3.1 onscreen),"Android 12, HIOS 8.6","Polar Blue, Eco Black, Mondrian",,,,,204 g (7.20 oz),,1080 x 2460 pixels (~395 ppi density)
