,Positioning,Quad,Single_1,4G bands,Java,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,Messaging,SAR EU,GPRS,Phonebook,3G bands,CPU,OS,USB,2G bands,Announced,Internal,Chipset,GPU,Status,3.5mm jack,Price,Music play,Features_1,Build,Games,NFC,EDGE,_3,_2,Model Name,SIM,Brand,Type,Technology,Size,Model Image,Weight,Call records,Keyboard,Infrared port,Colors,Resolution,Protection,Speed,Sensors,_4,Models,Radio,Bluetooth,SAR,Features,Browser,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
,GPS,,VGA,,,Up to 9 h,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Dual-core 1.3 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2014, April. Released 2014, April",8GB 1GB RAM,Mediatek MT6572 (28 nm),Mali-400,Discontinued,Yes,About 100 EUR,,,,,No,,,,Micromax A102 Canvas Doodle 3,Dual SIM,Micromax,TFT,GSM / HSPA,"6.0 inches, 99.2 cm2(~70.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-doodle-3-a102.jpg,202 g (7.13 oz),,,,"Blazing Blue, Pristine White","480 x 854 pixels, 16:9 ratio (~163 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,A102,FM radio,3.0,1.26 W/kg (head)     0.21 W/kg (body),LED flash,,166.4 x 84.5 x 9.8 mm (6.55 x 3.33 x 0.39 in),microSDHC,Yes,"Li-Ion 2500 mAh, removable","5 MP, AF",Up to 260 h
,No,,VGA,,,Up to 6 h,480p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,Yes,,,Quad-core 1.3 GHz Cortex-A7,Android 4.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,2014. Released 2014,512MB 256MB RAM,Mediatek MT6582 (28 nm),Mali-400MP2,Discontinued,Yes,About 50 EUR,,,,,No,Yes,,,Micromax A47 Bolt,Dual SIM,Micromax,IPS LCD,GSM,"4.0 inches, 45.5 cm2(~55.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-a47.jpg,-,,,,"Black, White","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,Accelerometer,,,FM radio,"4.0, A2DP",,LED flash,,125.3 x 65.5 x 12.3 mm (4.93 x 2.58 x 0.48 in),microSDHC,Yes,"Li-Ion 1600 mAh, removable",2 MP,Up to 160 h
No,No,,,,No,Up to 11 h,Yes,,,Audio/video player,,No,SMS,,Yes,300 entries,,,,Proprietary,GSM 900 / 1800 - SIM 1 & SIM 2,2013. Released 2013,,,,Discontinued,Yes,About 20 EUR,,,,Downloadable,No,No,,,Micromax X281,Dual SIM,Micromax,TFT,GSM,"2.4 inches, 17.8 cm2(~27.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-x281.jpg,260 g (9.17 oz),Yes,,,Gray,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,,FM radio,Yes,,,,124.8 x 53 x 15.9 mm (4.91 x 2.09 x 0.63 in),microSDHC (dedicated slot),Yes,"Li-Ion 2800 mAh, removable",VGA,Up to 545 h
Flashlight,No,,,,No,Up to 6 h,Yes,,,No,,No,SMS,,Yes,Yes,,,,Proprietary,GSM 900 / 1800 - SIM 1 & SIM 2,2013. Released 2013,,,,Discontinued,Yes,About 20 EUR,,,,Downloadable,No,No,,Audio/video player,Micromax X267,Dual SIM,Micromax,"TFT, 256K colors",GSM,"2.3 inches, 16.4 cm2(~26.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-x267.jpg,-,Yes,,,"Silver, Black","240 x 320 pixels, 4:3 ratio (~174 ppi density)",,,,,,FM radio,Yes,1.15 W/kg (head)     0.91 W/kg (body),,,120.5 x 52 x 14.3 mm (4.74 x 2.05 x 0.56 in),microSDHC (dedicated slot),Yes,"Li-Ion 1800 mAh, removable",VGA,Up to 400 h
No,No,,,,No,Up to 7 h,Yes,,,Audio/video player,,No,SMS,,Yes,500 entries,,,,1.1,GSM 900 / 1800 - SIM 1 & SIM 2,2013. Released 2013,,,,Discontinued,No,About 10 EUR,,,,Downloadable,No,No,,,Micromax X098,Dual SIM,Micromax,"TFT, 256K colors",GSM,"1.76 inches, 9.7 cm2(~19.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-x098.jpg,87.6 g (3.07 oz),Yes,,,Black,128 x 160 pixels (~116 ppi density),,,,,,FM radio,2.1,1.46 W/kg (head)     1.16 W/kg (body),,,108.3 x 46 x 16.9 mm (4.26 x 1.81 x 0.67 in),microSDHC (dedicated slot),Yes,"Li-Ion 1750 mAh, removable",Yes,Up to 480 h
,GPS,,2 MP,,,Up to 5 h,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.2 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,2014. Released 2014,"4GB (1.5GB user available), 1GB RAM",Broadcom BCM23550,Broadcom VideoCore IV,Discontinued,Yes,About 190 EUR,,,,,No,,,,Micromax A114R Canvas Beat,Dual SIM (Mini-SIM),Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-a114r.jpg,-,,,,Black/White,"540 x 960, 16:9 ratio (~220 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,"FM radio, recording","4.0, A2DP",,Dual-LED flash,,-,microSDHC (dedicated slot),Yes,"Li-Ion 1900 mAh, removable","8 MP, AF",Up to 150 h
No,No,,,,,Up to 4 h 30 min,480p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,1.0 GHz,Android 4.1.2 (Jelly Bean),microUSB,GSM 900 / 1800 - SIM 1 & SIM 2,2014. Released 2014,512MB 256MB RAM,Spreadtrum SC7710,,Discontinued,Yes,About 50 EUR,,,,,No,,,,Micromax A59 Bolt,Dual SIM (Mini-SIM),Micromax,TFT,GSM / HSPA,"3.5 inches, 36.5 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-a59-bolt.jpg,-,,,,Black,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,HSPA 7.2/5.76 Mbps,Accelerometer,,,FM radio,"2.1, EDR",1.16 W/kg (head)     0.61 W/kg (body),LED flash,,-,microSDHC (dedicated slot),Yes,"Li-Ion 1500 mAh, removable",1.3 MP,Up to 160 h
Flashlight,No,,VGA,,,Up to 4 h,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,1.01 W/kg (head)     1.19 W/kg (body),Class 12,,,1.0 GHz,Android 2.3 (Gingerbread),microUSB,GSM 900 / 1800 - SIM 1 & SIM 2,2014. Released 2014,512MB 256MB RAM,Spreadtrum SC6820,Mali-300,Discontinued,Yes,About 50 EUR,,,,,No,Yes,,,Micromax A36 Bolt,Dual SIM (Mini-SIM),Micromax,"TFT, 65K colors",GSM,"4.0 inches, 45.5 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-a36-bolt.jpg,-,,,,Black,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,,,,FM radio,"2.1, A2DP",,,,-,microSDHC (dedicated slot),Yes,"Li-Ion 1500 mAh, removable",2 MP,Up to 177 h
,No,,VGA,,,Up to 4 h,320p,,,,,Wi-Fi 802.11 b/g/n,,,Class 12,,,1.0 GHz Cortex-A5,Android 2.3 (Gingerbread),microUSB,GSM 900 / 1800 - SIM 1 & SIM 2,2014. Released 2014,512MB 256MB RAM,,Mali-300,Discontinued,Yes,About 40 EUR,,,,,No,Yes,,,Micromax A28 Bolt,Dual SIM (Mini-SIM),Micromax,"TFT, 65K colors",GSM,"3.5 inches, 36.5 cm2(~49.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a28-bolt.jpg,89 g (3.14 oz),,,,Black,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,,,,,"FM radio, recording","2.1, A2DP",,,,116.9 x 62.5 x 12.5 mm (4.60 x 2.46 x 0.49 in),microSDHC (dedicated slot),Yes,"Li-Ion 1500 mAh, removable",VGA,Up to 260 h
,"GPS, GLONASS",,8 MP,,,Up to 7 h 30 min,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Octa-core 1.7 GHz Cortex-A7,Android 4.4.2 (KitKat),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, January. Released 2014, March",32GB 2GB RAM,Mediatek MT6592T,Mali-450MP4,Discontinued,Yes,About 240 EUR,,,,,No,,,,Micromax A350 Canvas Knight,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a350.jpg,154 g (5.43 oz),,,,"Black, White/Gold, Black/Gold","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Corning Gorilla Glass,HSPA,"Accelerometer, gyro, proximity, compass",,,FM radio,"4.0, A2DP",,LED flash,,145 x 72 x 9 mm (5.71 x 2.83 x 0.35 in),No,Yes,"Li-Ion 2350 mAh, non-removable","16 MP, AF",Up to 175 h
,GPS,,5 MP,,,Up to 6 h 30 min,720p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,0.18 W/kg (head)     0.23 W/kg (body),,,HSDPA 2100,Quad-core 1.3 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2014, January. Released 2014, January","4GB (1.6 user available), 1GB RAM",Mediatek MT6582 (28 nm),Mali-400MP2,Discontinued,Yes,About 170 EUR,,,,,No,,,,Micromax Canvas Turbo Mini,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"4.7 inches, 60.9 cm2(~65.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a200.jpg,110 g (3.88 oz),,,,"Black, White, Blue","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity, compass",,,FM radio,"4.0, A2DP",,LED flash,,137.5 x 67.5 x 7.8 mm (5.41 x 2.66 x 0.31 in),microSDHC (dedicated slot),Yes,"Li-Ion 1800 mAh, non-removable","8 MP, AF",Up to 180 h
,GPS,,5 MP,,,Up to 5 h,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.2 GHz,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800,"2014, January. Released 2014, January","4GB (2.2GB user available), 512MB RAM",BCM23550,,Discontinued,Yes,About 100 EUR,,,,,No,,,,Micromax A94 Canvas MAd,"Dual SIM (Mini-SIM, dual stand-by)",Micromax,IPS LCD,GSM / HSPA,"4.5 inches, 55.8 cm2(~60.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a94.jpg,147 g (5.19 oz),,,,Black,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,FM radio,"4.0, A2DP",,LED flash,,138 x 67.3 x 9.7 mm (5.43 x 2.65 x 0.38 in),microSDHC (dedicated slot),Yes,"Li-Ion 1800 mAh, removable","5 MP, AF",Up to 150 h
,GPS,,5 MP,,,Up to 9 h 30 min,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.3 GHz,Android 4.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2014, January. Released 2014, January","4GB (2GB user available), 1GB RAM",,,Discontinued,Yes,About 170 EUR,,,,,No,,,,Micromax A119 Canvas XL,Dual SIM (Dual stand-by),Micromax,TFT,GSM / HSPA,"6.0 inches, 99.2 cm2(~71.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/Micromax-Canvas-XL-A119.jpg,180 g (6.35 oz),,,,White,"540 x 960, 16:9 ratio (~184 ppi density)",,HSPA,"Accelerometer, proximity",,,"FM radio, recording",2.1,,Dual-LED flash,,165 x 84.2 x 10.4 mm (6.50 x 3.31 x 0.41 in),microSDHC (dedicated slot),Yes,"Li-Ion 2450 mAh, removable","8 MP, AF",Up to 209 h
,GPS,,2 MP,,,Up to 7 h,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.3 GHz Cortex-A7,Android 4.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, December. Released 2013, December","4GB (2GB user available), 1GB RAM",Mediatek MT6582M (28 nm),Mali-400MP2,Discontinued,Yes,About 150 EUR,,,,,No,,,,Micromax A114 Canvas 2.2,Dual SIM (Mini-SIM),Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~65.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a114.jpg,147 g (5.19 oz),,,,Black,"540 x 960, 16:9 ratio (~220 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,"FM radio, recording","4.0, A2DP",,Dual-LED flash,,145 x 73 x 9.7 mm (5.71 x 2.87 x 0.38 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",Up to 290 h
,GPS,,VGA,,,Up to 4 h,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,1.0 GHz,Android 4.1 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2013, November. Released 2013, December",512MB 256MB RAM,Spreadtrum SC7710,,Discontinued,Yes,About 60 EUR,,,,,No,,,,Micromax A61 Bolt,Dual SIM,Micromax,TFT,GSM / HSPA,"4.0 inches, 45.5 cm2(~50.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a61.jpg,-,,,,Black,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,HSPA 7.2/5.76 Mbps,Accelerometer,,,"FM radio, recording","2.1, A2DP, EDR",,LED flash,,135 x 67 x 10 mm (5.31 x 2.64 x 0.39 in),microSDHC (dedicated slot),Yes,"Li-Ion 1500 mAh, removable",2 MP,Up to 160 h
,GPS,,VGA,,,Up to 10 h,720p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Dual-core 1.3 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2013, November. Released 2013, December",4GB 1GB RAM,Mediatek MT6572 (28 nm),Mali-400,Discontinued,Yes,About 90 EUR,,,,,No,,,,Micromax A77 Canvas Juice,Dual SIM,Micromax,TFT,GSM / HSPA,"5.0 inches, 68.9 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-juice-a77.jpg,-,,,,White,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,FM radio,"3.0, A2DP",,LED flash,,-,microSDHC (dedicated slot),Yes,"Li-Ion 3000 mAh, removable","5 MP, AF",Up to 282 h
,GPS,,2 MP,,,Up to 7 h,720p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.5 GHz Cortex-A7,Android 4.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, October. Released 2013, October","4GB (2.6GB user available), 1GB RAM",Mediatek MT6589T (28 nm),PowerVR SGX544MP2,Discontinued,Yes,About 180 EUR,,,,,No,,,,Micromax A117 Canvas Magnus,Dual SIM (Mini-SIM),Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~64.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-magnus.jpg,-,,,,"Black, White","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,HSPA 42.2/11.5 Mbps,"Accelerometer, gyro, proximity",,,FM radio,"4.0, A2DP",,LED flash,,144 x 74 x 9 mm (5.67 x 2.91 x 0.35 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","12 MP, AF",Up to 180 h
,GPS,,5 MP,,,Up to 7 h,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.5 GHz Cortex-A7,Android 4.2.1 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, October. Released 2013, October","16GB (12.5 user available), 2GB RAM",Mediatek MT6589T (28 nm),PowerVR SGX544MP2,Discontinued,Yes,About 240 EUR,,,,,No,,,,Micromax Canvas Turbo,Dual SIM (Micro-SIM),Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-turbo.jpg,-,,,,"Black, White","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,HSPA 42.2/11.5 Mbps,"Accelerometer, gyro, proximity, compass",,,FM radio,"4.0, A2DP",,LED flash,,-,No,Yes,"Li-Ion 2000 mAh, non-removable","13 MP, AF",Up to 105 h
,GPS,,2 MP,,,Up to 10 h,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.2 GHz Cortex-A7,Android 4.2.1 (Jelly Bean),microUSB 2.0,GSM 900 / 1800,"2013, September. Released 2013, September",16GB 1GB RAM,,PowerVR SGX544,Discontinued,Yes,About 170 EUR,,,,,No,,,,Micromax Canvas Tab P650,Yes,Micromax,IPS LCD,GSM / HSPA,"8.0 inches, 198.2 cm2(~63.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-p650.jpg,-,,,,"Black, White","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",,HSPA 42.2/5.76 Mbps,Accelerometer,,,"FM radio, recording","3.0, A2DP",,,,204 x 154 x 9.6 mm (8.03 x 6.06 x 0.38 in),microSDHC (dedicated slot),Yes,"Li-Ion 4800 mAh, non-removable","5 MP, AF",Up to 400 h
,GPS,,2 MP,,,Up to 6 h,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.2 GHz,Android 4.1.2 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, Q3. Released 2013, Q3",4GB 1GB RAM,,,Discontinued,Yes,About 140 EUR,,,,,No,,,,Micromax A113 Canvas Ego,Dual SIM (Mini-SIM),Micromax,TFT,GSM / HSPA,"4.7 inches, 60.9 cm2(~58.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-ego-canvas-ego-a113.jpg,-,,,,Black,"540 x 960 pixels, 16:9 ratio (~234 ppi density)",,HSPA 7.2/5.76 Mbps,"Accelerometer, proximity",,,FM radio,"3.0, A2DP",,LED flash,,143.4 x 72.4 x 9 mm (5.65 x 2.85 x 0.35 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","8 MP, AF",Up to 220 h
,GPS,,VGA,,,Up to 7 h,720p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Dual-core 1.2 GHz Cortex-A7,Android 4.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2013, Q3. Released 2013, Q3",4GB 512MB RAM,Mediatek MT6572 (28 nm),Mali-400,Discontinued,Yes,About 100 EUR,,,,,No,,,,Micromax A76,Dual SIM,Micromax,TFT,GSM / HSPA,"5.0 inches, 68.9 cm2",https://fdn2.gsmarena.com/vv/bigpic/micromax-a76.jpg,-,,,,"Black, White","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,FM radio,"2.0, A2DP",,LED flash,,-,microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable",5 MP,Up to 250 h
,GPS,,VGA,,,Up to 5 h,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Dual-core 1.3 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2013, September. Released 2013, September",4GB 512MB RAM,Mediatek MT6572 (28 nm),Mali-400,Discontinued,Yes,About 90 EUR,,,,,No,,,,Micromax A74 Canvas Fun,Dual SIM,Micromax,TFT,GSM / HSPA,"4.5 inches, 55.8 cm2(~62.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a74.jpg,-,,,,"Black, Blue, Red","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,"FM radio, recording","2.0, A2DP",,LED flash,,133 x 67 x 10.1 mm (5.24 x 2.64 x 0.40 in),microSDHC (dedicated slot),Yes,"Li-Ion 1500 mAh, removable",5 MP,Up to 155 h
,No,,VGA,,,Up to 4 h,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,Class 12,,,Dual-core 1.0 GHz Cortex-A5,Android 4.0.3 (Ice Cream Sandwich),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2013, August. Released 2013, August",4GB 512MB RAM,,,Discontinued,Yes,About 60 EUR,,,,,No,Class 12,,,Micromax A67 Bolt,Dual SIM,Micromax,"TFT, 256K colors",GSM,"4.5 inches, 55.8 cm2(~59.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-bolt-bolt-a67.jpg,-,,,,"Black, White","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,"Accelerometer, proximity",,,FM radio,"2.1, A2DP, EDR",,LED flash,,137.7 x 67.6 x 10.5 mm (5.42 x 2.66 x 0.41 in),microSDHC (dedicated slot),Yes,"Li-Ion 1850 mAh, removable",2 MP,Up to 215 h
,GPS,,VGA,,,Up to 4 h,Yes,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Dual-core 1.3 GHz Cortex-A7,Android 4.2.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2013, Q3. Released 2013, Q3",4GB 512MB RAM,Mediatek MT6572 (28 nm),Mali-400,Discontinued,Yes,About 60 EUR,,,,,No,,,,Micromax A63 Canvas Fun,Dual SIM,Micromax,TFT,GSM / HSPA,"4.0 inches, 45.5 cm2(~55.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a63-new.jpg,-,,,,Black/Blue,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,HSPA 21.1/5.76 Mbps,"Accelerometer, proximity",,,"FM radio, recording","2.0, A2DP",,LED flash,,124.5 x 65.7 x 11.3 mm (4.90 x 2.59 x 0.44 in),microSDHC (dedicated slot),Yes,"Li-Ion 1500 mAh, removable",2 MP,Up to 135 h
,GPS,,5 MP,,,Up to 8 h,1080p@30fps,,,,,"Wi-Fi 802.11 b/g/n, hotspot, Wi-Fi Direct",,,,,HSDPA 2100,Quad-core 1.2 GHz Cortex-A7,Android 4.2.1 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, August. Released 2013, August","16GB (13GB user available), 1GB RAM",Mediatek MT6589 (28 nm),PowerVR SGX544,Discontinued,Yes,About 230 EUR,,,,,No,,,,Micromax A240 Canvas Doodle 2,Dual SIM,Micromax,IPS LCD,GSM / HSPA,"5.7 inches, 89.6 cm2(~67.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a240-canvas-doodle-2.jpg,220 g (7.76 oz),,,,Silver,"720 x 1280 pixels, 16:9 ratio (~258 ppi density)",,HSPA 42.2/11.5 Mbps,"Accelerometer, proximity",,,FM radio,"4.0, A2DP",,"Dual-LED flash, HDR",,161 x 82.5 x 8.9 mm,No,Yes,"Li-Ion 2600 mAh, removable","12 MP, AF",Up to 220 h
,GPS,,Yes,,,Up to 6 h,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Dual-core 1.0 GHz Cortex-A9,Android 4.1.2 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,"2013, June. Released 2013, July",4GB 512MB RAM,Mediatek MT6577 (40 nm),PowerVR SGX531u,Discontinued,Yes,About 110 EUR,,,,,No,,,,Micromax A92,Dual SIM (Mini-SIM),Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 71.2 cm2(~62.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a92.jpg,-,,,,"Black, White","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,HSPA 7.2/5.76 Mbps,"Accelerometer, proximity",,,"FM radio, recording","4.0, A2DP",,LED flash,,147 x 77 x 10.8 mm (5.79 x 3.03 x 0.43 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","5 MP, AF",Up to 240 h
,GPS,,5 MP,,,Up to 8 h,1080p@30fps,,720p,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Quad-core 1.2 GHz Cortex-A7,Android 4.2.1 (Jelly Bean),microUSB 2.0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2013, June. Released 2013, July","16GB (10GB user available), 1GB RAM",Mediatek MT6589 (28 nm),PowerVR SGX544,Discontinued,Yes,About 230 EUR,,,,,No,,,,Micromax Canvas 4 A210,Dual SIM (dual stand-by),Micromax,IPS LCD,GSM / HSPA,"5.0 inches, 68.9 cm2(~64.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-canvas-4.jpg,158 g (5.57 oz),,,,"Gray, White","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Corning Gorilla Glass,HSPA 42.2/11.5 Mbps,"Accelerometer, proximity",,,FM radio,"4.0, A2DP",,"LED flash, HDR, panorama",,144.5 x 73.8 x 8.9 mm (5.69 x 2.91 x 0.35 in),microSDHC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","13 MP, AF",Up to 220 h
,GPS,,Yes,,,Up to 5 h,720p,,,,,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 2100,Dual-core 1.0 GHz Cortex-A9,Android 4.1.1 (Jelly Bean),microUSB 2.0,GSM 900 / 1800 - SIM 1 & SIM 2,2013. Released 2013,"4GB (2GB user available), 512MB RAM",Mediatek MT6577 (40 nm),PowerVR SGX531u,Discontinued,Yes,About 110 EUR,,,,,No,,,,Micromax A88,Dual SIM (Mini-SIM),Micromax,TFT,GSM / HSPA,"4.5 inches, 55.8 cm2(~60.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/micromax-a88.jpg,-,,,,"Black, White","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,HSPA,"Accelerometer, proximity",,,FM radio,"4.0, A2DP",,Dual-LED flash,,135 x 68.7 x 11.3 mm (5.31 x 2.70 x 0.44 in),microSDHC (dedicated slot),Yes,"Li-Ion 1800 mAh, removable","5 MP, AF",Up to 260 h
