,Technology,Single,OS,_3,NFC,Features,Size,EDGE,SIM,Positioning,Dual,Status,256GB 6GB RAM,Weight,Chipset,Announced,_2,Type_1,3G bands,Features_1,Price,USB,Colors,Protection,Video_1,Build,Video,Radio,Sensors,Internal,64GB 4GB RAM,Card slot,Loudspeaker,Type,CPU,Triple,GPRS,WLAN,Bluetooth,Dimensions,Brand,Speed,Model Name,Resolution,2G bands,Model Image,_1,3.5mm jack,256GB 8GB RAM,5G bands,4G bands,Charging,GPU,Single_1
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,5 MP,Android 13,,Yes,LED flash,"5.93 inches, 90.7 cm2(~67.4% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","20 MP, (wide)Secondary unspecified camera","Available. Released 2023, November 01",,297 g (10.48 oz),Unisoc UMS9230,"2023, October",,Li-Po 6300 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 150 EUR,"USB Type-C 2.0, OTG","Gray, Orange, Green",,Yes,,1080p@30fps,Unspecified,,128GB 4GB RAM,,microSDXC (uses shared SIM slot),Yes,IPS LCD,Octa-core 2.0 GHz,,,Yes,Yes,166 x 81.1 x 15.1 mm (6.54 x 3.19 x 0.59 in),Oukitel,"HSPA, LTE",Oukitel WP32,"720 x 1440 pixels, 18:9 ratio (~271 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp32-.jpg,,Unspecified,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 19, 25, 26, 28, 66",,Mali-G57 MP1,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,"5 MP, f/2.2, (wide)",Android 13,,Yes,LED flash,"6.52 inches, 102.6 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,Available. Released 2023,,-,Unisoc T606 (12 nm),2023,,Li-Po 10600 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 130 EUR,"USB Type-C 2.0, OTG","Black, Orange, Green",,Yes,,1080p@30fps,Unspecified,"Fingerprint (rear-mounted), accelerometer, compass",128GB 8GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 400 nits (typ)",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"13 MP, (wide), PDAF2 MP, f/2.2, (macro)Third unspecified camera",,Yes,"5.0, A2DP, LE",-,Oukitel,"HSPA, LTE",Oukitel WP23Pro,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp23pro.jpg,,Unspecified,,,LTE,Reverse wired,Mali-G57 MP1,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,16 MP,Android 13,,Yes,"LED flash, panorama","6.8 inches, 109.8 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, September",,-,Mediatek Helio G99 (6 nm),"2023, September",,Li-Po 8500 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 280 EUR,"USB Type-C 2.0, OTG","Blue, Camo, Camouflage",,Yes,,"4K@30fps, 1080p@30fps",Unspecified,Unspecified,256GB 12GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 120Hz",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"64 MP, (wide), PDAF20 MP, (night vision), 4 infrared night vision lights2 MP, (macro)",,Yes,Yes,-,Oukitel,"HSPA, LTE",Oukitel WP27,1080 x 2460 pixels (~395 ppi density),GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp27.jpg,,Unspecified,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 40, 41, 66",,Mali-G57 MC2,
Waterproof (1ATM)IP68 dust/water resistant,No cellular connectivity,,Proprietary OS,,No,,1.43 inches,No,No,No,,"Available. Released 2024, January",,76 g (2.68 oz),,"2024, January 15",,Li-Po 400 mAh,N/A,,About 100 EUR,No,"Silver, Gray",,,,,No,"Accelerometer, heart rate, SpO2",,,No,Yes,"AMOLED, 600 nits",,,No,No,5.2,51.2 x 51.2 x 13 mm (2.02 x 2.02 x 0.51 in),Oukitel,No,Oukitel BT50,466 x 466 pixels (~326 ppi density),N/A,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt50.jpg,No,No,,,N/A,,,
Waterproof (5ATM)IP68/IP69K dust/water resistant (up to 10m)MIL-STD-810H compliant,No cellular connectivity,,Proprietary OS,,No,,1.43 inches,No,No,No,,"Available. Released 2023, September",,-,,"2023, September",,Li-Ion 410 mAh,N/A,,About 80 EUR,No,"Black, Orange",,,,,No,"Accelerometer, heart rate, SpO2",,,No,Yes,AMOLED,,,No,No,Yes,48.7 x 48.7 x 12.6 mm (1.92 x 1.92 x 0.50 in),Oukitel,No,Oukitel BT10,466 x 466 pixels (~326 ppi density),N/A,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt10-.jpg,No,No,,,N/A,,,
Waterproof (5ATM)IP68/IP69K dust/water resistant (up to 50m)MIL-STD-810H compliant,No cellular connectivity,,Proprietary OS,,No,,1.96 inches,No,No,No,,"Available. Released 2023, August",,-,,"2023, August",,Li-Ion 350 mAh,N/A,,About 80 EUR,No,Black,,,,,No,"Accelerometer, heart rate, SpO2",,,No,Yes,AMOLED,,,No,No,"5.2, A2DP, LE",-,Oukitel,No,Oukitel BT20,410 x 502 pixels (~331 ppi density),N/A,https://fdn2.gsmarena.com/vv/bigpic/oukitel-bt20-.jpg,No,No,,,N/A,,,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,5 MP,Android 13,,No,LED flash,"6.52 inches, 102.6 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","48 MP, (wide)2 MP, (macro)","Available. Released 2023, July",,-,,"2023, July",,Li-Po 10600 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 200 EUR,USB Type-C 2.0,"Black, Orange, Green",Corning Gorilla Glass,Yes,,1080p@30fps,Unspecified,Unspecified,256GB 8GB RAM,,microSDXC (uses shared SIM slot),Yes,IPS LCD,,,,Yes,Yes,-,Oukitel,"HSPA, LTE",Oukitel WP28,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp28-.jpg,,Unspecified,,,LTE,18W wired,,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliantFlashlight (1200 lumens),GSM / HSPA / LTE,16 MP,Android 13,,Yes,LED flash,"6.58 inches, 104.3 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, June",,-,Mediatek MT6779 Helio P90 (12 nm),"2023, June",,Li-Po 10000 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 280 EUR,"USB Type-C 2.0, OTG",Black,,Yes,,1080p@30fps,Unspecified,Fingerprint (side-mounted); unspecified sensors,256GB 16GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 480 nits",Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"48 MP, f/1.8, (wide), PDAF20 MP, (night vision), 4 infrared night vision lights2 MP, (macro)",,Yes,"5.0, A2DP, LE",-,Oukitel,"HSPA, LTE",Oukitel WP26,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp26-.jpg,,Unspecified,,,LTE,,PowerVR GM9446,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,"16 MP, f/2.0, (wide), AF",Android 13,,No,LED flash,"10.1 inches, 295.8 cm2(~70.8% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, July",,1030 g (2.27 lb),Mediatek MT8788 (12 nm),"2023, July",,Li-Po 20000 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 350 EUR,"USB Type-C 2.0, OTG","Black, Orange",,720p@30fps,,1080p@30fps,Unspecified,"Accelerometer, gyro, proximity, compass",256GB 8GB RAM,,microSDXC (uses shared SIM slot),"Yes, with stereo speakers","IPS LCD, 350 nits",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.2, A2DP",249.1 x 167.8 x 17.3 mm (9.81 x 6.61 x 0.68 in),Oukitel,"HSPA, LTE",Oukitel RT6,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt6-.jpg,UFS 2.1,Unspecified,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66",33W wiredReverse wired,Mali-G72 MP3,"16 MP, f/2.2, (wide)"
24-bit/192kHz Hi-Res audio,GSM / HSPA / LTE,"8 MP, f/2.0, (wide)",Android 13,,No,"LED flash, HDR, panorama","10.51 inches, 320.3 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","16 MP, f/2.2, (wide), 1/3.1""2 MP, (macro)","Available. Released 2023, June",,509 g (1.12 lb),Unisoc Tiger T616 (12 nm),"2023, June",,Li-Po 8250 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 220 EUR,"USB Type-C 2.0, OTG","Gray, Silver, Blue",,1080p@30fps,,1080p@30fps,Unspecified,Unspecified,256GB 8GB RAM,,microSDXC (uses shared SIM slot),"Yes, with stereo speakers (4 speakers)",IPS LCD,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Yes,Yes,7.4 mm thickness,Oukitel,"HSPA, LTE",Oukitel OKT3,"1200 x 1920 pixels, 16:10 ratio (~215 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-okt3-1.jpg,,Yes,,,LTE,Reverse wired,Mali-G57 MP1,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810G compliantStylus support,GSM / HSPA / LTE,"16 MP, f/2.2, (wide), 1/3.1"", AF",Android,,No,LED flash,"10.1 inches, 295.8 cm2(~69.3% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, May",,860 g (1.90 lb),Mediatek MT8788 (12 nm),"2023, May",,Li-Po 10000 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 270 EUR,"USB Type-C 2.0, OTG","Black, Orange",,Yes,,1080p@30fps,Unspecified,"Accelerometer, gyro, compass",256GB 14GB RAM,,microSDXC,"Yes, with stereo speakers","IPS LCD, 400 nits",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.2, A2DP",251.2 x 170 x 14.2 mm (9.89 x 6.69 x 0.56 in),Oukitel,"HSPA, LTE",Oukitel RT5,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt5-.jpg,,Unspecified,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66",18W wiredReverse wired,Mali-G72 MP3,"16 MP, f/2.0, (wide), 1/2.8"""
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,"5 MP, f/2.2",Android 13,,Yes,LED flash,"6.52 inches, 102.6 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","13 MP, (wide), PDAF2 MP, f/2.2, (macro)","Available. Released 2023, April",,-,Mediatek MT6765 Helio P35 (12 nm),"2023, April",,Li-Po 10600 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 160 EUR,"USB Type-C 2.0, OTG","Black, Orange, Green",,Yes,,1080p@30fps,Unspecified,"Fingerprint (rear-mounted), accelerometer, compass",64GB 4GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 400 nits",Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),,,Yes,"5.0, A2DP, LE",-,Oukitel,"HSPA, LTE",Oukitel WP23,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp23.jpg,,Unspecified,,,LTE,Reverse wired,PowerVR GE8320,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,16 MP,Android 13,,Yes,Dual-LED flash,"6.58 inches, 104.3 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, March",,-,Mediatek MT6779 Helio P90 (12 nm),"2023, March",,Li-Po 10000 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 240 EUR,"USB Type-C 2.0, OTG",Black,,Yes,,"4K@30fps, 1080p@30fps",Wireless FM radio,"Fingerprint (side-mounted), accelerometer, proximity",256GB 8GB RAM,,microSDXC (uses shared SIM slot),"Yes (125 dB, 4W peak, 36mm speaker)","IPS LCD, 480 nits",Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),"48 MP, f/1.8, (wide), PDAF20 MP, (night vision), infrared night vision lights2 MP, (macro)",,Yes,"5.0, A2DP, LE",-,Oukitel,"HSPA, LTE",Oukitel WP22,"1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp22-.jpg,,Unspecified,,,LTE,Reverse wired,PowerVR GM9446,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,20 MP,Android 13,,Yes,LED flash,"6.78 inches, 109.2 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, March",,-,Mediatek Helio G99 (6 nm),"2023, March",,Li-Po 9800 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 470 EUR,"USB Type-C 2.0, OTG",Black,,Yes,,1080p@30fps,Unspecified,Unspecified,256GB 12GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 120Hz",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"64 MP, f/1.9, (wide), PDAF20 MP, (night vision), 3 infrared night vision lights5 MP, (thermal camera), 256×192 pixels",,Yes,"5.2, A2DP, LE",-,Oukitel,"HSPA, LTE",Oukitel WP21 Ultra,1080 x 2460 pixels (~396 ppi density),GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp21-ultra-1.jpg,UFS 2.2,Unspecified,,,LTE,"66W wired, 50% in 25 min",Mali-G57 MC2,
HSDPA 900 / 2100,GSM / HSPA / LTE,"5 MP, f/2.2, (wide), 1/5.0""",Android 13,,No,"Dual-LED flash, panorama","6.56 inches, 103.4 cm2(~83.7% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","13 MP, f/2.2, (wide), 1/3.0"", AFSecondary unspecified camera","Available. Released 2023, September",,199 g (7.02 oz),Unisoc T606 (12 nm),"2023, September",eMMC,Li-Po 5150 mAh,HSDPA 850 / 1700(AWS) / 1900 / 2100,,About 110 EUR,"USB Type-C 2.0, OTG","Black, Green, Light Blue",,720p@30fps,,1080p@30fps,Unspecified,"Fingerprint (side-mounted), accelerometer, proximity",128GB 4GB RAM,,microSDXC (dedicated slot),Yes,"IPS LCD, 400 nits",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",163.8 x 75.4 x 9.2 mm (6.45 x 2.97 x 0.36 in),Oukitel,"HSPA, LTE",Oukitel C36,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c36.jpg,"1, 3, 5, 7, 8, 19, 20, 38, 40, 41",Yes,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 66",10W wired,Mali-G57 MP1,
HSDPA 900 / 2100,GSM / HSPA / LTE,8 MP,Android 13,,No,"Dual-LED flash, panorama","6.56 inches, 103.9 cm2(~84.1% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","50 MP, (wide), AFSecondary unspecified camera","Available. Released 2023, August",,199 g (7.02 oz),Unisoc Tiger T616 (12 nm),"2023, August",eMMC,Li-Po 5150 mAh,HSDPA 850 / 1700(AWS) / 1900 / 2100,,About 190 EUR,"USB Type-C 2.0, OTG","Black, Green, Light Blue",,Yes,,1080p@30fps,Unspecified,"Fingerprint (side-mounted), accelerometer, proximity",256GB 12GB RAM,,microSDXC (dedicated slot),Yes,"IPS LCD, 400 nits",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE",163.8 x 75.4 x 9.2 mm (6.45 x 2.97 x 0.36 in),Oukitel,"HSPA, LTE",Oukitel C35,"720 x 1600 pixels, 20:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c35-1.jpg,"1, 3, 5, 7, 8, 19, 20, 38, 40, 41",Yes,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 25, 26, 28, 66",10W wired,Mali-G57 MP1,
,GSM / HSPA / LTE,"48 MP, f/1.8, (wide), AF",Android 13,,No,LED flash,"3.5 inches, 33.8 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO",,"Available. Released 2023, March",,-,Mediatek MT8788 (12 nm),"2023, March",,Li-Ion 3050 mAh,HSDPA 850 / 1900 / 2100,,About 140 EUR,Yes,"Black, Brown",,Yes,Leather back,1080p@30fps,Unspecified,Unspecified,128GB 8GB RAM,,microSDXC,Yes,"IPS LCD, 400 nits",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,Yes,Yes,-,Oukitel,"HSPA, LTE",Oukitel K16,"720 x 1280 pixels, 16:9 ratio (~420 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-k16.jpg,,Unspecified,,,LTE,,,"8 MP, f/2.0"
,GSM / HSPA / LTE,5 MP,Android 13,,No,"LED flash, panorama","6.8 inches, 111.6 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, May",,210 g (7.41 oz),Unisoc T606 (12 nm),"2023, May",,Li-Po 5150 mAh,HSDPA 850 / 900 / 2100,,About 160 EUR,USB Type-C 2.0,"Gray, Blue, Orange",,Yes,,1080p@30fps,Unspecified,Fingerprint (rear-mounted); unspecified sensors,256GB 8GB RAM,,microSDXC (dedicated slot),Yes,"IPS LCD, 450 nits",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"50 MP, (wide), AFOther unspecified cameras",,Yes,"5.0, A2DP, LE",9.8 mm thickness,Oukitel,"HSPA, LTE",Oukitel C33,"720 x 1600 pixels, 20:9 ratio (~258 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c33-.jpg,,Yes,,,LTE,,Mali-G57 MP1,
,GSM / HSPA / LTE,"5 MP, f/2.2",Android 12,,No,"LED flash, panorama","6.52 inches, 102.6 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2023, January",,198 g (6.98 oz),Unisoc T606 (12 nm),"2023, January",,Li-Po 5150 mAh,HSDPA 850 / 900 / 2100,,About 150 EUR,USB Type-C 2.0,"Blue, Purple, Black",,Yes,,1080p@30fps,Unspecified,Fingerprint (side-mounted); unspecified sensors,128GB 8GB RAM,,microSDXC (uses shared SIM slot),Yes,"IPS LCD, 440 nits",Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),"20 MP, f/1.8, (wide), AFOther unspecified cameras",,Yes,Yes,9.2 mm thickness,Oukitel,"HSPA, LTE",Oukitel C32,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c32.jpg,,Yes,,,LTE,,Mali-G57 MP1,
,GSM / HSPA / LTE,5 MP,Android 12,,No,LED flash,"6.52 inches, 102.6 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2022, December",,212 g (7.48 oz),Mediatek MT6762 Helio P22 (12 nm),"2022, December",,Li-Po 5150 mAh,HSDPA 850 / 900 / 2100,,About 110 EUR,USB Type-C 2.0,"Blue, Purple, Black",,Yes,,1080p@30fps,Unspecified,Fingerprint (rear-mounted); unspecified sensors,64GB 4GB RAM,,microSDXC (dedicated slot),Yes,"IPS LCD, 400 nits",Octa-core 2.0 GHz Cortex-A53,"13 MP, (wide), AFOther unspecified cameras",,Yes,Yes,9.5 mm thickness,Oukitel,"HSPA, LTE",Oukitel C31 Pro,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c31-pro.jpg,,Yes,,,LTE,,PowerVR GE8320,
,GSM / HSPA / LTE,5 MP,Android 12,,No,LED flash,"6.52 inches, 102.6 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2022, August",,207 g (7.30 oz),Mediatek MT6761 Helio A22 (12 nm),"2022, August",,Li-Po 5150 mAh,HSDPA 850 / 900 / 2100,,About 110 EUR,USB Type-C 2.0,"Blue, Purple, Black",,Yes,,1080p@30fps,Unspecified,Fingerprint (rear-mounted); unspecified sensors,16GB 3GB RAM,,microSDXC (dedicated slot),Yes,"IPS LCD, 400 nits",Quad-core 2.0 GHz Cortex-A53,"13 MP, (wide), AFOther unspecified cameras",,Yes,Yes,9.5 mm thickness,Oukitel,"HSPA, LTE",Oukitel C31,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c31-.jpg,,Yes,,,LTE,,PowerVR GE8320,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,GSM / HSPA / LTE,5 MP,Android 12,,No,LED flash,"5.93 inches, 90.7 cm2(~67.2% screen-to-body ratio)",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS","20 MP, (wide), AFSecondary unspecified camera","Available. Released 2022, June",,297 g (10.48 oz),Mediatek MT6761 Helio A22 (12 nm),"2022, June",,Li-Po 6300 mAh,HSDPA 900 / 2100,,About 140 EUR,Yes,"Black, Orange, Green",,Yes,,1080p@30fps,Unspecified,Unspecified,32GB 4GB RAM,,microSDXC (uses shared SIM slot),Yes,IPS LCD,Quad-core 2.0 GHz Cortex-A53,,,Yes,Yes,166.2 x 81.2 x 15.5 mm (6.54 x 3.20 x 0.61 in),Oukitel,"HSPA, LTE",Oukitel WP20,"720 x 1440 pixels, 18:9 ratio (~271 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp20-.jpg,,Unspecified,,,"1, 3, 7, 8, 19, 20",,PowerVR GE8320,
HSDPA 900 / 2100,GSM / HSPA / LTE,16 MP,Android 12,,Yes,"LED flash, panorama","6.78 inches, 109.2 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2022, July",,-,Mediatek MT6785V/CD Helio G95 (12 nm),"2022, June",,Li-Po 21000 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 380 EUR,"USB Type-C 2.0, OTG","Blue, Camo, Camouflage",,Yes,,"4K@30fps, 1080p@30fps",Unspecified,Unspecified,256GB 8GB RAM,,microSDXC (dedicated slot),Yes,"IPS LCD, 90Hz",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"64 MP, f/1.8, (wide), PDAF20 MP, f/2.0, (night vision), 4 infrared night vision lights2 MP, f/2.4, (macro)",,Yes,Yes,-,Oukitel,"HSPA, LTE",Oukitel WP19,1080 x 2460 pixels (~396 ppi density),GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp19-.jpg,IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810H compliant,Unspecified,,,LTE,33W wired,Mali-G76 MC4,
IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop resistant up to 1.5mMIL-STD-810 compliant,GSM / HSPA / LTE,16 MP,Android 11,,Yes,"LED flash, panorama","6.78 inches, 111.0 cm2",,Nano-SIM + Nano-SIM,"GPS, GLONASS, GALILEO, BDS",,"Available. Released 2021, October",,-,Mediatek MT6785V/CD Helio G95 (12 nm),"2021, October",,Li-Po 8300 mAh,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,About 240 EUR,"USB Type-C 2.0, OTG","Blue, Camo, Camouflage",,Yes,,"4K@30fps, 1080p@30fps",Unspecified,Unspecified,128GB 8GB RAM,,microSDXC,Yes,"IPS LCD, 90Hz",Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"64 MP, f/1.8, (wide), PDAF20 MP, f/2.0, (night vision), 4 infrared night vision lights2 MP, f/2.4, (macro)",,Yes,Yes,-,Oukitel,"HSPA, LTE",Oukitel WP17,"1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",GSM 850 / 900 / 1800 / 1900,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp17-.jpg,,Unspecified,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 66",,Mali-G76 MC4,
