,_5,Penta,Triple,256GB 8GB RAM,Alarm,SIM,Stand-by_1,NFC,Dual,Browser,Camera,Build,Bluetooth,Radio,Protection,64GB 4GB RAM,Features_1,Colors,Quad,Features,Games,128GB 6GB RAM,Talk time,GPU,128GB 4GB RAM,Audio quality,Loudspeaker,64GB 3GB RAM,128MB 48MB RAM,Model Name,Dimensions,Messaging,4G bands,3G bands,Resolution,CPU,Battery (old),USB,Technology,Weight,OS,5G bands,4MB,Display,Alert types,Model Image,Performance,Models,_2,Chipset,Status,Java,Call records,Type,32GB 3GB RAM,_6,Internal,Speed,_4,SAR EU,_1,Price,Stand-by,Card slot,Video,Clock,SAR,Type_1,Announced,Brand,Phonebook,Talk time_1,Charging,WLAN,EDGE,_3,Keyboard,4GB 512MB RAM,Languages,GPRS,3.5mm jack,Single_1,Positioning,Single,Size,Music play,128MB 64MB RAM,Infrared port,Loudspeaker_1,Sensors,2G bands,Video_1
No,,,,,,Mini-SIM,,,,,Photo,,"2.1, A2DP, EDR","Stereo FM radio, RDS",,,,"Graphite, Night Shade, Gold, White Silver, Pink, Red",,fixed focus,Yes + downloadable,,Up to 6 h 54 min (2G) / Up to 4 h 18 min (3G),,,Noise -87.9dB / Crosstalk -86.8dB,Yes,,,Nokia Asha 300,"112.8 x 49.5 x 12.7 mm, 59 cc (4.44 x 1.95 x 0.5 in)","SMS(threaded view), MMS, Email, Push Email, IM",,HSDPA 850 / 900 / 1900 / 2100,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",1.0 GHz,,"microUSB 2.0, OTG",GSM / HSPA,85 g (3.00 oz),,,,Contrast ratio: 856:1 (nominal),,https://fdn2.gsmarena.com/vv/bigpic/nokia-asha-300.jpg,,,,,Discontinued,"Yes, MIDP 2.1",Yes,"TFT resistive touchscreen, 256K colors",,,140MB 256MB ROM 128MB RAM,HSPA 10.2/2 Mbps,,1.51 W/kg (head),SNS integrationMP4/H.264/WMV playerMP3/WAV/WMA/AAC playerOrganizerVoice memoPredictive text input,About 70 EUR,Up to 550 h (2G) / Up to 597 h (3G),microSDHC (dedicated slot),480p@15fps,,,Removable Li-Ion 1110 mAh battery (BL-4U),"2011, October. Released 2011, November",Nokia,"Yes, Photocall",,,No,,,,,,,Yes,,No,5 MP,"2.4 inches, 17.8 cm2(~31.9% screen-to-body ratio)",Up to 28 h,,,Voice 75dB / Noise 66dB / Ring 75dB,Proximity,GSM 850 / 900 / 1800 / 1900,
GSM 850 / 1900 - RM-800,,,,,,Mini-SIM,,,,,,,"2.1, EDR","Stereo FM radio, RDS, recording",,,,"Graphite, Green, Blue, Aqua, Pearl White, Light Pink, Pink, Orange",,,Yes + downloadable,,Up to 7 h,,,,Yes,,,Nokia Asha 201,"115.5 x 61.1 x 14 mm, 47.7 cc (4.55 x 2.41 x 0.55 in)","SMS(threaded view), MMS, Email, IM",,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",,,microUSB 2.0,GSM,105 g (3.70 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-asha-201.jpg,,,SNS integrationMP4/H.264/WMV playerMP3/WAV/WMA/AAC playerOrganizerVoice memoPredictive text input,,Discontinued,"Yes, MIDP 2.1",Yes,"TFT, 256K colors",,,10MB 64MB ROM 32MB RAM,,,0.95 W/kg (head),No,About 50 EUR,Up to 888 h,microSDHC (dedicated slot),176x144@10fps,,1.28 W/kg (head)     0.92 W/kg (body),Removable Li-Ion 1430 mAh battery (BL-5J),"2011, October. Released 2012, February",Nokia,"Yes, Photocall",,,No,Class 12,,QWERTY,,,Class 12,Yes,,No,2 MP,"2.4 inches, 17.8 cm2(~25.3% screen-to-body ratio)",Up to 52 h,,,,,GSM 900 / 1800 - RM-799,
No,,,,,,"Dual SIM (Mini-SIM, dual stand-by)",,,,,,,"2.1, EDR","Stereo FM radio, RDS, recording",,,,"Graphite, Green, Blue, Aqua, Pearl White, Light Pink, Pink, Orange",,,Yes + downloadable,,Up to 7 h,,,Noise -81.2dB / Crosstalk -78.1dB,Yes,,,Nokia Asha 200,"115.4 x 61.1 x 14 mm, 47.7 cc (4.54 x 2.41 x 0.55 in)","SMS(threaded view), MMS, Email, IM",,,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",,,microUSB 2.0,GSM,105 g (3.70 oz),,,,Contrast ratio: 746:1 (nominal),,https://fdn2.gsmarena.com/vv/bigpic/nokia-asha-201.jpg,,,,,Discontinued,"Yes, MIDP 2.1",Yes,"TFT, 256K colors",,,10MB 64MB ROM 32MB RAM,,,0.89 W/kg (head),SNS integrationMP4/H.264/WMV playerMP3/WAV/WMA/AAC playerOrganizerVoice memoPredictive text input,About 50 EUR,Up to 552 h,microSDHC (dedicated slot),176x144@10fps,,,Removable Li-Ion 1430 mAh battery (BL-5J),"2011, October. Released 2011, December",Nokia,"Yes, Photocall",,,No,Class 12,,QWERTY,,,Class 12,Yes,,No,2 MP,"2.4 inches, 17.8 cm2(~25.3% screen-to-body ratio)",Up to 52 h,,,Voice 71dB / Noise 68dB / Ring 73dB,,GSM 900 / 1800 - SIM 1 & SIM 2,
Nokia ClearBlack display,,,,,,Micro-SIM,,Yes,,,,,"3.0, A2DP","Stereo FM radio, RDS",Scratch-resistant glass,,,"Black, white (front panel)/ black, white, fuchsia, green, yellow, blue (back panel)",,fixed focus,,,Up 16 h (2G) / Up to 7 h (3G),,,,Yes,,,Nokia 603,"113.5 x 57.1 x 12.7 mm, 74 cc (4.47 x 2.25 x 0.5 in)",,,HSDPA 850 / 900 / 1700 / 1900 / 2100,"360 x 640 pixels, 16:9 ratio (~210 ppi density)",1.0 GHz,,"microUSB 2.0, OTG",GSM / HSPA,109.6 g (3.84 oz),"Symbian Belle, upgradable to Belle FP1",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-603-ofic.jpg,,,SNS integrationMP4/WMV/H.264 playerMP3/WAV/еAAC+ playerDolby Digital Plus (via FP1 update)Photo editorOrganizerQuickoffice document editorAdobe PDF ReaderVoice command/dialPredictive text input,,Discontinued,,,IPS LCD,,,"2GB (340MB user available), 512MB RAM, 1GB ROM",HSPA 14.4/5.76 Mbps,,0.98 W/kg (head),No,About 100 EUR,Up to 460 h (2G) / Up to 490 h (3G),microSDHC (dedicated slot),720p@30fps,,1.33 W/kg (head)     1.02 W/kg (body),Removable Li-Ion battery (BP-3L),"2011, October. Released 2011, October",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,,"GPS, A-GPS",5 MP,"3.5 inches, 33.8 cm2(~52.1% screen-to-body ratio)",Up to 75 h,,,,"Accelerometer, proximity, compass",GSM 850 / 900 / 1800 / 1900,
GSM 850 / 1900,,,,,,Mini-SIM,,,,,,,"2.1, A2DP, EDR","FM radio, recording",,,,"Dynamic Gray, Peacock Blue, Pink",,,Yes + downloadable,,Up to 5 h,,,,Yes,,,Nokia C2-05,"99.4 x 47.8 x 16.3 mm, 59.5 cc (3.91 x 1.88 x 0.64 in)","SMS(threaded view), MMS, Email, IM",,,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,microUSB 2.0,GSM,98.5 g (3.46 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c2-05.jpg,,,"Facebook, Twitter applicationsMP4/H.263 playerMP3/eAAC+ playerNokia MapsOrganizerVoice memoPredictive text input",,Discontinued,"Yes, MIDP 2.1",Yes,"TFT, 65K colors",,,64MB,,,0.60 W/kg (head),No,About 60 EUR,Up to 600 h,microSDHC (dedicated slot),Yes,,,Removable Li-Ion 860 mAh battery (BL-4C),"2011, October. Released 2011, December",Nokia,"1000 entries, Photocall",,,No,Class 12,,,,,Class 12,Yes,,No,VGA,"2.0 inches, 12.4 cm2(~26.1% screen-to-body ratio)",,,,,,GSM 900 / 1800,
No,,,,,,Mini-SIM,,,,,,,"2.1, A2DP, EDR","FM radio, recording",,,,"Black, Silver, White, Bright Red",,,Yes,,Up to 7 h 25 min,,,,Yes,,,Nokia X2-05,"113 x 50 x 15 mm, 125.5 cc (4.45 x 1.97 x 0.59 in)","SMS(threaded view), MMS, Email, IM",,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,microUSB 2.0,GSM,87.8 g (3.07 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-x2-05.jpg,,,,,Discontinued,"Yes, MIDP 2.1",Yes,"TFT, 65K colors",,,64MB,,,1.25 W/kg (head),MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,About 90 EUR,Up to 643 h,microSDHC (dedicated slot),No,,,Removable Li-Ion 800 mAh battery (BL-5CB),"2011, October. Released 2011, December",Nokia,"Yes, Photocall",,,No,Class 12,,,,,Class 12,Yes,,No,VGA,"2.2 inches, 15.0 cm2(~26.5% screen-to-body ratio)",Up to 20 h,,,,,GSM 900 / 1800,
Handwriting recognition,,,,,,Mini-SIM,,,,,,,"2.1, A2DP, EDR",Stereo FM radio,,,,"Graphite Black, Aluminium Grey, Red, Orange, Blue, Black Illuvial, White Illuvial, White/Red, White/Orange",,,,,Up to 11 h 30 min,,,,Yes,,,Nokia C5-06,"105.8 x 51 x 13.8 mm, 65 cc (4.17 x 2.01 x 0.54 in)",,,,"360 x 640 pixels, 16:9 ratio (~229 ppi density)",600 MHz,,microUSB 2.0,GSM,93 g (3.28 oz),"Symbian 9.4, Series 60 rel. 5",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c5-06.jpg,,,MP4/H.264/WMV playerMP3/WAV/еAAC+/WMA playerPhoto editorOrganizerQuickOffice document viewerVoice command/dialPredictive text input,,Discontinued,,,"TFT resistive touchscreen, 16M colors",,,40MB 128MB RAM 256MB ROM,,,0.90 W/kg (head),No,About 90 EUR,Up to 600 h,microSDHC (dedicated slot),480p@15fps,,,Removable Li-Ion 1000 mAh battery (Bl-4U),"2011, October. Released 2012, March",Nokia,,,,Wi-Fi 802.11 b/g,Class 32,,,,,Class 32,Yes,,"GPS, A-GPS; Nokia Maps",2 MP,"3.2 inches, 28.2 cm2(~52.3% screen-to-body ratio)",Up to 35 h,,,,Accelerometer,GSM 850 / 900 / 1800 / 1900,
Handwriting recognition,,,,,,Mini-SIM,,,,,,,"2.1, A2DP, EDR",Stereo FM radio,,,,"Black/Aluminium grey, Black Lilac, White Lilac, White/Graphite grey",,,,,Up to 11 h 30 min,,,,Yes,,,Nokia C5-05,"105.8 x 51 x 13.8 mm, 65 cc (4.17 x 2.01 x 0.54 in)",,,,"360 x 640 pixels, 16:9 ratio (~229 ppi density)",600 MHz,,microUSB 2.0,GSM,93 g (3.28 oz),"Symbian 9.4, Series 60 rel. 5",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c5-05.jpg,,,MP4/H.264/WMV playerMP3/WAV/еAAC+/WMA playerPhoto editorOrganizerQuickOffice document viewerVoice command/dialPredictive text input,,Discontinued,,,"TFT resistive touchscreen, 16M colors",,,40MB 128MB RAM 256MB ROM,,,1.12 W/kg (head),No,About 80 EUR,Up to 600 h,microSDHC (dedicated slot),480p@15fps,,,Removable Li-Ion 1000 mAh battery (Bl-4U),"2011, October. Released 2011, December",Nokia,,,,No,Class 32,,,,,Class 32,Yes,,"GPS, A-GPS; Nokia Maps",2 MP,"3.2 inches, 28.2 cm2(~52.3% screen-to-body ratio)",Up to 35 h,,,,Accelerometer,GSM 850 / 900 / 1800 / 1900,
HSDPA 1700 / 2100,,,,,,Mini-SIM,,,,,,,"2.0, A2DP, EDR",Stereo FM radio,,,,"Graphite Black, Aluminium Grey, Red, Orange, Blue, Black Illuvial, White Illuvial, White/Red, White/Orange",,,,,Up to 7 h 10 min (2G) / Up to 4 h 40 min (3G),,,,Yes,,,Nokia C5-04,"105.8 x 50.8 x 13.8 mm, 65 cc (4.17 x 2.0 x 0.54 in)",,,HSDPA 900 / 2100,"360 x 640 pixels, 16:9 ratio (~229 ppi density)",600 MHz,,microUSB 2.0,GSM / HSPA,100 g (3.53 oz),"Symbian 9.4, Series 60 rel. 5",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c5-04.jpg,,,No,,Discontinued,,,"TFT resistive touchscreen, 16M colors",,,60MB 128MB RAM 256MB ROM,HSPA 10.2/2 Mbps,,1.18 W/kg (head),Handwriting recognition,About 100 EUR,Up to 520 h (2G) / Up to 470 h (3G),microSDHC (dedicated slot),480p@15fps,,1.42 W/kg (head)     1.04 W/kg (body),Removable Li-Ion 1000 mAh battery (Bl-4U),"2011, October. Released 2011, December",Nokia,,,,No,,MP4/H.264/WMV playerMP3/WAV/еAAC+/WMA playerPhoto editorOrganizerQuickOffice document viewerVoice command/dialPredictive text input,,,,,Yes,,"GPS, A-GPS; Nokia Maps",2 MP,"3.2 inches, 28.2 cm2(~52.5% screen-to-body ratio)",Up to 35 h,,,,Accelerometer,GSM 850 / 900 / 1800 / 1900,
Flashlight,,,,,,"Dual SIM (Mini-SIM, dual stand-by)",Up to 600 h,,,,,,No,Stereo FM radio,,,,"Phantom Black, Coral Red",,,Yes,,Up to 8 h 30 min,,,,Yes,,,Nokia 101,"110 x 45.5 x 14.9 mm, 73 cc (4.33 x 1.79 x 0.59 in)",SMS,,,128 x 160 pixels (~114 ppi density),,,No,GSM,71 g (2.50 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-101.jpg,,,MP3 playerOrganizerPredictive text input,,Discontinued,No,Yes,"TFT, 65K colors",,,,,,1.28 W/kg (head),No,About 40 EUR,Up to 768 h,microSDHC (dedicated slot),,,,Removable Li-Ion 1020 mAh battery (BL-5C) - India market,"2011, August. Released 2011, October",Nokia,500 entries,Up to 6 h 40 min,,No,No,,,,,No,Yes,,No,,"1.8 inches, 10.2 cm2(~20.4% screen-to-body ratio)",26,,,,,GSM 900 / 1800 - SIM 1 & SIM 2,
GSM 850 / 1900,,,,,,Mini-SIM,,,,,,,No,FM radio,,,,"Legion Blue, Festival  Pink, Ocean Blue Phantom Black, Coral Red",,,Yes,,Up to 7 h 20 min,,,,Yes,,,Nokia 100,110 x 45.5 x 14.9 mm (4.33 x 1.79 x 0.59 in),SMS,,,128 x 160 pixels (~114 ppi density),,,No,GSM,69.6 g (2.43 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-100.jpg,,,No,,Discontinued,No,Yes,"TFT, 65K colors",,,,,,0.81 W/kg (head),Flashlight,About 50 EUR,Up to 840 h,No,,,1.18 W/kg (head)     0.66 W/kg (body),Removable Li-Ion 850 mAh battery (BL-5CB),"2011, August. Released 2011, November",Nokia,500 entries,,,No,No,OrganizerPredictive text input,,,,No,Yes,,No,,"1.8 inches, 10.2 cm2(~20.4% screen-to-body ratio)",,,,,,GSM 900 / 1800,
Nokia ClearBlack display,,,,,,Mini-SIM,,Yes,,,Photo/Video,,"3.0, A2DP, EDR","Stereo FM radio, RDS; FM transmitter",Corning Gorilla Glass,,,"Steel dark, silver light, amethyst violet, white",,Dual-LED flash,,,Up to 17 h (2G) / Up to 6 h 45 min (3G),,,Noise -87.2dB / Crosstalk -85.4dB,Yes,,,Nokia 701,"117.2 x 56.8 x 11 mm, 64 cc (4.61 x 2.24 x 0.43 in)",,,HSDPA 850 / 900 / 1700 / 1900 / 2100,"360 x 640 pixels, 16:9 ratio (~210 ppi density)",1.0 GHz ARM11 (1.3GHz after update),,"microUSB 2.0, OTG",GSM / HSPA,131 g (4.62 oz),"Symbian Belle, upgradable to Belle FP1",,,Contrast ratio: 905:1 (nominal),,https://fdn2.gsmarena.com/vv/bigpic/nokia-701.jpg,,,,,Discontinued,,,LED-backlit IPS LCD,,,8GB 512MB RAM,HSPA 14.4/5.76 Mbps,,1.08 W/kg (head),SNS integrationTV-outMP4/H.264 playerMP3/WAV/еAAC+/WMA playerDolby Digital Plus (via FP1 update)Photo editorOrganizerVoice command/dialPredictive text input,About 150 EUR,Up to 504 h (2G) / Up to 551 h (3G),microSDHC (dedicated slot),720p@30fps,,1.21 W/kg (head)     0.92 W/kg (body),Removable Li-Ion 1300 mAh battery (BL-5K),"2011, August. Released 2011, September",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,VGA,"GPS, A-GPS",8 MP,"3.5 inches, 33.8 cm2(~50.7% screen-to-body ratio)",Up to 71 h 25 min,,,Voice 63dB / Noise 58dB / Ring 66dB,"Accelerometer, proximity, compass",GSM 850 / 900 / 1800 / 1900,
Nokia ClearBlack display,,,,,,Mini-SIM,,Yes,,,Photo/Video,,"3.0, A2DP, EDR","Stereo FM radio, RDS",Corning Gorilla Glass,,,"Cool Grey, Silver/White, Coral Red, Peacock Blue and  Purple",,LED flash,,,Up to 7 h 10 min (2G) / Up to 4 h 30 min (3G),,,Noise -89.8dB / Crosstalk -89.3dB,Yes,,,Nokia 700,"110 x 50.7 x 9.7 mm, 50 cc (4.33 x 2.00 x 0.38 in)",,,HSDPA 850 / 900 / 1700 / 1900 / 2100,"360 x 640 pixels, 16:9 ratio (~229 ppi density)",1.0 GHz ARM11 (1.3GHz after update),,microUSB 2.0,GSM / HSPA,96 g (3.39 oz),"Symbian Belle, upgradable to Belle FP1",,,Contrast ratio: Infinite (nominal),,https://fdn2.gsmarena.com/vv/bigpic/nokia-700.jpg,,,SNS integrationTV-outMP4/H.264 playerMP3/WAV/еAAC+/WMA playerDolby Digital Plus (via FP1 update)Photo editorOrganizerVoice command/dialPredictive text input,,Discontinued,,,AMOLED,,,2GB 512MB RAM,HSPA 14.4/5.76 Mbps,,1.43 W/kg (head),No,About 140 EUR,Up to 465 h (2G) / Up to 450 h (3G),microSDHC (dedicated slot),720p@30fps,,1.32 W/kg (head)     1.06 W/kg (body),Removable Li-Ion 1080 mAh battery (BP-5Z),"2011, August. Released 2011, September",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,,"GPS, A-GPS; Nokia Maps 3.06",5 MP,"3.2 inches, 28.2 cm2(~50.6% screen-to-body ratio)",Up to 47 h,,,Voice 62dB / Noise 58dB / Ring 74dB,"Accelerometer, proximity, compass",GSM 850 / 900 / 1800 / 1900,
No,,,,,,Mini-SIM,,Yes,,,,,"3.0, A2DP, EDR","Stereo FM radio, RDS; FM transmitter; built-in antenna",,,,"Black, White, Pink and Lime",,LED flash,,,Up to 15 h (2G) / Up to 6 h 30 min (3G),,,,Yes,,,Nokia 600,"111 x 53 x 13 mm, 72 cc (4.37 x 2.09 x 0.51 in)",,,HSDPA 850 / 900 / 1700 / 1900 / 2100,"360 x 640 pixels, 16:9 ratio (~229 ppi density)",1.0 GHz,,microUSB 2.0,GSM / HSPA,100 g (3.53 oz),Symbian Belle OS,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-600.jpg,,,,,Cancelled,,,TFT,,,2GB,HSPA 14.4/5.76 Mbps,,,SNS integrationMP4/H.264 playerMP3/WAV/еAAC+/WMA playerPhoto editorOrganizerVoice command/dialPredictive text input,About 240 EUR,Up to 540 h (2G) / Up to 600 h (3G),"microSDHC (dedicated slot), 2 GB included",720p@30fps,,,Removable Li-Ion 1200 mAh battery (BL-4J),"2011, August",Nokia,,,,Wi-Fi 802.11 b/g,,,,,,,Yes,,"GPS, A-GPS",5 MP,"3.2 inches, 28.2 cm2(~48.0% screen-to-body ratio)",Up to 60 h,,,,"Accelerometer, proximity, compass",GSM 850 / 900 / 1800 / 1900,
No,,,,,,Mini-SIM,,,,,,,"2.1, A2DP, EDR","Stereo FM radio, RDS",,,,Gold,,LED flash,Yes + downloadable,,Up to 5 h 30 min (2G) / Up to 4 h (3G),,,,Yes,,,Nokia C3-01 Gold Edition,"111 x 47.5 x 11 mm, 51.4 cc (4.37 x 1.87 x 0.43 in)","SMS, MMS, Email, IM",,HSDPA 850 / 900 / 1900 / 2100,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",1.0 GHz,,microUSB 2.0,GSM / HSPA,100 g (3.53 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/Nokia-C3-01-Gold-Edition.jpg,,,,,Discontinued,"Yes, MIDP 2.1",Yes,"TFT resistive touchscreen, 256K colors",,,140MB 64MB RAM 128MB ROM,HSPA 10.2/2 Mbps,,0.99 W/kg (head),"18-carat gold platingCeramic-feel keymat materialsFacebook, TwitterMP4/H.264/WMV playerMP3/WAV/WMA/eAAC+ playerOrganizerVoice memoPredictive text input",About 180 EUR,Up to 405 h (2G) / Up to 440 h (3G),microSDHC (dedicated slot),480p@30fps,,0.87 W/kg (head)     0.58 W/kg (body),Removable Li-Ion 1050 mAh battery (BL-5CT),"2011, August. Released 2011, August",Nokia,"Yes, Photocall",,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,,No,5 MP,"2.4 inches, 17.8 cm2(~33.8% screen-to-body ratio)",Up to 20 h,,,,,GSM 850 / 900 / 1800 / 1900,
No,,,,,,Mini-SIM,,,,,Photo,,"2.1, A2DP, EDR",Stereo FM radio,,,,"Black/White with covers in Black, Azure Blue, Coral Red, Purple, Khaki, Orange, Green, Pink, Silver",,,,,Up to 7 h (2G) / Up to 5 h (3G),,,Noise -90.1dB / Crosstalk -91.2dB,Yes,,,Nokia 500,"111.3 x 53.8 x 14.1 mm, 73 cc (4.38 x 2.12 x 0.56 in)",,,HSDPA 850 / 900 / 1700 / 1900 / 2100,"360 x 640 pixels, 16:9 ratio (~229 ppi density)",1.0 GHz ARM 11,,microUSB 2.0,GSM / HSPA,93 g (3.28 oz),"Symbian Anna, upgradable to Nokia Belle OS",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-500.jpg,,,,,Discontinued,,,TFT,,,2GB 256MB RAM,HSPA 14.4/5.76 Mbps,,1.18 W/kg (head),Exchangeable battery covers with multiple home screens (2 included in the retail box)MP4/H.264 playerMP3/WAV/еAAC+/WMA playerPhoto editorOrganizerVoice command/dialPredictive text input,About 110 EUR,Up to 500 h (2G) / Up to 455 h (3G),microSDHC (dedicated slot),480p@15fps,,1.47 W/kg (head)     1.38 W/kg (body),Removable Li-Ion 1110 mAh battery (BL-4U),"2011, August. Released 2011, September",Nokia,,,,Wi-Fi 802.11 b/g,,,,,,,Yes,,"GPS, A-GPS",5 MP,"3.2 inches, 28.2 cm2(~47.1% screen-to-body ratio)",Up to 35 h,,,Voice 73dB / Noise 65dB / Ring 75dB,"Accelerometer, proximity, compass",GSM 850 / 900 / 1800 / 1900,
Anti-glare polariser,,,,,,Micro-SIM,,Yes,,"WAP 2.0/xHTML, HTML5, RSS feeds",Photo/Video,,"2.1, A2DP, EDR",FM radio (via third party software),Corning Gorilla Glass,,,"Black, Cyan, Magenta, Glossy white",,"Carl Zeiss optics, dual-LED flash",,,Up to 11 h (2G) / Up to 7 h (3G),PowerVR SGX530,,Noise -90.9dB / Crosstalk -83.6dB,Yes,,,Nokia N9,"116.5 x 61.2 x 12.1 mm, 76 cc (4.59 x 2.41 x 0.48 in)",,,HSDPA 850 / 900 / 1700 / 1900 / 2100,"480 x 854 pixels, 16:9 ratio (~251 ppi density)",1.0 GHz Cortex A8,Endurance rating 39h,microUSB 2.0,GSM / HSPA,135 g (4.76 oz),MeeGo 1.2 Harmattan,,,Contrast ratio: Infinite (nominal) / 3.069:1 (sunlight),,https://fdn2.gsmarena.com/vv/bigpic/Nokia-N9-00-cyan.jpg,,,,TI OMAP 3630,Discontinued,,,AMOLED,,,"16GB 1GB RAM, 64GB 1GB RAM",HSPA 14.4/5.76 Mbps,,1.16 W/kg (head),SNS integrationTV-outDolby Digital Plus,About 140 EUR,Up to 380 h (2G) / Up to 450 h (3G),No,720p@30fps,,1.18 W/kg (head)     1.18 W/kg (body),Non-removable Li-Ion 1450 mAh battery (BV-5JW),"2011, June. Released 2011, September",Nokia,,,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,,,,,,Yes,VGA,"GPS, A-GPS; Ovi Maps","8 MP, AF","3.9 inches, 41.9 cm2(~58.8% screen-to-body ratio)",Up to 50 h,,,Voice 61dB / Noise 58dB / Ring 66dB,"Accelerometer, proximity, compass",GSM 850 / 900 / 1800 / 1900,
HSDPA 850 / 2100,,,,,,Mini-SIM,,,,,,,"2.0, A2DP, EDR","Stereo FM radio, RDS",,,,"White, Warm Grey, All Black",,Dual-LED flash,,,Up to 11 h (2G) / Up to 4 h 40 min (3G),,,,"Yes, with stereo speakers",,,Nokia C5 5MP,"112.3 x 46 x 12.3 mm, 56.2 cc (4.42 x 1.81 x 0.48 in)",,,HSDPA 900 / 2100,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",600 MHz ARM 11,,microUSB 2.0,GSM / HSPA,95 g (3.35 oz),"Symbian 9.3, Series 60 rel. 3.2",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-c5-00-5mp1.jpg,,,,,Discontinued,,,"TFT, 16M colors",,,270MB 256MB RAM 512MB ROM,HSPA,,1.34 W/kg (head),"MP4/H.264 playerMP3/WAV/eAAC+/WMA playerDocument viewer (Word, Excel, PowerPoint, PDF)Video/Photo editorOrganizerFacebook, YouTube, hi5, Friendster, MySpace appsVoice memo/dialPredictive text input",About 110 EUR,Up to 600 h (2G) / Up to 672 h (3G),"microSDHC (dedicated slot), 2 GB included",480p@15fps,,1.16 W/kg (head)     0.86 W/kg (body),Removable Li-Ion 1050 mAh battery (BL-5CT),"2011, June. Released 2011, September",Nokia,,,,No,,,,,,,Yes,VGA videocall camera,"GPS, A-GPS; Ovi Maps 3.0",5 MP,"2.2 inches, 15.0 cm2(~29.0% screen-to-body ratio)",Up to 30 h,,,,,GSM 850 / 900 / 1800 / 1900,
GSM 850 / 1900 - SIM1 & SIM 2,,,,,,Dual SIM (Mini-SIM),,,,"WAP 2.0/xHTML, Adobe Flash Lite",,,"2.1, EDR","FM radio, recording (selected markets)",,,,Graphite,,,Yes + downloadable,,Up to 5 h,,,,Yes,,,Nokia C2-06,103 x 51.4 x 17 mm (4.06 x 2.02 x 0.67 in),"SMS, MMS, Email, Push Email",,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",,,microUSB 2.0,GSM,115 g (4.06 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/Nokia-C2-06-graphite.jpg,,,No,,Discontinued,"Yes, MIDP 2.1",Yes,"TFT resistive touchscreen, 65K colors",,,10MB,,,0.61 W/kg (head),Handwriting recognition,About 110 EUR,Up to 400 h,"microSDHC (dedicated slot), 2 GB included",QCIF@15fps,,,Removable Li-Ion 1020 mAh battery (BL-5C),"2011, June. Released 2011, November",Nokia,"1000 entries, Photocall",,,No,Class 12,MP4/H.264 playerMP3/AAC/WAV playerOrganizerVoice memoPredictive text input,,,,Class 12,Yes,,No,2 MP,"2.6 inches, 20.9 cm2(~39.5% screen-to-body ratio)",Up to 37 h,,,,,GSM 900 / 1800 - SIM1 & SIM 2,
