Unnamed: 0,Brand,3.5mm jack,_1,CPU,Weight,Display,Protection,Loudspeaker_1,Build,Phonebook,Price,NFC,Positioning,Speed,Dual,Resolution,Games,Talk time,Size,Status,Infrared port,GPU,Technology,Colors,Triple,WLAN,Charging,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Single_1,OS,Bluetooth,USB,SAR,_4,Java,EDGE,Sensors,Video,Dimensions,Features,Single,5G bands,Quad,128GB 4GB RAM,_2,_5,Internal,Models,Call records,_3,Loudspeaker,Features_1,Card slot,Model Image,Radio,4G bands,URL,Image
eMMC 5.1,TCL,Yes,Virtual proximity sensing,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),177.4 g (6.24 oz),,,,,,About 100 EUR,No,GPS,"HSPA, LTE",,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",,,"6.0 inches, 92.9 cm2(~78.9% screen-to-body ratio)","Available. Released 2023, January 26",,PowerVR GE8320,GSM / HSPA / LTE,Black,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",10W wired,,HSDPA 850 / 1700(AWS) / 1900,"2023, January 26",,TCL Ion X,,1080p@30fps,"Li-Ion 3000 mAh, removable",GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT6762G Helio G25 (12 nm),"5 MP, (wide) 1/5.0"", 1.12µm","Android, TCL UI","5.1, A2DP, LE",USB Type-C 2.0,,,,,Accelerometer,1080p@30fps,156.5 x 75.2 x 8.9 mm (6.16 x 2.96 x 0.35 in),LED flash,"13 MP, (wide) 1/3.06"", 1.12µm, PDAF",,,,,,32GB 3GB RAM,,,,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-ion-x.jpg,Unspecified,"2, 4, 5, 12, 25, 26, 41, 66, 71",,
"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - T610E, T610P",TCL,Yes,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38, 40, 66 - T610E, T610P",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),190 g (6.70 oz),,,,"Glass front, plastic frame, plastic back",,About 120 EUR,"Yes (T610K, T610K2, T610P, T610P2)","GPS, GLONASS, GALILEO, BDS","HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps",,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,,"6.75 inches, 110.0 cm2(~85.6% screen-to-body ratio)","Available. Released 2023, April 04",,PowerVR GE8320,GSM / HSPA / LTE,"Dark grey, Twilight purple","50 MP, f/1.8, 26mm (wide), 1/2.55"", 0.7µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1900 / 2100 - T610K,"2023, January 05",,TCL 40 SE,,1080p@30fps,Li-Po 5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits (typ)",Mediatek MT6765 Helio G37 (12 nm),,"Android 13, TCL UI 5.0","5.1, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, proximity",1080p@30fps,167.9 x 76.5 x 8.5 mm (6.61 x 3.01 x 0.33 in),"LED flash, HDR, panorama","8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",,,,eMMC 5.1,,"128GB 4GB RAM, 256GB 6GB RAM",,,,"Yes, with stereo speakers",HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-40-se.jpg,Unspecified,"1, 3, 5, 7, 8, 13, 20, 28, 38, 40, 41 - T610K",,
HSDPA 850 / 900 / 1900 / 2100 - T507D1,TCL,Yes,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 66 - T507J",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),190 g (6.70 oz),,,,,,About 130 EUR,Yes (T507U only),"GPS, GLONASS, GALILEO, BDS","HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps","50 MP, f/1.8, 26mm (wide), 1/2.55"", 0.7µm, PDAF2 MP, f/2.4, (depth)","720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,"6.6 inches, 104.6 cm2(~84.3% screen-to-body ratio)","Available. Released 2023, March 31",,PowerVR GE8320,GSM / HSPA / LTE,"Gravity Grey, Midnight Blue",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - T507A, T507U, T507U1, T507U2, T507J","2023, January 05",,TCL 408,,1080p@30fps,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 400 nits (typ)",Mediatek MT6762G Helio G25 (12 nm),,Android 12,"5.1, A2DP, LE","USB Type-C 2.0, OTG",,eMMC 5.1,,,"Fingerprint (side-mounted), accelerometer",1080p@30fps,164.7 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),LED flash,"8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12µm",,,,"1, 2, 3, 4, 5, 7, 13, 28, 40, 66 - T507A",Virtual proximity sensing,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM","T507D1, T507A, T507U, T507U1, T507U2, T507J",,"1, 3, 5, 7, 8, 20, 28 - T507D1","Yes, with stereo speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-408.jpg,FM radio,"1, 3, 5, 7, 8, 13, 20, 28, 38, 40, 41 - T507U, T507U1, T507U2",,
"HSDPA 850 / 900 / 1900 / 2100 - T431U, T431Q, T431P",TCL,Yes,"HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - T431A, T431E",Quad-core 2.0 GHz Cortex-A53,182 g (6.42 oz),,,,,,About 80 EUR,No,"GPS, GALILEO, BDS","HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps",,"480 x 960 pixels, 18:9 ratio (~179 ppi density)",,,"6.0 inches, 92.9 cm2(~74.6% screen-to-body ratio)","Available. Released 2023, April 04",,PowerVR GE8320,GSM / HSPA / LTE,"Prime Black, Mauve Mist",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,HSDPA 900 / 2100 - T431D,"2023, January 05",,TCL 403,,720p@30fps,Li-Ion 3000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,TFT LCD,Mediatek MT6761 Helio A22 (12 nm),"5 MP, f/2.8or2 MP, f/2.8  - T431Q only",Android 12 (Go edition),"5.0, A2DP, LE",microUSB 2.0,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - T431Q",,,Accelerometer,1080p@30fps or 720p@30fps (T431Q only),159.2 x 78.2 x 9.6 mm (6.27 x 3.08 x 0.38 in),"LED flash, HDR, panorama","8 MP, f/2.0, 27mm (wide), 1/4.0"", 1.12µm, AFor5 MP, f/2.4, 27mm (wide), 1/5.0"", 1.12µm - T431Q only",,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - T431U, T431P",,"32GB 1GB RAM, 32GB 2GB RAM","T431D, T431U, T431Q, T431P, T431A, T431E",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 66 - T431A, T431E",Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-403.jpg,Unspecified,"1, 3, 7, 8, 20, 28 - T431D",,
Stylus support,TCL,No,eMMC 5.1,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),599 g (1.32 lb),,,,,,About 500 EUR,No,GPS - cellular model only,"HSPA, LTE, 5G - cellular model only",8 MP8 MP,"1440 x 2160 pixels, 3:2 ratio (~213 ppi density)",,,"12.2 inches, 443.2 cm2(~82.5% screen-to-body ratio)","Available. Released 2023, January 05",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Navy Blue,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2023, January 05",,TCL NxtPaper 12 Pro,,1080p@30fps,Li-Po 8000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM (cellular model only),"NCVM IPS, 370 nits (typ)",Mediatek MT8771,,Android 12,"5.1, A2DP, LE","USB Type-C 2.0, magnetic connector",,,,,"Accelerometer, proximity, compass",1080p@30fps,279 x 192.5 x 6.9 mm (10.98 x 7.58 x 0.27 in),LED flash,"13 MP, AF","1, 3, 5, 7, 8, 20, 28, 40, 41, 77, 78 SA/NSA",,,,,256GB 8GB RAM,,,,"Yes, with stereo speakers (4 speakers)",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-nxtpaper-12-pro.jpg,Unspecified,"1, 3, 5, 7, 8, 20, 28, 32, 34, 38, 39, 40, 41",,
eMMC 5.1,TCL,Yes,Virtual proximity sensing,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),190 g (6.70 oz),,,,,,About 100 EUR,No,"GPS, GLONASS, GALILEO, BDS","HSPA 42.2/11.5 Mbps, LTE Cat4 150/75 Mbps","13 MP, f/2.2, 27mm (wide) 1/3.06"", 1.12µm, PDAF2 MP, f/2.4, (depth)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",,,"6.6 inches, 105.2 cm2(~84.7% screen-to-body ratio)","Available. Released 2022, November 02",,PowerVR GE8320,GSM / HSPA / LTE,"Lavender Purple, Space Dark",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1900 / 2100,"2022, November 02",,TCL 405,,1080p@30fps,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 400 nits (typ)",Mediatek MT6762G Helio G25 (12 nm),,"Android 12 (Go edition), TCL UI","5.1, A2DP, LE","USB Type-C 2.0, OTG",,,,,Accelerometer,1080p@30fps,164.7 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),"LED flash, HDR","5 MP, f/2.2, 27mm (wide) 1/5.0"", 1.12µm",,,,,,"32GB 2GB RAM, 64GB 2GB RAM",T506D,,,"Yes, with stereo speakers",HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-405.jpg,FM radio,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,
,TCL,Yes,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),204.4 g (7.20 oz),,,,"Glass front, plastic frame, plastic back",,About 150 EUR,No,GPS,"HSPA, LTE",,720 x 1640 pixels (~263 ppi density),,,"6.82 inches, 110.5 cm2(~83.3% screen-to-body ratio)","Available. Released 2022, June 01",,PowerVR GE8320,GSM / HSPA / LTE,Dark Blue,,Yes,18W wired,,HSDPA 850 / 1700(AWS) / 1900,"2022, June 01",,TCL 30 XL,,1080p@30fps,Li-Ion 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT6762V Helio A25 (12 nm),,"Android 12, TCL UI 3.0",Yes,USB Type-C 2.0,,,,,"Fingerprint (rear-mounted), accelerometer, proximity",1080p@30fps,172.2 x 77 x 9.1 mm (6.78 x 3.03 x 0.36 in),"LED flash, HDR, panorama","13 MP, (wide)",,"50 MP, f/1.9, 29mm (wide), PDAF5 MP, 17mm, 115˚ (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,,64GB 6GB RAM,T671G,,,"Yes, with dual speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-30-xl.jpg,Unspecified,"2, 4, 5, 12, 13, 25, 26, 41, 66, 71",,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,TCL,Yes,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - T771H",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),192 g (6.77 oz),,,,"Glass front, plastic frame, plastic back",,About 240 EUR,Yes,"GPS, GLONASS, GALILEO, BDS","HSPA, LTE, 5G",,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,"6.6 inches, 104.6 cm2(~84.4% screen-to-body ratio)","Available. Released 2022, October 21",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,"Stardust Purple, Starlight Black","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",Wi-Fi 802.11 b/g/n,15W wired,,HSDPA 850 / 900 / 1900 / 2100,"2022, October 26",,TCL 40R,,1080p@30fps,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits (typ)",Mediatek Dimensity 700 (7 nm),,"Android 12, TCL UI 4.0","5.1, A2DP, LE",USB Type-C 2.0,,24-bit/192kHz Hi-Res audio,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,164.5 x 75.4 x 9 mm (6.48 x 2.97 x 0.35 in),"LED flash, HDR, panorama","8 MP, f/2.0, (wide), 1/4.0"", 1.12µm","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 78 SA/NSA - T771K, T771K1",,,"7, 28, 66, 71, 78 SA/NSA - T771A",,"64GB 4GB RAM, 128GB 4GB RAM","T771K, T771K1, T771H, T771A",,eMMC 5.1,Yes,,microSDXC (uses shared SIM slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-40r-5g.jpg,FM radio,LTE,,
Stylus,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),213 g (7.51 oz),,NEG,,"Glass front, plastic frame, plastic back",,About 240 EUR,Yes,GPS,"HSPA, LTE, 5G",,1080 x 2460 pixels (~395 ppi density),,,"6.81 inches, 110.1 cm2(~84.9% screen-to-body ratio)","Available. Released 2022, June 02",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Lunar Black,"50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF5 MP, 115˚ (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2022, June 02",,TCL Stylus,,1080p@30fps,Li-Ion 4000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,"IPS LCD, 500 nits (typ)",Mediatek Dimensity 700 (7 nm),,"Android 12, TCL UI 4.0","5.2, A2DP, LE","USB Type-C 2.0, OTG",1.25 W/kg (head)     1.25 W/kg (body),,,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",1080p@30fps,169.6 x 76.5 x 9 mm (6.68 x 3.01 x 0.35 in),"LED flash, HDR, panorama","13 MP, f/2.3, 19mm (ultrawide), 1/3"", 1.12µm","25, 41, 66, 77 SA/NSA/Sub6",,,,,128GB 4GB RAM,T779W,,,"Yes, with stereo speakers",HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-stylus-5g.jpg,Unspecified,"2, 4, 5, 12, 25, 26, 41, 66, 71",,
eMMC 5.1,TCL,Yes,,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),490 g (1.08 lb),,,,,,About 350 EUR,No,GPS,"HSPA, LTE, 5G",,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",,,"10.1 inches, 295.8 cm2(~77.2% screen-to-body ratio)","Available. Released 2022, Q3",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,Dark Gray,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1900 / 2100,"2022, February 27",,TCL Tab 10s 5G,,1080p@30fps,Li-Po 8000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT8771,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",Android 12,"5.1, A2DP, LE",USB Type-C 2.0,,,,,"Accelerometer, proximity",1080p@30fps,241.7 x 158.6 x 8.5 mm (9.52 x 6.24 x 0.33 in),LED flash,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm, AF","1, 3, 5, 7, 8, 20, 28, 40, 41, 77, 78 SA/NSA/Sub6",,,,,64GB 4GB RAM,,,,"Yes, with dual speakers",,microSDXC,https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10s-5g.jpg,"FM radio, RDS","1, 3, 5, 7, 8, 20, 28, 32, 38, 40, 41",,
eMMC 5.1,TCL,Yes,,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),448 g (15.80 oz),,,,,,About 180 EUR,No,No,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,,"10.1 inches, 295.8 cm2(~76.9% screen-to-body ratio)","Available. Released 2022, June",,PowerVR GE8320,GSM / HSPA / LTE,Dark Gray,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2022, February 27",,TCL Tab 10 HD 4G,,1080p@30fps,Li-Po 5500 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT8768E,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",Android 11,"5.0, A2DP, LE",USB Type-C 2.0,,,,,"Accelerometer, proximity",1080p@30fps,243.2 x 158.2 x 9.2 mm (9.57 x 6.23 x 0.36 in),,"5 MP, f/2.4, (wide), 1/5.0"", 1.12µm",,,,,,32GB 3GB RAM,,,,"Yes, with dual speakers",,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-tab-10-hd-4g.jpg,No,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 28, 38, 40, 41, 66",,
,TCL,Yes,,Quad-core 2.0 GHz Cortex-A53,172 g (6.07 oz),,,,,,About 70 EUR,No,GPS,"HSPA, LTE",,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,,"6.1 inches, 91.3 cm2(~79.2% screen-to-body ratio)","Available. Released 2022, July",,PowerVR GE8300,GSM / HSPA / LTE,Black,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",10W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2022, July 06",,TCL 30 LE,,1080p@30fps,"Li-Ion 3000 mAh, removable",GSM 850 / 900 / 1800 / 1900,Nano-SIM,IPS LCD,Mediatek MT6761V Helio A22 (12 nm),"8 MP, (wide)",Android 12,"5.0, A2DP, LE",USB Type-C 2.0,0.79 W/kg (head)     1.19 W/kg (body),,,,"Accelerometer, proximity, compass, barometer",1080p@30fps,156.2 x 73.8 x 9.4 mm (6.15 x 2.91 x 0.37 in),LED flash,"13 MP, (wide), 1.12µm , AF",,,,,,32GB 3GB RAM,,,,Yes,,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-30-le.jpg,Unspecified,"2, 3, 4, 5, 7, 12, 13, 66",,
eMMC 5.1,TCL,Yes,,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),184 g (6.49 oz),,,,"Glass front, plastic frame, plastic back",,About 250 EUR,Yes,"GPS, GLONASS, GALILEO, BDS","HSPA 42.2/11.5 Mbps, LTE Cat13 390/150 Mbps, 5G",,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"6.7 inches, 108.4 cm2(~87.6% screen-to-body ratio)","Available. Released 2022, April 11",,Mali-G57 MC2,GSM / HSPA / LTE / 5G,"Tech Black, Dreamy Blue","50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"2022, February 27",,TCL 30 5G,,1080p@30fps,Li-Po 5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"AMOLED, 650 nits (typ), 900 nits (peak)",Mediatek Dimensity 700 (7 nm),,"Android 12, TCL UI 4.0","5.1, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,164.5 x 75.2 x 7.7 mm (6.48 x 2.96 x 0.30 in),"LED flash, HDR, panorama","13 MP, f/2.3, 19mm (ultrawide), 1/3"", 1.12µm","1, 3, 5, 7, 8, 20, 28, 40, 41, 78 SA/NSA",,,,,"64GB 4GB RAM, 128GB 4GB RAM",T776H,,,Yes,HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-30-5g.jpg,Unspecified,"1, 3, 5, 7, 8, 20, 26, 28, 32, 38, 40, 41",,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,TCL,Yes,"2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 66 - LATAM",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),184 g (6.49 oz),,,,"Glass front, plastic frame, plastic back",,About 220 EUR,Yes (T676K only),"GPS, GLONASS, GALILEO, BDS","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"6.7 inches, 108.4 cm2(~87.6% screen-to-body ratio)","Available. Released 2022, April 20",,PowerVR GE8320,GSM / HSPA / LTE,"Tech Black, Muse Blue","50 MP, f/1.9, 28mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1900 / 2100 - EMEA/APAC,"2022, February 27",,TCL 30+,,1080p@30fps,Li-Po 5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM + Nano-SIM,"AMOLED, 650 nits (typ), 900 nits (peak)",Mediatek MT6765V/CB Helio G37 (12 nm),,"Android 12, TCL UI 4.0","5.0, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,164.5 x 75.2 x 7.7 mm (6.48 x 2.96 x 0.30 in),"LED flash, HDR, panorama","13 MP, f/2.3, 19mm (ultrawide), 1/3"", 1.12µm",,,,eMMC 5.1,,128GB 4GB RAM,"T676K, T676J",,,"Yes, with dual speakers",HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-30-plus.jpg,Unspecified,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA",,
eMMC 5.1,TCL,Yes,,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),184 g (6.49 oz),,,,"Glass front, plastic frame, plastic back",,About 200 EUR,Yes,"GPS, GLONASS, GALILEO, BDS","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,,"6.7 inches, 108.4 cm2(~87.6% screen-to-body ratio)","Available. Released 2022, April 20",,PowerVR GE8320,GSM / HSPA / LTE,"Tech Black, Muse Blue","50 MP, f/1.9, 28mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",18W wired,,HSDPA 850 / 900 / 1900 / 2100,"2022, February 27",,TCL 30,,1080p@30fps,Li-Po 5010 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIM + Nano-SIM,"AMOLED, 650 nits (typ), 900 nits (peak)",Mediatek MT6765V/CB Helio G37 (12 nm),,"Android 12, TCL UI 4.0","5.0, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (side-mounted), accelerometer, proximity, compass",1080p@30fps,164.5 x 75.2 x 7.7 mm (6.48 x 2.96 x 0.30 in),"LED flash, HDR, panorama","8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",,,,,,64GB 4GB RAM,T676H,,,"Yes, with dual speakers",HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-30.jpg,Unspecified,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,TCL,Yes,"2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 66 - LATAM",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),190 g (6.70 oz),,,,"Glass front, plastic frame, plastic back",,,Yes (6165H/6165H1 only),"GPS, GLONASS, GALILEO, BDS","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,,"6.52 inches, 102.6 cm2(~82.3% screen-to-body ratio)","Available. Released 2022, April 20",,PowerVR GE8320,GSM / HSPA / LTE,"Atlantic Blue, Space Gray, Glacial Blue","50 MP, f/1.9, 28mm (wide), 1/2.76"", 0.64µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",15W wired,,HSDPA 850 / 900 / 1900 / 2100  - EMEA/APAC,"2022, February 27",,TCL 30 SE,,1080p@30fps,Li-Po 5000 mAh,GSM 850 / 900 / 1800 / 1900,Nano-SIMNano-SIM + Nano-SIM,"IPS LCD, 450 nits (typ)",Mediatek MT6762G Helio G25 (12 nm),,"Android 12, TCL UI 4.0","5.0, A2DP, LE",USB Type-C 2.0,,,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",1080p@30fps,165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),"LED flash, HDR, panorama","8 MP, f/2.0, 26mm (wide), 1/4.0"", 1.12µm",,,,eMMC 5.1,,"64GB 4GB RAM, 128GB 4GB RAM","6165H, 6156H1, 6165A, 6165A1, 6165S",,,Yes,HDR,microSDXC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/tcl-30se.jpg,Unspecified,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA",,
