,Price,Features,Talk time,Positioning,Resolution,Type_1,WLAN,Infrared port,EDGE,Phonebook,Bluetooth,Messaging,Music play,GPU,Chipset,Keyboard,Java,Model Image,OS,3G bands,2G bands,Call records,4G bands,Card slot,Internal,Status,_3,Technology,Stand-by,Video,Video_1,Games,Single,3.5mm jack,Brand,Speed,Dimensions,_2,GPRS,Weight,CPU,Colors,Announced,Type,_1,Sensors,Single_1,Size,Model Name,Loudspeaker,USB,Browser,SIM,Radio,NFC
OrganizerPhoto/video editorDocument viewerMP4/H.264 playerMP3/AAC+ playerPredictive text input,,,,"GPS, A-GPS","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Removable Li-Ion battery,Wi-Fi 802.11 b/g,,,,"2.1, A2DP",,,,,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-shine.jpg,Android 2.2 (Froyo),HSDPA 850 / 2100,GSM 850 / 900 / 1800 / 1900,,,microSDHC (dedicated slot),512MB 256MB RAM,Discontinued,,GSM / HSPA,,Yes,,,2 MP,Yes,Icemobile,HSPA 7.2/0.384 Mbps,112 x 58 x 13.5 mm (4.41 x 2.28 x 0.53 in),,,126 g (4.44 oz),,"White, Black, Red","2011, June. Released 2011, July","TFT,  65K colors",,"Accelerometer, compass",Yes,"3.2 inches, 30.5 cm2(~46.9% screen-to-body ratio)",Icemobile Shine,Yes,microUSB 2.0,,Mini-SIM,FM radio,Optional
GSM 850 / 900 / 1800 / 1900 - SIM 2,,LED flash,Up to 5 h,"GPS, A-GPS","240 x 400 pixels, 5:3 ratio (~133 ppi density)",Removable Li-Ion 1050 mAh battery,Wi-Fi 802.11,,No,,Yes,,,,Mediatek MT6516,,,https://fdn2.gsmarena.com/vv/bigpic/icemobile-crystal.jpg,Android 2.2 (Froyo),,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,microSD (dedicated slot),512MB 256MB,Discontinued,,GSM,Up to 180 h,Yes,,,1.3 MP,Yes,Icemobile,,111.5 x 56.2 x 13.1 mm (4.39 x 2.21 x 0.52 in),TV appOrganizerMP4/H.264 playerMP3/AAC+ playerPredictive text input,Yes,-,416 MHz,"Black, White","2011, February. Released 2011, Q2","TFT,  65K colors",TrackballFlashlight,Accelerometer,Yes,"3.5 inches, 34.9 cm2(~55.6% screen-to-body ratio)",Icemobile Crystal,Yes,microUSB 2.0,"WAP 2.0/xHTML, HTML","Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 4 h 10 min,No,220 x 176 pixels (~128 ppi density),Removable Li-Ion 1050 mAh battery,Wi-Fi 802.11 b/g/n,,No,"500 contacts, Photocall",Yes,"SMS, MMS",,,,QWERTY,Yes,https://fdn2.gsmarena.com/vv/bigpic/icemobile-cometII.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSD (dedicated slot),,Discontinued,TV appOrganizerMP4 playerMP3 playerPredictive text input,GSM,Up to 200 h,,,Yes,VGA,Yes,Icemobile,,111.5 x 60 x 12.8 mm (4.39 x 2.36 x 0.50 in),No,Yes,90 g (3.17 oz),,"Black, Pink, Brown","2011, June","TFT, 65K colors",Flashlight,,,"2.2 inches, 15.2 cm2(~22.8% screen-to-body ratio)",Icemobile Comet II,Yes,miniUSB (charging only),WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,220 x 176 pixels (~141 ppi density),Removable Li-Ion 800 mAh battery,No,,No,"300 contacts, Photocall",2.0,"SMS, MMS",,,,QWERTY,Yes,https://fdn2.gsmarena.com/vv/bigpic/icemobile-viento-II.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSD (dedicated slot),,Discontinued,TV appOrganizerMP4 playerMP3 playerPredictive text input,GSM,Up to 580 h,,,Yes,VGA,Yes,Icemobile,,100 x 55 x 13.5 mm (3.94 x 2.17 x 0.53 in),No,Class 10,-,,"Purple, Black, Red","2011, June","TFT, 65K colors",Flashlight,,,"2.0 inches, 12.6 cm2(~22.9% screen-to-body ratio)",Icemobile Viento II,Yes,miniUSB (charging only),WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,128 x 160 pixels (~116 ppi density),Removable Li-Ion 800 mAh battery,No,,No,"300 contacts, Photocall",No,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rock.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSD (dedicated slot),,Discontinued,MP3/MP4 playerOrganizerPredictive text input,GSM,Up to 580 h,,,Yes,Yes,No,Icemobile,,109.7 x 46.6 x 15 mm (4.32 x 1.83 x 0.59 in),No,Class 10,-,,"Purple, Blue, Black, Red, Yellow","2011, June. Released 2011, July","TFT, 65K colors",Flashlight,,,"1.77 inches, 9.9 cm2(~19.3% screen-to-body ratio)",Icemobile Rock,Yes,miniUSB (charging only),WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 3 h,No,160 x 128 pixels (~114 ppi density),Removable Li-Ion 800 mAh battery,No,,No,"500 contacts, Photocall",Yes,"SMS, MMS",,,,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-tropical-1.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSD (dedicated slot),,Discontinued,OrganizerMP3 playerPredictive text input,GSM,Up to 600 h,Yes,,Yes,VGA,Yes,Icemobile,,108.5 x 57 x 13.5 mm (4.27 x 2.24 x 0.53 in),No,Class 10,81 g (2.86 oz),,"Black/Red, White/Black, Pink/Black","2011, May","TFT, 65K colors",Flashlight,,,"1.8 inches, 10.2 cm2(~16.5% screen-to-body ratio)",Icemobile Tropical,Yes,miniUSB (charging only),WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,160 x 128 pixels (~114 ppi density),Removable Li-Ion 800 mAh battery,No,,No,"300 contacts, Photocall",Yes,"SMS, MMS",,,,QWERTY,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-tropical-ii-new.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSD (dedicated slot),,Discontinued,OrganizerMP3 playerPredictive text input,GSM,Up to 580 h,,,Yes,VGA,Yes,Icemobile,,99 x 55.5 x 12.9 mm (3.90 x 2.19 x 0.51 in),No,Class 10,-,,"Purple, Black, Red","2011, May","TFT, 65K colors",Flashlight,,,"1.8 inches, 10.2 cm2(~18.6% screen-to-body ratio)",Icemobile Tropical II,Yes,miniUSB (charging only),WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 10 h,No,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",Removable Li-Ion battery,No,,No,"300 contacts, Photocall",Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rainbow2.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSD (dedicated slot),,Discontinued,MP3 playerOrganizerVoice memo,GSM,Up to 360 h,Yes,,Yes,0.3 MP,No,Icemobile,,109 x 47 x 14.1 mm (4.29 x 1.85 x 0.56 in),No,Yes,78 g (2.75 oz),,"Black, Blue, Red, Purple, Yellow","2011, April. Released 2011, April","TFT, 65K colors",Flashlight,,,"1.8 inches, 10.0 cm2(~19.6% screen-to-body ratio)",Icemobile Rainbow II,Yes,Proprietary,WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",Stereo FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 8 h,No,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",Removable Li-Ion 580 mAh battery,No,,No,"500 contacts, Photocall",Yes,"SMS, MMS",,,,,No,https://fdn2.gsmarena.com/vv/bigpic/icemobile-rainbow.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSD (dedicated slot),,Discontinued,MP3/MP4 playerOrganizerVoice memo,GSM,Up to 580 h,No,,Yes,0.3 MP,No,Icemobile,,109.7 x 57 x 15 mm (4.32 x 2.24 x 0.59 in),No,Yes,80 g (2.82 oz),,"Black, Blue, Red, Pink, White",2011. Released 2011,"TFT, 65K colors",Flashlight,,,"1.8 inches, 10.0 cm2(~16.0% screen-to-body ratio)",Icemobile Rainbow,Yes,No,WAP 2.0/xHTML,"Dual SIM (Mini-SIM, dual stand-by)",FM radio,
GSM 850 / 900 / 1800 / 1900 - SIM 2,,,Up to 6 h,No,"240 x 320 pixels, 4:3 ratio (~222 ppi density)",Removable Li-Ion 650 mAh battery,Wi-Fi 802.11 b/g/n,,No,200 entries,Yes,"SMS, MMS",,,,QWERTY,Yes,https://fdn2.gsmarena.com/vv/bigpic/icemobile-twilight.jpg,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,Yes,,microSDHC (dedicated slot),,Discontinued,,GSM,Up to 45 h,Yes,,Yes + downloadable,0.3 MP,No,Icemobile,,88 x 59 x 14 mm (3.46 x 2.32 x 0.55 in),,Yes,103 g (3.63 oz),,"Black, White, Red","2010, December. Released 2010, October",TFT,OrganizerAnalog TVMP3 PlayerPredictive Text Input,,Yes,"1.8 inches, 10.0 cm2(~19.3% screen-to-body ratio)",Icemobile Twilight,No,No,,Dual SIM (Mini-SIM),FM radio,
