,Positioning,Resolution,Type_1,Loudspeaker_1,Java,Triple,4G bands,Status,_3,Display,Video_1,128GB 4GB RAM,3.5mm jack,Battery (old),_2,Features_1,Quad,_1,Models,Performance,_4,Unspecified,256GB 8GB RAM,Protection,_6,Bluetooth,Music play,GPU,Chipset,OS,2G bands,Card slot,256GB,SAR EU,Single,Speed,GPRS,Weight,128GB 6GB RAM,CPU,Sensors,Size,Model Name,USB,512GB 12GB RAM,Browser,Price,Talk time,128GB 8GB RAM,EDGE,Battery (new),_5,64GB 4GB RAM,Internal,Stand-by,Video,Dual,Dimensions,Announced,Single_1,Dual_1,Audio quality,SIM,Radio,Camera,1TB 16GB RAM,Features,WLAN,Infrared port,Phonebook,Messaging,Keyboard,256GB 12GB RAM,Model Image,Call records,3G bands,Technology,Games,Brand,512GB 16GB RAM,SAR,Colors,Type,Charging,5G bands,Loudspeaker,Build,NFC
eMMC 5.1,"GPS, GLONASS","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Li-Ion 3000 mAh, non-removable",,,,"1, 3, 7, 8, 20","Available. Released 2018, May",,,720p@30fps,,Yes,,,LED flash,,,"ATU-L11, ATU-LX3, ATU-L21, ATU-L22",,,,,,,"v4.2, A2DP, LE",,Adreno 308,Qualcomm MSM8917 Snapdragon 425 (28 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900,microSDXC (dedicated slot),,,"13 MP, PDAF","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,150 g (5.29 oz),,Quad-core 1.4 GHz Cortex-A53,"Accelerometer, proximity","5.7 inches, 83.8 cm2(~75.4% screen-to-body ratio)",Huawei Y6 (2018),microUSB 2.0,,,About 150 EUR,,,,,,,"16GB 2GB RAM, 16GB 3GB RAM",,1080p@30fps,,152.4 x 73 x 7.8 mm (6.00 x 2.87 x 0.31 in),"2018, April",5 MP,,,Nano-SIM + Nano-SIM,FM radio,,,"LED flash, HDR, panorama","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-y6-2018.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Gold, Blue",S-IPS LCD,,,Yes,,Yes (ATU-L11 only)
IP67 dust/water resistant (up to 1m for 30 min),"GPS, GLONASS, GALILEO","1440 x 2880 pixels, 18:9 ratio (~538 ppi density)","Li-Po 4000 mAh, non-removable",,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, OIS8 MP, f/2.4, 80mm (telephoto), 1/4.0"", PDAF, OIS, 3x optical zoom20 MP B/W, f/1.6, 27mm (wide), 1/2.7"", AF","1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40","Available. Released 2018, April",,,1080p@30fps,,No,,32-bit/384kHz audio,,,UFS 2.1,"NEO-L29, NEO-AL00",,,,,,,"4.2, A2DP, LE, EDR, aptX HD",,Mali-G72 MP12,Kirin 970 (10 nm),"Android 8.1 (Oreo), EMUI 9.1",GSM 850 / 900 / 1800 / 1900,No,,,"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm, AF","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat18 1200/150 Mbps",,183 g (6.46 oz),,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),"Fingerprints (rear-mounted and under display, optical), accelerometer, gyro, proximity, compass, barometer","6.0 inches, 92.6 cm2(~83.5% screen-to-body ratio)",Huawei Mate RS Porsche Design,USB Type-C 3.1,,,About 1300 EUR,,,,,,,"256GB 6GB RAM, 512GB 6GB RAM",,"4K@30fps, 1080p, 720p@960fps",,152.9 x 72.5 x 8.5 mm (6.02 x 2.85 x 0.33 in),"2018, March",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, Leica optics, dual-LED dual-tone flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-rs-porsche-design-1.jpg,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Red",OLED,"22.5W wired, 58% in 30 minWireless (Qi)",,"Yes, with stereo speakers",,Yes
IP67 dust/water resistant (up to 1m for 30 min),"GPS, GLONASS, GALILEO","1080 x 2240 pixels, 18.7:9 ratio (~408 ppi density)","Li-Po 4000 mAh, non-removable",Voice 71dB / Noise 69dB / Ring 91dB,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, OIS8 MP, f/2.4, 80mm (telephoto), 1/4.0"", PDAF, OIS, 3x optical zoom20 MP B/W, f/1.6, 27mm (wide), 1/2.7""","1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40","Available. Released 2018, April 06",,"Contrast ratio: Infinite (nominal), 4.087 (sunlight)",1080p@30fps,,No,Endurance rating 89h,32-bit/384kHz audio,Leica optics,,UFS 2.1,"CLT-L29C, CLT-L29, CLT-L09C, CLT-L09, CLT-AL00, CLT-AL01, CLT-TL01, CLT-AL00L, CLT-L04, HW-01K, CLT-L0J",AnTuTu: 209884 (v7)GeekBench: 6679 (v4.4)GFXBench: 21fps (ES 3.1 onscreen),,,,Corning Gorilla Glass 5,,"4.2, A2DP, LE, EDR, aptX HD",,Mali-G72 MP12,Kirin 970 (10 nm),"Android 8.1 (Oreo), upgradable to Android 10, EMUI 12",GSM 850 / 900 / 1800 / 1900,No,,,"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat16 1024/150 Mbps",,180 g (6.35 oz),,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","6.1 inches, 93.9 cm2(~82.0% screen-to-body ratio)",Huawei P20 Pro,USB Type-C 3.1,,,About 410 EUR,,,,,,,"64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",,"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps",,155 x 73.9 x 7.8 mm (6.10 x 2.91 x 0.31 in),"2018, March 27",,,Noise -92.1dB / Crosstalk -92.1dB,Nano-SIMNano-SIM + Nano-SIM,No,Photo/Video,,"Laser AF, color spectrum sensor, Leica optics, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-p20-pro-.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Gold",OLED,"22.5W wired, 58% in 30 min",,"Yes, with stereo speakers","Glass front (Gorilla Glass 5), glass back, aluminum frame",Yes
Water-repellent coating,"GPS, GLONASS, GALILEO","1080 x 2240 pixels, 18.7:9 ratio (~429 ppi density)","Li-Po 3400 mAh, non-removable",Voice 66dB / Noise 69dB / Ring 90dB,,,"1, 3, 7, 8, 20","Available. Released 2018, April 06",,"Contrast ratio: 1445:1 (nominal), 3.683 (sunlight)",1080p@30fps,,No,Endurance rating 75h,32-bit/384kHz audio,,,UFS 2.1,"EML-L29C, EML-L09C, EML-AL00 EML-TL00, EML-L29, EML-L09, EML-AL00, EML-TL00",AnTuTu: 207016 (v7)GeekBench: 6739 (v4.4)GFXBench: 23fps (ES 3.1 onscreen),,,,,,"4.2, A2DP, LE, EDR, aptX HD",,Mali-G72 MP12,Kirin 970 (10 nm),"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), EMUI 9.1",GSM 850 / 900 / 1800 / 1900,No,,,"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat16 1024/150 Mbps",,165 g (5.82 oz),,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","5.8 inches, 84.9 cm2(~80.4% screen-to-body ratio)",Huawei P20,USB Type-C 3.1,,,About 330 EUR,,,,,,,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",,"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","12 MP, f/1.8, 27mm (wide), 1/2.3"", 1.55µm, PDAF, OIS20 MP B/W, f/1.6, 27mm (wide), 1/2.7"", PDAF",149.1 x 70.8 x 7.7 mm (5.87 x 2.79 x 0.30 in),"2018, March 27",,,Noise -92.4dB / Crosstalk -92.7dB,Nano-SIMNano-SIM + Nano-SIM,No,Photo/Video,,"Laser AF, color spectrum sensor, Leica optics, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-p20-.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Twilight, Black, Midnight Blue, Pink Gold",IPS LCD,22.5W wired,,Yes,"Glass front, glass back, aluminum frame",Yes
eMMC 5.1,"GPS, GLONASS, BDS","1080 x 2280 pixels, 19:9 ratio (~432 ppi density)","Li-Po 3000 mAh, non-removable",Voice 66dB / Noise 71dB / Ring 84dB,,,"1, 3, 7, 8, 20","Available. Released 2018, March 26",,"Contrast ratio: 1785:1 (nominal), 2.952 (sunlight)",1080p@30fps,,Yes,Endurance rating 77h,,,,,"NE-TL00, ANE-LX1, ANE-LX2, ANE-LX3, ANE-LX2J, ANE-AL00, ANE-L23, ANE-L22, ANE-L21, HWV32, ANE-TL00, ANY-LX2",AnTuTu: 87431 (v7)GeekBench: 3756 (v4.4)GFXBench: 2.8fps (ES 3.1 onscreen),,,,,,"4.2, A2DP, LE, EDR, aptX HD",,Mali-T830 MP2,Kirin 659 (16 nm),"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie), EMUI 9.0",GSM 850 / 900 / 1800 / 1900,microSDXC (uses shared SIM slot),,,"16 MP, f/2.0, 28mm (wide), 1/2.8"", 1.12µm24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm (AL00 for India; TL00 for China)","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,145 g (5.11 oz),,Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),"Fingerprint (rear-mounted), accelerometer, gyro (except LX2, AL00), proximity, compass","5.84 inches, 85.1 cm2(~80.5% screen-to-body ratio)",Huawei P20 lite,"USB Type-C 2.0, OTG",,,About 240 EUR,,,,,,,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",,1080p@30fps,"16 MP, f/2.2, 1/3.1"", 1.0µm, PDAF2 MP, (depth)",148.6 x 71.2 x 7.4 mm (5.85 x 2.80 x 0.29 in),"2018, March 20",,,Noise -87.9dB / Crosstalk -82.1dB,Nano-SIMNano-SIM + Nano-SIM,FM radio,Photo/Video,,"LED flash, HDR, panorama","Wi-Fi 802.11 b/g/n (LX2/LX3) or a/b/g/n/ac (LX1/LX2J), Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-p20-lite-.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Klein Blue, Sakura Pink, Midnight Black",IPS LCD,18W wired,,Yes,"Glass front, glass back, aluminum frame",Yes (LX1 only)
eMMC 5.1,"GPS, GLONASS","720 x 1440 pixels, 18:9 ratio (~269 ppi density)","Li-Ion 3000 mAh, non-removable",,,,"1, 3, 7, 8, 20","Available. Released 2018, April",,,1080p@30fps,,Yes,,,LED flash,,,,,,,,,,"4.2, A2DP, LE",,Adreno 505,Qualcomm MSM8937 Snapdragon 430 (28 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900,microSDXC (dedicated slot),,,"8 MP, f/2.0","HSPA, LTE",,155 g (5.47 oz),,Octa-core 1.4 GHz Cortex-A53,"Accelerometer, proximity, compass","5.99 inches, 92.6 cm2(~76.3% screen-to-body ratio)",Huawei Y7 Pro (2018),microUSB 2.0,,,About 150 EUR,,,,,,,32GB 3GB RAM,,1080p@30fps,"13 MP, f/2.2, PDAF2 MP, (depth)",158.3 x 76.7 x 7.8 mm (6.23 x 3.02 x 0.31 in),"2018, March",,,,Nano-SIM + Nano-SIM,FM radio,,,"LED flash, HDR, panorama","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-y7-pro-2018-.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Gold, Blue",IPS LCD,,,Yes,,No
eMMC 5.1,"GPS, GLONASS","720 x 1440 pixels, 18:9 ratio (~269 ppi density)","Li-Ion 3000 mAh, non-removable",Voice 64dB / Noise 70dB / Ring 71dB,,,"1, 3, 7, 8, 20","Available. Released 2018, April",,"Contrast ratio: 1111:1 (nominal), 2.421 (sunlight)",1080p@30fps,,Yes,Endurance rating 63h,,LED flash,,,"LDN-L21, LDN-LX2, LDN-TL10",AnTuTu: 58974 (v7)GeekBench: 2717 (v4.4)GFXBench: 5.1fps (ES 3.1 onscreen),,,,,,"4.2, A2DP, LE",,Adreno 505,Qualcomm MSM8937 Snapdragon 430 (28 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900,microSDXC (dedicated slot),,,"8 MP, f/2.0","HSPA, LTE",,155 g (5.47 oz),,Octa-core 1.4 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, proximity, compass","5.99 inches, 92.6 cm2(~76.3% screen-to-body ratio)",Huawei Y7 Prime (2018),microUSB 2.0,,,About 170 EUR,,,,,,,"32GB 3GB RAM, 64GB 4GB RAM",,1080p@30fps,"13 MP, f/2.2, PDAF2 MP, (depth)",158.3 x 76.7 x 7.8 mm (6.23 x 3.02 x 0.31 in),"2018, March",,,Noise -89.0dB / Crosstalk -85.3dB,Nano-SIM + Nano-SIM,FM radio,Photo/Video,,"LED flash, HDR, panorama","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-y7-prime-2018.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Gold, Blue",IPS LCD,,,Yes,,Yes (LDN-TL10 only)
eMMC 5.1,"GPS, GLONASS","720 x 1440 pixels, 18:9 ratio (~269 ppi density)","Li-Ion 3000 mAh, non-removable",,,,"1, 3, 7, 8, 20","Available. Released 2018, April",,,1080p@30fps,,Yes,,,,,,"LDN-L01, LDN-LX3",,,,,,,"4.2, A2DP, LE",,Adreno 505,Qualcomm MSM8937 Snapdragon 430 (28 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900,microSDXC (dedicated slot),,,"13 MP, f/2.2, PDAF","HSPA, LTE",,155 g (5.47 oz),,Octa-core 1.4 GHz Cortex-A53,"Fingerprint (rear-mounted), accelerometer, proximity, compass","5.99 inches, 92.6 cm2(~76.3% screen-to-body ratio)",Huawei Y7 (2018),microUSB 2.0,,,About 150 EUR,,,,,,,16GB 2GB RAM,,1080p@30fps,,158.3 x 76.7 x 7.8 mm (6.23 x 3.02 x 0.31 in),"2018, March",8 MP,,,Nano-SIMNano-SIM + Nano-SIM,FM radio,,,"LED flash, HDR, panorama","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-y7-prime-2018.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Gold, Blue",IPS LCD,,,Yes,,Yes (LDN-L01 only)
eMMC 5.1,"GPS, GLONASS, BDS","1080 x 2160 pixels, 18:9 ratio (~407 ppi density)","Li-Ion 4000 mAh, non-removable",,,,"1, 3, 7, 8, 20","Available. Released 2018, April",,,1080p@30fps,,Yes,,,,,,"FLA-AL10, FLA-AL00, FLA-LX1, FLA-LX2, FLA-LX3, LDN-AL00, FLA-AL20, FLA-TL10",,,,,,,"4.2, A2DP, LE, aptX",,Mali-T830 MP2,Kirin 659 (16 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900,microSDXC (dedicated slot),,,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,170 g (6.00 oz),,Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),"Fingerprint (rear-mounted), accelerometer, gyro (market dependent), proximity, compass","5.93 inches, 90.7 cm2(~76.7% screen-to-body ratio)",Huawei Y9 (2018),microUSB 2.0,,,About 220 EUR,,,,,,,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",,1080p@30fps,"16 MP, f/2.2, 27mm (wide), PDAF2 MP, (depth)",157.2 x 75.3 x 7.9 mm (6.19 x 2.96 x 0.31 in),"2018, March",,"13 MP, f/2.0, 26mm (wide)2 MP, depth sensoror16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm2 MP, depth sensor - FLA-LX2 only",,Nano-SIM + Nano-SIM,FM radio,,,"LED flash, panorama, HDR","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-y9-2018-.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Gold, Blue",IPS LCD,,,Yes,"Glass front, aluminum back, aluminum frame",No
Stylus,GPS,"2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","Li-Po 7500 mAh, non-removable",,,,"1, 3, 5, 7, 8, 20","Available. Released 2018, April",,,1080p@30fps,,No,,,,,,"CMR-AL19, CMR-W19",,,,,,,"4.2, A2DP, LE",,,Kirin 960 (16 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900,microSDXC (dedicated slot),,,"13 MP, PDAF","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps",,498 g (1.10 lb),,Octa-core,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","10.8 inches, 338.2 cm2(~76.1% screen-to-body ratio)",Huawei MediaPad M5 10 (Pro),USB Type-C 2.0,,,About 390 EUR,,,,,,,"64GB 4GB RAM, 128GB 4GB RAM",,1080p@30fps,,258.7 x 171.8 x 7.3 mm (10.19 x 6.76 x 0.29 in),"2018, February",8 MP,,,Nano-SIM,No,,,"HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m5-10.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Space Gray, Champagne Gold",IPS LCD,18W wired,,"Yes, with stereo speakers (4 speakers)","Glass front, aluminum back, aluminum frame",No
,GPS,"2560 x 1600 pixels, 16:10 ratio (~280 ppi density)","Li-Po 7500 mAh, non-removable",,,,"1, 3, 5, 7, 8, 20","Available. Released 2018, April",,,1080p@30fps,,No,,,,,,"CMR-AL09, CMR-W09",,,,,,,"4.2, A2DP, LE",,Mali-G71,Kirin 960s (16 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900,microSDXC (dedicated slot),,,"13 MP, PDAF","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps",,498 g (1.10 lb),,Octa-core (4x2.1 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","10.8 inches, 338.2 cm2(~76.1% screen-to-body ratio)",Huawei MediaPad M5 10,USB Type-C 2.0,,,About 290 EUR,,,,,,,"32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",,1080p@30fps,,258.7 x 171.8 x 7.3 mm (10.19 x 6.76 x 0.29 in),"2018, February",8 MP,,,Nano-SIM,No,,,"HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m5-10.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Space Gray, Champagne Gold",IPS LCD,18W wired,,"Yes, with stereo speakers (4 speakers)","Glass front, aluminum back, aluminum frame",No
,GPS,"2560 x 1600 pixels, 16:10 ratio (~359 ppi density)","Li-Po 5100 mAh, non-removable",,,,"1, 3, 5, 7, 8, 20","Available. Released 2018, April",,,1080p@30fps,,No,,,,,,"SHT-AL09, SHT-W09",,,,,,,"4.2, A2DP, LE",,Mali-G71,Kirin 960s (16 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900,microSDXC (dedicated slot),,,"13 MP, PDAF","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps",,316 g (11.15 oz),,Octa-core (4x2.1 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","8.4 inches, 204.6 cm2(~77.1% screen-to-body ratio)",Huawei MediaPad M5 8,USB Type-C 2.0,,,About 290 EUR,,,,,,,"32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",,1080p@30fps,,212.6 x 124.8 x 7.3 mm (8.37 x 4.91 x 0.29 in),"2018, February",8 MP,,,Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m5-8.jpg,,HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Space Gray, Champagne Gold",IPS LCD,18W wired,,"Yes, with stereo speakers","Glass front, aluminum back, aluminum frame",No
HSDPA 850 / 900 / 1900 / 2100 / 800 - LA1,"GPS, GLONASS, BDS","1080 x 2160 pixels, 18:9 ratio (~427 ppi density)","Li-Po 3000 mAh, non-removable",Voice 65dB / Noise 70dB / Ring 85dB,,,"1, 3, 7, 8, 20 - LX1","Available. Released 2017, December","1, 3, 5, 7, 8, 28, 39, 40, 41 - LX2, LX3","Contrast ratio: 1492:1 (nominal), 2.563 (sunlight)",1080p@30fps,,Yes,Endurance rating 73h,"1, 3, 5, 7, 8, 19, 20 - LA1",,,"HSDPA 850 / 900 / 2100 - LX2, LX3","FIG-LX1, FIG-LA1, FIG-LX2, FIG-LX3, FIG-TL10, FIG-AL10, FIG-AL00",AnTuTu: 87156 (v7)GeekBench: 3736 (v4.4)GFXBench: 2.9fps (ES 3.1 onscreen),eMMC 5.1,,,,,"4.2, A2DP, LE",,Mali-T830 MP2,Kirin 659 (16 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),microSDXC (uses shared SIM slot),,,"8 MP, f/2.0","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,143 g (5.04 oz),,Octa-core (4x2.36 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),"Fingerprint (rear-mounted), accelerometer, proximity, compass","5.65 inches, 82.4 cm2(~76.1% screen-to-body ratio)",Huawei P smart,microUSB 2.0,,,About 170 EUR,,,,,,,"32GB 3GB RAM, 64GB 4GB RAM",,1080p@30fps,"13 MP, AF2 MP, (depth)",150.1 x 72.1 x 7.5 mm (5.91 x 2.84 x 0.30 in),"2017, December",,,Noise -90.4dB / Crosstalk -80.3dB,Nano-SIMNano-SIM + Nano-SIM,FM radio,Photo/Video,,"LED flash, HDR, panorama","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-p-smart-.jpg,,HSDPA 850 / 900 / 1900 / 2100 - LX1,GSM / HSPA / LTE,,Huawei,,,"Black, Blue, Gold, Rose Gold",IPS LCD,,,Yes,"Glass front, aluminum back, aluminum frame",Yes (FIG-LX1 only)
,"GPS, GLONASS, BDS","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","Li-Po 3340 mAh, non-removable",,,,LTE,"Available. Released 2017, December",,,1080p@30fps,,Yes,,,LED flash,,,"HWI-AL00, HWI-TL00, HWI-L29",,,,,,,"4.2, A2DP, LE, aptX HD",,Mali-G71 MP8,Kirin 960 (16 nm),"Android 8.0 (Oreo), EMUI 8",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,microSDXC (uses shared SIM slot),,,,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps",Yes,169 g (5.96 oz),,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","6.0 inches, 92.4 cm2(~78.5% screen-to-body ratio)",Huawei nova 2s,"USB Type-C 2.0, OTG",,,About 200 EUR,,,Yes,,,,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",,"4K@30fps, 1080p@30fps","16 MP, f/1.8, PDAF20 MP B/W, f/1.8, 27mm (wide), 1/2.7""",156.9 x 75.1 x 7.5 mm (6.18 x 2.96 x 0.30 in),"2017, December",,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm2 MP, depth sensor",,Nano-SIM + Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-2s.jpg,,HSDPA,GSM / HSPA / LTE,,Huawei,,,"Black, Gray, Red, Rose Gold, Light Blue",IPS LCD,18W wired,,Yes,"Glass front, aluminum back, aluminum frame",Yes
