EDGE,,Weight,_4,SIM,4G bands,Audio quality,Browser,Loudspeaker_1,Model Name,Status,Dimensions,Card slot,USB,NFC,Models,Video,Video_1,Speed,Display,Sensors,Colors,GPU,Type,Chipset,WLAN,Talk time,Features_1,_2,Keyboard,Camera,_1,Stand-by,Features,Price,Single,Loudspeaker,Resolution,OS,3G bands,Technology,Charging,SAR EU,Performance,3.5mm jack,Music play,Talk time_1,Announced,Brand,Radio,_3,Positioning,Bluetooth,CPU,SAR,Internal,Model Image,GPRS,2G bands,Announced_1,Type_1,Single_1,Battery (old),Size,Protection
,eMMC 4.5,229 g (8.08 oz),,Nano-SIM,"3, 7, 20",,,,acer liquid s2-5670 ,Discontinued,166 x 86.2 x 9 mm (6.54 x 3.39 x 0.35 in),microSDXC (dedicated slot),microUSB 2.0,Yes,,"4K@24fps, 1080p@60fps",1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Accelerometer, gyro, proximity, compass","Black, Red",Adreno 330,IPS LCD,Qualcomm MSM8974 Snapdragon 800 (28 nm),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot",Up to 13 h (3G),,,,,,Up to 700 h (3G),Quad-LED ring flash,About 340 EUR,"13 MP, AF","Yes, with stereo speakers","1080 x 1920 pixels, 16:9 ratio (~368 ppi density)",Android 4.2.2 (Jelly Bean),HSDPA 900 / 2100,GSM / HSPA / LTE,,,,Yes,,,"2013, August. Released 2013, December",Acer,"Stereo FM radio, RDS",,"GPS, GLONASS","4.0, A2DP",Quad-core 2.2 GHz Krait 400,,16GB 2GB RAM,,,GSM 850 / 900 / 1800 / 1900,"2013, August. Released 2013, December","Li-Po 3300 mAh, non-removable",2 MP,,"6.0 inches, 98.7 cm2(~69.0% screen-to-body ratio)",Corning Gorilla Glass 3
,No,120 g (4.23 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,acer liquid z3-5624 ,Discontinued,109 x 60 x 10.4 mm (4.29 x 2.36 x 0.41 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA 21.1/5.76 Mbps,,"Accelerometer, proximity","Rock Black, Classic White",Mali-400,TFT,Mediatek MT6572 (28 nm),"Wi-Fi 802.11 a/b/g/n, hotspot",,,,,,,,,About 100 EUR,3.15 MP,Yes,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.2 (Jelly Bean),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2013, August. Released 2013, September",Acer,Stereo FM radio,,GPS,"3.0, A2DP, EDR",Dual-core 1.0 GHz Cortex-A7,,4GB 512MB RAM,,,GSM 900 / 1800 / 1900,"2013, August. Released 2013, September","Li-Ion 1500 mAh, removable",,,"3.5 inches, 36.5 cm2(~55.8% screen-to-body ratio)",
,,195 g (6.88 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid S1,Discontinued,163 x 83 x 9.6 mm (6.42 x 3.27 x 0.38 in),microSDHC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,HSPA 42.2/5.76 Mbps,,"Accelerometer, gyro, proximity, compass","White, Black",PowerVR SGX544,TFT,Mediatek MT6589 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 11 h,,,,,,Up to 450 h,LED flash,About 320 EUR,"8 MP, AF","Yes, with stereo speakers","720 x 1280 pixels, 16:9 ratio (~258 ppi density)","Android 4.2 (Jelly Bean), Float UI",HSDPA 900 / 2100,GSM / HSPA,,0.44 W/kg (head)     0.41 W/kg (body),,Yes,,,"2013, June. Released 2013, August",Acer,FM radio,,GPS,"4.0, A2DP, LE",Quad-core 1.5 GHz Cortex-A7,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-s1.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Po 2400 mAh, removable",2 MP,,"5.7 inches, 89.6 cm2(~66.2% screen-to-body ratio)",
,HDMI port,560 g (1.23 lb),,Micro-SIM - cellular model only,,,,,Acer Iconia Tab A3,Discontinued,260 x 175 x 10.2 mm (10.24 x 6.89 x 0.40 in),microSDHC (dedicated slot),"microUSB 2.0, OTG",No,,1080p@30fps,,HSPA 21.1/5.76 Mbps - cellular model only,,"Accelerometer, gyro","Black/Silver, White",PowerVR SGX544,LED-backlit IPS LCD,Mediatek MT8125T - Wi-FiMediatek MT8389W - 3G,"Wi-Fi 802.11 b/g/n, hotspot",Up to 11 h (multimedia),,,,,,,,About 190 EUR,5 MP,"Yes, with stereo speakers","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Android 4.2.2 (Jelly Bean),HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2013, September. Released 2013, November",Acer,No,,GPS - cellular model only,"4.0, A2DP",Quad-core 1.2 GHz Cortex-A7,,"16GB 1GB RAM, 32GB 1GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a3-a10.jpg,,GSM 850 / 900 / 1800 / 1900,,"Li-Po 7300 mAh, non-removable (27 Wh)",VGA,,"10.1 inches, 295.8 cm2(~65.0% screen-to-body ratio)",
Yes,HDMI port,430 g (15.17 oz),,Yes,,,,,Acer Iconia Tab A1-811,Discontinued,208.7 x 145.7 x 11.1 mm (8.22 x 5.74 x 0.44 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA,,"Accelerometer, gyro",White,PowerVR SGX544,TFT,Mediatek MT8389W,"Wi-Fi 802.11 b/g/n, hotspot",Up to 7 h (multimedia),,,,,,,,About 150 EUR,"5 MP, AF",Yes,"768 x 1024 pixels, 4:3 ratio (~162 ppi density)",Android 4.2 (Jelly Bean),HSDPA,GSM / HSPA,,,,Yes,,,"2013, Q2. Released 2013, Q2",Acer,No,,GPS,"4.0, A2DP",Quad-core 1.2 GHz Cortex-A7,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-810.jpg,Yes,GSM 850 / 900 / 1800 / 1900,,"Li-Ion 4960 mAh, non-removable (18.6 Wh)",VGA,,"7.9 inches, 193.3 cm2(~63.6% screen-to-body ratio)",
No,HDMI port,410 g (14.46 oz),,No,,,,,Acer Iconia Tab A1-810,Discontinued,208.7 x 145.7 x 11.1 mm (8.22 x 5.74 x 0.44 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,,,"Accelerometer, gyro",Black,PowerVR SGX544,LED-backlit IPS LCD,Mediatek MT8125 (28 nm),Wi-Fi 802.11 b/g/n,Up to 10 h (multimedia),,,,,,Up to 350 h,,About 120 EUR,"5 MP, AF",Yes,"768 x 1024 pixels, 4:3 ratio (~162 ppi density)","Android 4.2.2 (Jelly Bean), upgradаble to 4.4.2 (KitKat)",,No cellular connectivity,,,,Yes,,,"2013, April. Released 2013, May",Acer,No,,GPS,"4.0, A2DP",Quad-core 1.2 GHz,,"8GB 1GB RAM, 16GB 1GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-810.jpg,No,N/A,,"Li-Ion 4960 mAh, non-removable (18.6 Wh)",VGA,,"7.9 inches, 193.3 cm2(~63.6% screen-to-body ratio)",
,,140 g (4.94 oz),,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,,,,Acer Liquid E2,Discontinued,131 x 68 x 9.9 mm (5.16 x 2.68 x 0.39 in),microSDHC (dedicated slot),microUSB 2.0,No,,1080p@30fps,,HSPA,,"Accelerometer, gyro, proximity, compass","Black, White",PowerVR SGX544,IPS LCD,Mediatek MT6589 (28 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 9 h,,,,,,Up to 450 h,LED flash,About 180 EUR,"8 MP, AF","Yes, with stereo speakers","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.2.1 (Jelly Bean),HSDPA 900 / 2100,GSM / HSPA,,0.23 W/kg (head),,Yes,,,"2013, April. Released 2013, May",Acer,FM radio,,GPS,"3.0, A2DP, EDR",Quad-core 1.2 GHz Cortex-A7,,4GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/Acer-Liquid-E2.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 2000 mAh, removable",2 MP,,"4.5 inches, 55.8 cm2(~62.7% screen-to-body ratio)",
,No,110 g (4.59 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",,,,,Acer Liquid Z2,Discontinued,110 x 62.5 x 12.3 mm (4.33 x 2.46 x 0.48 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA 7.2/5.76 Mbps,,"Accelerometer, proximity","Black, Black/White",Adreno 200,"TFT, 256K colors",Qualcomm MSM7227A Snapdragon S1,"Wi-Fi 802.11 b/g/n, hotspot",Up to 4 h,,,,,SRS audio,Up to 450 h,,About 100 EUR,3 MP or 5 MP,Yes,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 4.1.1 (Jelly Bean),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2013, February. Released 2013, March",Acer,"FM radio, RDS",,GPS,"3.0, A2DP",1.0 GHz Cortex-A5,,4GB 512MB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z2.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 1300 mAh, removable",,,"3.5 inches, 36.5 cm2(~53.1% screen-to-body ratio)",
,,140 g (4.94 oz),,Mini-SIM,,,,,Acer Liquid C1,Discontinued,127.3 x 65.5 x 10 mm (5.01 x 2.58 x 0.39 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA 21.1/5.76 Mbps,,"Accelerometer, proximity","Black, White",PowerVR SGX540,IPS LCD,Intel Atom Z2420,"Wi-Fi 802.11 b/g/n, hotspot",Up to 9 h,,,,,,,LED flash,About 180 EUR,"8 MP, AF",Yes,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Android 4.0 (Ice Cream Sandwich),HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA,,0.38 W/kg (head)     0.70 W/kg (body),,Yes,,,"2013, January. Released 2013, March",Acer,FM radio,,GPS,"2.1, A2DP, EDR",1.2 GHz,,4GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-c1.jpg,,GSM 850 / 900 / 1800 / 1900,,"Li-Ion 2000 mAh, removable",VGA,,"4.3 inches, 51.0 cm2(~61.1% screen-to-body ratio)",
,,130 g (4.59 oz),,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",,,,,Acer Liquid E1,Discontinued,132 x 68.5 x 9.9 mm (5.20 x 2.70 x 0.39 in),microSDHC (dedicated slot),microUSB 2.0,Yes (single sim model only),,720p@30fps,,HSPA,,"Accelerometer, gyro, proximity, compass","Black, White",SGX531u,IPS LCD,Mediatek MT6577 (40 nm),"Wi-Fi 802.11 b/g/n, hotspot",Up to 8 h,,,,,,Up to 400 h,LED flash,About 170 EUR,"5 MP, AF","Yes, with stereo speakers","540 x 960 pixels, 16:9 ratio (~245 ppi density)",Android 4.1.1 (Jelly Bean),HSDPA 900 / 2100,GSM / HSPA,,0.47 W/kg (head),,Yes,,,"2013, January. Released 2013, March",Acer,FM radio,,GPS,"3.0, A2DP, EDR",Dual-core 1.0 GHz Cortex-A9,,4GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-e1.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,"Li-Ion 1760 mAh, removable",VGA,,"4.5 inches, 55.8 cm2(~61.7% screen-to-body ratio)",
No,No,339.9 g (11.99 oz),,No,,,,,Acer Iconia Tab B1-710,Discontinued,198.1 x 129.5 x 12.7 mm (7.80 x 5.10 x 0.5 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,,,Accelerometer,White,PowerVR SGX531u,TFT,Mediatek MT8317T,Wi-Fi 802.11 b/g/n,Up to 3 h 30 min (multimedia),,,,,,,,About 110 EUR,Yes,Yes,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android OS,,No cellular connectivity,,,,Yes,,,"2013, November. Released 2013, November",Acer,No,,GPS,"4.0, A2DP",Dual-core 1.2 GHz Cortex-A9,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-b1-710.jpg,No,N/A,,"Li-Ion 2640 mAh, non-removable",,,"7.0 inches, 137.9 cm2(~53.8% screen-to-body ratio)",
No,No,320 g (11.29 oz),,No,,,,,Acer Iconia Tab B1-A71,Discontinued,197.4 x 128.5 x 11.3 mm (7.77 x 5.06 x 0.44 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,,,Accelerometer,Black,SGX531u,"TFT, 256K colors",Mediatek MT8317,Wi-Fi 802.11 b/g/n,,,,,,,,,About 100 EUR,VGA,Yes,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.1 (Jelly Bean),,No cellular connectivity,,,,Yes,,,"2013, January. Released 2013, January",Acer,No,,GPS,"4.0, A2DP",Dual-core 1.2 GHz Cortex-A9,,"8GB 512MB RAM, 16GB 512MB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-a71-new.jpg,No,N/A,,"Li-Po 2710 mAh, non-removable (10 Wh)",,,"7.0 inches, 137.9 cm2(~54.4% screen-to-body ratio)",
No,Acer UI,390 g (13.76 oz),,No,,,,,Acer Iconia Tab A110,Discontinued,193 x 126.5 x 11.4 mm (7.60 x 4.98 x 0.45 in),microSDHC (dedicated slot),microUSB 2.0,No,,720p@30fps,,,,"Accelerometer, gyro, compass",Black/Silver,ULP GeForce,"TFT, 256K colors",Nvidia Tegra 3 T30L,Wi-Fi 802.11 b/g/n,Up to 7 h 30 min (multimedia),,HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerDocument viewerPhoto viewer/editor,,,No,Up to 270 h,,About 150 EUR,2 MP,Yes,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.1 (Jelly Bean),,No cellular connectivity,,,,Yes,,,"2012, October. Released 2012, October",Acer,No,,"GPS (3G model), GLONASS","3.0, A2DP",Quad-core 1.2 GHz,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a210.jpg,No,N/A,,"Li-Po 3420 mAh, non-removable (12.7 Wh)",,,"7.0 inches, 137.9 cm2(~56.5% screen-to-body ratio)",
,No,100 g (3.53 oz),,"Dual SIM (Mini-SIM, dual stand-by)",,,,,Acer Liquid Z110,Discontinued,110 x 61.5 x 12.3 mm (4.33 x 2.42 x 0.48 in),microSDHC (dedicated slot),microUSB 2.0,No,,Yes,,HSPA 7.2/0.384 Mbps,,"Accelerometer, proximity","Black, White",PowerVR SGX531,"TFT, 256K colors",Mediatek MT6575 (40 nm),Wi-Fi 802.11 b/g/n,Up to 5 h,,MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerDocument viewerPhoto viewer/editor,,,SRS audio,Up to 450 h,,About 100 EUR,3.15 MP,Yes,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Android 2.3 (Gingerbread),HSDPA 2100 - SIM 1 only,GSM / HSPA,,0.53 W/kg (head)     0.64 W/kg (body),,Yes,,,"2012, October. Released 2012, October",Acer,FM radio,,GPS,"3.0, A2DP",1.0 GHz Cortex-A9,,4GB 512MB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-z.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"Li-Po 1300 mAh, removable",,,"3.5 inches, 36.5 cm2(~53.9% screen-to-body ratio)",
,No,145 g (5.11 oz),,Mini-SIM,,,,,Acer Liquid Gallant E350,Discontinued,129 x 65.9 x 9.9 mm (5.08 x 2.59 x 0.39 in),microSDHC (dedicated slot),microUSB 2.0,,,Yes,,HSPA,,"Accelerometer, proximity","Gentle Black, Ceramic White",PowerVR SGX531,TFT,Mediatek MT6575 (40 nm),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,,,MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,,LED flash,About 160 EUR,"5 MP, AF",Yes,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Android 4.0.3 (Ice Cream Sandwich),HSDPA 900 / 2100,GSM / HSPA,,0.50 W/kg (head),,Yes,,,"2012, August. Released 2012, September",Acer,FM radio,,"GPS, A-GPS","3.0, A2DP, EDR",1.0 GHz Cortex-A9,0.49 W/kg (head)     0.54 W/kg (body),4GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-gallant-e350.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1500 mAh battery,,,"4.3 inches, 51.0 cm2(~60.0% screen-to-body ratio)",
,No,145 g (5.11 oz),,Dual SIM (Mini-SIM),,,,,Acer Liquid Gallant Duo,Discontinued,129 x 65.9 x 9.9 mm (5.08 x 2.59 x 0.39 in),microSDHC (dedicated slot),microUSB 2.0,,,Yes,,HSPA,,"Accelerometer, proximity","Gentle Black, Ceramic White",PowerVR SGX531,TFT,Mediatek MT6575 (40 nm),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,,,,,MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,,LED flash,About 140 EUR,"5 MP, AF",Yes,"540 x 960 pixels, 16:9 ratio (~256 ppi density)",Android 4.0.3 (Ice Cream Sandwich),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2012, July. Released 2012, September",Acer,FM radio,,"GPS, A-GPS","3.0, A2DP, EDR",1.0 GHz Cortex-A9,,4GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/acer-liquid-gallant-duo-new.jpg,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,Removable Li-Ion 1500 mAh battery,,,"4.3 inches, 51.0 cm2(~60.0% screen-to-body ratio)",
,No,125 g (4.41 oz),,Mini-SIM,,,,,acer liquid glow e330-4589 ,Discontinued,117 x 58.5 x 11.5 mm (4.61 x 2.30 x 0.45 in),microSDHC (dedicated slot),microUSB 2.0,Yes,,Yes,,HSPA,,"Accelerometer, proximity, compass","Black, White, Pink",Adreno 200,TFT,Qualcomm MSM7227A Snapdragon S1,"Wi-Fi 802.11 b/g/n, hotspot",,,,,,MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo/dialPredictive text input,,LED flash,About 120 EUR,"5 MP, AF",Yes,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",Android 4.0 (Ice Cream Sandwich),HSDPA 900 / 2100,GSM / HSPA,,1.68 W/kg (head)     0.86 W/kg (body),,Yes,,,"2012, February. Released 2012, August",Acer,FM radio,,"GPS, A-GPS","3.0, A2DP, EDR",1.0 GHz Cortex-A5,,1GB 512MB RAM,,,GSM 900 / 1800 / 1900,"2012, February. Released 2012, August",Removable Li-Ion 1300 mAh battery,,,"3.7 inches, 39.0 cm2(~56.9% screen-to-body ratio)",
,HD,122 (4.30 oz),,Micro-SIM,,Noise -81.6dB / Crosstalk -80.0dB,,Voice 59dB / Noise 58dB / Ring 66dB,Acer CloudMobile S500,Discontinued,127 x 65.8 x 9.9 mm (5.0 x 2.59 x 0.39 in),microSDHC (dedicated slot),microUSB 2.0,Yes,,1080p@30fps,,HSPA,Contrast ratio: 1063:1 (nominal) / 1.931:1 (sunlight),"Accelerometer, proximity, compass",Black,Adreno 225,IPS LCD,Qualcomm MSM8260A Snapdragon S4 Plus,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,Photo/Video,CloudMobile cloud serviceMP3/WAV/WMA/eAAC+ playerDivX/XviD/MP4/H.264 playerOrganizerDocument viewerVoice memo/dial/commandsPredictive text input,,"LED flash, HDR",About 220 EUR,"8 MP, AF",Yes,"720 x 1280 pixels, 16:9 ratio (~342 ppi density)",Android 4.0 (Ice Cream Sandwich),HSDPA 900 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2012, February. Released 2012, September",Acer,FM radio,,"GPS, A-GPS","4.0, A2DP",Dual-core 1.5 GHz Krait,,8GB 1GB RAM,https://fdn2.gsmarena.com/vv/bigpic/Acer-CloudMobile.jpg,,GSM 850 / 900 / 1800 / 1900,,Removable Li-Ion 1460 mAh battery,,Endurance rating 30h,"4.3 inches, 51.0 cm2(~61.0% screen-to-body ratio)",
No,Acer UI,685 g (1.51 lb),,No,,,,,acer iconia tab a210-5066 ,Discontinued,259.1 x 175.3 x 12.2 mm (10.20 x 6.90 x 0.48 in),microSDHC (dedicated slot),"microUSB 2.0, USB 2.0, OTG",No,,Yes,,,,"Accelerometer, gyro",Titanium Gray,ULP GeForce,"TFT, 256K colors",Nvidia Tegra 3,"Wi-Fi 802.11 b/g/n, hotspot",Up to 8 h (multimedia),,Stereo sound,,,No,,,About 260 EUR,2 MP,"Yes, with stereo speakers","800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",,No cellular connectivity,,,,Yes,,,"2012, Q3. Released 2012, November",Acer,No,MP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerDocument viewerPhoto viewer/editor,"GPS, GLONASS","2.1, EDR",Quad-core 1.2 GHz,,"8GB 1GB RAM, 16GB 1GB RAM",,No,N/A,"2012, Q3. Released 2012, November","Li-Po 3260 mAh, non-removable",,,"10.1 inches, 295.8 cm2(~65.1% screen-to-body ratio)",
No,Acer UI,700 g (1.54 lb),,No,,,,,Acer Iconia Tab A200,Discontinued,260 x 175 x 12.4 mm (10.24 x 6.89 x 0.49 in),microSDHC (dedicated slot),"microUSB 2.0, USB 2.0, OTG",,,Yes,,,,"Accelerometer, gyro",Black,ULP GeForce,IPS LCD,Nvidia Tegra 2 T20,"Wi-Fi 802.11 b/g/n, hotspot",Up to 8 h (multimedia),,MP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerPredictive text input,,,No,,,About 200 EUR,2 MP,Yes,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 3.2 (Honeycomb), upgradable to 4.0 (Ice Cream Sandwich)",,No cellular connectivity,,,,Yes,,,"2012, January. Released 2012, January",Acer,No,,GPS,"2.1, A2DP, EDR",Dual-core 1.0 GHz Cortex-A9,,"8GB 1GB RAM, 16GB 1GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a200.jpg,No,N/A,,Non-removable Li-Po 3260 mAh battery,,,"10.1 inches, 295.8 cm2(~65.0% screen-to-body ratio)",
,HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerPredictive text input,667 g (1.47 lb),,Mini-SIM,,,,,Acer Iconia Tab A701,Discontinued,259.8 x 175 x 10.9 mm (10.23 x 6.89 x 0.43 in),microSDHC (dedicated slot),"microUSB 2.0, USB 2.0",,,720p,,HSPA 21.1/5.76 Mbps,,"Accelerometer, gyro, compass",Titanium Gray,ULP GeForce,LCD,Nvidia Tegra 3,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot, DLNA",Up to 12 h (multimedia),,,,,,,LED flash,About 380 EUR,"5 MP, AF","Yes, with stereo speakers","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.0 (Ice Cream Sandwich),HSDPA 900 / 2100,GSM / HSPA,,,,Yes,,,"2012, January. Released 2012, July",Acer,No,,"GPS, A-GPS","2.1, A2DP, EDR",Quad-core 1.3 GHz Cortex-A9,,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a700.jpg,,GSM 850 / 900 / 1800 / 1900,,Non-removable Li-Po 9800 mAh battery (36 Wh),Yes,,"10.1 inches, 295.8 cm2(~65.1% screen-to-body ratio)",
No,HDMI portMP3/WAV/WMA/eAAC+ playerXviD/MP4/H.264 playerOrganizerDocument viewerPredictive text input,665 g (1.47 lb),,No,,,,,Acer Iconia Tab A700,Discontinued,259 x 175 x 11 mm (10.20 x 6.89 x 0.43 in),microSDHC (dedicated slot),"microUSB 2.0, USB 2.0",,,720p,,,,"Accelerometer, gyro, compass","Titanium Gray, Metallic Red",ULP GeForce,LCD,Nvidia Tegra 3,Wi-Fi 802.11 b/g/n,Up to 10 h (multimedia),,,,,,,LED flash,About 230 EUR,"5 MP, AF","Yes, with stereo speakers","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 4.0 (Ice Cream Sandwich),,No cellular connectivity,,,,Yes,,,"2012, January. Released 2012, August",Acer,No,,"GPS, A-GPS","2.1, EDR",Quad-core 1.3 GHz,,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM",https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-a700.jpg,No,N/A,,Non-removable Li-Ion 9800 mAh battery,Yes,,"10.1 inches, 295.8 cm2(~65.3% screen-to-body ratio)",
,HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerPredictive text input,777 g (1.71 lb),,Mini-SIM,,,,,acer iconia tab a511-4643 ,Discontinued,260 x 175 x 11 mm (10.24 x 6.89 x 0.43 in),microSDHC (dedicated slot),microUSB 2.0,,,720p,,HSPA 7.2/5.76 Mbps,,"Accelerometer, gyro, proximity, compass","Black, Silver",ULP GeForce,"TFT, 256K colors",Nvidia Tegra 3,"Wi-Fi 802.11 b/g/n, hotspot",Up to 15 h (multimedia),,,,,,,,About 250 EUR,"5 MP, AF","Yes, with stereo speakers","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Android 4.0 (Ice Cream Sandwich),HSDPA 850 / 900 / 1900 / 2100,GSM / HSPA,,,,Yes,,,"2012, February. Released 2012, August",Acer,No,,"GPS, A-GPS","2.1, A2DP, EDR",Quad-core 1.3 GHz Cortex-A9,,"16GB 1GB RAM, 32GB 1GB RAM",,,GSM 850 / 900 / 1800 / 1900,"2012, February. Released 2012, August",Non-removable Li-Po 9800 mAh battery (36 Wh),1 MP,,"10.1 inches, 295.8 cm2(~65.0% screen-to-body ratio)",
No,HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264 playerOrganizerOffice document editorPredictive text input,680 g (1.50 lb),,No,,,,,acer iconia tab a510-4642 ,Discontinued,259.1 x 175.3 x 10.2 mm (10.20 x 6.90 x 0.40 in),microSDHC (dedicated slot),microUSB 2.0,,,720p,,,,"Accelerometer, gyro, compass","Black, Silver",ULP GeForce,"TFT, 256K colors",Nvidia Tegra 3,Wi-Fi 802.11 b/g/n,Up to 15 h (multimedia),,,,,,,,About 230 EUR,"5 MP, AF","Yes, with stereo speakers","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Android 4.0 (Ice Cream Sandwich),,No cellular connectivity,,,,Yes,,,"2012, February. Released 2012, April",Acer,No,,GPS,"2.1, A2DP, EDR",Quad-core 1.3 GHz Cortex-A9,,"16GB 1GB RAM, 32GB 1GB RAM",,No,N/A,"2012, February. Released 2012, April",Non-removable Li-Po 9800 mAh battery (36 Wh),1 MP,,"10.1 inches, 295.8 cm2(~65.1% screen-to-body ratio)",
