,Triple,Resolution,Games,Price,Phonebook,Type_1,Call records,Talk time,Video,_2,GPU,Card slot,Chipset,Java,Infrared port,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Music play,Brand,5G bands,Dual_1,Protection,Browser,Radio,CPU,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,Models,Keyboard,2G bands,Messaging,Features,Dimensions
HSDPA 850 / 1900 / 2100 - N070L,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,,"Li-Po 2000 mAh, removable",,Up to 26 h (2G) / Up to 14 h (3G),720@30fps,,Mali-400MP2,microSDXC,Mediatek MT6580 (28 nm),,,,GSM / HSPA,"2016, May. Released 2016, May",LCD,Android 5.1 (Lollipop),VGA,,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 800 h (2G) / Up to 700 h (3G),151 g (5.33 oz),,"Dual SIM (Micro-SIM, dual stand-by)",4GB 512MB RAM,5 MP,,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-neo-x.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Neo X,HSDPA 850 / 1700(AWS) / 1900 - N070U,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, White, Gold",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,143 x 73.8 x 9.8 mm (5.63 x 2.91 x 0.39 in)
,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Ion 2000 mAh, removable",,Up to 58 h,1080p@30fps,,Mali-450,microSDXC,,,,,GSM,"2016, May. Released 2016, May",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,,,Stereo FM radio,Octa-core 1.4 GHz Cortex-A7,,Yes,Up to 450 h,144 g (5.08 oz),,"Dual SIM (Micro-SIM, dual stand-by)",4GB 512MB RAM,5 MP,,"5.0 inches, 68.9 cm2(~64.1% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x8-hd.jpg,microUSB 2.0,Accelerometer,Yes,BLU Studio X8 HD,,,Yes,"4.0, A2DP",,"Black, White",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,146 x 73.6 x 9.9 mm (5.75 x 2.90 x 0.39 in)
,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,,"Li-Ion 3000 mAh, removable",,Up to 96 h,720@30fps,,Mali-400,microSDXC,,,,,GSM,"2016, June. Released 2016, June",TFT,Android 4.4.2 (KitKat),VGA,,,BLU,,,,,Stereo FM radio,Dual-core 1.3 GHz,,Yes,Up to 720 h,136 g (4.80 oz),,Nano-SIM + Micro-SIM,512MB 256MB RAM,3.15 MP,,"4.0 inches, 45.5 cm2(~54.3% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-energy-jr.jpg,microUSB 2.0,Accelerometer,Yes,BLU Energy JR,,,Yes,"4.0, A2DP",,"Black, White",,"Wi-Fi 802.11 b/g/n, hotspot",A-GPS only,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,131.5 x 63.8 x 11.3 mm (5.18 x 2.51 x 0.44 in)
HSDPA 850 / 1900 / 2100 - A030L,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,,"Li-Ion 1300 mAh, removable",,Up to 17 h (2G) / Up to 12 h (3G),720@30fps,,Mali-400MP2,microSDXC,Mediatek MT6580 (28 nm),,,,GSM / HSPA,"2016, April. Released 2016, April",TFT,Android 6.0 (Marshmallow),VGA,,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 700 h (2G) / Up to 500 h (3G),122 g (4.30 oz),,"Dual SIM (Mini-SIM, dual stand-by)",4GB 512MB RAM,3.15 MP,,"4.0 inches, 45.5 cm2(~51.8% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-a-40-l2-.jpg,microUSB 2.0,Accelerometer,,BLU Advance 4.0 L2,HSDPA 850 / 1700(AWS) / 1900 - A030U,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, White, Green, Pink",,Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,133.7 x 65.8 x 10.8 mm (5.26 x 2.59 x 0.43 in)
HSDPA 850 / 1900 / 2100 - D110L,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Po 2000 mAh, removable",,Up to 25 h (2G) / Up to 14 h (3G),1080p@30fps,,Mali-400,microSDXC,,,,,GSM / HSPA,"2016, April. Released 2016, April",IPS LCD,Android 6.0 (Marshmallow),5 MP,,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 750 h (2G) / Up to 700 h (3G),174 g (6.14 oz),,"Dual SIM (Micro-SIM, dual stand-by)",8GB 1GB RAM,"8 MP, AF",,"5.0 inches, 68.9 cm2(~65.0% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-dash-x2-.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Dash X2,HSDPA 850 / 1700(AWS) / 1900 - D110U,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Gold, Rose Gold",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,145 x 73.1 x 9.7 mm (5.71 x 2.88 x 0.38 in)
HSDPA 850 / 1900 / 2100 - D090L,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,,,"Li-Po 2000 mAh, removable",,Up to 26 h (2G) / Up to 14 h (3G),1080p@30fps,,Mali-400,microSDXC,,,,,GSM / HSPA,"2016, April. Released 2016, April",IPS LCD,Android 6.0 (Marshmallow),2 MP,,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 800 h (2G) / Up to 700 h (3G),172 g (6.07 oz),,"Dual SIM (Micro-SIM, dual stand-by)",4GB 512MB RAM,5 MP,,"5.0 inches, 68.9 cm2(~64.7% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-dash-m2-.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Dash M2,HSDPA 850 / 1700(AWS) / 1900 - D090U,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Gold, White, Rose Gold",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,145 x 73.4 x 9.8 mm (5.71 x 2.89 x 0.39 in)
HSDPA 850 / 1900 / 2100 - S0151UU,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",,,,"Li-Po 1800 mAh, removable",,Up to 23 h (2G) / Up to 14 h (3G),720p@30fps,,Mali-T720,microSDXC,Mediatek MT6735 (28 nm),,,,GSM / HSPA / LTE,"2016, March. Released 2016, March",IPS LCD,Android 5.1 (Lollipop),VGA,,,BLU,,,,,Stereo FM radio,Quad-core 1.0 GHz Cortex-A53,,,Up to 700 h (2G) / Up to 600 h (3G),122 g (4.30 oz),,"Dual SIM (Micro-SIM, dual stand-by)",8GB 1GB RAM,"5 MP, f/2.8, 1/4.0"", AF",,"4.5 inches, 55.8 cm2(~63.4% screen-to-body ratio)",Yes,"2, 3, 7, 28 - S0151UU",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x-mini.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Studio X Mini,HSDPA 850 / 1700(AWS) / 1900 / 2100 - S0150UU,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, White","2, 4, 7, 12, 17 - S0150UU","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,133.7 x 65.8 x 10.8 mm (5.26 x 2.59 x 0.43 in)
,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Po 2300 mAh, removable",,Up to 25 h (2G) / Up to 15 h (3G),1080p@30fps,,Mali-T720,microSDXC,Mediatek MT6735 (28 nm),,,,GSM / HSPA / LTE,"2016, March. Released 2016, March",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A53,,,Up to 715 h (2G) / Up to 615 h (3G),150 g (5.29 oz),,"Dual SIM (Micro-SIM, dual stand-by)",16GB 2GB RAM,"13 MP, f/2.0, 1/3.0"", AF",,"5.0 inches, 68.9 cm2(~67.2% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-life-mark.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,BLU Life Mark,HSDPA 900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Gold, Grey, White","3, 7, 20, 38, 40 - L0030EE",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, panorama, HDR",142.4 x 72 x 9.5 mm (5.61 x 2.83 x 0.37 in)
,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,,,"Li-Po 3200 mAh, non-removable",,Up to 28 h (2G) / Up to 18 h (3G),1080p@30fps,,Mali-T720,microSDXC,Mediatek MT6753 (28 nm),,,,GSM / HSPA / LTE,"2016, February. Released 2016, February",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,,,FM radio,Octa-core 1.3 GHz Cortex-A53,,,Up to 750 h (2G) / Up to 650 h (3G),175 g (6.17 oz),,"Dual SIM (Micro-SIM, dual stand-by)",16GB 2GB RAM,"13 MP, f/2.0, 1/3.0"", AF",,"5.5 inches, 83.4 cm2(~81.6% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-one-plus.jpg,microUSB 2.0,"Accelerometer, proximity, compass",,BLU Studio One Plus,HSDPA 850 / 1700(AWS) / 1900 / 2100 - S0130UU,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Grey, Gold, Silver","2, 4, 7, 12, 17 - S0130UU",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, panorama, HDR",143.5 x 71.2 x 8.7 mm (5.65 x 2.80 x 0.34 in)
HSDPA 900 / 2100 - S0110EE,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Po 2450 mAh, non-removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-T720,microSDXC,Mediatek MT6735 (28 nm),,,,GSM / HSPA / LTE,"2016, February. Released 2016, February",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A53,,,Up to 725 h (2G) / Up to 625 h (3G),147 g (5.19 oz),,"Dual SIM (Micro-SIM, dual stand-by)",16GB 2GB RAM,"13 MP, f/2.0, 1/3.0"", AF",,"5.0 inches, 68.9 cm2(~68.6% screen-to-body ratio)",Yes,"3, 7, 20, 38, 40 - S0110EE",Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-one.jpg,microUSB 2.0,"Accelerometer, proximity, compass",,BLU Studio One,HSDPA 850 / 1700(AWS) / 1900 / 2100 - S0110UU,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Grey, White, Gold","2, 4, 7, 12, 17 - S0110UU",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, panorama, HDR",141.5 x 71 x 7.6 mm (5.57 x 2.80 x 0.30 in)
,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,,"Li-Po 2750 mAh, removable",,Up to 25 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-T720MP2,microSDXC,Mediatek MT6735 (28 nm),,,,GSM / HSPA / LTE,"2016, March. Released 2016, March",IPS LCD,Android 5.1 (Lollipop),5 MP,LED flash,,BLU,,,,,Stereo FM radio,Quad-core 1.0 GHz Cortex-A53,,,Up to 700 h (2G) / Up to 625 h (3G),190 g (6.70 oz),,"Dual SIM (Micro-SIM, dual stand-by)",8GB 1GB RAM,"8 MP, f/2.4, 1/3.2"", AF",,"5.5 inches, 83.4 cm2(~67.6% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-dash-x-plus-lte.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Dash X Plus LTE,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Gold, White","1, 2, 3, 4, 5, 7, 12, 17","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,158.8 x 77.7 x 10.2 mm (6.25 x 3.06 x 0.40 in)
,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Po 4000 mAh, non-removable",,Up to 52 h (2G) / Up to 38 h (3G),1080p@30fps,,Mali-T720,microSDXC,Mediatek MT6735 (28 nm),,,,GSM / HSPA / LTE,"2016, March. Released 2016, March",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A53,,,Up to 800 h (2G) / Up to 725 h (3G),183 g (6.46 oz),,Dual SIM,16GB 1GB RAM,"8 MP, f/2.4, 1/4.0"", AF",,"5.0 inches, 68.9 cm2(~68.9% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-energy-x-lte.jpg,microUSB 2.0,"Accelerometer, proximity, compass",,BLU Energy X LTE,HSDPA 850 / 1700(AWS) / 1900,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Yes, with stereo speakers","4.0, A2DP",,"Gold, Grey","2, 4, 7","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, panorama, HDR",143 x 69.9 x 8.5 mm (5.63 x 2.75 x 0.33 in)
HSDPA 850 / 1900 / 2100 - L050L,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,,"Li-Po 2820 mAh, removable",,Up to 28 h (2G) / Up to 20 h (3G),1080p@30fps,eMMC 4.5,Mali-450MP4Adreno 306,microSDXC (dedicated slot),MediaTek MT6592MQualcomm MSM8916 Snapdragon 410 (28 nm),,,,GSM / HSPA / LTE,"2016, January. Released 2016, January",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,,,FM radio,Octa-core 1.4 GHz Cortex-A7Quad-core 1.2 GHz Cortex-A53,,,Up to 650 h (2G) / Up to 550 h (3G),168 g (5.93 oz),,"Dual SIM (Micro-SIM, dual stand-by)","8GB 1GB RAM, 16GB 2GB RAM","13 MP, AF",,"5.5 inches, 83.4 cm2(~67.7% screen-to-body ratio)",Yes,HSDPA 850 / 1700(AWS) / 1900 / 2100 - L0050UU/L0051UU,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-life-xl-.jpg,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,BLU Life XL,HSDPA 850 / 1700(AWS) / 1900 - L050U,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","Yes, with stereo speakers","4.0, A2DP",,"Black, White","2, 4, 7, 12, 17","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, panorama, HDR",155.4 x 79.3 x 8.5 mm (6.12 x 3.12 x 0.33 in)
HSDPA 850 / 1700(AWS) / 1900 - S150U,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,,"Li-Po 2500 mAh, removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-400,microSDXC (dedicated slot),,,,,GSM / HSPA,"2016, March. Released 2016, March",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 700 h (2G) / Up to 650 h (3G),183 g (6.46 oz),,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",8GB 1GB RAM,"5 MP, f/2.4, 1/4.0"", AF",,"5.5 inches, 83.4 cm2(~70.1% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-5.5-hd.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Studio 5.5 HD,HSDPA 850 / 1900 / 2100 - S150L,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, White, Gold",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,153.8 x 77.4 x 9.1 mm (6.06 x 3.05 x 0.36 in)
HSDPA 850 / 1900 / 2100 - E050L,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Po 4000 mAh, non-removable",,Up to 52 h (2G) / Up to 38 h (3G),1080p@30fps,,,microSDXC,,,,,GSM / HSPA,"2016, February. Released 2016, February",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,Corning Gorilla Glass 3,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 900 h (2G) / Up to 875 h (3G),190 g (6.70 oz),,"Dual SIM (Micro-SIM, dual stand-by)",8GB 1GB RAM,"8 MP, f/2.2, 1/4.0"", AF",,"5.0 inches, 68.9 cm2(~67.6% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-energy-x2-.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Energy X 2,HSDPA 850 / 1700(AWS) / 1900 - E050U,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Gold, Grey",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,143.5 x 71 x 9.6 mm (5.65 x 2.80 x 0.38 in)
HSDPA 850 / 1700(AWS) / 1900 - N090U,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,,"Li-Po 2500 mAh, removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-400,microSDXC,,,,,GSM / HSPA,"2016, February. Released 2016, February",IPS LCD,Android 5.1 (Lollipop),5 MP,,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 700 h (2G) / Up to 650 h (3G),162 g (5.71 oz),,"Dual SIM (Micro-SIM, dual stand-by)",8GB 1GB RAM,"8 MP, f/2.0, 1/4.0"", AF",,"5.5 inches, 83.4 cm2(~70.2% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-neo-x-plus.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Neo X Plus,HSDPA 850 / 1900 / 2100 - N090L,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, White",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,152.6 x 77.9 x 8.3 mm (6.01 x 3.07 x 0.33 in)
,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Po 2000 mAh, removable",,Up to 25 h (2G) / Up to 14 h (3G),720p@30fps,,Mali-400,microSDXC,,,,,GSM / HSPA,"2016, February. Released 2016, February",IPS LCD,Android 5.1 (Lollipop),2 MP,,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 750 h (2G) / Up to 700 h (3G),133 g (4.69 oz),,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",8GB 1GB RAM,"5 MP, f/2.2, 1/5.0"", 1.12µm, AF",,"5.0 inches, 68.9 cm2(~67.3% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-g-hd.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Studio G HD,HSDPA 850 / 1700(AWS) / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,2.1,,"Black, White, Pink",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,143.3 x 71.5 x 8.4 mm (5.64 x 2.81 x 0.33 in)
HSDPA 850 / 1900 / 2100 - S110L,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,About 80 EUR,,"Li-Po 2000 mAh, removable",,Up to 25 h (2G) / Up to 14 h (3G),720p@30fps,,Mali-400,microSDXC,,,,,GSM / HSPA,"2016, February. Released 2016, February",IPS LCD,Android 5.1 (Lollipop),2 MP,,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 750 h (2G) / Up to 700 h (3G),150 g (5.29 oz),,"Dual SIM (Micro-SIM, dual stand-by)",16GB 1GB RAM,"8 MP, f/2.8, 1/4.0"", AF",,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-m-hd.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Studio M HD,HSDPA 850 / 1700(AWS) / 1900 - S110U,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, White, Blue, Pink",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,143.3 x 72 x 8.9 mm (5.64 x 2.83 x 0.35 in)
,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,,"Li-Po 2000 mAh, removable",,Up to 25 h (2G) / Up to 14 h (3G),1080p@30fps,,Mali-400MP2,microSDXC,Mediatek MT6582 (28 nm),,,,GSM / HSPA,"2016, January. Released 2016, January",IPS LCD,Android 5.1 (Lollipop),5 MP,LED flash,,BLU,,,,,Stereo FM radio,Quad-core 1.3 GHz Cortex-A7,,,Up to 750 h (2G) / Up to 700 h (3G),176 g (6.21 oz),,"Dual SIM (Micro-SIM, dual stand-by)",8GB 1GB RAM,"8 MP, AF",,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-c-hd-.jpg,microUSB 2.0,"Accelerometer, proximity",,BLU Studio C HD,HSDPA 850 / 1700(AWS) / 1900 / 2100 - S090Q,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, White, Gold, Green, Blue, Pink",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LED flash,144.7 x 71.2 x 10.2 mm (5.70 x 2.80 x 0.40 in)
,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,,,"Li-Ion 3150 mAh, removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-T720MP3,microSDXC,Mediatek MT6753 (28 nm),,,,GSM / HSPA / LTE,"2016, January. Released 2016, January",AMOLED,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)",5 MP,,,BLU,,,Corning Gorilla Glass 3,,FM radio,Octa-core 1.3 GHz Cortex-A53,,,Up to 725 h (2G) / Up to 625 h (3G),154 g (5.43 oz),,"Dual SIM (Micro-SIM, dual stand-by)",16GB 2GB RAM,"13 MP, PDAF",,"5.5 inches, 83.4 cm2(~70.0% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-vivo-xl.jpg,USB Type-C 2.0,"Accelerometer, proximity, compass",,BLU Vivo XL,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Gold, Silver, Blue, Pink","2, 4, 7, 12, 17",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, panorama, HDR",155.3 x 76.7 x 7.5 mm (6.11 x 3.02 x 0.30 in)
,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,About 240 EUR,,"Li-Ion 3150 mAh, non-removable",,Up to 26 h (2G) / Up to 16 h (3G),1080p@30fps,,Mali-T720MP3,microSDXC (uses shared SIM slot),Mediatek MT6753 (28 nm),,,,GSM / HSPA / LTE,"2016, January. Released 2016, February",AMOLED,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)",5 MP,,,BLU,,,Corning Gorilla Glass 3,,FM radio,Octa-core 1.3 GHz Cortex-A53,,,Up to 725 h (2G) / Up to 625 h (3G),142.6 (5.04 oz),,Nano-SIM + Micro-SIM,32GB 3GB RAM,"13 MP, PDAF",,"5.5 inches, 83.4 cm2(~73.6% screen-to-body ratio)",Yes,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blu-vivo-5.jpg,USB Type-C 2.0,"Accelerometer, gyro, proximity, compass",,BLU Vivo 5,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Silver, Gold","2, 4, 7",Wi-Fi 802.11 b/g/n,GPS,No,,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, panorama, HDR",151.9 x 74.6 x 6.9 mm (5.98 x 2.94 x 0.27 in)
