,Brand,SAR EU,3.5mm jack,_1,CPU,Weight,Phonebook,Price,NFC,Positioning,Speed,Resolution,Games,Talk time,Size,Status,GPU,Technology,Colors,WLAN,Stand-by,3G bands,Announced,Messaging,Model Name,GPRS,Video_1,Type_1,2G bands,SIM,Type,Chipset,Bluetooth,OS,USB,Single_1,SAR,Keyboard,Java,EDGE,Sensors,Video,Dimensions,Features,Single,Browser,_2,Internal,Music play,Call records,_3,Loudspeaker,Card slot,Model Image,Radio
No,Spice,,,,,89 g (3.14 oz),1500 entries,About 30 EUR,No,No,,"240 x 320 pixels, 4:3 ratio",Downloadable,Up to 6 h,"2.6 inches, 20.9 cm2(~30.7% screen-to-body ratio)",Discontinued,,GSM,White,No,Up to 500 h,,"2012, April. Released 2012, April",Yes,Spice M-5665 T2,Yes,,"Li-Ion 1200 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 56K colors",,Yes,,Proprietary,,,,No,No,,Yes,112.8 x 60.5 x 12.8 mm (4.44 x 2.38 x 0.50 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-t2-m-5665.jpg,FM radio
No,Spice,,,,,65.2 g (2.29 oz),250 entries,About 30 EUR,No,No,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Downloadable,Up to 3 h 20 min,"2.8 inches, 24.3 cm2(~43.2% screen-to-body ratio)",Discontinued,,GSM,White,No,Up to 500 h,,"2012, September. Released 2012, September",Yes,Spice M-5566 Flo Entertainer,No,,"Li-Ion 1000 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 56K colors",,Yes,,Proprietary,,,,No,No,,Yes,104 x 54 x 12.4 mm (4.09 x 2.13 x 0.49 in),,VGA,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-flo-entertainer-m-5566.jpg,Wireless FM radio (no wired headphones required)
No,Spice,,,,,70 g (2.47 oz),500 entries,About 40 EUR,No,No,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Downloadable,Up to 3 h 30 min,"3.5 inches, 36.5 cm2(~51.6% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 200 h,,"2012, August. Released 2012, August",Yes,Spice M-5900 Flo TV Pro,Yes,,"Li-Ion 1000 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",,Yes,,Proprietary,,,,Yes,No,,Yes,114 x 62 x 13.6 mm (4.49 x 2.44 x 0.54 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-flo-tv-pro.jpg,"FM radio, recording"
No,Spice,,,,,80 g (2.82 oz),Yes,About 50 EUR,No,No,,"240 x 400 pixels, 5:3 ratio (~146 ppi density)",Downloadable,Up to 4 h,"3.2 inches, 29.1 cm2(~47.4% screen-to-body ratio)",Discontinued,,GSM,Black,Wi-Fi 802.11 b/g/n,Up to 340 h,,"2012, June. Released 2012, June",Yes,Spice M-6688 Flo Magic,Yes,,"Li-Ion 1000 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",,Yes,,Proprietary,,,,Yes,Yes,,Yes,111.7 x 55 x 12.9 mm (4.40 x 2.17 x 0.51 in),,3.15 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-flo-magic.jpg,"FM radio, recording"
No,Spice,,,,,63 g (2.22 oz),250 entries,About 30 EUR,No,No,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Downloadable,Up to 3 h 20 min,"2.6 inches, 20.9 cm2(~40.4% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 200 h,,"2012, January. Released 2012, January",Yes,Spice M-5460 Flo,Yes,,"Li-Ion 1000 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 56K colors",,Yes,,Proprietary,,,,No,No,,Yes,96 x 54 x 13.5 mm (3.78 x 2.13 x 0.53 in),LED flash,Yes,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-5460.jpg,FM radio
No,Spice,,,,,80 g (2.82 oz),1000 entries,About 30 EUR,No,No,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Downloadable,Up to 3 h 30 min,"2.4 inches, 17.8 cm2(~36.9% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 200 h,,"2011, November. Released 2011, November",Yes,Spice M-5455 Flo,Yes,,"Li-Ion 950 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 56K colors",,Yes,,Proprietary,,,,Yes,No,,Yes,93.6 x 51.6 x 13.7 mm (3.69 x 2.03 x 0.54 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-5455.jpg,FM radio
No,Spice,,No,,,101 g (3.56 oz),Yes,About 20 EUR,No,No,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Downloadable,Up to 8 h,"2.4 inches, 17.8 cm2(~28.5% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 650 h,,"2012, August. Released 2012, August",Yes,Spice M-5365 Boss Killer,Yes,,"Li-Ion 1800 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 65K colors",,Yes,,No,,,,No,No,,Yes,118 x 53 x 15 mm (4.65 x 2.09 x 0.59 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-boss-killer.jpg,FM radio
No,Spice,,No,,,113 g (3.99 oz),250 entries,About 30 EUR,No,No,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Downloadable,Up to 6 h,"2.8 inches, 24.3 cm2(~34.6% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 360 h,,"2012, September. Released 2012, September",Yes,Spice M-5400 Boss TV,Yes,,"Li-Ion 1800 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",,Yes,,Proprietary,,,,No,No,,Yes,123 x 57 x 14.5 mm (4.84 x 2.24 x 0.57 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-boss-tv.jpg,Wireless FM radio (no wired headphones required)
No,Spice,,No,,,70 g (2.47 oz),170 entries,About 20 EUR,No,No,,176 x 220 pixels (~141 ppi density),Downloadable,Up to 8 h,"2.0 inches, 12.6 cm2(~23.6% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 600 h,,"2012, August. Released 2012, August",Yes,Spice M-5200 Boss Don,No,,"Li-Ion 1800 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 65K colors",,Yes,,Proprietary,,,,No,No,,Yes,113 x 47.2 x 16.5 mm (4.45 x 1.86 x 0.65 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-boss-don.jpg,FM radio
No,Spice,,No,,,70 g (2.47 oz),500 entries,About 30 EUR,No,No,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",Downloadable,Up to 10 h,"2.6 inches, 20.9 cm2(~33.6% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 700 h,,"2012, August. Released 2012, August",Yes,Spice M-5390 Boss Double XL,No,,"Li-Ion 2200 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 65K colors",,Yes,,Proprietary,,,,No,No,,Yes,118.8 x 52.5 x 14.9 mm (4.68 x 2.07 x 0.59 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-boss-dooble-excel.jpg,FM radio; built-in antenna
No,Spice,,No,,,95 g (3.35 oz),200 entries,About 20 EUR,No,No,,176 x 220 pixels,Downloadable,Up to 8 h,"2.2 inches, 15.2 cm2(~27.9% screen-to-body ratio)",Discontinued,,GSM,White,No,Up to 350 h,,"2012, June. Released 2012, June",Yes,Spice M-5250 Boss Item,Yes,,"Li-Ion 1500 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 65K colors",,Yes,,Proprietary,,,,No,No,,Yes,114.8 x 47.5 x 14.8 mm (4.52 x 1.87 x 0.58 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-boss-itom.jpg,FM radio
No,Spice,,No,,,102 g (3.60 oz),Practically unlimited entries,About 20 EUR,No,No,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Downloadable,Up to 9 h,"2.4 inches, 17.8 cm2(~29.4% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 400 h,,"2012, June. Released 2012, June",Yes,Spice M-5363 Boss,No,,"Li-Ion 1800 mAh, removable",GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",,Yes,,Proprietary,,,,No,No,,Yes,100 x 60.6 x 13 mm (3.94 x 2.39 x 0.51 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-boss-champion.jpg,"FM radio, recording"
MP4/WMV/H.263 playerMP3/WAV/AAC+ playerOrganizerPhoto/video editorVoice memoPredictive text input,Spice,,Yes,,800 MHz Cortex-A9,80 g (2.82 oz),,About 100 EUR,,GPS,HSPA,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 4 h,"3.5 inches, 36.5 cm2(~49.9% screen-to-body ratio)",Discontinued,PowerVR SGX531,GSM / HSPA,White,Wi-Fi 802.11 b/g/n,Up to 192 h,HSDPA 900 / 2100,"2012, August. Released 2012, August",,Spice Mi-355 Stellar Craze,,,Removable Li-Ion 1420 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",Mediatek MT6573 (65 nm),Yes,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Proprietary,VGA,,,,,"Accelerometer, proximity",Yes,118 x 62 x 11.5 mm (4.65 x 2.44 x 0.45 in),LED flash,5 MP,,,140MB 512MB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-355.jpg,FM radio
MP4/WMV/H.263 playerMP3/WAV/AAC+ playerOrganizerDocument viewerPhoto/video editorVoice memoPredictive text input,Spice,0.36 W/kg (head),Yes,,1.0 GHz,110 g (3.88 oz),,About 90 EUR,,"GPS, A-GPS",HSPA,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,,"4.0 inches, 45.5 cm2(~57.4% screen-to-body ratio)",Discontinued,,GSM / HSPA,White/Black,"Wi-Fi 802.11 b/g, hotspot",,HSDPA 2100,"2012, June. Released 2012, June",,Spice Mi-425 Stellar,,,Removable Li-Ion 2000 mAh battery,GSM 900 / 1800,Mini-SIM,"TFT, 256K colors",,Yes,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Proprietary,VGA,,,,,"Accelerometer, proximity, compass",Yes,125 x 63.5 x 12.5 mm (4.92 x 2.5 x 0.49 in),LED flash,"5 MP, AF",,,149MB,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-425-stellar.jpg,FM radio
No,Spice,,Yes,SNS integrationMP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,,87.3 g (3.07 oz),"2000 entries, Photocall",About 50 EUR,,No,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Downloadable,,"3.5 inches, 36.5 cm2(~51.6% screen-to-body ratio)",Discontinued,,GSM,Black,Wi-Fi 802.11 b/g,,,"2012, Q2","SMS, MMS, Email, Push Email, IM",Spice M-6868N FLO ME,Yes,,Removable Li-Ion 1150 mAh battery,GSM 900 / 1800,Mini-SIM,"TFT, 256K colors",,2.0,,microUSB,,0.85 W/kg (head),,,Yes,Accelerometer,Yes,116 x 60.9 x 12.8 mm (4.57 x 2.40 x 0.50 in),,3.2 MP,,,44MB,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-flo-me.jpg,"FM radio, recording"
No,Spice,,TBD,SNS integrationAnalog TVMP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,,110 g (3.88 oz),"2000 entries, Photocall",About 30 EUR,,No,,"240 x 320 pixels, 4:3 ratio (~125 ppi density)",Downloadable,,"3.2 inches, 31.7 cm2(~46.5% screen-to-body ratio)",Discontinued,,GSM,"Black, White",No,,,"2012, Q2","SMS, MMS",Spice M-5600 FLO TV,Yes,,Removable Li-Ion 1200 mAh battery,GSM 900 / 1800,Mini-SIM,TFT,,2.0,,microUSB,,0.76 W/kg (head),,,No,,Yes,112.8 x 60.5 x 12.8 mm (4.44 x 2.38 x 0.50 in),,1.3 MP,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-flo-tv.jpg,"FM radio, recording"
MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,Spice,,Yes,,650 MHz Cortex-A9,96 g (3.39 oz),,About 70 EUR,,"GPS, A-GPS",HSPA,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 3 h 20 min,"2.8 inches, 24.3 cm2(~40.4% screen-to-body ratio)",Discontinued,PowerVR SGX531,GSM / HSPA,Black,Wi-Fi 802.11 b/g,Up to 200 h,HSDPA 2100,"2012, February. Released 2012, February",,Spice Mi-280,,,Removable Li-Ion 1000 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,Mediatek MT6573 (65 nm),"2.1, A2DP",Android 2.3 (Gingerbread),microUSB 2.0,VGA,,,,,"Accelerometer, proximity, compass",Yes,105.5 x 57 x 12.9 mm (4.15 x 2.24 x 0.51 in),,3.15 MP,,,134MB,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mobile-mi-280.jpg,FM radio
MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,Spice,,Yes,,650 MHz Cortex-A9,134 g (4.76 oz),,About 100 EUR,,"GPS, A-GPS",HSPA 7.2/5.76 Mbps,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,Up to 3 h,"3.5 inches, 36.5 cm2(~51.5% screen-to-body ratio)",Discontinued,PowerVR SGX531,GSM / HSPA,Black,"Wi-Fi 802.11, hotspot",Up to 200 h,HSDPA 900 / 2100,"2011, Q3. Released 2011, October",,Spice Mi-350,,,Removable Li-Ion 1500 mAh battery,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,Mediatek MT6573 (65 nm),"2.1, A2DP",Android 2.3 (Gingerbread),2.0,VGA,,,,,"Accelerometer, proximity",Yes,118 x 60 x 13.4 mm (4.65 x 2.36 x 0.53 in),,3.15 MP,,,188MB,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-350.jpg,FM radio
No,Spice,,Yes,SRS audio,,167 g (5.89 oz),2000 entries,About 80 EUR,,No,,"320 x 480 pixels, 3:2 ratio (~167 ppi density)",Downloadable,Up to 9 h 25 min,"3.46 inches, 35.6 cm2(~49.2% screen-to-body ratio)",Discontinued,,GSM,Black,Wi-Fi 802.11 b/g/n,Up to 432 h,,2011,"SMS(threaded view), MMS, Email, IM",Spice M-6900 Knight,Yes,,Removable Li-Ion 1400 mAh battery,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"2.0, A2DP",,2.0,,,,Yes,Yes,Proximity,Yes,116 x 62.5 x 11.6 mm (4.57 x 2.46 x 0.46 in),,3.15 MP,,SNS integrationMP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,39MB,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-6900-knight.jpg,"FM radio, recording"
No,Spice,,No,MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,,91 g (3.21 oz),1500 entries,About 50 EUR,,No,,"320 x 480 pixels, 3:2 ratio (~168 ppi density)",Downloadable,Up to 4 h 30 min,"3.44 inches, 35.2 cm2(~48.8% screen-to-body ratio)",Discontinued,,GSM,Black,Wi-Fi 802.11 b/g/n,Up to 450 h,,2011,"SMS(threaded view), MMS, Email, IM",Spice M-6868,Yes,,Removable Li-Ion 1200 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"2.1, A2DP",,2.0,,,,Yes,Yes,,Yes,114.5 x 63 x 12 mm (4.51 x 2.48 x 0.47 in),,3.15 MP,,,55MB,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-6868.jpg,"FM radio, recording"
No,Spice,,Yes,SRS audio,,100 g (3.53 oz),2000 entries,About 40 EUR,,No,,"240 x 400 pixels, 5:3 ratio (~149 ppi density)",Downloadable,Up to 8 h 13 min,"3.14 inches, 28.1 cm2(~46.8% screen-to-body ratio)",Discontinued,,GSM,Cappuccino,Wi-Fi 802.11 b/g/n,Up to 234 h,,2011,"SMS(threaded view), MMS, Email, IM",Spice M-6700,Yes,,Removable Li-Ion 1000 mAh battery,GSM 900 / 1800,Mini-SIM,TFT,,"2.0, A2DP",,2.0,,,,Yes,Yes,,Yes,111 x 54 x 13.2 mm (4.37 x 2.13 x 0.52 in),,3.15 MP,,MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,45MB,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-6700.jpg,"FM radio, recording"
No,Spice,,,Analog TVPocket ProjectorLaser PointerMP4/H.263 playerMP3/AAC+ playerOrganizerDocument viewerVoice memoPredictive text input,,123 g (4.34 oz),1500 entries,About 60 EUR,,No,,"240 x 320 pixels, 4:3 ratio (~169 ppi density)",Downloadable,Up to 3 h 30 min,"2.36 inches, 17.2 cm2(~28.8% screen-to-body ratio)",Discontinued,,GSM,Black/Silver,No,Up to 300 h,,2011,"SMS, MMS, Email",Spice M-9000 Popkorn,Yes,,Removable Li-Ion 1200 mAh battery,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),"TFT, 256K colors",,"2.1, A2DP",,2.0,,,,Yes,Yes,,Yes,119.2 x 50.3 x 17.4 mm (4.69 x 1.98 x 0.69 in),,3.15 MP,,,87MB,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-9000-popkorn.jpg,"FM radio, recording; built-in antenna"
No,Spice,,Yes,SRS audio,,101 g (3.56 oz),500 entries,About 40 EUR,,No,,"240 x 320 pixels, 4:3 ratio (~169 ppi density)",Downloadable,Up to 6 h 40 min,"2.36 inches, 17.2 cm2(~30.9% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 200 h,,2011,"SMS(threaded view), MMS",Spice M-6450,Yes,,Removable Li-Ion 950 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"2.0, A2DP",,2.0,,,,Yes,No,,Yes,114 x 49 x 10.8 mm (4.49 x 1.93 x 0.43 in),,2 MP,,MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,45MB,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-6450.jpg,FM radio
No,Spice,,Yes,MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,,96 g (3.39 oz),1000 entries,About 40 EUR,,No,,"240 x 320 pixels, 4:3 ratio (~145 ppi density)",Downloadable,Up to 5 h,"2.76 inches, 23.6 cm2(~42.1% screen-to-body ratio)",Discontinued,,GSM,Black,No,Up to 500 h,,2011,"SMS(threaded view), MMS, Email",Spice M-5750,Yes,,Removable Li-Ion 1000 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT resistive touchscreen,,"2.0, A2DP",,microUSB,,,,Yes,No,,Yes,112 x 50 x 12 mm (4.41 x 1.97 x 0.47 in),,1.3 MP,,,8MB,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-5750.jpg,"FM radio, recording"
No,Spice,,,MP3/MP4/H.263 player,,60 g (2.12 oz),500 entries,About 30 EUR,,No,,"240 x 320 pixels, 4:3 ratio (~169 ppi density)",Downloadable,Up to 3 h 30 min,"2.36 inches, 17.2 cm2(~29.4% screen-to-body ratio)",Discontinued,,GSM,"Gray, Red",No,Up to 300 h,,2011,SMS(threaded view),Spice M-5350,No,,Removable Li-Ion 1000 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"2.0, A2DP",,No,,,,No,No,,Yes,104.8 x 56 x 13.2 mm (4.13 x 2.20 x 0.52 in),,VGA,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-5350.jpg,"FM radio, recording"
No,Spice,,No,MP3/MP4/H.263 player,,90 g (3.17 oz),500 entries,About 30 EUR,,No,,128 x 160 pixels (~116 ppi density),Downloadable,Up to 5 h,"1.77 inches, 9.9 cm2(~20.1% screen-to-body ratio)",Discontinued,,GSM,Black/Gold,No,Up to 500 h,,2011,"SMS(threaded view), MMS",Spice M-5180,Yes,,Removable Li-Ion 1800 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,1.2,,No,,,,No,No,,Yes,105.7 x 46.5 x 15.2 mm (4.16 x 1.83 x 0.60 in),,VGA,,,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-5180.jpg,"FM radio, recording"
Flashlight,Spice,,No,No,,44.8 g without battery (1.55 oz),500 entries,About 20 EUR,,No,,128 x 160 pixels (~116 ppi density),Downloadable,Up to 4 h,"1.77 inches, 9.9 cm2",Discontinued,,GSM,"Black/Red, Black",No,Up to 500 h,,2011,SMS(threaded view),Spice M-5115,No,,Removable Li-Ion 1000 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,"2.1, A2DP",,microUSB,,,,No,No,,No,-,,VGA,,MP3/MP4/H.263 player,,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-5115.jpg,"FM radio, recording"
Flashlight,Spice,,No,No,,44.8 g without battery (1.55 oz),500 entries,About 10 EUR,,No,,128 x 160 pixels (~116 ppi density),Downloadable,Up to 4 h,"1.77 inches, 9.9 cm2",Discontinued,,GSM,Black,No,Up to 500 h,,2011,SMS(threaded view),Spice M-4262,No,,Removable Li-Ion 1000 mAh battery,GSM 900 / 1800 - SIM 1 & SIM 2,Dual SIM (Mini-SIM),TFT,,No,,microUSB,,,,No,No,,No,-,,,,No,,,Yes,MP3/MP4/H.263 player,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-m-4262.jpg,"FM radio, recording"
HDMI outputMP4/WMV/H.263 playerMP3/WAV/AAC+ playerOrganizerDocument viewerPhoto/video editorVoice memoPredictive text input,Spice,,Yes,,800 MHz Scorpion,485 g (1.07 lb),,About 170 EUR,,"GPS, A-GPS",HSPA,"480 x 800 pixels, 5:3 ratio (~133 ppi density)",,Up to 20 h,"7.0 inches, 139.5 cm2(~59.9% screen-to-body ratio)",Discontinued,Adreno 200,GSM / HSPA,White,"Wi-Fi 802.11 b/g, hotspot",Up to 450 h,HSDPA 850 / 2100,"2011, Q2",,Spice Mi-720,,,Non-removable Li-Ion 4200 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",,"2.1, A2DP, EDR",Android 2.2 (Froyo),microUSB,VGA,,,,,"Accelerometer, compass",@24fps,200 x 116.5 x 12.5 mm (7.87 x 4.59 x 0.49 in),,2 MP,,,"256MB RAM, 512MB",,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi720.jpg,No
No,Spice,,Yes,SNS integrationMP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,,91 g (3.21 oz),"1000 entries, Photocall",About 40 EUR,,No,,"240 x 400 pixels, 5:3 ratio (~149 ppi density)",Downloadable,Up to 4 h,"3.14 inches, 28.1 cm2(~48.6% screen-to-body ratio)",Discontinued,,GSM,"Turquoise Blue, Jet Black, Spice Yellow",Wi-Fi 802.11 b/g,Up to 250 h,,"2011, May. Released 2011, May","SMS(threaded view), MMS, Email, IM",Spice M-6800 FLO,Yes,,Removable Li-Ion 1000 mAh battery,GSM 900 / 1800,Mini-SIM,TFT,,"2.1, A2DP",,2.0,,,,Yes,Yes,,Yes,107.8 x 53.6 x 12.5 mm (4.24 x 2.11 x 0.49 in),,3.15 MP,,,44MB,,Yes,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/Spice-Mobile-M-6800-FLO.jpg,"FM radio, recording"
HDMI outputMP4/WMV/H.263 playerMP3/WAV/AAC+ playerOrganizerDocument viewerPhoto/video editorVoice memoPredictive text input,Spice,0.62 W/kg (head),Yes,,1.0 GHz Scorpion,143 g (5.04 oz),,About 210 EUR,,"GPS, A-GPS",HSPA 14.4/5.76 Mbps,"480 x 800 pixels, 5:3 ratio (~232 ppi density)",,Up to 2 h 20 min (2G) / Up to 4 h (3G),"4.03 inches, 46.2 cm2(~57.4% screen-to-body ratio)",Discontinued,Adreno 205,GSM / HSPA,"Silver, Brown","Wi-Fi 802.11 b/g, hotspot",Up to 400 h (2G) / Up to 380 h (3G),HSDPA 900 / 1900 / 2100,"2011, Q2. Released 2011, Q2",,Spice Mi-410,,,Removable Li-Ion 1400 mAh battery,GSM 850 / 900 / 1800 / 1900,Mini-SIM,"TFT, 256K colors",Qualcomm MSM8255 Snapdragon S2,"2.0, A2DP, EDR",Android 2.2 (Froyo),microUSB,Yes,,,,,"Accelerometer, proximity, compass",720p@30fps,122 x 66 x 10 mm (4.80 x 2.60 x 0.39 in),LED flash,"5 MP, AF",,,800MB 512MB RAM,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-410.jpg,"FM radio, recording"
No,Spice,,Yes,MP4/H.263 playerMP3/AAC+ playerOrganizerVoice memoPredictive text input,416 MHz,-,,About 50 EUR,,"GPS, A-GPS",,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Up to 3 h,"2.8 inches, 24.3 cm2(~42.4% screen-to-body ratio)",Discontinued,,GSM,"Black, White","Wi-Fi 802.11 b/g, hotspot",Up to 320 h,,"2011, May. Released 2011, May",,Spice Mi-270,Yes,,Removable Li-Ion 1000 mAh battery,GSM 900 / 1800 - SIM1 & SIM 2,"Dual SIM (Mini-SIM, dual stand-by)",TFT,Mediatek MT6516,"2.1, A2DP, EDR",Android 2.2 (Froyo),Proprietary,,,,,Yes,,Yes,104 x 55 x 12.6 mm (4.09 x 2.17 x 0.50 in),,2 MP,HTML,,,,,,Yes,microSDHC (dedicated slot),https://fdn2.gsmarena.com/vv/bigpic/spice-mi-270.jpg,FM radio
