,Stand-by,Card slot,Price,Model Name,USB,SAR EU,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Quad,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,GPU,Video_1,Call records,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Features_1,Models,Protection,Status,OS,Type,Internal,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Charging,Dual,Phonebook,Features,Talk time,_1,3G bands,Resolution,2G bands,WLAN
,Up to 210 h,microSDHC,,Allview E4 Lite,microUSB 2.0,1.27 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","2, 3, 20, 38","5.0 inches, 68.9 cm2(~69.8% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,140.7 x 70.2 x 8.6 mm (5.54 x 2.76 x 0.34 in),128 g (4.52 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-e4-lite.jpg,GPS,,,5 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,,,"13 MP, AF","2015, September. Released 2015, September",No,FM radio,Mediatek MT6735 (28 nm),Yes,LED flash,,,Discontinued,Android 5.1 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Po 2100 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR, panorama",Up to 10 h,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 230 h,microSDHC,About 140 EUR,Allview E3 Living,microUSB 2.0,1.12 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","3, 7, 20, 38","4.5 inches, 55.8 cm2(~63.6% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,133.3 x 65.8 x 9.8 mm (5.25 x 2.59 x 0.39 in),135.5 g (4.80 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-e3-living.jpg,GPS,,,2 MP,Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,,,"8 MP, AF","2015, August. Released 2015, August",No,FM radio,Mediatek MT6735 (28 nm),Yes,LED flash,,,Discontinued,Android 5.1 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Ion 1850 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR, panorama",Up to 8 h 40 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 200 h,microSDHC,,Allview A5 Easy,microUSB 2.0,1.32 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"4.0 inches, 45.5 cm2(~58.3% screen-to-body ratio)",,Yes,,,,GSM / HSPA,Allview,,125 x 62.5 x 9.9 mm (4.92 x 2.46 x 0.39 in),121 g (4.27 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-a5-easy.jpg,GPS,,,VGA,Dual-core 1.0 GHz Cortex-A7,Mali-400,,,5 MP,"2015, August. Released 2015, August",No,FM radio,Mediatek MT6572 (28 nm),Yes,,,,Discontinued,Android 5.1 (Lollipop),"TFT, 256K colors",8GB 1GB RAM,"Li-Ion 1400 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 7 h 40 min,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
IPX5 certified,Up to 200 h,microSDHC,,Allview E2 Jump,microUSB 2.0,1.01 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"4.5 inches, 55.8 cm2(~62.1% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,134.6 x 66.8 x 11 mm (5.30 x 2.63 x 0.43 in),152 g (5.36 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-e2-jump.jpg,GPS,,,VGA,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"5 MP, AF","2015, February. Released 2015, February",No,FM radio,Mediatek MT6582 (28 nm),Yes,,,,Discontinued,Android 4.4.2 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Ion 2000 mAh, removable","4.0, A2DP, EDR",Yes,Black/Green,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 8 h 20 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 280 h,microSDHC,,Allview E3 Sign,microUSB 2.0,0.67 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"5.5 inches, 83.4 cm2(~72.0% screen-to-body ratio)",,1080p@30fps,,,Yes,GSM / HSPA,Allview,,152.5 x 75.9 x 9.3 mm (6.00 x 2.99 x 0.37 in),161.9 g (6.74 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-e3-sign.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"8 MP, AF","2015, March. Released 2015, March",No,FM radio,Mediatek MT6582 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,Android 4.4.2 (KitKat),IPS LCD,16GB 2GB RAM,"Li-Po 2800 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/11.5 Mbps,,,,"Dual-LED flash, HDR",Up to 10 h 20 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 165 h,microSDHC,,Allview P4 Life,microUSB 2.0,0.86 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"4.0 inches, 45.5 cm2(~65.4% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,120.9 x 57.6 x 9.3 mm (4.76 x 2.27 x 0.37 in),125.2 g (4.41 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p4-life.jpg,GPS,,,VGA,Quad-core 1.3 GHz Cortex-A7,Mali-450MP4,,,5 MP,"2014, December. Released 2014, December",No,FM radio,Mediatek MT6592 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",IPS LCD,8GB 1GB RAM,"Li-Ion 1600 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 7 h 15 min,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 185 h,microSDHC,,Allview P5 Life,microUSB 2.0,1.15 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"4.5 inches, 55.8 cm2(~63.1% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,133.2 x 66.4 x 9 mm (5.24 x 2.61 x 0.35 in),127 g (4.48 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p5-life.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,5 MP,"2014, December. Released 2014, December",No,"FM radio, RDS",Mediatek MT6582 (28 nm),Yes,,,,Discontinued,Android 5.0 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Ion 1850 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 8 h 25 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 500 h,microSDHC,,Allview P6 Energy,microUSB 2.0,0.73 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,144.5 x 71.5 x 10.3 mm (5.69 x 2.81 x 0.41 in),176.6 g (6.24 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p6-energy.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"8 MP, AF","2015, January. Released 2015, January",No,FM radio,Mediatek MT6582 (28 nm),Yes,,,Scratch-resistant glass,Discontinued,Android 5.0 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Ion 5000 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 23 h 20 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
Yamaha amplifier,Up to 225 h,microSDHC,,Allview Viper E,microUSB 2.0,0.84 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"4.5 inches, 55.8 cm2(~65.5% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,131 x 65 x 7.8 mm (5.16 x 2.56 x 0.31 in),122.5 g (4.34 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viper-e.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"8 MP, AF","2014, September. Released 2014, September",No,FM radio,Mediatek MT6582 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Android 5.0 (Lollipop),IPS LCD,8GB 1GB RAM,"Li-Ion 1800 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA 21.1/5.76 Mbps,,,,"LED flash, HDR",Up to 9 h 15 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 195 h,microSDHC,,Allview Viper L,microUSB 2.0,0.76 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,142 x 71.5 x 8.6 mm (5.59 x 2.81 x 0.34 in),-,https://fdn2.gsmarena.com/vv/bigpic/allview-viper-l.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"5 MP, AF","2015, February. Released 2015, February",No,FM radio,Mediatek MT6582 (28 nm),Yes,LED flash,,,Discontinued,Android 4.4.2 (KitKat),TFT,8GB 1GB RAM,"Li-Ion 1950 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA 21.1/11.5 Mbps,,,,"LED flash, HDR",Up to 8 h 30 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 180 h,microSDHC,,Allview V1 Viper i4G,microUSB 2.0,0.44 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20","4.7 inches, 60.9 cm2(~64.9% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,137.3 x 68.3 x 9.6 mm (5.41 x 2.69 x 0.38 in),149.9 g (5.29 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v1-viper-i4g.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,"5 MP, AF",2015. Released 2015,No,FM radio,Mediatek MT6582 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Android 4.4.2 (KitKat),TFT,8GB 1GB RAM,"Li-Po 1800 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 8 h 20 min,,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~208 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
eMMC 4.5,Up to 195 h,microSDHC,,Allview V1 Viper S4G,microUSB 2.0,0.76 W/kg (head),,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)","3, 7, 40","5.0 inches, 68.9 cm2(~68.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,143 x 70.7 x 6.9 mm (5.63 x 2.78 x 0.27 in),124.7 g (4.37 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-viper-s4g.jpg,GPS,,,5 MP,Quad-core 1.2 GHz Cortex-A7,Adreno 305,,,"8 MP, AF","2014, September. Released 2014, September",No,"FM radio, RDS",Qualcomm MSM8926 Snapdragon 400 (28 nm),Yes,LED flash,,Scratch-resistant glass,Discontinued,Android 4.4 (KitKat),IPS LCD,16GB 2GB RAM,"Li-Po 1950 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White","HSPA, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 9 h 45 min,,HSDPA 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 270 h,No,,Allview X2 Soul Pro,microUSB 2.0,0.54 W/kg (head),,"Accelerometer, gyro, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","2, 3, 7, 8, 20, 38, 40","5.2 inches, 74.5 cm2(~69.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,148.8 x 72.4 x 5.5 mm (5.86 x 2.85 x 0.22 in),126.5 g (4.48 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x2-soul-pro.jpg,GPS,,,8 MP,Octa-core 1.7 GHz Cortex-A53,Mali-T760MP2,,,"13 MP, AF","2015, March. Released 2015, March",No,FM radio,Mediatek MT6752 (28 nm),Yes,,,Corning Gorilla Glass,Discontinued,Android 5.0 (Lollipop),OLED,16GB 2GB RAM,"Li-Po 2700 mAh, non-removable","4.0, A2DP, EDR",Yes,"White/Gold, Black","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 12 h 50 min,,HSDPA 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
eMMC 4.5,Up to 200 h,microSDHC,,Allview W1i,microUSB 2.0,0.53 W/kg (head),,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"4.7 inches, 60.9 cm2(~66.7% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,135.8 x 67.2 x 7.2 mm (5.35 x 2.65 x 0.28 in),98.9 g (3.46 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-w1i.jpg,GPS,,,2 MP,Quad-core 1.2 GHz Cortex-A7,Adreno 302,,,"8 MP, AF","2014, June. Released 2014, June",No,FM radio,Qualcomm MSM8212 Snapdragon 200 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Microsoft Windows Phone 8.1,IPS LCD,8GB 1GB RAM,"Li-Po 1750 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA 42.2/5.76 Mbps,,,,"LED flash, panorama",Up to 7 h 20 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
eMMC 4.5,Up to 200 h,microSDHC,,Allview W1s,microUSB 2.0,0.44 W/kg (head),,"Accelerometer, proximity","Dual SIM (Mini-SIM, dual stand-by)",,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,144.9 x 72.1 x 8.8 mm (5.70 x 2.84 x 0.35 in),156.2 g (5.50 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-w1s.jpg,GPS,,,2 MP,Quad-core 1.2 GHz Cortex-A7,Adreno 302,,,"8 MP, AF","2014, June. Released 2014, June",No,FM radio,Qualcomm MSM8212 Snapdragon 200 (28 nm),Yes,,,Asahi Dragontrail Glass,Discontinued,Microsoft Windows Phone 8.1,IPS LCD,8GB 1GB RAM,"Li-Ion 2000 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA 42.2/5.76 Mbps,,,,"LED flash, panorama",Up to 8 h 20 min,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 900 / 1800 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, hotspot"
eMMC 5.0,Up to 350 h (3G),microSDXC,About 490 EUR,Allview X2 Xtreme,"microUSB 2.0, OTG",,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)","1, 7, 33, 38, 39","6.0 inches, 99.2 cm2(~73.8% screen-to-body ratio)",,4K@30fps,,,,GSM / HSPA / LTE,Allview,,164 x 82 x 9.6 mm (6.46 x 3.23 x 0.38 in),204.4 g (7.20 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x2-extr.jpg,GPS,,,"8 MP, AF",Octa-core 2.0 GHz Cortex-A53,PowerVR G6200,,,"24 MP, 1/2.3"", PDAF, OIS","2015, June. Released 2015, August",Yes,"FM radio, recording",Mediatek MT6795 Helio X10 (28 nm),"Yes, with stereo speakers",,,,Discontinued,Android 5.1 (Lollipop),AMOLED,64GB 3GB RAM,"Li-Po 3500 mAh, non-removable","4.0, A2DP, EDR",Yes,Gold,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"Dual-LED dual-tone flash, panorama, HDR",Up to 12 h (3G),,HSDPA 900 / 1900 / 2100,"1440 x 2560 pixels, 16:9 ratio (~490 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot"
,Up to 175 h (2G) / Up to 175 h (3G),microSDHC (dedicated slot),,Allview P6 Life,microUSB 2.0,,,"Accelerometer, proximity, compass",Micro-SIM,,"5.0 inches, 68.9 cm2(~64.5% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,145.9 x 73.2 x 8.9 mm (5.74 x 2.88 x 0.35 in),147.3 g (5.19 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p6-life.jpg,GPS,,,2 MP,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,"8 MP, AF","2014, May. Released 2014, May",No,FM radio,,Yes,,,,Discontinued,Android 4.4.2 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Ion 1750 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, panorama, HDR",Up to 6 h (2G) / Up to 5 h (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
,Up to 145 h (2G) / Up to 145 h (3G),microSDHC (dedicated slot),About 80 EUR,Allview C5 Smiley,microUSB 2.0,,,"Accelerometer, compass",Micro-SIM,,"4.0 inches, 45.5 cm2(~56.9% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,125 x 64 x 11 mm (4.92 x 2.52 x 0.43 in),118.5 g (4.20 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-c5-smiley.jpg,GPS,,,VGA,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,3.15 MP,"2014, June. Released 2014, June",No,FM radio,,Yes,,,,Discontinued,Android 4.2.2 (Jelly Bean),TFT,4GB 512MB RAM,"Li-Ion 1400 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White, Pink, Blue, Yellow, Green, Orange",HSPA 21.1/5.76 Mbps,,,,LED flash,Up to 6 h,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
,Up to 180 h (2G) / Up to 180 h (3G),microSDHC (dedicated slot),About 140 EUR,Allview C6 Quad 4G,microUSB 2.0,,,"Accelerometer, proximity, compass",Micro-SIM,"3, 7, 20","4.5 inches, 55.8 cm2(~61.7% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,134.5 x 67.2 x 9.7 mm (5.30 x 2.65 x 0.38 in),150 g (5.29 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-c6-quad-4g.jpg,GPS,,,VGA,Quad-core 1.3 GHz Cortex-A7,Mali-400,,,"5 MP, AF","2014, December. Released 2014, December",No,FM radio,,Yes,,,,Discontinued,Android 4.4.2 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Ion 1800 mAh, removable","4.0, A2DP, EDR",Yes,"Black, White","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, panorama, HDR",Up to 7 h 30 min (2G) / Up to 6 h 30 min (3G),,HSDPA 900 / 2100,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
,Up to 200 h (2G) / Up to 200 h (3G),microSDHC,About 90 EUR,Allview E2 Living,microUSB 2.0,,,"Accelerometer, proximity","Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,"4.0 inches, 45.5 cm2(~59.0% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA,Allview,,124.6 x 61.9 x 9.5 mm (4.91 x 2.44 x 0.37 in),119.8 g (4.23 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-e2-living.jpg,GPS,,,VGA,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,3.15 MP,"2014, May. Released 2014, May",No,FM radio,,Yes,,,,Discontinued,Android 4.4.2 (KitKat),IPS LCD,4GB 512MB RAM,"Li-Po 1350 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, panorama, HDR",Up to 7 h,,HSDPA 900 / 2100,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
,Up to 192 h (2G) / Up to 192 h (3G),microSDHC,About 230 EUR,Allview Twin X2,microUSB 2.0,,,"Accelerometer, proximity","Dual SIM (Micro-SIM, dual stand-by)",,"5.0 inches, 68.9 cm2(~70.1% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,140.3 x 70.1 x 8 mm (5.52 x 2.76 x 0.31 in),149.7 g (5.29 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-twin-x2.jpg,GPS,,,2 MP,Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,,,"8 MP, AF","2014, August. Released 2014, August",No,FM radio,,Yes,,,Corning Gorilla Glass 3,Discontinued,Android 4.4.2 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Po 1920 mAh, non-removable","4.0, A2DP, EDR",Yes,Black,HSPA 21.1/5.76 Mbps,,,,"LED flash, panorama, HDR",Up to 7 h 40 min (2G) / Up to 6 h 40 min (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
Yamaha Audio Amplifier,Up to 240 h (2G) / Up to 240 h (3G),microSDHC,About 230 EUR,Allview P7 Seon,microUSB 2.0,,,"Accelerometer, proximity, compass","Dual SIM (Micro-SIM, dual stand-by)",,"5.5 inches, 83.4 cm2(~68.4% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,157 x 77.7 x 8.4 mm (6.18 x 3.06 x 0.33 in),146.4 g (5.15 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p7-seon.jpg,GPS,,,2 MP,Hexa-core 1.5 GHz Cortex-A7,Mali-450MP4,,,"8 MP, AF","2014, July. Released 2014, July",No,FM radio,Mediatek MT6591,Yes,,,,Discontinued,Android 4.4.2 (KitKat),IPS LCD,8GB 1GB RAM,"Li-Ion 2400 mAh, removable","4.0, A2DP, EDR",Yes,Black,HSPA,,,,"LED flash, panorama, HDR",Up to 9 h 40 min (2G) / Up to 8 h 40 min (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
Yamaha Audio Amplifier,Up to 220 h,No,About 300 EUR,Allview X1 Xtreme Mini,microUSB 2.0,,,"Accelerometer, proximity, compass",Micro-SIM,,"4.7 inches, 60.9 cm2(~67.3% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,137 x 66 x 10.3 mm (5.39 x 2.60 x 0.41 in),139.2 g (4.90 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x1-xtreme-mini.jpg,GPS,,,4 MP,Quad-core 2.15 GHz Krait 400,Adreno 330,,,"16 MP, AF","2014, November. Released 2014, December",No,FM radio,Qualcomm MSM8274 Snapdragon,Yes,,,Corning Gorilla Glass 3,Discontinued,Android 4.4.2 (KitKat),IPS LCD,16GB 2GB RAM,"Li-Po 2200 mAh, non-removable","4.0, A2DP, EDR",Yes,"White, Green",HSPA,,,,"LED flash, panorama, HDR",Up to 11 h,,HSDPA 900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~469 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot"
,Up to 205 h (3G),No,About 230 EUR,Allview X2 Soul Mini,microUSB 2.0,,,"Accelerometer, gyro, proximity, compass",Micro-SIM,,"4.8 inches, 63.5 cm2(~67.4% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA,Allview,,139.8 x 67.4 x 5.2 mm (5.50 x 2.65 x 0.20 in),97 g (3.42 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x2-soul-mini.jpg,GPS,,,5 MP,Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,,,"8 MP, AF","2014, October. Released 2014, October",No,"FM radio, RDS",Mediatek MT6592 (28 nm),Yes,,,,Discontinued,Android 4.4.2 (KitKat),AMOLED,16GB 1GB RAM,"Li-Ion 2050 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, White",HSPA,,,,"LED flash, panorama, HDR",Up to 11 h (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~306 ppi density)",GSM 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot"
