,Type,Dimensions,Model Image,_1,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,Video,Brand,Languages,Status,Sensors,Resolution,Build,WLAN,Single,Price,_4,Models,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Talk time,OS,Loudspeaker,Single_1,Triple,CPU,SAR,Quad,Dual,Radio,Performance,Type_1,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,_2,Features,Stand-by,Protection,Positioning,_3,SAR EU,Speed,5G bands
eMMC 5.1,IPS LCD,152.3 x 72.8 x 8.3 mm (6.00 x 2.87 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-vprm.jpg,,"4.2, A2DP, LE",Yes,Qualcomm MSM8937 Snapdragon 430 (28 nm),No,Nano-SIM + Nano-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,"Available. Released 2017, September","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","16 MP, AF",About 190 EUR,,,,"microUSB 2.0, OTG",Adreno 505,64GB 4GB RAM,microSDXC,"Black, Gold, Deep Bleen, Cherry Red",HSDPA 850 / 900 / 1900 / 2100,,Android 7.1 (Nougat),Yes,,,Octa-core 1.4 GHz Cortex-A53,,,"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm8 MP",Stereo FM radio,,"Li-Po 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.7 inches, 83.8 cm2(~75.6% screen-to-body ratio)",,162 g (5.71 oz),"2017, September",Wiko View Prime,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,0.19 W/kg (head)     1.62 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,158.1 x 76.5 x 8.2 mm (6.22 x 3.01 x 0.32 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-vxl.jpg,,"4.2, A2DP, LE",Yes,Qualcomm MSM8917 Snapdragon 425 (28 nm),No,Nano-SIM + Nano-SIM,"1, 3, 7, 20",1080p@30fps,Wiko,,"Available. Released 2017, October","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1440 pixels, 18:9 ratio (~269 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, AF",,,,,"microUSB 2.0, OTG",Adreno 308,32GB 3GB RAM,microSDXC,"Black, Gold, Deep Bleen, Cherry Red",HSDPA 850 / 900 / 1900 / 2100,,Android 7.1 (Nougat),Yes,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,Quad-core 1.4 GHz Cortex-A53,,,,Stereo FM radio,,"Li-Po 3000 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.99 inches, 92.6 cm2(~76.6% screen-to-body ratio)",,171 g (6.03 oz),"2017, October",Wiko View XL,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,0.20 W/kg (head)     1.28 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,151.5 x 73.1 x 8.7 mm (5.96 x 2.88 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-v.jpg,,"4.2, A2DP, LE",Yes,Qualcomm MSM8917 Snapdragon 425 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,"Available. Released 2017, September","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, AF",About 150 EUR,,View,,"microUSB 2.0, OTG",Adreno 308,"16GB 3GB RAM, 32GB 3GB RAM",microSDXC,"Black, Gold, Deep Bleen, Cherry Red",HSDPA 850 / 900 / 1900 / 2100,,Android 7.1 (Nougat),Yes,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,Quad-core 1.4 GHz Cortex-A53,,,,Stereo FM radio,,"Li-Po 2900 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.7 inches, 83.8 cm2(~75.7% screen-to-body ratio)",,160 g (5.64 oz),"2017, September",Wiko View,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,0.40 W/kg (head)     1.30 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,AMOLED,156.2 x 75.3 x 7.9 mm (6.15 x 2.96 x 0.31 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-w.jpg,,"4.2, A2DP, LE",Yes,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),No,Nano-SIM + Nano-SIM,"1, 2, 3, 5, 7, 8, 12, 17, 20, 28, 38, 40","4K@30fps, 1080p@30fps",Wiko,,"Available. Released 2017, February","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","13 MP, f/2.0, PDAF13 MP B/W",,,,LED flash,"microUSB 2.0, OTG",Adreno 506,64GB 4GB RAM,microSDXC,"Black, Gold, Deep Bleen",HSDPA 850 / 900 / 1900 / 2100,,Android 7.1 (Nougat),Yes,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,Octa-core 2.2 GHz Cortex-A53,,,,Stereo FM radio,,"Li-Po 3200 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~70.9% screen-to-body ratio)","18W wired, QC3",160 g (5.64 oz),"2017, February",Wiko WIM,1080p@30fps,GSM / HSPA / LTE,,"Dual-LED dual-tone flash, panorama, HDR",,Corning Gorilla Glass 3,"GPS, GLONASS, BDS, GALILEO",,1.49 W/kg (head)     1.25 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",
eMMC 5.1,IPS LCD,144 x 71.7 x 8.8 mm (5.67 x 2.82 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-wl.jpg,,"4.2, A2DP, LE",Yes,Qualcomm MSM8940 Snapdragon 435 (28 nm),No,Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20","4K@30fps, 1080p@30fps",Wiko,,"Available. Released 2017, February","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, f/2.0, 1/3.1"", AF",,,,,"microUSB 2.0, OTG",Adreno 505,32GB 3GB RAM,microSDXC (uses shared SIM slot),"Black, Gold, Deep Bleen, Cherry Red",HSDPA 850 / 900 / 1900 / 2100,,Android 7.1 (Nougat),Yes,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,Octa-core 1.4 GHz Cortex-A53,,,,Stereo FM radio,,"Li-Po 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~66.8% screen-to-body ratio)",,149 g (5.26 oz),"2017, February",Wiko WIM Lite,1080p@30fps,GSM / HSPA / LTE,,"Dual-LED flash, panorama, HDR",,,"GPS, GLONASS, BDS",,0.43 W/kg (head)     1.46 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",
,IPS LCD,153.5 x 77.5 x 8.5 mm (6.04 x 3.05 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-upls.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,Available. Released 2017,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",,,U PULSE,LED flash,"microUSB 2.0, OTG",Mali-T720,32GB 3GB RAM,microSDXC,"Black, Gold, Deep Bleen, Cherry Red",HSDPA 850 / 900 / 1900 / 2100,,Android 7.0 (Nougat),Yes,8 MP,,Quad-core 1.3 GHz Cortex-A53,,,,FM radio,,"Li-Po 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.5 inches, 83.4 cm2(~70.1% screen-to-body ratio)",,167 g (5.89 oz),2017,Wiko Upulse,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,144 x 72 x 8.4 mm (5.67 x 2.83 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-upls-l.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,Available. Released 2017,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-T720,32GB 3GB RAM,microSDXC,"Black, Gold, Deep Bleen, Cherry Red",HSDPA 850 / 900 / 1900 / 2100,,Android 7.0 (Nougat),Yes,8 MP,,Quad-core 1.3 GHz Cortex-A53,,,,FM radio,,"Li-Po 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.2 inches, 74.5 cm2(~71.9% screen-to-body ratio)",,157 g (5.54 oz),2017,Wiko Upulse lite,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,155.3 x 76.8 x 8.9 mm (6.11 x 3.02 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-t2pl.jpg,,"4.2, A2DP, LE",Yes,Qualcomm MSM8917 Snapdragon 425 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,"Available. Released 2017, September","Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Adreno 308,16GB 1GB RAM,microSDXC,"Black, Gold, Bleen, Lime, Rose Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 7.1 (Nougat),Yes,5 MP,,Quad-core 1.4 GHz Cortex-A53,,,,Stereo FM radio,,"Li-Po 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~69.9% screen-to-body ratio)",,173 g (6.10 oz),"2017, September",Wiko Tommy2 Plus,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,"GPS, GLONASS, BDS",,0.88 W/kg (head)     1.49 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 4.5,IPS LCD,145 x 72.7 x 9.2 mm (5.71 x 2.86 x 0.36 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-t2sl.jpg,,"4.1, A2DP, LE",Yes,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",720p@30fps,Wiko,,"Available. Released 2017, June","Accelerometer, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","8 MP, AF",,,,,"microUSB 2.0, OTG",Adreno 304,8GB 1GB RAM,microSDXC,"True Black, Bleen, Blue, Rubi Red, Gold, Rose Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 7.1 (Nougat),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,Stereo FM radio,,"Li-Po 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~65.4% screen-to-body ratio)",,159 g (5.61 oz),"2017, June",Wiko Tommy2,,GSM / HSPA / LTE,,"LED flash, HDR",,,GPS,,0.59 W/kg (head)     1.73 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,145 x 72.7 x 9.2 mm (5.71 x 2.86 x 0.36 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-h.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",720p@30fps,Wiko,,Available. Released 2017,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, AF",,,HARRY,,"microUSB 2.0, OTG",Mali-T720,16GB 3GB RAM,microSDXC,"Anthracite, Gold, Bleen",HSDPA 850 / 900 / 2100,,Android 7.0 (Nougat),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,Stereo FM radio,,"Li-Ion 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.4% screen-to-body ratio)",,160 g (5.64 oz),2017,Wiko Harry,,GSM / HSPA / LTE,,"LED flash, HDR",,,GPS,,0.44 W/kg (head)     1.03 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,144 x 72.8 x 9.3 mm (5.67 x 2.87 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-j2.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,Yes,Wiko,,Available. Released 2017,Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",5 MP,,,JERRY2,,microUSB 2.0,Mali-400 MP2,8GB 1GB RAM,microSDXC,"Space Grey, Silver, Gold, Bleen, Lime",HSDPA 900 / 2100,,Android 7.0 (Nougat),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,Stereo FM radio,,"Li-Ion 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.7% screen-to-body ratio)",,167 g (5.89 oz),2017,Wiko Jerry2,,GSM / HSPA,,"LED flash, HDR, panorama",,,GPS,,,HSPA 21.1/5.76 Mbps,
,IPS LCD,145.1 x 73.5 x 9.6 mm (5.71 x 2.89 x 0.38 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-j.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)",,Yes,Wiko,,Available. Released 2016,"Accelerometer, proximity, compass","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",5 MP,,,JERRY,,microUSB 2.0,Mali-400,8GB 1GB RAM,microSDXC,"Orange/Space Grey, Bleen/Silver, Black/Space Grey, Pink/Silver, White/Space Grey",HSDPA 900 / 1900 / 2100,,Android 6.0 (Marshmallow),Yes,2 MP,,Quad-core 1.3 GHz Cortex-A7,,,,Stereo FM radio,,"Li-Ion 2000 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~64.6% screen-to-body ratio)",,166 g (5.86 oz),2016,Wiko Jerry,,GSM / HSPA,,"LED flash, HDR, panorama",,,GPS,,,HSPA 21.1/5.76 Mbps,
HSDPA 850 / 900 / 2100,IPS LCD,144.7 x 72.4 x 10.1 mm (5.70 x 2.85 x 0.40 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-k.jpg,"1, 3, 7, 20","4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)","3, 7, 20",1080p@30fps,Wiko,,Available. Released 2017,"Accelerometer, proximity, compass","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",5 MP or 8 MP,,,,,"microUSB 2.0, OTG",Mali-T720,16GB 2GB RAM,microSDXC,"Anthracite, Gold, Bleen",HSDPA 850 / 900 / 1900 / 2100,,Android 7.0 (Nougat),Yes,5 MP,,Quad-core 1.1 GHz,,,,Stereo FM radio,,Li-Ion 2500 mAh battery,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.8% screen-to-body ratio)",,162 g (5.71 oz),2017,Wiko Kenny,,GSM / HSPA / LTE,,"LED flash, HDR, panorama",,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,143 x 73 x 9.9 mm (5.63 x 2.87 x 0.39 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-l3.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,Available. Released 2016,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, AF",,,,,"microUSB 2.0, OTG",Mali-400,16GB 2GB RAM,microSDXC,"Space Grey, Bleen, Rose Gold, Gold",HSDPA 900 / 1900 / 2100,,Android 6.0 (Marshmallow),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Po 4900 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",,177 g (6.24 oz),2016,Wiko Lenny3 Max,,GSM / HSPA,,"LED flash, panorama, HDR",,,GPS,,,HSPA 21.1/5.76 Mbps,
,IPS LCD,156 x 79 x 9.4 mm (6.14 x 3.11 x 0.37 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-l4pl.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,Available. Released 2017,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, AF",,,,,microUSB 2.0,Mali-400 MP2,16GB 1GB RAM,microSDXC,"Black, Gold, Bleen, Lime, Rose Gold",HSDPA 900 / 1900 / 2100,,Android 7.0 (Nougat),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.5 inches, 83.4 cm2(~67.7% screen-to-body ratio)",,160 g (5.64 oz),2017,Wiko Lenny4 Plus,,GSM / HSPA,,"LED flash, panorama, HDR",,,GPS,,,HSPA 21.1/5.76 Mbps,
,IPS LCD,145 x 72.5 x 10.6 mm (5.71 x 2.85 x 0.42 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-l4.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)",,1080p@30fps,Wiko,,Available. Released 2017,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Wi-Fi 802.11 b/g/n,"8 MP, AF",,,,,microUSB 2.0,Mali-400 MP2,16GB 1GB RAM,microSDXC,"Black, Gold, Bleen, Lime, Rose Gold",HSDPA 900 / 1900 / 2100,,Android 7.0 (Nougat),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Ion 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.6% screen-to-body ratio)",,170.2 g (6.00 oz),2017,Wiko Lenny4,,GSM / HSPA,,"LED flash, panorama, HDR",,,GPS,,,HSPA 21.1/5.76 Mbps,
,IPS LCD,154.4 x 77.2 x 10.6 mm (6.08 x 3.04 x 0.42 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-uf-f.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,Available. Released 2016,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-T720,16GB 2GB RAM,microSDXC,"Black, Gold, Rose Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 6.0 (Marshmallow),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A53,,,,FM radio,,Li-Po 4000 mAh battery,GSM 850 / 900 / 1800 / 1900,"5.5 inches, 83.4 cm2(~70.0% screen-to-body ratio)",,201 g (7.09 oz),2016,Wiko Ufeel fab,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,144.4 x 71.6 x 9.7 mm (5.69 x 2.82 x 0.38 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-uf-g.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,Available. Released 2016,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-T720,16GB 2GB RAM,microSDXC,"Space Grey, Gold",HSDPA 850 / 900 / 1900 / 2100,,Android 6.0 (Marshmallow),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A53,,,,FM radio,,Li-Po 4000 mAh battery,GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",,172 g (6.07 oz),2016,Wiko Ufeel go,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,143 x 70.7 x 8.6 mm (5.63 x 2.78 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-uf-.jpg,,"4.0, A2DP",Yes,,No,"Dual SIM (Micro-SIM, dual stand-by)","1, 3, 7, 20",1080p@30fps,Wiko,,Available. Released 2016,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Wi-Fi 802.11 b/g/n,"13 MP, AF",,,,LED flash,"microUSB 2.0, OTG",Mali-T720,16GB 3GB RAM,microSDXC,"Lime, Space Grey, Chocolate, Slate, Creamy",HSDPA 900 / 1900 / 2100,,Android 6.0 (Marshmallow),Yes,5 MP,,Quad-core 1.3 GHz Cortex-A53,,,,FM radio,,"Li-Po 2500 mAh, non-removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~68.2% screen-to-body ratio)",,145 g (5.11 oz),2016,Wiko Ufeel,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",,,GPS,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 5.1,IPS LCD,142.5 x 69.9 x 8.7 mm (5.61 x 2.75 x 0.34 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-ufp.jpg,,"4.1, A2DP, LE",Yes,Qualcomm MSM8937 Snapdragon 430 (28 nm),No,Nano-SIM + Nano-SIM,LTE 800 / 1800 / 2100 / 2600,1080p@30fps,Wiko,,Discontinued,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","13 MP, 1/3.1"", 1.12µm, PDAF",,,,LED flash,"microUSB 2.0, OTG",Adreno 505,32GB 4GB RAM,microSDXC (uses shared SIM slot),"Silver, Anthracite, Gold",HSDPA 900 / 1900 / 2100,Up to 21 h (3G),Android 6.0.1 (Marshmallow),Yes,8 MP,,Octa-core 1.4 GHz Cortex-A53,,,,Stereo FM radio,,"Li-Po 3000 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~69.2% screen-to-body ratio)",,150 g (5.29 oz),"2016, September. Released 2016, September",Wiko U Feel Prime,,GSM / HSPA / LTE,,"Dual-LED flash, panorama, HDR",Up to 450 h (3G),,GPS,,0.99 W/kg (head)     0.80 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
,IPS LCD,143.5 x 71.5 x 8.5 mm (5.65 x 2.81 x 0.33 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-u-lite.jpg,,"4.0, A2DP",Yes,Mediatek MT6735 (28 nm),No,"Dual SIM (Micro-SIM, dual stand-by)",LTE 800 / 1800 / 2100 / 2600,1080p@30fps,Wiko,,Discontinued,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA","8 MP, f/2.0, 1/4.0"", 1.12µm",,,,,"microUSB 2.0, OTG",Mali-T720,16GB 2GB RAM,microSDXC,"Lime, Slate, Chocolate, Rose Gold",HSDPA 900 / 1900 / 2100,Up to 25 h (2G) / Up to 13 h (3G),Android 6.0.1 (Marshmallow),Yes,"5 MP, f/2.4, 1/5.0"", 1.1µm",,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Po 2500 mAh, non-removable",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~67.2% screen-to-body ratio)",,147 g (5.19 oz),"2016, February. Released 2016, May",Wiko U Feel Lite,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",Up to 212 h (2G) / Up to 212 h (3G),,GPS,,0.40 W/kg (head)     0.49 W/kg (body),"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",
eMMC 4.5,IPS LCD,146 x 71.5 x 8.8 mm (5.75 x 2.81 x 0.35 in),https://fdn2.gsmarena.com/vv/bigpic/wiko-tommy.jpg,,"4.0, A2DP",Yes,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),No,Micro-SIM,LTE 800 / 1800 / 2100 / 2600,720p@30fps,Wiko,,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","8 MP, f/2.0, 1/3.2"", 1.4µm",,,,,"microUSB 2.0, OTG",Adreno 304,8GB 1GB RAM,microSDXC (dedicated slot),"True Black, Flashy Red, Cool Grey, Bleen, Sun Yellow, Hot Pink",HSDPA 850 / 900 / 1900 / 2100,Up to 26 h (2G) / Up to 15 h (3G),Android 6.0.1 (Marshmallow),Yes,"5 MP, f/2.8, 1/5.0"", 1.12µm",,Quad-core 1.3 GHz Cortex-A7,,,,FM radio,,"Li-Po 2500 mAh, removable",GSM 850 / 900 / 1800 / 1900,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",,165 g (5.82 oz),"2016, February. Released 2016, July",Wiko Tommy,,GSM / HSPA / LTE,,"LED flash, panorama, HDR",Up to 270 h (2G) / Up to 270 h (3G),,GPS,,0.75 W/kg (head)     1.81 W/kg (body),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",
