,CPU,Single,Internal,Model Image,SIM,WLAN,Price,Dimensions,_3,_4,Performance,128GB 8GB RAM,Battery (new),Dual,Camera,Dual_1,NFC,Infrared port,Quad,OS,4G bands,USB,Protection,Video,_5,5G bands,Size,Speed,Card slot,3G bands,2G bands,64GB 3GB RAM,Positioning,Announced,Type,Video_1,Type_1,Build,256GB 8GB RAM,SAR,Bluetooth,Loudspeaker_1,512GB 8GB RAM,Radio,Chipset,256GB 12GB RAM,Display,Features,Sensors,Technology,Colors,Weight,Status,Features_1,Single_1,Loudspeaker,Models,Charging,_1,Battery (old),GPU,_2,64GB 4GB RAM,3.5mm jack,Resolution,Model Name,Brand,Triple
eMMC 5.1,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"8 MP, (wide)","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-10s--.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 110 EUR,171.5 x 77.5 x 9.2 mm (6.75 x 3.05 x 0.36 in),,,,,,,,,No,,,"Android 11, XOS 7.6","1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.82 inches, 110.5 cm2(~83.1% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, April 21","IPS LCD, 90Hz",1080p@30fps,6000 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769Z Helio G85 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Black, Purple, Morandi Green, Heart of Ocean",-,"Available. Released 2021, May 12",Dual-LED flash,,Yes,"X689B, X689, X689D",,,,Mali-G52 MC2,,,Yes,720 x 1640 pixels (~263 ppi density),Infinix Hot 10s,Infinix,"48 MP, f/1.8, (wide), 1/2.0, 0.8µm, PDAF2 MP, f/2.4, (depth)Third, unknown camera"
eMMC 5.1,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"8 MP, f/2.0, (wide)",32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10-play.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",About 80 EUR,171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in),,,,,,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AFQVGA",,,No,,,"Android 10 (Go edition), XOS 7","1, 3, 5, 8, 38, 40, 41",microUSB 2.0,,1080p@30fps,,,"6.82 inches, 110.5 cm2(~82.4% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, February 11","IPS LCD, 440 nits (typ)",1080p@30fps,6000 mAh,"Glass front, plastic back, plastic frame",,0.25 W/kg (head)     0.56 W/kg (body),"5.0, A2DP, LE",,,FM radio,Mediatek MT6762G Helio G25 (12 nm),,,"Quad-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Aegean Blue, Morandi Green, Obsidian Black, Purple",207 g (7.30 oz),"Available. Released 2021, February 18",LED flash,,Yes,X688C,10W wired,,,PowerVR GE8320,,,Yes,720 x 1640 pixels (~263 ppi density),Infinix Smart 5 (India),Infinix,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"8 MP, f/2.0, (wide)","32GB 2GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10-play.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 80 EUR,171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in),,,,,,"13 MP, f/1.8, (wide), 1/3.1"", 1.12µm, AFQVGA",,,No,,,"Android 10 (Go edition), XOS 7","1, 3, 5, 8, 38, 40, 41",microUSB 2.0,,1080p@30fps,,,"6.82 inches, 110.5 cm2(~82.4% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2021, January 21","IPS LCD, 440 nits (typ)",1080p@30fps,6000 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6762G Helio G25 (12 nm),,,"Quad-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Aegean Blue, Morandi Green, Obsidian Black, Purple",207 g (7.30 oz),"Available. Released 2021, January 21",LED flash,,Yes,"X688C, X688B, MZ-Infinix X688C",10W wired,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,PowerVR GE8320,eMMC 5.1,,Yes,720 x 1640 pixels (~263 ppi density),Infinix Hot 10 Play,Infinix,
eMMC 5.1,Quad-core 1.8 GHz Cortex-A53,"5 MP, f/2.0",32GB 2GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-hd-2021.jpg,Nano-SIM + Nano-SIM,Wi-Fi 802.11 a/b/g/n,About 70 EUR,158.3 x 75.2 x 9.8 mm (6.23 x 2.96 x 0.39 in),,,,,,"8 MP, f/2.0",,,No,,,"Android 10 (Go edition), XOS 6.2","1, 3, 5, 8, 38, 40, 41",microUSB 2.0,,1080p@30fps,,,"6.1 inches, 91.3 cm2(~76.7% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, December 16","IPS LCD, 500 nits (typ)",1080p@30fps,5000 mAh,"Glass front, plastic back, plastic frame",,0.53 W/kg (head)     1.22 W/kg (body),"5.0, A2DP, LE",,,FM radio,Mediatek MT6761D Helio A20 (12 nm),,,"Dual-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Topaz Blue, Obsidian Black, Quartz Green",195 g (6.88 oz),"Available. Released 2020, December 24","Dual-LED flash, HDR",,Yes,"X612B, X612",,,,PowerVR GE8320,,,Yes,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",Infinix Smart HD 2021,Infinix,
India,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,128GB 8GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-8i.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",About 170 EUR,168.7 x 76.1 x 9.1 mm (6.64 x 3.00 x 0.36 in),,,,,,"16 MP, f/2.0, (wide)8 MP, f/2.2, 105˚ (ultrawide), 1/4.0"", 1.12µm",,,No,,"48 MP, f/1.8, (wide), PDAF8 MP, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, (depth)4th unknown camera",Android 10,"1, 3, 5, 8, 38, 40, 41","USB Type-C 2.0, OTG",,"4K@30fps, 1080p@30/60fps, gyro-EIS",,,"6.85 inches, 111.4 cm2(~86.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, December 03","IPS LCD, 90Hz, 480 nits (typ)","4K@30fps, 1080p@30/60fps",4500 mAh,,,0.40 W/kg (head)     0.95 W/kg (body),"5.0, A2DP, LE",,,FM radio,Mediatek MT6785 Helio G90T (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Silver Diamond, Black Diamond",210.5 g (7.44 oz),"Available. Released 2020, December 09","Dual-LED flash, HDR",,Yes,X687B,33W wired,UFS 2.1,,Mali-G76 MC4,,,Yes,1080 x 2460 pixels (~392 ppi density),Infinix Zero 8i,Infinix,
HSDPA 850 / 900 / 2100,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,128GB 6GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-note8-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 200 EUR,175.3 x 78.8 x 9 mm (6.90 x 3.10 x 0.35 in),"1, 3, 7, 8, 20, 28",,,,,"16 MP2 MP, (depth)",,,No,,"64 MP, (wide), 1/1.73"", 0.8µm, PDAF2 MP, (macro)2 MP, (depth)2 MP","Android 10, XOS 7.1","1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41","USB Type-C 2.0, OTG",Corning Gorilla Glass,1440p@30fps,,,"6.95 inches, 114.7 cm2(~83.0% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, October 15","IPS LCD, 480 nits (peak)",1080p@30fps,5200 mAh,,,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769V/CU Helio G80 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Gray, Blue, Green",-,"Available. Released 2020, November 04",Dual-LED flash,,"Yes, with dual speakers","X692, MZ-Infinix X692",18W wired,HSDPA 900 / 2100,,Mali-G52 MC2,"1, 3, 5, 7, 8, 20, 38, 40, 41",,Yes,720 x 1640 pixels (~258 ppi density),Infinix Note 8,Infinix,
HSDPA 900 / 2100,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),8 MP,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note-8i-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 150 EUR,171.4 x 77.7 x 8.9 mm (6.75 x 3.06 x 0.35 in),,,,,,,,,No,,"48 MP, (wide), 1/2.0"", 0.8µm, PDAF2 MP, (macro)2 MP, (depth)2 MP","Android 10, XOS 7.1","1, 3, 5, 7, 8, 20, 38, 40, 41","USB Type-C 2.0, OTG",Corning Gorilla Glass,1440p@30fps,,,"6.78 inches, 109.2 cm2(~82.0% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, October 15","IPS LCD, 480 nits (peak)",1080p@30fps,5200 mAh,,,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769V/CU Helio G80 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Gray, Blue, Green",-,"Available. Released  2020, November 15",Dual-LED flash,,Yes,"X683, X683B",18W wired,"1, 3, 7, 8, 20, 28",,Mali-G52 MC2,,,Yes,720 x 1640 pixels (~264 ppi density),Infinix Note 8i,Infinix,
HSDPA 900 / 2100,Quad-core 1.8 GHz Cortex-A53,"8 MP, (wide)","32GB 2GB RAM, 64GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10-lite-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 100 EUR,165.5 x 76.4 x 8.8 mm (6.52 x 3.01 x 0.35 in),,,,,,,,,No,,,Android 10 (Go edition),"1, 2, 3, 4, 5, 7, 8, 20, 28","microUSB 2.0, OTG",,1080p@30fps,,,"6.6 inches, 105.2 cm2(~83.2% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, September 29",IPS LCD,1080p@30fps,5000 mAh,,,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6761D Helio A20 (12 nm),,,Triple-LED flash,"Fingerprint (rear-mounted), accelerometer, proximity",GSM / HSPA / LTE,"Black, Red, Blue, Green",-,"Available. Released 2020, October 26",Dual-LED flash,,Yes,X657B,10W wired,"3, 7, 20",,PowerVR GE8320,eMMC 5.1,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Hot 10 Lite,Infinix,"13 MP, (wide), AFQVGAQVGA"
eMMC 5.1,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"8 MP, (wide)","64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 120 EUR,171.1 x 77.6 x 8.9 mm (6.74 x 3.06 x 0.35 in),,,,,,,,,No,,"16 MP, (wide), PDAF2 MP, (macro)2 MP, (depth)QVGA (Low light sensor)","Android 10, XOS 6.0","1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.78 inches, 109.2 cm2(~82.2% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, September 17",IPS LCD,1080p@30fps,5200 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769V/CB Helio G70 (12 nm),,,"Quad-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Obsidian Black, Amber Red, Moonlight Jade, Ocean Wave",195 g (6.88 oz),"Available. Released 2020, October 17",,,Yes,"X682B, X682C, MZ-Infinix X682B, MZ-Infinix X682C",,,,Mali-G52 2EEMC2,,,Yes,720 x 1640 pixels (~264 ppi density),Infinix Hot 10,Infinix,
,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,128GB 8GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-zero8.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 210 EUR,168.7 x 76.1 x 9.1 mm (6.64 x 3.00 x 0.36 in),,,"AnTuTu: 282348 (v8)GeekBench: 6640 (v4.4), 1663 (v5.1)GFXBench: 15fps (ES 3.1 onscreen)",,,"48 MP, f/2.2, (wide), 1/2.0"", 0.8µm8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm",Photo/Video,,No,,"64 MP, f/1.9, (wide), 1/1.73"", 0.8µm, PDAF8 MP, f/2.3, (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (depth)2 MP, f/2.4, (depth)",Android 10,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","USB Type-C 2.0, OTG",,"4K@30fps, 1080p@30fps, gyro-EIS",,,"6.85 inches, 111.4 cm2(~86.8% screen-to-body ratio)","HSPA, LTE",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, August 27","IPS LCD, 90Hz",1080p@30fps,4500 mAh,,,,"5.0, A2DP, LE",-28.4 LUFS (Average),,FM radio,Mediatek MT6785 Helio G90T (12 nm),,Contrast ratio: 2184:1 (nominal),"Quad-LED flash, HDR, panorama","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Silver Diamond, Black Diamond, Green Diamond",205 g (7.23 oz),"Available. Released 2020, August 31",HDR,,Yes,X687,33W wired,,Endurance rating 116h,Mali-G76 MC4,,,Yes,1080 x 2460 pixels (~392 ppi density),Infinix Zero 8,Infinix,
eMMC 5.1,Quad-core 1.8 GHz Cortex-A53,8 MP,"32GB 2GB RAM, 64GB 3GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-smart5-.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 70 EUR,165.4 x 76.4 x 8.8 mm (6.51 x 3.01 x 0.35 in),,,,,,,,,No,,,Android 10 (Go edition),"1, 3, 5, 7, 8, 20, 38, 40, 41",microUSB 2.0,,1080p@30fps,,,"6.6 inches, 105.2 cm2(~83.2% screen-to-body ratio)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, August 13",IPS LCD,1080p@30fps,5000 mAh,"Glass front, plastic back, plastic frame",,,"4.2, A2DP",,,FM radio,Mediatek MT6761D Helio A20 (12 nm),,,Triple-LED flash,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",GSM / HSPA / LTE,"Ocean Wave, Quetzal Cyan, Midnight Black",183 g (6.46 oz),"Available. Released 2020, August 20",Dual-LED flash,,Yes,"X657, X657C, MZ-Infinix X657C, MZ-Infinix X657B",10W wired,,,PowerVR GE8320,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Smart 5,Infinix,13 MP + QVGA + QVGA (X657 model)or8 MP + QVGA (X657C model)
eMMC 5.1,"Quad-core 2.0 GHz Cortex-A53 - 32/2GBOcta-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - 32/3GB, 64/3-4GB","8 MP, (wide)","32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9-play.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 100 EUR,171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in),,,,,,"13 MP, (wide), 1/3.1"", 1.12µm, AFQVGA (Low light sensor)",,,No,,,"Android 9.0 Pie (Go edition) - 32/2GBAndroid 9.0 (Pie) - 32/3GB, 64/3-4GB","1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.82 inches, 110.5 cm2(~82.4% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, April 09",IPS LCD,1080p@30fps,6000 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,"Mediatek MT6761 Helio A22 (12 nm) - 32/2GBMediatek MT6762D Helio A25 (12 nm) - 32/3GB, 64/3-4GB",,,"Triple-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Quetzal Cyan, Violet, Ocean Wave",209 g (7.37 oz),"Available. Released 2020, April 09",,,Yes,"X680, X680B, X680C",,,,PowerVR GE8300PowerVR GE8320,,,Yes,720 x 1640 pixels (~263 ppi density),Infinix Hot 9 Play,Infinix,
"1, 3, 7, 8, 20, 28",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note7.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,173.4 x 79 x 8.8 mm (6.83 x 3.11 x 0.35 in),,,,,,,,,No,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)2 MP, f/1.8, (dedicated video camera) - 128/6 model only","Android 10, XOS 6.0","1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",Corning Gorilla Glass,1080p@30fps,,,"6.95 inches, 114.7 cm2(~83.7% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, April 06",IPS LCD,1080p@30fps,5000 mAh,,,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769V/CB Helio G70 (12 nm),,,"Quad-LED flash, panorama, HDR","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Forest Green, Aether Black, Bolivia Blue",206 g (7.27 oz),"Available. Released 2020, July",,,"Yes, with dual speakers","X690B, X690",18W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,Mali-G52 2EEMC2,eMMC 5.1,,Yes,720 x 1640 pixels (~258 ppi density),Infinix Note 7,Infinix,
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),"8 MP, (wide)","64GB 4GB RAM, 128GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-note7lite.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 130 EUR,165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in),,,,,,,,,No,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)QVGA","Android 10, XOS 6.0","1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.6 inches, 105.2 cm2(~82.8% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, April 06",IPS LCD,1080p@30fps,5000 mAh,,,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6769V/CB Helio G70 (12 nm),,,"Quad-LED flash, panorama, HDR","Fingerprint (side-mounted), accelerometer, proximity, compass",GSM / HSPA / LTE,"Forest Green, Violet, Space Gray",185 g (6.53 oz),"Available. Released 2020, July",,,Yes,X656,10W wired,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,Mali-G52 2EEMC2,eMMC 5.1,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Note 7 Lite,Infinix,
eMMC 5.1,Octa-core 2.0 GHz Cortex-A53,"8 MP, (wide)",64GB 4GB RAM,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9-pro.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",About 50 EUR,165 x 76.8 x 8.7 mm (6.50 x 3.02 x 0.34 in),,,,,,,,,No,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF2 MP, (macro)2 MP, (depth)QVGA (Low light sensor)","Android 10, XOS 6.0","1, 3, 5, 8, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.6 inches, 105.2 cm2(~83.0% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, May 29","IPS LCD, 480 nits (typ)",1080p@30fps,5000 mAh,"Glass front, plastic back, plastic frame",,0.99 W/kg (head)     0.84 W/kg (body),"5.0, A2DP, LE",,,FM radio,Mediatek MT6762 Helio P22 (12 nm),,,"Quad-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Violet, Ocean Wave",185 g (6.53 oz),"Available. Released 2020, June 05",LED flash,,Yes,X655F,,,,PowerVR GE8320,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Hot 9 Pro,Infinix,
eMMC 5.1,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),"8 MP, (wide)","32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-hot9.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 90 EUR,165.4 x 76.8 x 8.8 mm (6.51 x 3.02 x 0.35 in),,,,,,,,,No,,"13 MP, (wide), 1/3.1"", 1.12µm, PDAF2 MP, (macro)2 MP, (depth)QVGA (Low light sensor)or16 MP, (wide), PDAF (64/128 GB models only)2 MP, (macro)2 MP, (depth)QVGA (Low light sensor)","Android 10, XOS 6.0","1, 2, 3, 4, 5, 7, 8, 20, 38, 40, 41","microUSB 2.0, OTG",,1080p@30fps,,,"6.6 inches, 105.2 cm2(~82.8% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, March 23",IPS LCD,1080p@30fps,5000 mAh,"Glass front, plastic back, plastic frame",,,"5.0, A2DP, LE",,,FM radio,Mediatek MT6762D Helio A25 (12 nm),,,"Triple-LED flash, panorama, HDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Midnight Black, Quetzal Cyan, Violet, Ocean Wave",185 g (6.53 oz),"Available. Released 2020, April",,,Yes,"X655C, X655, X655D",,,,PowerVR GE8320,,,Yes,"720 x 1600 pixels, 20:9 ratio (~266 ppi density)",Infinix Hot 9,Infinix,
eMMC 5.1,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"Motorized pop-up 32 MP, (wide)","64GB 4GB RAM, 128GB 6GB RAM",https://fdn2.gsmarena.com/vv/bigpic/infinix-s5-pro-new.jpg,Nano-SIM + Nano-SIM,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,162.5 x 76.9 x 9 mm (6.40 x 3.03 x 0.35 in),,,,,,,,,No,,,Android 10,"1, 3, 7, 8, 20, 28","microUSB 2.0, OTG",,1080p@30fps,,,"6.53 inches, 104.7 cm2(~83.8% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,GPS,"2020, March 06",IPS LCD,1080p@30fps,4000 mAh,"Glass front, plastic back, plastic frame",,0.79 W/kg (head)     0.90 W/kg (body),"5.0, A2DP, LE",,,FM radio,Mediatek MT6765 Helio P35 (12 nm),,,"Dual-LED flash, HDR, panorama","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM / HSPA / LTE,"Nebula Black, Quetzal Cyan, Violet",195 g (6.88 oz),"Available. Released 2020, April",,,Yes,X660,,,,PowerVR GE8320,,,Yes,"1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)",Infinix S5 Pro (16+32),Infinix,"16 MP, f/1.8, (wide), PDAF2 MP, (depth)QVGA low light camera sensor"
