,CPU,Features,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Triple,Quad,Status,WLAN,Infrared port,Call records,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,Build,NFC,Announced,Video_1,Technology,_1,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Performance,Internal,5G bands,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
CDMA 800 & TD-SCDMA,Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"LED flash, HDR, panorama","1, 3, 5, 8, 11, 12, 17, 19, 26, 28, 41, 42",,,,"Android 8.0 (Oreo), upgradable to Android 10",Yes,"5.0, A2DP, LE",,,,,About 350 EUR,,Yes,,Nano-SIM + Nano-SIM,"22.6 MP, PDAF16.3 MP, PDAF (for video recording only)",16.3 MP,181 g (6.38 oz),Qualcomm SDM845 Snapdragon 845 (10 nm),,,"Available. Released 2018, May","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1440 x 3040 pixels, 19:9 ratio (~561 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA, LTE",,Yes,"2018, May",,GSM / CDMA / HSPA / LTE,IPX5/IPX8/IP6X,,Sharp,,Adreno 630,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r2.jpg,"6.0 inches, 89.9 cm2(~77.8% screen-to-body ratio)",Sharp Aquos R2,,"Black, White",IGZO IPS LCD,,,156 x 74 x 9 mm (6.14 x 2.91 x 0.35 in),,64GB 4GB RAM,,USB Type-C 2.0,,"GPS, GLONASS",No,HSDPA 850 / 900 / 1900 / 2100,10W wired,"706SH, SHV42",4K@30fps (dedicated video camera),"Li-Ion 3130 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
CDMA 800 & TD-SCDMA,Octa-core 2.2 GHz Cortex-A53,"Dual-LED dual-tone flash, HDR, panorama","1, 3, 4, 5, 7, 8, 12, 17, 28, 34, 38, 39, 40, 41",,,,Android 8.0 (Oreo),Yes,"5.0, A2DP, LE",,,,,About 400 EUR,,Yes,,Nano-SIM + Nano-SIM,"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF13 MP, 2x optical zoom","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",165.4 g (5.82 oz),Qualcomm SDM630 Snapdragon 630 (14 nm),,,"Available. Released 2018, April","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,Yes,"2018, March",1080p@30fps,GSM / CDMA / HSPA / LTE,,,Sharp,,Adreno 508,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-1.jpg,"6.0 inches, 92.9 cm2(~84.5% screen-to-body ratio)",Sharp Aquos S3,,"Black,Blue, Gold",IGZO IPS LCD,,,148.2 x 74.2 x 8 mm (5.83 x 2.92 x 0.31 in),,64GB 6GB RAM,,"USB Type-C 2.0, OTG",,"GPS, GLONASS",No,HSDPA 850 / 900 / 1900 / 2100,"18W wired, QC3",FS8032,1080p@30fps,"Li-Ion 3200 mAh, non-removable","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
CDMA 800 & TD-SCDMA,Octa-core 2.2 GHz Cortex-A53,"LED flash, HDR, panorama","1, 3, 5, 8, 11, 12, 17, 19, 26, 28, 41, 42","20 MP, f/2.0, (wide), 1/3"", 0.9µm",,,Android 7.1.1 (Nougat),Yes,"4.2, A2DP, LE",,,,,About 250 EUR,,Yes,,Nano-SIM + Nano-SIM,,"16 MP, f/2.0, PDAF",140 g (4.94 oz),Qualcomm SDM630 Snapdragon 630 (14 nm),,,"Available. Released 2018, March","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2040 pixels, 17:9 ratio (~420 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA, LTE","Glass front, glass back, aluminum frame",No,"2018, March",1080p@30fps,GSM / CDMA / HSPA / LTE,,,Sharp,,Adreno 508,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s3-mini.jpg,"5.5 inches, 80.7 cm2(~77.5% screen-to-body ratio)",Sharp Aquos S3 mini,,"Black,Blue, Gold",IGZO IPS LCD,,,142.7 x 73 x 7.8 mm (5.62 x 2.87 x 0.31 in),,64GB 6GB RAM,,"USB Type-C 2.0, OTG",,GPS,No,HSDPA 850 / 900 / 1900 / 2100,10W wired,,1080p@30fps,"Li-Ion 3020 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
eMMC 5.0,Quad-core 1.3 GHz Cortex-A53,"LED flash, panorama, HDR","1, 3, 5, 7, 8, 40",,,,Android 7.0 (Nougat),Yes,"4.0, A2DP",,,,,About 110 EUR,,No,,Nano-SIM + Nano-SIM,"13 MP, f/2.2, AF2 MP, (depth)",8 MP,-,Mediatek MT6737M (28 nm),,,"Available. Released 2018, March","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,microSDXC,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,No,"2018, February",,GSM / HSPA / LTE,,,Sharp,Scratch-resistant glass,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/sharp-pi.jpg,"5.2 inches, 74.5 cm2",Sharp Pi,,"White/Gold, black",IPS LCD,,,-,,16GB 2GB RAM,,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,,1080p@30fps,Li-Ion 3000 mAh battery,"Fingerprint (front-mounted), accelerometer, proximity",
eMMC 5.1,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"Dual-LED dual-tone flash, panorama, HDR","1, 3, 5, 7, 8, 40",,,,Android 7.0 (Nougat),Yes,"4.2, A2DP, LE",,,,,About 170 EUR,,No,,Nano-SIM + Nano-SIM,"13 MP, f/2.0, AF5 MP, f/2.4, (depth)","5 MP, f/2.4",-,Mediatek MT6750 (28 nm),,,"Available. Released 2018, March",Wi-Fi 802.11 b/g/n,,,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA, LTE",,No,"2018, February",,GSM / HSPA / LTE,,,Sharp,,Mali-T860MP2,https://fdn2.gsmarena.com/vv/bigpic/sharp-r1s1.jpg,"5.5 inches, 83.4 cm2",Sharp R1S,,Black,IPS LCD,,,-,,32GB 3GB RAM,,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,Reverse wired,"FS8028, FS8014",1080p@30fps,"Li-Ion 5000 mAh, non-removable","Fingerprint (front-mounted), accelerometer, proximity",
CDMA 800 & TD-SCDMA,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex A53) - 64/4GBOcta-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver) - 128/6GB,"Dual-LED dual-tone flash, panorama, HDR","1, 3, 4, 5, 7, 8, 12, 28, 39, 40, 41",,,,Android 7.1.1 (Nougat),Yes,"4.2, A2DP, LE",,,,,About 450 EUR,,No,,Nano-SIM + Nano-SIM,"12 MP, f/1.8, 1/2.55"", 1/3.2"", 1.4µm, dual pixel PDAF8 MP","8 MP, f/2.0, 1/3.2"", 1.4µm",140 g (4.94 oz),Qualcomm SDM630 Snapdragon 630 (14 nm) - 64/4GBQualcomm SDM660 Snapdragon 660 (14 nm) - 128/6GB,,,"Available. Released 2017, August","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 2040 pixels, 17:9 ratio (~420 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","Glass front (Gorilla Glass), glass back, aluminum frame",Yes,"2017, August",,GSM / CDMA / HSPA / LTE,eMMC 5.1,,Sharp,Corning Gorilla Glass (unspecified version),Adreno 508 - 64/4GBAdreno 512 - 128/6GB,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-s2.jpg,"5.5 inches, 80.7 cm2(~79.0% screen-to-body ratio)",Sharp Aquos S2,,"White, Black, Blue, Green",IPS LCD,,,141.8 x 72 x 7.9 mm (5.58 x 2.83 x 0.31 in),GeekBench: 4046 (v4.4)GFXBench: 5.6fps (ES 3.1 onscreen),"64GB 4GB RAM, 128GB 6GB RAM",,"USB Type-C, OTG",,"GPS, GLONASS, BDS",No,HSDPA 850 / 900 / 1900 / 2100,10W wired,FS8010,1080p@30fps,"Li-Po 3020 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
CDMA 800 & TD-SCDMA,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),"Dual-LED flash, panorama, HDR","1, 3, 5, 7, 8, 28, 38, 39, 40, 41","13 MP, f/1.8, PDAF",,,Android 7.0 (Nougat),Yes,"4.0, A2DP, LE",,,,24-bit/192kHz audio,About 380 EUR,,Yes,,Nano-SIM + Nano-SIM,,"16 MP, f/2.0, PDAF, OIS",185 g (6.53 oz),Qualcomm MSM8976 Snapdragon 652 (28 nm),,,"Available. Released 2017, April","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,GSM 850 / 900 / 1800 / 1900,,,"1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA, LTE",,No,"2017, April",,GSM / CDMA / HSPA / LTE,eMMC 5.1,,Sharp,Corning Gorilla Glass (unspecified version),Adreno 510,https://fdn2.gsmarena.com/vv/bigpic/sharp-z3.jpg,"5.7 inches, 89.6 cm2(~72.7% screen-to-body ratio)",Sharp Z3,,Champagne Gold,IPS LCD,,,157 x 78.5 x 7.8 mm (6.18 x 3.09 x 0.31 in),,64GB 4GB RAM,,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,10W wired,"Z3, FS8009",1080p@30fps,"Li-Ion 3100 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
,"Deca-core (2x2.3GHz Cortex-A72, 4x2.0GHz Cortex-A53, 4x1.4GHz Cortex-A53)","LED flash, panorama, HDR",LTE,8 MP,,,Android 6.0 (Marshmallow),Yes,"4.1, A2DP, LE",,,,,About 330 EUR,,Yes,,Nano-SIM + Nano-SIM,,"16 MP, PDAF",160 g (5.64 oz),Mediatek MT6797 Helio X20 (20 nm),,,Discontinued,Wi-Fi 802.11 a/b/g/n,Yes,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA, LTE",,No,"2016, October. Released 2016, October",,GSM / HSPA / LTE,,,Sharp,Corning Gorilla Glass (unspecified version),Mali-T880 MP4,https://fdn2.gsmarena.com/vv/bigpic/sharp-z2.jpg,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",Sharp Z2,,"Silver, Gold",IPS LCD,,,153 x 76 x 8.4 mm (6.02 x 2.99 x 0.33 in),,32GB 4GB RAM,,USB Type-C,,"GPS, GLONASS",FM radio,HSDPA 850 / 900 / 1900 / 2100,,FS8002,1080p@30fps,"Li-Ion 3000 mAh, non-removable","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",
,Octa-core 1.3 GHz Cortex-A53,"LED flash, panorama, HDR",LTE,13 MP,,,Android 6.0 (Marshmallow),Yes,"4.1, A2DP, LE",,,,,About 240 EUR,,Yes,,Nano-SIM + Nano-SIM,,"13 MP, AF",151 g (5.33 oz),Mediatek MT6753 (28 nm),,,Discontinued,Wi-Fi 802.11 a/b/g/n,,,,GSM 850 / 900 / 1800 / 1900,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDXC (uses shared SIM slot),,,"HSPA, LTE",,No,"2016, October. Released 2016, October",,GSM / HSPA / LTE,,,Sharp,Corning Gorilla Glass (unspecified version),Mali-T720MP3,https://fdn2.gsmarena.com/vv/bigpic/sharp-ms1.jpg,"5.5 inches, 83.4 cm2(~70.0% screen-to-body ratio)",Sharp MS1,,"Hanayome White, Pure Pink",IPS LCD,,,155 x 76.9 x 7.6 mm (6.10 x 3.03 x 0.30 in),,64GB 3GB RAM,,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,,FS8001,1080p@30fps,"Li-Ion 2600 mAh, non-removable","Accelerometer, proximity, compass",
Splash resistant,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),"LED flash, panorama, HDR",LTE 900 / 1700 / 2100 / 2500,2.1 MP,Up to 410 h (2G) / Up to 450 h (3G),,Android 5.0 (Lollipop),Yes,"4.1, A2DP",,,,Direct Wave Receiver,About 340 EUR,,Yes,,Nano-SIM,,"13 MP, AF",168 g (5.93 oz),Qualcomm MSM8994 Snapdragon 810 (20 nm),,,Discontinued,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",,,,GSM 900 / 1800 / 1900,,,"1080 x 1920 pixels, 16:9 ratio (~386 ppi density)",Up to 11 h 30 min (2G) / Up to 22 h 30 min (3G),microSDXC (dedicated slot),,,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,Yes,"2015, May. Released 2015, July",1080p@30fps,GSM / HSPA / LTE,eMMC 5.0,,Sharp,,Adreno 430,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-xx.jpg,"5.7 inches, 89.6 cm2(~77.7% screen-to-body ratio)",Sharp Aquos Xx,,"Black, White, Red",S-PureLED,,,146 x 79 x 8.7 mm (5.75 x 3.11 x 0.34 in),,32GB 3GB RAM,,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,"304SH, 404SH","4K@30fps, 1080p@120fps, 480p@210fps","Li-Ion 3000 mAh, non-removable","Accelerometer, gyro, proximity, compass",
Splash resistant,Quad-core 1.2 GHz Cortex-A7,"LED flash, panorama, HDR","1, 3, 8, 42",2.1 MP,,,Android 5.0 (Lollipop),Yes,"4.0, A2DP",,,,Direct Wave Receiver,About 300 EUR,,Yes,,Nano-SIM,,"8 MP, AF",154 g (5.43 oz),Qualcomm MSM8926 Snapdragon 400 (28 nm),,,Discontinued,Wi-Fi 802.11 b/g,,,,GSM 900 / 1800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,microSDXC (dedicated slot),,,"HSPA, LTE","Glass front, plastic back, plastic frame",Yes,"2015, May. Released 2015, July",,GSM / HSPA / LTE,eMMC 4.5,,Sharp,,Adreno 305,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-crystal-2.jpg,"5.2 inches, 74.5 cm2(~77.2% screen-to-body ratio)",Sharp Aquos Crystal 2,,"Black, White, Red, Blue",S-PureLED,,,136 x 71 x 11 mm (5.35 x 2.80 x 0.43 in),,16GB 2GB RAM,,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,,403SH,1080p@30fps,"Li-Ion 2030 mAh, non-removable","Accelerometer, proximity, compass",
eMMC 4.5,Quad-core 1.2 GHz Cortex-A7,"LED flash, panorama, HDR","25, 26, 41",1.2 MP,,,Android 4.4.2 (KitKat),Yes,"4.0, A2DP, LE",,,,,About 180 EUR,,Yes,,Micro-SIM,,"8 MP, AF",141 g (4.97 oz),Qualcomm MSM8926 Snapdragon 400 (28 nm),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,,CDMA 800 / 1900,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 13 h,microSDXC (dedicated slot),,,"EV-DO Rev.A 3.1 Mbps, LTE","Glass front, plastic back, plastic frame",No,"2014, August. Released 2014, August",,CDMA / EVDO / LTE,Tuned by Harman KardonDirect Wave Receiver,,Sharp,,Adreno 305,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-crystal.jpg,"5.0 inches, 68.9 cm2(~78.5% screen-to-body ratio)",Sharp Aquos Crystal,,"Black, White",TFT,,,131 x 67 x 10 mm (5.16 x 2.64 x 0.39 in),,8GB 1.5GB RAM,,microUSB 2.0,,GPS,No,CDMA2000 1xEV-DO,,"305SH, 306SH, SH825Wi",1080p@30fps,"Li-Ion 2040 mAh, non-removable","Accelerometer, proximity, compass",
MP3/AAC+/WAV/WMA playerMP4/Xvid/DivX/H.264/WMV playerDocument viewer/editorPhoto viewer,Dual-core 1.0 GHz Cortex-A9,,,VGA,Up to 560 h,,Android 4.0 (Ice Cream Sandwich),Yes,"4.0, A2DP",,,,,About 320 EUR,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"5 MP, AF",168.8 g (5.93 oz),Mediatek MT6577 (40 nm),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",Up to 9 h,microSDHC (dedicated slot),,,HSPA 7.2/5.76 Mbps,,No,"2012, October. Released 2012, October",,GSM / HSPA,,,Sharp,,PowerVR SGX531u,https://fdn2.gsmarena.com/vv/bigpic/sharp-sh530u.jpg,"5.0 inches, 71.2 cm2(~60.0% screen-to-body ratio)",Sharp SH530U,,"Snowy White, Cherry Red",TFT,,,146.5 x 81 x 9.9 mm (5.77 x 3.19 x 0.39 in),,20GB 512MB RAM,,microUSB 2.0,,GPS,No,HSDPA 900 / 2100 - SIM 1 only,,,Yes,"Li-Ion 1950 mAh, removable","Accelerometer, proximity, compass",
No,,,,,Up to 315 h,,,"Yes, with stereo speakers","2.1, A2DP",,Yes,,,,,,,Mini-SIM,,3.15 MP,88.5 g (3.10 oz),,,,Discontinued,No,Yes,Yes,,GSM 850 / 900 / 1800 / 1900,,,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",Up to 5 h 30 min,"microSDHC (dedicated slot), 1 GB included",,,,,,2012,,GSM,ISDB-T Digital TV tunerSNS applicationsMP3/AAC+/WAV playerMP4/H.263 playerOrganizerDocument viewerVoice memoPredictive text input,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-se-02.jpg,"2.8 inches, 22.3 cm2(~40.1% screen-to-body ratio)",Sharp SE-02,"SMS(threaded view), MMS, Email","Black, red","TFT, 256K colors","1000 entries, Photocall",Yes,107 x 52 x 12 mm (4.21 x 2.05 x 0.47 in),,"128MB ROM, 64MB RAM",,microUSB 2.0,Yes,,FM radio,,,,480p,Removable Li-Ion 1240 mAh battery,Accelerometer,Yes
TapFlow UI,1.0 GHz Scorpion,LED flash,,VGA,Up to 450 h (2G) / Up to 410 h (3G),,Android 2.3 (Gingerbread),Yes,"3.0, A2DP, EDR",,,,,About 470 EUR,,Yes,,Mini-SIM,,"8 MP, AF8 MP, AF",135 g (4.76 oz),,,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Yes,,,GSM 900 / 1800 / 1900,,,"540 x 960 pixels, 16:9 ratio (~262 ppi density)",Up to 5 h 20 min (2G) / Up to 5 h 20 min (3G),microSDHC (dedicated slot),,,HSPA,,,"2011, September. Released 2011, October",,GSM / HSPA,HDMI portMP3/AAC+/WAV/WMA playerMP4/Xvid/H.264/WMV playerOrganizer3D photo viewerDocument viewer/editorVoice memo/dialPredictive text input,,Sharp,,Adreno 205,https://fdn2.gsmarena.com/vv/bigpic/orange-sharp-AQUOS-PHONE-SH80F.jpg,"4.2 inches, 48.6 cm2(~59.8% screen-to-body ratio)",Sharp Aquos SH80F,,Black,3D LCD,,,127 x 64 x 11.9 mm (5.0 x 2.52 x 0.47 in),,2GB 512MB RAM,,microUSB 2.0,,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA 900 / 2100,,,"1080p (2D), 720p (3D)",Removable Li-Ion 1240 mAh battery,"Accelerometer, proximity, compass",
MP3/AAC+/WAV/WMA playerMP4/Xvid/H.264/WMV playerOrganizerDocument viewer/editorVoice memo/dialPredictive text input,1.4 GHz Scorpion,LED flash,,Yes,,,Android 2.3.4 (Gingerbread),Yes,"3.0, A2DP, EDR",,,,,,,Yes,,Mini-SIM,,"8 MP, AF8 MP, AF",-,,,,Discontinued,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,GSM 850 / 900 / 1800 / 1900,,,"540 x 960 pixels, 16:9 ratio (~262 ppi density)",,microSDHC (dedicated slot),,,HSPA,,,"2011, September. Released 2011, September",,GSM / HSPA,,,Sharp,,Adreno 205,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sh8298u.jpg,"4.2 inches, 48.6 cm2",Sharp Aquos SH8298U,,"Black, red, white",3D LCD,,Yes,-,,2GB 512MB RAM,,microUSB 2.0,Yes,"GPS, A-GPS","Stereo FM radio, RDS",HSDPA,,,Yes,Removable Li-Ion 1240 mAh battery,"Accelerometer, proximity, compass",
No,,,,,Up to 240 h,,,Yes,"2.1, A2DP",,Yes + downloadable,,,About 210 EUR,,No,QWERTY,Mini-SIM,,2 MP,141.8 g (4.97 oz),,,,Discontinued,No,Yes,Yes,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","400 x 240 pixels, 5:3 ratio (~155 ppi density)",Up to 3 h,microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2010, July. Released 2010, July",,GSM / HSPA,Mobile TVMusic IDMP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-fx.jpg,"3.0 inches, 25.6 cm2(~40.1% screen-to-body ratio)",Sharp FX,"SMS, MMS, Email, IM",Black,"TFT, 256K colors","1000 entries, Photocall",,114.3 x 55.9 x 15.2 mm (4.5 x 2.20 x 0.60 in),,80MB,,2.0,,No,Stereo FM radio,HSDPA 850 / 1900 / 2100,,,Yes,Removable Li-Ion 1240 mAh battery,,"Yes, MIDP 2.0"
,,LED flash,,,Up to 310 h (2G) / Up to 350 h (3G),,,Yes,"2.0, A2DP",,Yes + downloadable,,"Digital TV tunerMP3/eAAC+/WAV playerMP4/H.264 playerDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memo/dial",,,No,,Mini-SIM,,"8 MP, AF",130 g (4.59 oz),,,,Discontinued,Wi-Fi 802.11 b/g,Yes,Yes,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML",480 x 1024 (~283 ppi density),Up to 3 h 40 min (2G) / Up to 3 h 30 min (3G),microSDHC (dedicated slot),,,HSPA,,,"2009, October. Released 2010, January",,GSM / HSPA,,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-941sh.jpg,"4.0 inches, 39.7 cm2(~62.9% screen-to-body ratio)",Sharp AQUOS  941SH,"SMS, MMS, Email, Push Email","Black, Blue, Red, White","TFT resistive touchscreen, 16M colors","2000 entries, Photocall",Class 10,119 x 53 x 16.6 mm (4.69 x 2.09 x 0.65 in),,,,2.0,Class 10,"GPS, A-GPS",No,HSDPA,,,Yes,Removable Li-Ion battery,"Accelerometer, proximity","Yes, MIDP 2.0"
External hidden display,,Xenon flash,,,Up to 300 h (2G) / Up to 340 h (3G),,,Yes,"2.1, A2DP",,Yes + downloadable,,"Digital TV tunerMP3/eAAC+/WAV playerMP4/H.264 playerDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memo/dial",,,No,,Mini-SIM,,12 MP,130 g (4.59 oz),,,,Discontinued,Wi-Fi 802.11 b/g,Yes,Yes,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","854 x 480 pixels, 16:9 ratio (~288 ppi density)",Up to 3 h 30 min (2G) / Up to 3 h 20 min (3G),microSDHC (dedicated slot),,,HSPA,,,"2009, December. Released 2010, January",,GSM / HSPA,,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-940sh.jpg,"3.4 inches, 31.9 cm2(~56.3% screen-to-body ratio)",Sharp 940SH,"SMS, MMS, Email, Push Email, IM","Black, Blue, Red, White, Brown","TFT resistive touchscreen, 16M colors","2000 entries, Photocall",Class 10,111 x 51 x 16 mm (4.37 x 2.01 x 0.63 in),,,,2.0,Class 10,"GPS, A-GPS",No,HSDPA,,,320p@100fps,Removable Li-Po battery,,"Yes, MIDP 2.0"
IPX7 splash resistant,,,,Yes,Up to 300 h,,,Yes,"2.1, A2DP",,Yes + downloadable,Up to 2 h,,,,No,,Mini-SIM,,"8 MP, AF",129 g (4.55 oz),,,,Discontinued,No,Yes,"30 dialed, 30 received, 30 missed calls",Up to 1 min,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","854 x 480 pixels, 16:9 ratio (~327 ppi density)",Up to 4 h,microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2009, September. Released 2009, September",,GSM / HSPA,MP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo,,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-936sh.jpg,"3.0 inches, 24.8 cm2(~45.9% screen-to-body ratio)",Sharp 936SH,"SMS, MMS, Email, IM","Navy, White, Green ground","TFT, 16M colors","2000 entries, Photocall",Class 10,108 x 50 x 15.9 mm (4.25 x 1.97 x 0.63 in),,,,2.0,Class 10,No,No,HSDPA,,,w480p@30fps,Removable Li-Po battery,,"Yes, MIDP 2.0"
IPX5 splash resistant,,,,Yes,Up to 270 h (2G) / Up to 300 h (3G),,,Yes,"2.1, A2DP",,Yes + downloadable,,UV sensorMP3/WAV/eAAC+ playerMP4/H.264 playerOrganizerDocument viewerVoice memo,,,No,,Mini-SIM,,"8 MP, AF",129 g (4.55 oz),,,,Discontinued,No,Yes,"30 dialed, 30 received, 30 missed calls",,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","854 x 480 pixels, 16:9 ratio (~327 ppi density)",Up to 3 h 40 min (2G) / Up to 3 h 50 min (3G),microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2009, August. Released 2009, August",,GSM / HSPA,"External monochrome 3"" display, 456 x 240 pixels",,Sharp,,,https://fdn2.gsmarena.com/vv/bigpic/sharp-934sh.jpg,"3.0 inches, 24.8 cm2(~45.9% screen-to-body ratio)",Sharp 934SH,"SMS, MMS, Email, IM","White, Pink, Black, Brown Wood","TFT, 16M colors","2000 entries, Photocall",Class 10,108 x 50 x 15.9 mm (4.25 x 1.97 x 0.63 in),,,,2.0,Class 10,No,No,HSDPA,,,w480p@30fps,Removable Li-Po battery,Accelerometer,"Yes, MIDP 2.0"
