,Positioning,Dual,Java,Build,3G bands,OS,CPU,GPU,Loudspeaker_1,Quad,Audio quality,Single,Dimensions,_2,Stand-by,Colors,Speed,USB,WLAN,Call records,Models,Video_1,Single_1,Status,Camera,Size,Infrared port,_4,2G bands,Features,Technology,Messaging,Keyboard,GPRS,Model Image,Type_1,SIM,Dual_1,SAR EU,Sensors,Loudspeaker,SAR,Talk time,Bluetooth,_1,Video,Battery (old),Resolution,Radio,Chipset,5G bands,Display,Protection,Triple,Phonebook,Weight,EDGE,Charging,Features_1,Card slot,NFC,3.5mm jack,Model Name,_3,Internal,Price,Announced,Games,Type,4G bands,Performance,Brand
,GPS,,,,HSDPA 850 / 1900 / 2100,Android 6.0.1 (Marshmallow),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,,,,"5 MP, AF",210 x 125 x 8.9 mm (8.27 x 4.92 x 0.35 in),,,"Black, White","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microUSB 2.0,Wi-Fi 802.11 b/g/n,,TB3-850M,,2 MP,Discontinued,,"8.0 inches, 185.6 cm2(~70.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab3-8.jpg,"Li-Ion 4290 mAh, non-removable",Micro-SIM,,,Accelerometer,"Yes, dual speakers",,Up to 8 h (multimedia),"4.0, A2DP",,Yes,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",FM radio,Mediatek MT8161 (28 nm),,,,,,329 g (11.61 oz),,,,microSDXC (dedicated slot),No,Yes,Lenovo Tab3 8,,"16GB 1GB RAM, 16GB 2GB RAM",About 120 EUR,"2016, February. Released 2016, June",,IPS LCD,LTE,,Lenovo
,GPS,,,,HSDPA 850 / 1900 / 2100,Android 6.0 (Marshmallow) or 5.0 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,,,,"2 MP, AF or 5 MP, AF",191 x 100 x 8.8 mm (7.52 x 3.94 x 0.35 in),,,Black,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microUSB 2.0,Wi-Fi 802.11 b/g/n,,"TB3-710I, TB-7703X, TB3-730X, TB3-710F",,VGA or 2 MP,Discontinued,,"7.0 inches, 137.9 cm2(~72.2% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab3-711.jpg,"Li-Ion 3450 mAh, non-removable",Micro-SIM,,,Accelerometer,Yes,,Up to 9 h (multimedia),"4.0, A2DP",,1080p@30fps,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",FM radio,Mediatek MT8161 (28 nm),,,,,,260 g (9.17 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo Tab3 7,,"8GB 1GB RAM, 16GB 1GB RAM",About 80 EUR,"2016, February. Released 2016, April",,IPS LCD,LTE,,Lenovo
eMMC 4.5,GPS,,,"Glass front, aluminum/plastic back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,Voice 72dB / Noise 71dB / Ring 81dB,,Noise -93.8dB / Crosstalk -91.3dB,"13 MP, f/2.2, AF",142 x 71 x 8 mm (5.59 x 2.80 x 0.31 in),,,"Silver, Gold","HSPA, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,"A6020a46, Vibe K5 Plus",,"5 MP, f/2.8",Discontinued,Photo/Video,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-plus.jpg,"Li-Ion 2750 mAh, removable",Dual SIM,,,"Accelerometer, proximity",Yes,,,"4.1, A2DP, LE",,1080p@30fps,Endurance rating 62h,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",FM radio,Qualcomm MSM8939v2 Snapdragon 616 (28 nm),,"Contrast ratio: 998 (nominal), 2.473 (sunlight)",,,,142 g (5.01 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo Vibe K5 Plus,,16GB 2GB RAM,About 140 EUR,"2016, February. Released 2016, April",,IPS LCD,"1, 3, 5, 7, 8, 20",Basemark OS II 2.0: 884Basemark X: 4863,Lenovo
eMMC 4.5,GPS,,,"Glass front, aluminum/plastic back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,Voice 70dB / Noise 70dB / Ring 78dB,,Noise -90.0dB / Crosstalk -91.5dB,"13 MP, f/2.2, AF",142 x 71 x 8 mm (5.59 x 2.80 x 0.31 in),,,"Champagne Gold, Platinum Silver","HSPA, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,"A6020a40, A6020a41, A6020l36, A6020l37",,"5 MP, f/2.8",Discontinued,Photo/Video,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5.jpg,"Li-Ion 2750 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity","Yes, with stereo speakers",,,"4.1, A2DP, LE",,1080p@30fps,Endurance rating 64h,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Qualcomm MSM8929 Snapdragon 415 (28 nm),,"Contrast ratio: 804 (nominal), 2.459 (sunlight)",,,,142 g (5.01 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo Vibe K5,,16GB 2GB RAM,About 120 EUR,"2016, February 21. Released 2016, June 13",,IPS LCD,"1, 3, 5, 7, 8, 20, 38, 40, 41",Basemark OS II 2.0: 789Basemark X: 4263,Lenovo
,GPS,,,,HSDPA 2100,"Android 5 (Lollipop), Vibe UI 2",Octa-core 1.7 GHz Cortex-A53,Mali-T760MP2,,,,"13 MP, f/2.0, AF",152.6 x 76.2 x 8 mm (6.01 x 3.00 x 0.31 in),,,Matte Black,"HSPA, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, hotspot",,,,"5 MP, f/2.2",Discontinued,,"5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7000-turbo.jpg,"Li-Ion 2900 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity, compass",Yes,,,"4.1, A2DP, LE",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",FM radio,Mediatek MT6752 (28 nm),,,,,,150 g (5.29 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A7000 Turbo,,16GB 2GB RAM,About 180 EUR,"2016, January. Released 2016, January",,IPS LCD,LTE,,Lenovo
eMMC 4.5,"GPS, GLONASS",,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Octa-core (4x1.6 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,,,,"13 MP, f/2.2, PDAF",152.9 x 75.6 x 9.9 mm (6.02 x 2.98 x 0.39 in),,Up to 648 h (2G) / Up to 600 h (3G),"Platinum, Graphite Grey, Gold","HSPA, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,"P1a42, P1c72",,"5 MP, f/2.8",Discontinued,,"5.5 inches, 83.4 cm2(~72.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-p1-turbo.jpg,"Li-Po 4900 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Yes,,Up to 49 h (2G) / Up to 44 h (3G),"4.1, A2DP, LE",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",FM radio,Qualcomm MSM8939v2 Snapdragon 616 (28 nm),,,Corning Gorilla Glass 3,,,189 g (6.67 oz),,"18W wired, QC2",,microSDXC (dedicated slot),Yes,Yes,Lenovo Vibe P1 Turbo,,32GB 3GB RAM,About 260 EUR,"2016, February. Released 2016, February",,IPS LCD,"1, 3, 7, 20, 40",,Lenovo
eMMC 5.1,GPS,,,"Glass front, aluminum/plastic back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,,"13 MP, f/2.2, PDAF",152 x 75.7 x 8.5 mm (5.98 x 2.98 x 0.33 in),,Up to 543 h (3G),"Silver, Gold, Gray","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,"A7020a48, K52e78, A7020a40",1080p@30fps,8 MP,Discontinued,,"5.5 inches, 83.4 cm2(~72.5% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-note.jpg,"Li-Po 3500 mAh, non-removable",Nano-SIM + Nano-SIM,,1.10 W/kg (head)     1.18 W/kg (body),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Yes,,Up to 34 h (2G) / Up to 27 h 30 min (3G),"4.1, A2DP, LE",24-bit/192kHz audio,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",FM radio,Mediatek MT6755 Helio P10 (28 nm),,,,,,165 g (5.82 oz),,,,microSDXC (uses shared SIM slot),No,Yes,Lenovo K5 Note,,"32GB 3GB RAM, 32GB 4GB RAM",About 190 EUR,"2016, January. Released 2016, January",,IPS LCD,"1, 3, 5, 7, 8, 20, 38, 40, 41",,Lenovo
TD-SCDMA,GPS,,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,,,,"13 MP, AF",142 x 71 x 8 mm (5.59 x 2.80 x 0.31 in),,Up to 360 h (3G),"Silver, Gold","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,5 MP,Discontinued,,"5.0 inches, 68.9 cm2(~68.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-lemon-3-.jpg,"Li-Po 2750 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity","Yes, with stereo speakers",,Up to 32 h (3G),"4.0, A2DP, LE",eMMC 4.5,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",FM radio,Qualcomm MSM8939v2 Snapdragon 616 (28 nm),,,,,,142 g (5.01 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo Lemon 3,,16GB 2GB RAM,About 110 EUR,"2016, January. Released 2016, January",,IPS LCD,LTE,,Lenovo
,,,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mali-T760MP2,,,,"13 MP, f/2.2, PDAF",145 x 71 x 8.6 mm (5.71 x 2.80 x 0.34 in),,Up to 225 h (2G) / Up to 225 h (3G),"Matte White, Matte Blue","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,S1La40,,"8 MP, f/2.2, 1/3.2"", 1.4µm",Discontinued,,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-s1-lite1.jpg,"Li-Po 2700 mAh, non-removable",Nano-SIM + Micro-SIM,,,"Accelerometer, proximity, compass",Yes,,Up to 18 h (3G),"4.0, A2DP, LE",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",FM radio,Mediatek MT6753 (28 nm),,,,,,129 g (4.55 oz),,,LED flash,microSDXC,No,Yes,Lenovo Vibe S1 Lite,,16GB 2GB RAM,About 210 EUR,"2016, January. Released 2016, May",,IPS LCD,"1, 3, 4, 7, 5, 8, 20, 38, 40, 41",,Lenovo
"1, 3, 5, 7, 8, 20, 40, 41 - A7010 a48",GPS,,,"Glass front (Gorilla Glass 3), plastic back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,"Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,Voice 74dB / Noise 66dB / Ring 72dB,,Noise -93.3dB / Crosstalk -93.6dB,"13 MP, f/2.2, PDAF",153.6 x 76.5 x 9.2 mm (6.05 x 3.01 x 0.36 in),,Up to 265 h (3G),Black,"HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot",,A7010a48,,"5 MP, f/2.2",Discontinued,Photo/Video,"5.5 inches, 83.4 cm2(~71.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7010.jpg,"Li-Po 3300 mAh, non-removable","Dual SIM (Micro-SIM, dual stand-by)",,0.84 W/kg (head),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Yes, with stereo speakers",,Up to 23 h (2G) / Up to 22 h (3G),"4.0, A2DP, LE",,1080p@30fps,Endurance rating 73h,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","FM radio, recording",Mediatek MT6753 (28 nm),,"Contrast ratio: 940:1 (nominal),  2.254 (sunlight)",Corning Gorilla Glass 3,,,158 g (5.57 oz),,,,microSDXC (dedicated slot),Yes,Yes,Lenovo Vibe K4 Note,,"8GB 2GB RAM, 16GB 2GB RAM, 16GB 3GB RAM (A7010 a48), 32GB 2GB RAM",About 190 EUR,"2016, January 05. Released 2016, January 05",,IPS LCD,"1, 3, 5, 7, 8, 20 - A7010",Basemark OS II 2.0: 729Basemark X: 4072,Lenovo
TD-SCDMA,"GPS, GLONASS",,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,,,,"13 MP, f/2.0, PDAF",153.6 x 76.5 x 9.2 mm (6.05 x 3.01 x 0.36 in),,,"White, Black","HSPA, LTE",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,K51c78,,5 MP,Discontinued,,"5.5 inches, 83.4 cm2(~71.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, panorama, HDR",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-x3-k51c78-.jpg,"Li-Po 3300 mAh, non-removable","Hybrid Dual SIM (Micro-SIM, dual stand-by)",,,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Yes, with stereo speakers",,,"4.1, A2DP, LE",24-bit/192kHz audio,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",No,Mediatek MT6753 (28 nm),,,Corning Gorilla Glass 3,,,-,,,,microSDXC (uses shared SIM slot),No,Yes,Lenovo Vibe X3 c78,,16GB 2GB RAM,About 320 EUR,"2015, November. Released 2015, December",,IPS LCD,"1, 3, 7, 38, 39, 40, 41",,Lenovo
eMMC 5.0,"GPS, GLONASS",,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,,,,"21 MP, f/2.0, 27mm (wide), PDAF",154 x 76.5 x 9.3 mm (6.06 x 3.01 x 0.37 in),,Up to 618 h (3G),"White, Black","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot",,"X3a40, X3c50",1080p@30fps,8 MP,Discontinued,,"5.5 inches, 83.4 cm2(~70.8% screen-to-body ratio)",Yes,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, panorama, HDR",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-x3-.jpg,"Li-Po 3500 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Yes, with stereo speakers",,Up to 31 h (3G),"4.1, A2DP, LE",24-bit/192kHz audio,"4K@30fps, 1080p@30fps",,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",FM radio,Qualcomm MSM8992 Snapdragon 808 (20 nm),,,Corning Gorilla Glass 3,,,175 g (6.17 oz),,"18W wired, QC2 (market dependent)",,microSDXC (uses shared SIM slot),Yes,Yes,Lenovo Vibe X3,,"32GB 3GB RAM, 64GB 3GB RAM",About 300 EUR,"2015, November. Released 2015, December",,IPS LCD,"1, 3, 5, 7, 8, 20, 38, 40, 41",,Lenovo
,GPS,,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,,,,"8 MP, AF",141.2 x 71.2 x 8.8 mm (5.56 x 2.80 x 0.35 in),,,"Black, White","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, hotspot",,,,2 MP,Discontinued,,"5.0 inches, 68.9 cm2(~68.6% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a3690.jpg,"Li-Po 2300 mAh, removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,,"4.0, A2DP",,Yes,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Mediatek MT6735P (28 nm),,,,,,140 g (4.94 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A3690,,8GB 1GB RAM,About 110 EUR,"2015, October. Released 2015, October",,IPS LCD,LTE 1800 / 2100 / 2600,,Lenovo
Built-in 3-stage kickstandIntegrated rotatable projector (50 lumen),"GPS, GLONASS",,,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100,Android 6.0 (Marshmallow),Quad-core 2.4 GHz,,,,,"13 MP, AF",246.9 x 179.1 x 4.7 mm (9.72 x 7.05 x 0.19 in),,Up to 1176 h,Black,"HSPA, LTE","microUSB 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,5 MP,"Available. Released 2016, Q1",,"10.1 inches, 295.8 cm2(~66.9% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tab-3-pro.jpg,"Li-Po 10,200 mAh, non-removable",Micro-SIM,,,"Accelerometer, compass","Yes, with stereo speakers (4 speakers)",,Up to 18 h,"4.0, A2DP",JBL speakers,1080p@30fps,,"1600 x 2560 pixels, 16:10 ratio (~299 ppi density)",No,Intel® Atom x5-Z8500,,,,,,666.8 g (1.47 lb),,24W wired,,microSDXC (dedicated slot),No,Yes,Lenovo Yoga Tab 3 Pro,,64GB 4GB RAM,About 380 EUR,"2015, December",,IPS LCD,"1, 2, 3, 4, 5, 7, 8, 9, 18, 19, 21, 25, 26, 28, 41",,Lenovo
Built-in 3-stage kickstand,,,,,,Android 5.1 (Lollipop),Quad-core 1.1 GHz Cortex-A7,Adreno 304,,,,"8 MP, AF",209.8 x 145.8 x 7 mm (8.26 x 5.74 x 0.28 in),No,Up to 2280 h,Black,,microUSB 2.0,Wi-Fi 802.11 b/g/n,,"YT3-850M, YT3-850F",,,Discontinued,,"8.0 inches, 185.6 cm2(~60.7% screen-to-body ratio)",,,N/A,,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tablet-3-8.jpg,"Li-Ion 6200 mAh, non-removable",No,,,Accelerometer,"Yes, with stereo speakers",,Up to 20 h,"4.0, A2DP",eMMC 4.5,Yes,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",No,Qualcomm MSM8909 Snapdragon 210 (28 nm),,,,,,467.2 g (1.03 lb),No,,,microSDXC (dedicated slot),No,Yes,Lenovo Yoga Tab 3 8.0,,16GB 1GB RAM,About 160 EUR,"2015, October. Released 2015, October",,IPS LCD,,,Lenovo
,GPS,,,"Glass front, plastic back, plastic frame",HSDPA 900 / 1900 / 2100,Android 5.0 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,,5 MP,124.5 x 64 x 10.6 mm (4.90 x 2.52 x 0.42 in),,,"Onyx Black, Pearl White",HSPA 21.1/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,A1000,,VGA,Discontinued,,"4.0 inches, 45.5 cm2(~57.2% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a1000.jpg,"Li-Po 2000 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,Accelerometer,Yes,,,"2.1, A2DP",,720p,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",FM radio,Spreadtrum SC7731,,,,,,132 g (4.66 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A1000,,8GB 1GB RAM,About 60 EUR,"2015, September 01. Released 2015, September 01",,TFT,,,Lenovo
eMMC 4.5,"GPS, GLONASS",,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Adreno 306,,,,"13 MP, f/2.2, AF",186 x 97 x 8.9 mm (7.32 x 3.82 x 0.35 in),,Up to 480 h (3G),"Tuxedo Black, Polar White, Aqua Blue, Cherry Red","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot",,"PB1-750M, PB1-750P",,5 MP,Discontinued,,"6.98 inches, 134.3 cm2(~74.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-phab.jpg,"Li-Po 4250 mAh, non-removable","Hybrid Dual SIM (Micro-SIM, dual stand-by)",,,"Accelerometer, proximity, compass",Yes,,Up to 24 h (3G),"4.0, A2DP",,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~210 ppi density)",FM radio,Qualcomm MSM8916 Snapdragon 410 (28 nm),,,,,,250 g (8.82 oz),,,,microSDXC (uses shared SIM slot),No,Yes,Lenovo Phab,,16GB 1GB RAM,About 180 EUR,"2015, September. Released 2015, October",,IPS LCD,"1, 2, 3, 4, 7, 8, 20, 38, 40",,Lenovo
eMMC 4.5,"GPS, GLONASS",,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.0 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,,,,"13 MP, f/2.2, AF",186.6 x 96.6 x 7.6 mm (7.35 x 3.80 x 0.30 in),,Up to 480 h (3G),"Gunmetal Grey, Titanium Silver, Champagne Gold","HSPA, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot",,PB1-770M,,5 MP,Discontinued,,"6.8 inches, 127.5 cm2(~70.7% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-phab-plus.jpg,"Li-Po 3500 mAh, non-removable",Nano-SIM + Micro-SIM,,,"Accelerometer, proximity, compass",Yes,,Up to 24 h (3G),"4.0, A2DP",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~324 ppi density)",FM radio,Qualcomm MSM8939 Snapdragon 615 (28 nm),,,,,,229 g (8.08 oz),,,,microSDXC (uses shared SIM slot),No,Yes,Lenovo Phab Plus,,32GB 2GB RAM,About 250 EUR,"2015, September. Released 2015, October",,IPS LCD,"1, 3, 7, 38, 39, 40, 41",,Lenovo
eMMC 4.5,GPS,,,,HSDPA 850 / 900 / 1900 / 2100,Android 5.1 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.1 GHz Cortex-A53),Adreno 405,,,,"13 MP, f/2.2, PDAF",152.9 x 75.6 x 9.9 mm (6.02 x 2.98 x 0.39 in),,Up to 648 h (2G) / Up to 600 h (3G),"Platinum, Graphite Grey","HSPA, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",,"P1c58, P1a41",,5 MP,Discontinued,,"5.5 inches, 83.4 cm2(~72.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-p1-new.jpg,"Li-Po 5000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (front-mounted), accelerometer, proximity",Yes,,Up to 49 h (2G) / Up to 44 h (3G),"4.1, LE",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",FM radio,Qualcomm MSM8939 Snapdragon 615 (28 nm),,,Corning Gorilla Glass 3,,,189 g (6.67 oz),,"18W wired, QC2",,microSDXC (dedicated slot),Yes,Yes,Lenovo Vibe P1,,32GB 2GB RAM,About 380 EUR,"2015, September. Released 2015, October",,IPS LCD,"1, 3, 7, 20, 40",,Lenovo
