,Status,Type,3.5mm jack,Model Image,Positioning,Protection,Triple,Build,Features,Size,4G bands,NFC,SAR EU,Chipset,GPU,Colors,Video,Quad,Single_1,GPRS,Features_1,Video_1,2G bands,Speed,Card slot,_2,Type_1,Resolution,_3,Model Name,5G bands,3G bands,Dimensions,Sensors,Announced,Talk time,Bluetooth,Price,Loudspeaker,OS,CPU,Stand-by,_1,USB,Charging,SIM,Internal,Dual,_4,SAR,Weight,Models,Technology,Brand,Infrared port,WLAN,Single,EDGE,Radio
eMMC 5.0,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega3.jpg,GPS,Scratch-resistant glass,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~71.3% screen-to-body ratio)","1, 3, 5, 7, 20, 40",No,0.68 W/kg (head)     0.66 W/kg (body),Mediatek MT6737 (28 nm),Mali-T860,"Champagne White, Moondust Grey, Gold White",720p@30fps,,"8 MP, f/2.2",,LED flash,720p,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC (dedicated slot),,"Li-Po 3050 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Coolpad Mega 3,,HSDPA 900 / 2100,152 x 77 x 8.2 mm (5.98 x 3.03 x 0.32 in),"Accelerometer, proximity","2016, December. Released 2016, December",Up to 8 h (3G),"4.0, A2DP",About 110 EUR,"Yes, with stereo speakers","Android 6.0 (Marshmallow), Cool UI",Quad-core 1.2 GHz Cortex-A53,Up to 200 h (3G),,"microUSB 2.0, OTG",,Nano-SIM + Nano-SIM + Nano-SIM (max 2 at a time),16GB 2GB RAM,,,,170 g (6.00 oz),3503I,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","8 MP, f/2.2, AF",,Stereo FM radio; recording
eMMC 5.1,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-5.jpg,GPS,Scratch-resistant glass,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~72.5% screen-to-body ratio)","1, 3, 40",No,,Qualcomm MSM8952 Snapdragon 617 (28 nm),Adreno 405,"Royal Gold, Space Gray",1080p@30fps,,"8 MP, f/2.2",,LED flash,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE",microSDXC (uses shared SIM slot),,"Li-Ion 4010 mAh, non-removable","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Coolpad Note 5,,HSDPA 900 / 2100,152 x 75.7 x 8.9 mm (5.98 x 2.98 x 0.35 in),"Fingerprint (rear-mounted), accelerometer, proximity, compass","2016, September. Released 2016, October",,"4.0, A2DP",About 180 EUR,Yes,"Android 6 (Marshmallow), Cool UI 8",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,"microUSB 2.0, OTG",,Hybrid Dual SIM,"32GB 4GB RAM, 64GB 4GB RAM",,,,173.4 g (6.10 oz),3600I,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 b/g/n,"13 MP, f/2.2, AF",,FM radio
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-modena2.jpg,GPS,,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~70.6% screen-to-body ratio)","1, 3, 7, 8, 20",No,,Mediatek MT6735P (28 nm),Mali-T720MP2,"Gold, Black",Yes,,"8 MP, f/2.2",,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC (uses shared SIM slot),,"Li-Ion 2500 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Coolpad Modena 2,,HSDPA 900 / 2100,154.5 x 76.5 x 7.9 mm (6.08 x 3.01 x 0.31 in),"Accelerometer, proximity, compass","2016, September. Released 2016, September",,"4.1, A2DP, LE",About 180 EUR,Yes,"Android 6 (Marshmallow), Cool UI 8",Quad-core 1.0 GHz Cortex-A53,,,microUSB 2.0,,Nano-SIM + Nano-SIM,16GB 2GB RAM,,,,143 g (5.04 oz),E502,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 b/g/n,"8 MP, f/2.2, AF",,FM radio
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega.jpg,GPS,,,,LED flash,"5.5 inches, 109.5 cm2(~93.2% screen-to-body ratio)","3, 40",No,,Mediatek MT6735P (28 nm),Mali-T720MP2,"Gold, White, Black",Yes,,"8 MP, f/2.2",,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC (uses shared SIM slot),,"Li-Ion 2500 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~233 ppi density)",,Coolpad Mega,,HSDPA 900 / 2100,153 x 76.8 x 7.9 mm (6.02 x 3.02 x 0.31 in),"Accelerometer, proximity","2016, August. Released 2016, August",,"4.0, A2DP",About 80 EUR,Yes,"Android 6 (Marshmallow), Cool UI 8",Quad-core 1.0 GHz Cortex-A53,,,microUSB 2.0,,Hybrid Dual SIM,16GB 3GB RAM,,,,143 g (5.04 oz),Y83-I00,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 b/g/n,"8 MP, f/2.2, AF",,FM radio
eMMC 5.1,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-torino.jpg,GPS,,,,"LED flash, panorama","5.5 inches, 83.4 cm2(~70.8% screen-to-body ratio)","1, 3, 7, 20",No,,Qualcomm MSM8952 Snapdragon 617 (28 nm),Adreno 405,White/Gold,1080p@30fps,,"5 MP, f/2.2",,,1080p@30fps,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC (uses shared SIM slot),,"Li-Ion 2500 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Coolpad Torino,,HSDPA 900 / 2100,154 x 76.5 x 8.7 mm (6.06 x 3.01 x 0.34 in),"Fingerprint (rear-mounted), accelerometer, proximity, compass","2016, July. Released 2016, July",Up to 16 h (2G) / Up to 13 h (3G),"4.0, A2DP",About 200 EUR,Yes,"Android 5.1 (Lollipop), Cool UI 8",Octa-core (4x1.36 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Up to 250 h (2G) / Up to 250 h (3G),,microUSB 2.0,,Hybrid Dual SIM,16GB 3GB RAM,,,,163 g (5.75 oz),R108,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, hotspot","13 MP, f/2.2, AF",,FM radio
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-3-plus.jpg,GPS,Scratch-resistant glass,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~71.3% screen-to-body ratio)","1, 3, 40",No,,Mediatek MT6753 (28 nm),Mali-T720MP3,"Champagne Gold, White",1080p@30fps,,5 MP,,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),,"Li-Ion 3000 mAh, non-removable","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Coolpad Note 3 Plus,,HSDPA 900 / 2100,152 x 77 x 9 mm (5.98 x 3.03 x 0.35 in),"Fingerprint (rear-mounted), accelerometer, proximity, compass","2016, May. Released 2016, July",Up to 15 h (3G),"4.0, A2DP",About 120 EUR,Yes,"Android 5.1 (Lollipop), Cool UI 6",Octa-core 1.3 GHz Cortex-A53,Up to 400 h (3G),,"microUSB 2.0, OTG",,"Dual SIM (Micro-SIM, dual stand-by)",16GB 3GB RAM,,,,168 g (5.93 oz),,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, hotspot","13 MP, f/2.0, AF",,FM radio
eMMC 5.1,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-max.jpg,"GPS, GLONASS",,,,"Dual-LED dual-tone flash, HDR, panorama","5.5 inches, 83.4 cm2(~72.5% screen-to-body ratio)","3, 40",No,,Qualcomm MSM8952 Snapdragon 617 (28 nm),Adreno 405,"Royal Gold, Rose Gold",1080p@30fps,,"5 MP, f/2.2, 1/4.0"", 1.4µm",,,1080p@30fps,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),,"Li-Ion 2800 mAh, non-removable","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Coolpad Max,,HSDPA 900 / 2100,152 x 75.7 x 7.6 mm (5.98 x 2.98 x 0.30 in),"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","2016, June. Released 2016, June",,"4.0, A2DP",About 380 EUR,Yes,Android 5.1 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,microUSB 2.0,,Hybrid Dual SIM,64GB 4GB RAM,,,,170 g (6.00 oz),A8-831,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","13 MP, f/2.0, PDAF",,FM radio
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-porto-s.jpg,"GPS, GLONASS",,,,Dual-LED flash,"5.0 inches, 68.9 cm2(~66.9% screen-to-body ratio)","1, 3, 7, 20",No,,Mediatek MT6735P (28 nm),Mali-T720MP2,White,1080p@30fps,,"2 MP, f/2.4",,,1080p@30fps,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE Cat4 150/50 Mbps",microSDXC (uses shared SIM slot),,"Li-Po 2000 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Coolpad Porto S,,HSDPA 900 / 2100,143 x 72 x 7.6 mm (5.63 x 2.83 x 0.30 in),"Accelerometer, proximity","2016, January. Released 2016, March",Up to 8 h (2G) / Up to 7 h (3G),"4.0, A2DP, LE",About 130 EUR,Yes,Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A53,Up to 200 h (2G) / Up to 150 h (3G),,microUSB 2.0,,Nano-SIM + Micro-SIM,8GB 1GB RAM,,,,125 g (4.41 oz),E570,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, f/2.4, AF",,FM radio
eMMC 4.5,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-torino-s.jpg,"GPS, GLONASS",,,,Dual-LED flash,"4.7 inches, 60.9 cm2(~64.6% screen-to-body ratio)","1, 3",No,,Qualcomm MSM8916 Snapdragon 410 (28 nm),Adreno 306,"Black, White, Gold",1080p@30fps,,"5 MP, f/2.2",,,1080p@30fps,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE Cat4 150/50 Mbps",microSDHC (uses shared SIM slot),,"Li-Ion 1800 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,Coolpad Torino S,,HSDPA 900 / 2100,139 x 67.8 x 7.9 mm (5.47 x 2.67 x 0.31 in),"Fingerprint (rear-mounted), accelerometer, proximity","2016, January. Released 2016, March",Up to 5 h (2G) / Up to 4 h (3G),"4.1, A2DP, LE",About 180 EUR,Yes,Android 5.1 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Up to 300 h (2G) / Up to 200 h (3G),,microUSB 2.0,,Nano-SIM + Micro-SIM,16GB 2GB RAM,,,,120 g (4.23 oz),,GSM / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, f/2.2, AF",,FM radio
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-note3-lite.jpg,GPS,Scratch-resistant glass,,,"LED flash, HDR, panorama","5.0 inches, 68.9 cm2(~69.5% screen-to-body ratio)","1, 2, 3, 8, 40",No,0.24 W/kg (head)     0.42 W/kg (body),Mediatek MT6735 (28 nm),Mali-T720MP2,"Black, White, Champagne white",1080p@30fps,,"5 MP, f/2.4",,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDHC (dedicated slot),,"Li-Ion 2500 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Coolpad Note 3 Lite,,HSDPA 900 / 2100,140.8 x 70.4 x 8.9 mm (5.54 x 2.77 x 0.35 in),"Fingerprint (rear-mounted), accelerometer, proximity","2016, January. Released 2016, January",Up to 10 h,"4.0, A2DP",About 110 EUR,"Yes, with stereo speakers",Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Up to 200 h,,"microUSB 2.0, OTG",,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",16GB 3GB RAM,,,0.24 W/kg (head)     0.42 W/kg (body),142 g (5.01 oz),CP8298_I00,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","13 MP, f/2.0, AF",,"Stereo FM radio, recording"
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-roar.jpg,GPS,,,,LED flash,"4.5 inches, 55.8 cm2(~64.2% screen-to-body ratio)",,No,,Mediatek MT6580 (28 nm),Mali-400MP2,Black,Yes,,2 MP,,,,GSM 850 / 900 / 1800 / 1900,HSPA,microSDHC (dedicated slot),,"Li-Ion 1800 mAh, removable","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,Coolpad Roar,,HSDPA 850 / 900 / 2100,133 x 65.4 x 9 mm (5.24 x 2.57 x 0.35 in),Yes,"2015, November. Released 2015, November",,"4.0, A2DP",,Yes,Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,,,microUSB 2.0,,Nano-SIM,8GB 1GB RAM,,,,-,,GSM / HSPA,Coolpad,,"Wi-Fi 802.11 b/g/n, hotspot","5 MP, AF",,FM radio
,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-note-3.jpg,GPS,,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~71.7% screen-to-body ratio)",LTE,No,,Mediatek MT6753 (28 nm),Mali-T720MP3,White,1080p@30fps,,5 MP,,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microSDXC (dedicated slot),,"Li-Ion 3000 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Coolpad Note 3,,HSDPA 900 / 2100,151 x 77 x 9.3 mm (5.94 x 3.03 x 0.37 in),"Fingerprint (rear-mounted), accelerometer, proximity","2015, October. Released 2015, October",,"4.0, A2DP",About 120 EUR,Yes,Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,,,microUSB 2.0,,Dual SIM,16GB 3GB RAM,,,,-,CP8676_I02,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 b/g/n, hotspot","13 MP, f/2.0, AF",,FM radio
eMMC 4.5,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-shine.jpg,GPS,,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~70.6% screen-to-body ratio)","1, 3",No,,Qualcomm MSM8939 Snapdragon 615 (28 nm),Adreno 405,Gold,1080p@30fps,,5 MP,,,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC,,"Li-Ion 2500 mAh, non-removable","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Coolpad Shine,,HSDPA 900 / 2100,153 x 77.2 x 8.6 mm (6.02 x 3.04 x 0.34 in),"Fingerprint (rear-mounted), accelerometer, proximity","2015, October. Released 2015, October",,"4.0, A2DP, LE",About 200 EUR,Yes,Android 5.1 (Lollipop),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),,,microUSB 2.0,,Dual SIM,8GB 2GB RAM,,,,-,R106,GSM / HSPA / LTE,Coolpad,,"Wi-Fi 802.11 a/b/g/n, hotspot","13 MP, AF",,FM radio
eMMC 4.5,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-modena.jpg,"GPS, GLONASS",,,,"LED flash, HDR, panorama","5.5 inches, 83.4 cm2(~70.3% screen-to-body ratio)","3, 7, 8, 20",No,,Qualcomm MSM8916 Snapdragon 410 (28 nm),Adreno 306,White,1080p@30fps,,2 MP,,,720p,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC,,"Li-Ion 2500 mAh, non-removable","540 x 960 pixels, 16:9 ratio (~200 ppi density)",,Coolpad Modena,,HSDPA 900 / 2100,153 x 77.5 x 8.6 mm (6.02 x 3.05 x 0.34 in),"Accelerometer, proximity","2015, August. Released 2015, August",Up to 10 h (2G) / Up to 8 h (3G),"4.0, A2DP, LE",About 160 EUR,Yes,Android 5.1 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Up to 330 h (2G) / Up to 270 h (3G),,microUSB 2.0,,"Dual SIM (Micro-SIM, dual stand-by)",8GB 1GB RAM,,,,158 g (5.57 oz),"E501, E501_EU",GSM / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, AF",,FM radio
eMMC 4.5,Discontinued,IPS LCD,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-porto.jpg,"GPS, GLONASS",,,,LED flash,"4.7 inches, 60.9 cm2(~64.6% screen-to-body ratio)","3, 7, 8, 20",No,,Qualcomm MSM8916 Snapdragon 410 (28 nm),Adreno 306,White,1080p@30fps,,5 MP,,,720p,GSM 900 / 1800 / 1900,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",microSDHC (dedicated slot),,"Li-Ion 1800 mAh, non-removable","540 x 960 pixels, 16:9 ratio (~234 ppi density)",,Coolpad Porto,,HSDPA 900 / 2100,139 x 67.8 x 8 mm (5.47 x 2.67 x 0.31 in),"Accelerometer, proximity","2015, August. Released 2015, August",Up to 8 h (2G) / Up to 6 h (3G),"4.0, A2DP, LE",About 150 EUR,Yes,Android 5.1 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Up to 240 h (2G) / Up to 200 h (3G),,microUSB 2.0,,Micro-SIM,8GB 1GB RAM,,,,119 g (4.20 oz),,GSM / HSPA / LTE,Coolpad,Yes,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, AF",,FM radio
eMMC 5.1,Cancelled,TFT,Yes,https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega.jpg,GPS,,,,"LED flash, HDR","6.1 inches, 102.5 cm2","3, 5, 40",No,,Qualcomm MSM8917 Snapdragon 425 (28 nm),Adreno 308,Gold,1080p@30fps,,2 MP,,,720p,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSPA, LTE",microSDHC,,,"480 x 854 pixels, 16:9 ratio (~161 ppi density)",,Coolpad 3632,,HSDPA 900 / 2100,-,"Accelerometer, proximity",Not announced yet,,"4.0, A2DP",About 100 EUR,Yes,Android 7.1 (Nougat),Quad-core 1.4 GHz Cortex-A53,,,microUSB 2.0,,Dual SIM,8GB 1GB RAM,,,,-,,GSM / HSPA / LTE,Coolpad,,Wi-Fi 802.11 b/g/n,"5 MP, AF",,FM radio
