,CPU,Features,Stand-by,Camera,Single_1,Alert types,OS,Loudspeaker,Bluetooth,SAR EU,Games,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Loudspeaker_1,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Battery (old),Display,Browser,Resolution,Talk time,Card slot,Alarm,Speed,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Audio quality,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Models,Video,Type_1,_4,Sensors,Java
"Wallpapers, screensavers",,,Up to 300 h,,CIF videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,No,"2.0, A2DP",1.10 W/kg (head),Yes + downloadable,,,About 110 EUR,,No,,Mini-SIM,2 MP,97 g (3.42 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML(NetFront), RSS feeds",176 x 220 pixels (~141 ppi density),Up to 9 h,"Memory Stick Micro (M2), up to 4 GB",,HSPA,"2007, October. Released 2008, January",,GSM / HSPA,MP3/AAC/MP4 playerTrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-k630.gif,"2.0 inches, 12.6 cm2(~26.0% screen-to-body ratio)",Sony Ericsson K630,,"SMS, EMS, MMS, Email, Instant Messaging","Havana Gold, Quick Black","TFT, 256K colors","1000 entries, Photocall",,103 x 47 x 15.5 mm (4.06 x 1.85 x 0.61 in),32MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 2100,,Yes,Removable Li-Po battery,,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,LED flash,Up to 400 h (2G) / Up to 400 h (3G),,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,Yes,"2.0, A2DP",1.69 W/kg (head),Yes + downloadable,,,About 100 EUR,,No,,Mini-SIM,"3.15 MP, AF",95 g (3.35 oz),,Voice 76dB / Noise 68dB / Ring 68dB,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML(NetFront), RSS feeds","240 x 320 pixels, 4:3 ratio (~211 ppi density)",Up to 10 h (2G) / Up to 2 h 35 min (3G),"Memory Stick Micro (M2), 256 MB included",,"Yes, 384 kbps","2007, August",,GSM / UMTS,MP3/AAC/MP4 playerTrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo/dialStopwatch,,,Sony_Ericsson,,,Noise -85.7dB / Crosstalk -84.8dB,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-k770.jpg,"1.9 inches, 11.2 cm2(~22.7% screen-to-body ratio)",Sony Ericsson K770,,"SMS, MMS, Email, Instant Messaging","Truffle Brown, Ultra Violet, Sandy Beige, Henna Bronze, Soft Black, Natural Brown, Serene Black","TFT, 256K colors","1000 entries, up to 2500 numbers, Photo call",,105 x 47 x 14.5 mm (4.13 x 1.85 x 0.57 in),16MB,2.0,,No,"Stereo FM radio, RDS",UMTS 2100,,Yes,Removable Li-Po 930 mAh battery (BST-38),,,"Yes, MIDP 2.0"
MP3/AAC/MP4 playerTrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo/dial,,"xenon flash and 3LED video light, auto lens cover",Up to 400 h (2G) / Up to 350 h (3G),,Videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.14 W/kg (head),Yes + downloadable,,,About 160 EUR,,No,,Mini-SIM,"5 MP, AF",118 g (4.16 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 9 h (2G) / Up to 3 h 30 min (3G),"Memory Stick Micro (M2); microSDHC (dedicated slot), 512 MB included",,HSPA 3.6/0.384 Mbps (K850i),"2007, June. Released 2007, October",,GSM / HSPA,,1.50 W/kg (head)     1.56 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-k850.gif,"2.2 inches, 15.0 cm2(~30.6% screen-to-body ratio)",Sony Ericsson K850,,"SMS, MMS, Email, Instant Messaging","Luminous Green, Velvet Blue, Quicksilver black","TFT, 256K colors","1000 x 20 fields, Photo call",,102 x 48 x 17 mm (4.02 x 1.89 x 0.67 in),40MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 850 / 1900 / 2100,,320p@30fps,Removable Li-Po 930 mAh battery (BST-38),,Accelerometer,"Yes, MIDP 2.0"
"Handwriting recognitionWallpapers, screensavers",32-bit Philips Nexperia PNX4008 208 MHz,LED flash,Up to 370 h,,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer","Symbian 9.1, UIQ 3.0",Yes,"2.0, A2DP",0.96 W/kg (head),,,"Walkman Touch playerTrackID music recognitionDocument editor (Word, Excel, PowerPoint, PDF)Predictive text inputPhoto editorOrganizerVoice memo",About 180 EUR,,No,,Mini-SIM,"3.15 MP, AF",119 g (4.20 oz),,Voice 72dB / Noise 73dB / Ring 76dB,,Discontinued,Wi-Fi 802.11b,,,GSM 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML(Opera 8.0), RSS reader","240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 9 h,No,,"Yes, 384 kbps","2007, June. Released 2007, December",,GSM / UMTS,256 MB flash memory (96 MB reserved for OS + 160 MB user memory),0.81 W/kg (head)     1.12 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-w960.gif,"2.6 inches, 20.9 cm2(~34.9% screen-to-body ratio)",Sony Ericsson W960,,,Vinyl Black,"TFT resistive touchscreen, 256K colors",,,109 x 55 x 16 mm (4.29 x 2.17 x 0.63 in),8GB 128MB RAM,2.0,,No,"Stereo FM radio, RDS",UMTS 2100,,320p@15fps,Removable Li-Po 900 mAh battery (BST-33),,,
Walkman 3.0 playerShake controlSensMeTrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo,,,Up to 400 h (2G) / Up to 350 h (3G),,Videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",0.90 W/kg (head),Yes + downloadable,,,About 130 EUR,,No,,Mini-SIM,2 MP,86 g (3.03 oz),,Voice 77dB / Noise 70dB / Ring 82dB,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML(NetFront 3.3), RSS reader","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 9 h (2G) / Up to 3 h 30 min (3G),"Memory Stick Micro (M2), up to 4 GB",,HSPA 3.6/0.384 Mbps (W910i),"2007, June. Released 2007, October",,GSM / HSPA,,0.68 W/kg (head)     0.38 W/kg (body),,Sony_Ericsson,,,Noise -84.0dB / Crosstalk -80.4dB,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-w910.gif,"2.4 inches, 17.8 cm2(~36.0% screen-to-body ratio)",Sony Ericsson W910,,"SMS, EMS, MMS, Email, Instant Messaging","Hearty Red, Noble Black, Havana Bronze, Silky White, Lipstick Pink, Prime Silver","TFT, 256K colors","Yes, Photo call",,99 x 50 x 12.5 mm (3.90 x 1.97 x 0.49 in),40MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 2100,,320p@15fps,Removable Li-Ion 930 mAh battery (BST-39),,Accelerometer,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,,Up to 395 h (2G) / Up to 395 h (3G),,Videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,Yes,"2.0, A2DP",1.17 W/kg (head),Yes + downloadable,,,About 100 EUR,,No,,Mini-SIM,2 MP,92 g (3.25 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML(NetFront), RSS feeds",176 x 220 pixels (~141 ppi density),Up to 9 h (2G) / Up to 3 h (3G),"Memory Stick Micro (M2), up to 2 GB",,"Yes, 384 kbps","2007, June",,GSM / UMTS,MP3/AAC/MP4 playerTrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-k530.gif,"2.0 inches, 12.6 cm2(~26.8% screen-to-body ratio)",Sony Ericsson K530,,"SMS, EMS, MMS, Email","Warm Silver, Thunder Black","TFT, 256K colors","1000 entries, Photocall",,102 x 46 x 14 mm (4.02 x 1.81 x 0.55 in),16MB,2.0,,No,"Stereo FM radio, RDS",UMTS 2100,,Yes,Removable Li-Po 950 mAh battery (BST-33),,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,,Up to 300 h (2G) / Up to 300 h (3G),,CIF videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.10 W/kg (head),Yes + downloadable,,,About 80 EUR,,No,,Mini-SIM,2 MP,97 g (3.42 oz),,,"20 received, 20 dialed and 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,,"HTML (NetFront 3.3), RSS reader",176 x 220 pixels (~141 ppi density),Up to 9 h (2G) / Up to 5 h (3G),"Memory Stick Micro (M2), up to 4 GB",,HSPA,"2007, September",,GSM / HSPA,Vodafone music streaming serviceMP3/AAC playerTrackID music recognitionPredictive text inputPicture/video editorOrganizerVoice memo/dial,1.10 W/kg (head)     0.91 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-v640.gif,"2.0 inches, 12.6 cm2(~26.0% screen-to-body ratio)",Sony Ericsson V640,,"SMS, EMS, MMS, Email, Instant Messaging","Havana Gold, Quick Black","TFT, 256K colors","Yes, Photo call",,103 x 47 x 15.5 mm (4.06 x 1.85 x 0.61 in),32MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 2100,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
GSM 850 / 1800 / 1900 - Z320a,,,Up to 300 h,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,Yes,No,0.86 W/kg (head),Yes + downloadable,,No,About 50 EUR,Predictive text inputPhoto editorOrganizerVoice memo,No,,Mini-SIM,1.3 MP,90 g (3.17 oz),,,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900 - Z320i,,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 7 h,No,,,"2007, June. Released 2007, November",,GSM,"Second external icon display (monochrome)Wallpapers, screensavers",,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-z320.gif,"1.8 inches, 10.2 cm2(~24.9% screen-to-body ratio)",Sony Ericsson Z320,,"SMS,MMS","Crimson Red, Atlantic Blue","TFT, 65K colors",Yes,Yes,87 x 47 x 20 mm (3.43 x 1.85 x 0.79 in),10MB,Proprietary,No,No,No,,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
GSM 850 / 1800 / 1900 - Z250a,,,Up to 300 h,,,Vibration; Downloadable polyphonic ringtones,,Yes,No,,Yes + downloadable,,No,About 70 EUR,Predictive text inputPhoto editorOrganizerVoice memo,No,,Mini-SIM,VGA,90 g (3.17 oz),,,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900 - Z250i,,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 7 h,No,,,"2007, June. Released 2008, October",,GSM,"Icon displayWallpapers, screensavers",0.76 W/kg (head)     0.44 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-z250.gif,"1.8 inches, 10.2 cm2(~25.5% screen-to-body ratio)",Sony Ericsson Z250,,"SMS,MMS","Morning White, Silent Black","CSTN, 65K colors",Yes,Yes,85 x 47 x 19.5 mm (3.35 x 1.85 x 0.77 in),10MB,Proprietary,No,No,No,,,No,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
Handwriting recognition,32-bit Philips Nexperia PNX4008 208 MHz,LED flash,Up to 440 h (2G) / Up to 350 h (3G),,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones","Symbian 9.1, UIQ 3.0",Yes,"2.0, A2DP",0.56 W/kg (head),,,,About 170 EUR,,No,QWERTY,Mini-SIM,"3.15 MP, AF",124 g (4.37 oz),,,,Discontinued,Wi-Fi 802.11b,Yes,,GSM 900 / 1800 / 1900,,,"HTML (Opera), RSS reader","240 x 320 pixels, 4:3 ratio (~154 ppi density)",Up to 10 h (2G) / Up to 3 h 30 min (3G),"Memory Stick Micro (M2), up to 4 GB, 512 MB included",,"Yes, 384 kbps","2007, May. Released 2007, July",,GSM / UMTS,"Media Player (MP3, AAC, video)SyncMLDocument viewer (Word, Excel, PowerPoint, PDF)Business card scannerOrganizerVoice memo",0.98 W/kg (head)     1.10 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-p1.gif,"2.6 inches, 20.9 cm2(~35.9% screen-to-body ratio)",Sony Ericsson P1,,,Silver Black,"TFT resistive touchscreen, 256K colors",,,106 x 55 x 17 mm (4.17 x 2.17 x 0.67 in),160MB 128MB RAM 256MB ROM,2.0,,No,"Stereo FM radio, RDS",UMTS 2100,,Yes,Removable Li-Po 950 mAh battery,,,
"Wallpapers, screensavers",,LED flash,Up to 300 h,,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.80 W/kg (head),Yes + downloadable,,,About 120 EUR,,No,,Mini-SIM,"3.15 MP, AF",95 g (3.35 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,,"WAP 2.0/HTML(NetFront), RSS feeds","240 x 320 pixels, 4:3 ratio (~211 ppi density)",Up to 7 h,"Memory Stick Micro (M2), up to  2 GB, 256 MB included",,"Yes, 384 kbps","2007, May",,GSM / UMTS,MP3/AAC playerPredictive text inputOrganizerVoice memo,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-t650.gif,"1.9 inches, 11.2 cm2(~23.4% screen-to-body ratio)",Sony Ericsson T650,,"SMS, MMS, Email","Growing Green, Midnight Blue, Eclipse Black, Precious Gold","TFT, 256K colors","1000 contacts, Photo call",,104 x 46 x 12.5 mm (4.09 x 1.81 x 0.49 in),16MB,2.0,,No,FM radio,UMTS 2100,,QCIF,Removable Li-Po 930 mAh battery (BST-38),,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,,Up to 370 h,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",0.77 W/kg (head),Yes + downloadable,,TrackID music recognitionMP3/AAC/AAC+/eAAC+ playerPredictive text inputOrganizerVoice memo,About 90 EUR,,No,,Mini-SIM,2 MP,94 g (3.32 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML(NetFront), RSS feeds","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 9 h,"Memory Stick Micro (M2), up to 2 GB",,,"2007, May",,GSM,No,1.35 W/kg (head)     0.59 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-s500.gif,"2.0 inches, 12.4 cm2(~26.6% screen-to-body ratio)",Sony Ericsson S500,,"SMS, MMS, Email, Instant Messaging","Mysterious Green, Spring Yellow, Contrasted Copper, Ice Purple, Silver Steel","TFT, 256K colors","1000 contacts, Photo call",Class 10,99 x 47 x 14 mm (3.90 x 1.85 x 0.55 in),12MB,Proprietary,Class 10,No,No,,,Yes,Removable Li-Po 930 mAh battery (BST-38),,,"Yes, MIDP 2.0"
GSM 850 / 1900 - T250a,,,Up to 300 h,,,Vibration; Downloadable polyphonic ringtones,,Yes,No,0.83 W/kg (head),Yes,,No,About 50 EUR,Slide showFull screen viewerPredictive text inputStopwatchTimer,No,,Mini-SIM,VGA,82 g (2.89 oz),,,"20 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 - T250i,,,WAP 1.2.1,128 x 160 pixels (~121 ppi density),Up to 7 h,No,,,"2007, May",,GSM,"Wallpapers, screensavers",,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-t250.gif,"1.7 inches, 9.1 cm2(~20.2% screen-to-body ratio)",Sony Ericsson T250,,"SMS, MMS","Aluminium Silver, Aluminium Black","TFT, 65K colors","300 entries, Photocall",Class 10,100 x 45 x 13 mm (3.94 x 1.77 x 0.51 in),2MB,No,No,No,"Stereo FM radio, RDS",,,No,Removable Li-Ion battery,,,No
"Second external OLED display (36 x 128 pixels)Wallpapers, screensavers",,,Up to 400 h (2G) / Up to 350 h (3G),,Videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,Yes,"2.0, A2DP",1.04 W/kg (head),Yes,,,About 110 EUR,,No,,Mini-SIM,2 MP,110 g (3.88 oz),,,"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 9 h (2G) / Up to 3 h 30 min (3G),"Memory Stick Micro (M2), up to 2 GB",,HSPA 1.8 Mbps,"2007, March",,GSM / HSPA,MP3/AAC/AAC+/eAAC+ playerTrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo,1.48 W/kg (head)     1.09 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-z750.gif,"2.2 inches, 15.0 cm2(~31.4% screen-to-body ratio)",Sony Ericsson Z750,,"SMS, EMS, MMS, Email","Phantom Grey, Rose Pink, Mysterious Purple, Platinum Silver","TFT, 256K colors","Yes, Photo call",,97.4 x 49 x 20 mm (3.83 x 1.93 x 0.79 in),32MB,2.0,,No,"Stereo FM radio, RDS",HSDPA 850 / 1900 / 2100,,320p@15fps,Removable Li-Po 930 mAh battery (BST-33),,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,,Up to 370 h,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",0.74 W/kg (head),Yes + downloadable,,"TrackID music recognitionWalkman 2.0 playerPredictive text inputOrganizerPedometer, calories counterVoice memo",About 100 EUR,,No,,Mini-SIM,2 MP,94 g (3.32 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML(NetFront), RSS feeds","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 9 h,"Memory Stick Micro (M2), up to 4 GB. 512 MB included",,,"2007, March. Released 2007, July",,GSM,No,1.26 W/kg (head)     0.57 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-w580.gif,"2.0 inches, 12.4 cm2(~26.6% screen-to-body ratio)",Sony Ericsson W580,,"SMS, EMS, MMS, Email","Style White, Urban Grey, Boulevard Black, Metro Pink, Jungle Green, Velvet Red","TFT, 256K colors","1000 contacts, Photo call",Class 10,99 x 47 x 14 mm (3.90 x 1.85 x 0.55 in),12MB,2.0,Class 10,No,"Stereo FM radio, RDS",,,QCIF,Removable Li-Po 930 mAh battery (BST-38),,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,,Up to 360 h (2G) / Up to 360 h (3G),,Videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.27 W/kg (head),Yes + downloadable,,,About 110 EUR,,No,,Mini-SIM,2 MP,93 g (3.28 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader",176 x 220 pixels (~141 ppi density),Up to 6 h (2G) / Up to 6 h (3G),"Memory Stick Micro (M2), up to 4 GB, 512 MB included",,"Yes, 384 kbps","2007, March",,GSM / UMTS,Walkman player 2.0TrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo/dial,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-w660.gif,"2.0 inches, 12.6 cm2(~26.8% screen-to-body ratio)",Sony Ericsson W660,,"SMS, MMS, Email, Instant Messaging","Record Black, Rose Red, Silk White","TFT, 256K colors","1000 x 20 fields, Photo call",,102 x 46 x 14.5 mm (4.02 x 1.81 x 0.57 in),16MB,2.0,,No,"Stereo FM radio, RDS",UMTS 2100,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,,Up to 425 h (2G) / Up to 425 h (3G),,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.45 W/kg (head),Yes + downloadable,,,About 100 EUR,,No,,Mini-SIM,2 MP,71 g (2.50 oz),,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader","240 x 320 pixels, 4:3 ratio (~222 ppi density)",Up to 6 h 30 min (2G) / Up to 2 h 50 min (3G),"Memory Stick Micro (M2), up to 4 GB, 1 GB included",,"Yes, 384 kbps","2007, February",,GSM / UMTS,Walkman player 2.0TrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo/dial,1.47 W/kg (head)     1.06 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-w880.gif,"1.8 inches, 10.0 cm2(~20.9% screen-to-body ratio)",Sony Ericsson W880,,"SMS, MMS, Email, Instant Messaging","Flame Black, Steel Silver, Havana","TFT, 256K colors","1000 x 20 fields, Photo call",,103 x 46.5 x 9.5 mm (4.06 x 1.83 x 0.37 in),16MB,2.0,,No,No,UMTS 2100,,QCIF,Removable Li-Po 950 mAh battery (BST-33),,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,xenon flash,Up to 400 h,,Videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.31 W/kg (head),Yes + downloadable,,,About 130 EUR,,No,,Mini-SIM,"3.15 MP, AF",103 g (3.63 oz),,,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Up to 10 h,"Memory Stick Micro (M2), up to 2 GB, 128 MB included",,"Yes, 384 kbps","2007, February",,GSM / UMTS,MP3/AAC/MP4 playerTrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo/dial,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-k810.gif,"2.0 inches, 12.4 cm2(~24.3% screen-to-body ratio)",Sony Ericsson K810,,"SMS, MMS, Email, Instant Messaging","Noble Blue, Golden Ivory, Pulse Red","TFT, 256K colors","1000 x 20 fields, Photo call",,106 x 48 x 17 mm (4.17 x 1.89 x 0.67 in),64MB,2.0,,No,"Stereo FM radio, RDS",UMTS 2100,,QCIF,Removable Li-Po 950 mAh battery (BST-33),,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,LED flash,Up to 350 h,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.31 W/kg (head),Yes + downloadable,,Walkman player 2.0TrackID music recognitionPredictive text inputPhoto editorOrganizerVoice memo/dial,About 100 EUR,,No,,Mini-SIM,"2 MP, AF",95 g (3.35 oz),,,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/HTML (NetFront), RSS reader",176 x 220 pixels (~144 ppi density),Up to 7 h,"Memory Stick Micro (M2), up to 2 GB, 512 MB included",,,"2007, February",,GSM,No,1.38 W/kg (head)     0.77 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-w610.gif,"1.96 inches, 12.1 cm2(~25.8% screen-to-body ratio)",Sony Ericsson W610,,"SMS, MMS, Email, Instant Messaging","Plush Orange, Satin Black","TFD, 256K colors","1000 x 20 fields, Photo call",Class 10,102 x 46 x 14 mm (4.02 x 1.81 x 0.55 in),64MB,2.0,Yes,No,"Stereo FM radio, RDS",,,Yes,Removable Li-Po 950 mAh battery (BST-33),,,"Yes, MIDP 2.0"
"Wallpapers, screensavers",,LED flash,Up to 350 h,,,"Vibration; Downloadable polyphonic, MP3, AAC ringtones, composer",,Yes,"2.0, A2DP",1.25 W/kg (head),Yes + downloadable,,MP3/AAC/MP4 playerTrackID music recognitionPredictive text inputAdobe Photoshop AlbumOrganizerVoice memo/dial,About 70 EUR,,No,,Mini-SIM,"2 MP, AF",85 g (3.00 oz),,,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 850 / 900 / 1800 / 1900,,,"WAP 2.0/xHTML, HTML(NetFront)",176 x 220 pixels (~148 ppi density),Up to 7 h,"Memory Stick Micro (M2), up to 2 GB",,,"2007, February",,GSM,No,1.37 W/kg (head)     0.87 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-k550.gif,"1.9 inches, 11.4 cm2(~24.2% screen-to-body ratio)",Sony Ericsson K550,,"SMS, MMS, Email, Instant Messaging","Jet Black, Pearl White, Plum Ruby, Sophisticated Silver","TFD, 256K colors","1000 x 20 fields, Photo call",Class 10,102 x 46 x 14 mm (4.02 x 1.81 x 0.55 in),77MB,2.0,Yes,No,"Stereo FM radio, RDS",,,QCIF,Removable Li-Po 950 mAh battery (BST-33),,,"Yes, MIDP 2.0"
Wallpapers,,,Up to 300 h,,,Vibration; Downloadable polyphonic ringtones,,Yes,No,0.90 W/kg (head),Yes,,Slide showFull screen viewerPredictive text inputStopwatchTimer,About 50 EUR,,No,,Mini-SIM,VGA,82 g (2.89 oz),,,"20 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,,WAP 1.2.1,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",Up to 8 h,No,,,"2007, February",,GSM,No,,,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/sonyericsson-k220.gif,"1.6 inches, 8.3 cm2(~17.4% screen-to-body ratio)",Sony Ericsson K220,,"SMS, EMS, MMS","Frost White, Ocean Blue","CSTN, 65K colors",300 entries,Class 8,103 x 46 x 16.7 mm (4.06 x 1.81 x 0.66 in),2MB,No,No,No,"Stereo FM radio, RDS",,,No,Removable Li-Po 900 mAh battery (BST-37),,,No
Wallpapers,,,Up to 300 h,,,Vibration; Downloadable polyphonic ringtones,,Yes,No,,Yes,,OrganizerStopwatchTimerPredictive text input,,,No,,Mini-SIM,VGA,82 g (2.89 oz),,,"20 received, dialed and missed calls",Discontinued,No,Yes,,GSM 850 / 1900,,,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",Up to 7 h,No,,,"2007, December",,GSM,No,1.08 W/kg (head)     0.44 W/kg (body),,Sony_Ericsson,,,,https://fdn2.gsmarena.com/vv/bigpic/se-k205.jpg,"1.6 inches, 8.3 cm2(~17.4% screen-to-body ratio)",Sony Ericsson K205,,"SMS, MMS, Email","White, Black","CSTN, 65K colors",Yes,Yes,103 x 46 x 17 mm (4.06 x 1.81 x 0.67 in),,Proprietary,No,No,No,,,No,Removable Li-Ion battery,,,No
