,Announced,Call records,Resolution,Infrared port,Languages,_3,Technology,Model Image,Alert types,Phonebook,WLAN,GPRS,Games,Messaging,Talk time,USB,EDGE,Status,Positioning,Radio,Bluetooth,Brand,Sensors,_1,Video,Dimensions,Single,Colors,3.5mm jack,SIM,Size,Weight,Type_1,Internal,2G bands,Browser,Loudspeaker,_2,Model Name,Type,Card slot,Java,Stand-by
No,2007,"20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s669.gif,"Vibration; Downloadable polyphonic, MIDI ringtones",Yes,No,No,Yes,SMS,Up to 3 h,No,No,Discontinued,No,No,No,Bird,,"FR,HR,EFR voice codecsLanguages: Chinese, English, French, Arabic",,104 x 45.5 x 15.7 mm (4.09 x 1.79 x 0.62 in),,"Silver, Blue, Red",No,Mini-SIM,"1.5 inches, 7.3 cm2(~15.3% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion 500 mAh battery,,GSM 900 / 1800,No,No,,Bird S669,"CSTN, 65K colors",No,No,Up to 140 h
No,2007,"20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s668.gif,"Vibration; Downloadable polyphonic, MIDI ringtones",Yes,No,No,Yes,SMS,Up to 3 h,No,No,Discontinued,No,No,No,Bird,,"FR,HR,EFR voice codecsLanguages: Chinese, English, French, Arabic",,104 x 45.5 x 15.7 mm (4.09 x 1.79 x 0.62 in),,"Silver Grey, Blue,  White",No,Mini-SIM,"1.5 inches, 7.3 cm2(~15.3% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion 500 mAh battery,,GSM 900 / 1800,No,No,,Bird S668,"CSTN, 65K colors",No,No,Up to 140 h
No,2007,"20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s667.gif,"Vibration; Downloadable polyphonic, MIDI ringtones",Yes,No,No,Yes,SMS,Up to 3 h,No,No,Discontinued,No,No,No,Bird,,"FR,HR,EFR voice codecsLanguages: Chinese, English, French, Arabic",,104 x 45.5 x 15.7 mm (4.09 x 1.79 x 0.62 in),,"Black, White",No,Mini-SIM,"1.5 inches, 7.3 cm2(~15.3% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion 500 mAh battery,,GSM 900 / 1800,No,No,,Bird S667,"CSTN, 65K colors",No,No,Up to 140 h
No,2007,"20 dialed, 20 received, 20 missed calls",101x 64 pixels (~85 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s296.gif,Vibration; Downloadable polyphonic ringtones,Yes,No,No,Yes,SMS,Up to 2 h,No,No,Discontinued,No,No,No,Bird,,"FR,HR,EFR,AMR voice codecsLanguages: Chinese, English, Hindi",,105 x 45 x 15.7 mm (4.13 x 1.77 x 0.62 in),,"Black, Grey",No,Mini-SIM,"1.4 inches, 5.7 cm2(~12.1% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion 500 mAh battery,,GSM 900 / 1800,No,Yes,,Bird S296+,Monochrome graphic,No,No,Up to 140 h
No,2007,"20 dialed, 20 received, 20 missed calls",101x 64 pixels (~85 ppi density),,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s296.gif,"Vibration; Downloadable polyphonic, MIDI ringtones",Yes,No,No,Yes,SMS,Up to 2 h,No,No,Discontinued,No,No,No,Bird,,"EFR, FR, HR voice codecsLanguages: Chinese, English, French, Arabic, Vietnamese",,105 x 45 x 15.7 mm (4.13 x 1.77 x 0.62 in),,"Black, Grey",No,Mini-SIM,"1.4 inches, 5.7 cm2(~12.1% screen-to-body ratio)",75 g (2.65 oz),Removable Li-Ion 500 mAh battery,,GSM 900 / 1800,No,No,,Bird S296,Monochrome graphic,No,No,Up to 140 h
"Second external CSTN display, 65K colors, (96x64 pixels)Wallpapers, screensavers","2006, Q1","20 dialed, 20 received, 20 missed calls",128 x 160 pixels,,,MP3/MIDI playerCalculatorWorld timePredictive text inputCurrency convertorVoice memo,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-d680.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","300 x 5 fields, Photo call",No,Class 12,2 embedded + download,"SMS, EMS, MMS",,Proprietary,No,Cancelled,No,No,No,Bird,,2 MB for MMS messages200 SMS messages,Yes,88 x 42 x 21 mm (3.46 x 1.65 x 0.83 in),1.3 MP,,No,Mini-SIM,,75 g (2.65 oz),Removable Li-Ion battery,,GSM 900 / 1800,WAP 1.2.1,Yes,No,Bird D680,"TFT, 65K colors",No,No,
Wallpapers,"2006, Q1","20 dialed, 20 received, 20 missed calls",128 x 160 pixels,Yes,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-d660.gif,Vibration; Downloadable polyphonic ringtones,"300 x 5 fields, Photo call",No,Class 10,Yes,"SMS, EMS, MMS",,Proprietary,No,Cancelled,No,No,No,Bird,,No,Yes,107 x 45 x 16.5 mm (4.21 x 1.77 x 0.65 in),1.3 MP,Silver,No,Mini-SIM,,,Removable Li-Ion battery,64MB,GSM 900 / 1800,WAP 2.0,No,MP3/MIDI playerCalculatorWorld timePredictive text inputVoice memo,Bird D660,"TFT, 65K colors",microSD,No,
Wallpapers,"2006, Q1","20 dialed, 20 received, 20 missed calls","128 x 128 pixels, 1:1 ratio",,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-m11.gif,Vibration; Polyphonic(16) ringtones,100 entries,No,Yes,Yes,"SMS, MMS",,Proprietary,No,Cancelled,No,No,No,Bird,,No,,108 x 44 x 15.2 mm (4.25 x 1.73 x 0.60 in),,,No,Mini-SIM,,88 g (3.10 oz),Removable Li-Ion battery,32MB,GSM 900 / 1800 / 1900,WAP 2.0,No,MP3/MIDI playerCalculatorWorld timePredictive text input,Bird M11,"CSTN, 65K colors",No,No,
"Second external CSTN display, 65K colors, (96x64 pixels)7 colors flashing LEDWallpapers, screensavers","2005, Q3","20 dialed, 20 received, 20 missed calls",128 x 160 pixels,,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-m08.gif,"Vibration; Downloadable polyphonic, MP3 ringtones","300 entries, Photo call",No,Class 10,Yes,"SMS, EMS, MMS",Up to 2 h 50 min,Proprietary,No,Cancelled,No,No,No,Bird,,No,Yes,87.8 x 43.3 x 21.3 mm (3.46 x 1.70 x 0.84 in),VGA,,No,Mini-SIM,,78 g (2.75 oz),Removable Li-Ion battery,32MB,GSM 900 / 1800,WAP 1.2.1,Yes,MP3 playerOrganizerWorld timeVoice memo,Bird M08,"TFT, 256K colors",microSD,No,Up to 200 h
"Wallpapers, screensavers","2005, Q3","20 dialed, 20 received, 20 missed calls",128 x 160 pixels,Yes,,,GSM,https://fdn2.gsmarena.com/vv/bigpic/bird-s890.gif,Vibration; Downloadable polyphonic ringtones,300 entries,No,Class 10,2,"SMS, MMS, Email",Up to 3 h,Proprietary,No,Cancelled,No,No,No,Bird,,No,No,,1.3 MP,,No,Mini-SIM,,,Removable Li-Ion battery,,GSM 900 / 1800,WAP 2.0/xHTML,Yes,OrganizerWorld timeVoice memo,Bird S890,"TFT, 256K colors",No,Yes,Up to 72 h
