,Dimensions,Phonebook,_4,Model Image,Type_1,_1,Model Name,Models,Messaging,Card slot,Brand,Speed,EDGE,Stand-by,SAR,Sensors,Video_1,SAR EU,_2,GPU,Announced,CPU,Positioning,Technology,Loudspeaker,SIM,_3,2G bands,3.5mm jack,Video,NFC,Keyboard,4G bands,Features,Java,Features_1,Price,Single_1,Type,Games,Chipset,Talk time,WLAN,Call records,3G bands,Size,Single,Protection,Dual,Bluetooth,Radio,USB,Status,Internal,Dual_1,OS,Colors,Browser,GPRS,Weight,Resolution
,157.5 x 77.7 x 8.1 mm (6.20 x 3.06 x 0.32 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5518q.jpg,Li-Ion 2600 mAh battery,,verykool s5518Q Maverick,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 288 h (3G),0.37 W/kg (head)     0.98 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2015, November. Released 2015, November",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,About 140 EUR,5 MP,IPS LCD,,Mediatek MT6582M (28 nm),Up to 10 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"5.5 inches, 83.4 cm2(~68.1% screen-to-body ratio)","8 MP, AF",Corning Gorilla Glass 3,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)","Black, White/Gold",,,170 g (6.00 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,148.3 x 71.1 x 8.4 mm (5.84 x 2.80 x 0.33 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5017q.jpg,Li-Ion 1850 mAh battery,,verykool s5017Q Dorado,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.45 W/kg (head)     1.23 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2015, November. Released 2015, November",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,About 110 EUR,5 MP,IPS LCD,,Mediatek MT6582M (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)","Black, Gold",,,161 g (5.68 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,147 x 72.5 x 8.9 mm (5.79 x 2.85 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5009.jpg,Li-Ion 1900 mAh battery,,verykool sl5009 Jet,,,microSDXC,verykool,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,Up to 240 h (3G),,"Accelerometer, proximity",,0.44 W/kg (head)     0.98 W/kg (body),,Mali-T720MP2,"2015, September. Released 2015, September",Quad-core 1.1 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,"2, 4, 5, 7, 17","LED flash, panorama",,LED flash,,1.3 MP,IPS LCD,,Mediatek MT6735M (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900 / 2100,"5.0 inches, 68.9 cm2(~64.6% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 5.1 (Lollipop),"Black, Blue",,,165 g (5.82 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
IP67 dust/water resistant (up to 1m for 30 min)Flashlight,132 x 48.5 x 15 mm (5.20 x 1.91 x 0.59 in),Yes,,https://fdn2.gsmarena.com/vv/bigpic/verykool-r28.jpg,Li-Ion 1400 mAh battery,No,verykool R28 Denali,,"SMS, MMS, Email",microSDHC,verykool,HSPA 7.2/5.76 Mbps,,Up to 240 h (3G),0.83 W/kg (head)     1.28 W/kg (body),,,,MP3/AAC+/WAV playerMP4/H.264 player,,"2015, August. Released 2015, August",611 MHz,No,GSM / HSPA,Yes,Dual SIM (Mini-SIM/ Micro-SIM),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,Yes,No,,,,No,,,,"TFT, 65K colors",No,,Up to 7 h (3G),No,Yes,HSDPA 850 / 1700(AWS) / 1900,"2.4 inches, 17.8 cm2(~27.9% screen-to-body ratio)",5 MP,Scratch-resistant glass,,"3.0, A2DP","Stereo FM radio, built-in antenna",microUSB 2.0,Discontinued,,,,Black,,,127 g (4.48 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)"
,192 x 108 x 9.8 mm (7.56 x 4.25 x 0.39 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-t7440.jpg,Li-Ion 2500 mAh battery,,verykool T7440 Kolorpad II,,,microSDHC (dedicated slot),verykool,HSPA 42.2/5.76 Mbps,,Up to 288 h (3G),0.36 W/kg (head)     1.08 W/kg (body),Accelerometer,,,,PowerVR SGX544,"2015, August. Released 2015, August",Quad-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,"LED flash, panorama",,,,1.3 MP,IPS LCD,,Mediatek MT8389,Up to 10 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1900,"7.0 inches, 137.9 cm2(~66.5% screen-to-body ratio)","5 MP, AF",,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 512MB RAM,,Android 4.4.2 (KitKat),"Black, White",,,253 g (8.92 oz),"600 x 1024 pixels, 16:9 ratio (~170 ppi density)"
,148.3 x 72.1 x 8.4 mm (5.84 x 2.84 x 0.33 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5017.jpg,Li-Ion 1850 mAh battery,,verykool s5017 Dorado,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),0.45 W/kg (head)     1.23 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2015, August. Released 2015, August",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,1080p@30fps,No,,,"LED flash, panorama",,,,5 MP,IPS LCD,,Mediatek MT6582M (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"5.0 inches, 68.9 cm2(~64.4% screen-to-body ratio)","8 MP, AF",Corning Gorilla Glass,,"4.0, A2DP, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)","Black, Gold",,,163 g (5.75 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,119 x 65 x 12 mm (4.69 x 2.56 x 0.47 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s3504.jpg,"Li-Ion 1200 mAh, removable",,verykool s3504 Mystic II,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 170 h (3G),0.83 W/kg (head)     1.17 W/kg (body),Accelerometer,,,,Mali-400,"2015, August. Released 2015, August",Dual-core 1.0 GHz Cortex-A7,No,GSM / HSPA,Yes,"Dual SIM (Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,Panorama,,,,1.3 MP,"TFT, 256K colors",,Mediatek MT6572M (28 nm),Up to 4 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900,"3.5 inches, 36.5 cm2(~47.2% screen-to-body ratio)",5 MP,,,"3.0, A2DP",Stereo FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 4.2 (Jelly Bean),Black,,,105 g (3.70 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
,157 x 77.7 x 8.1 mm (6.18 x 3.06 x 0.32 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5518.jpg,Li-Ion 2600 mAh battery,,verykool s5518 Maverick,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 288 h (3G),0.37 W/kg (head)     0.98 W/kg (body),"Accelerometer, proximity",,,,Mali-400MP2,"2015, July. Released 2015, July",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,1080p@30fps,No,,,"LED flash, panorama",,,About 140 EUR,5 MP,IPS LCD,,Mediatek MT6582M (28 nm),Up to 10 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1700(AWS) / 1900,"5.5 inches, 83.4 cm2(~68.4% screen-to-body ratio)","8 MP, AF",Corning Gorilla Glass 3,,"4.0, LE",Stereo FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)","Black, White/Gold, Gold",,,172 g (6.07 oz),"720 x 1280 pixels, 16:9 ratio (~267 ppi density)"
,146.1 x 74.8 x 9.5 mm (5.75 x 2.94 x 0.37 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5012.jpg,Li-Ion 1800 mAh battery,,verykool s5012 Orbit,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,0.10 W/kg (head)     0.10 W/kg (body),,Mali-400,"2014, October. Released 2014, October",Dual-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Mini-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,LED flash,,,About 110 EUR,1.3 MP,IPS LCD,,Mediatek MT6572 (28 nm),Up to 5 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900,"5.0 inches, 68.9 cm2(~63.0% screen-to-body ratio)",8 MP,,,"4.0, A2DP",FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 4.4.2 (KitKat),"Blue, Red",,,159 g (5.61 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
eMMC 4.5,131.6 x 65.6 x 8.9 mm (5.18 x 2.58 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl4500.jpg,Li-Ion 1700 mAh battery,,verykool SL4500 Fusion,,,microSDXC,verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 240 h (3G),,"Accelerometer, proximity",,0.58 W/kg (head)     1.30 W/kg (body),,Adreno 306,"2015, March. Released 2015, March",Quad-core 1.2 GHz Cortex-A53,GPS,GSM / HSPA / LTE,Yes,"Dual SIM (Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,"2, 4, 17",LED flash,,,About 160 EUR,1.3 MP,IPS LCD,,Qualcomm MSM8916 Snapdragon 410 (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1700 / 1900 / 2100,"4.5 inches, 55.8 cm2(~64.6% screen-to-body ratio)",8 MP,,,"4.0, LE",FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 4.4.4 (KitKat),"Black, Blue, White",,,130 g (4.59 oz),"480 x 854 pixels, 16:9 ratio (~218 ppi density)"
No,107.8 x 52.3 x 17.8 mm (4.24 x 2.06 x 0.70 in),Yes,,https://fdn2.gsmarena.com/vv/bigpic/verykool-i330.jpg,Li-Ion 800 mAh battery,MP4/MP3/H.264 playerOrganizerPredictive text input,verykool i330 Sunray,,"SMS, MMS",microSDHC (dedicated slot),verykool,"Yes, 384 kbps",,Up to 216 h (3G),,,,0.48 W/kg (head)     1.24 W/kg (body),,No,"2014, October. Released 2014, October",411 MHz,No,GSM / HSPA,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,144p@15fps,No,,,,No,,About 70 EUR,,TFT,No,Mediatek MT6276W,Up to 4 h (3G),No,Yes,HSDPA 850 / 1900,"2.4 inches, 17.8 cm2(~31.6% screen-to-body ratio)",1.3 MP,,,"4.0, A2DP",FM radio,"2.0, OTG",Discontinued,128MB 32MB RAM,,,"Blue, Red",,,98 g (3.46 oz),"240 x 320 pixels, 4:3 ratio (~167 ppi density)"
,136 x 67.5 x 10.2 mm (5.35 x 2.66 x 0.40 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s4510.jpg,"Li-Ion 1650 mAh, removable",,verykool s4510 Luna,,,microSDHC (dedicated slot),verykool,HSPA 21.1/5.76 Mbps,,Up to 192 h (3G),0.91 W/kg (head)     0.84 W/kg (body),"Accelerometer, proximity",,,,Mali-400,"2014, September. Released 2014, September",Dual-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,,,,About 90 EUR,VGA,IPS LCD,,Mediatek MT6572 (28 nm),Up to 8 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1700 / 1900 / 2100,"4.5 inches, 57.6 cm2(~62.8% screen-to-body ratio)",5 MP,,,"4.0, A2DP",FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 4.4.2 (KitKat),"Black, Blue, Yellow",,,142 g (5.01 oz),"480 x 800 pixels, 5:3 ratio (~207 ppi density)"
,149 x 76.6 x 8.3 mm (5.87 x 3.02 x 0.33 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5014.jpg,Li-Ion 1900 mAh battery,,verykool s5014 Atlas,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,1.18 W/kg (head)     1.18 W/kg (body),,Mali-400MP2,"2015, February. Released 2015, February",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,LED flash,,,About 130 EUR,2 MP,IPS LCD,,Mediatek MT6582M (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1700 / 1900 / 2100,"5.0 inches, 68.9 cm2(~60.4% screen-to-body ratio)",8 MP,,,"4.0, LE",FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 4.4.2 (KitKat),"Black, Blue, White",,,112 g (3.95 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
,166 x 85 x 8 mm (6.54 x 3.35 x 0.31 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s6001.jpg,Li-Ion 2300 mAh battery,,verykool s6001 Cyprus,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,0.76 W/kg (head)     0.64 W/kg (body),,Mali-400MP2,"2015, February. Released 2015, February",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,LED flash,,,,3 MP,IPS LCD,,Mediatek MT6582M (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900,"6.0 inches, 99.2 cm2(~70.3% screen-to-body ratio)",13 MP,,,"4.0, LE",FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 4.4.2 (KitKat),"Black, Blue, White",,,200 g (7.05 oz),"720 x 1280 pixels, 16:9 ratio (~245 ppi density)"
,143.5 x 71.5 x 8 mm (5.65 x 2.81 x 0.31 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-5015.jpg,Li-Ion 2100 mAh battery,,verykool s5015 Spark II,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 312 h (3G),,"Accelerometer, proximity",,0.67 W/kg (head)     1.42 W/kg (body),,Mali-400MP2,"2015, January. Released 2015, February",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,Dual-LED flash,,LED flash,About 180 EUR,5 MP,TFT,,Mediatek MT6582M (28 nm),Up to 10 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1700 / 1900 / 2100,"5.0 inches, 68.9 cm2(~67.2% screen-to-body ratio)",8 MP,,,"4.0, LE",FM radio,microUSB 2.0,Discontinued,8GB 1GB RAM,,Android 4.4.2 (KitKat),"Black, Blue",,,135 g (4.76 oz),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)"
,127.5 x 64.9 x 11 mm (5.02 x 2.56 x 0.43 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s4010.jpg,Li-Ion 1400 mAh battery,,verykool s4010 Gazelle,,,microSDHC,verykool,HSPA,,Up to 336 h (3G),,"Accelerometer, proximity",,0.66 W/kg (head)     1.38 W/kg (body),,Mali-400,"2015, January. Released 2015, January",Dual-core 1.0 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Dual SIM (Mini-SIM),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,LED flash,,,About 80 EUR,1.3 MP,TFT,,Mediatek MT6572M (28 nm),Up to 6 h 30 min (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1700 / 1900 / 2100,"4.0 inches, 45.5 cm2(~55.0% screen-to-body ratio)",8 MP,,,"4.0, LE",FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 4.4.2 (KitKat),"White, Blue, Grey",,,128 g (4.52 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,122 x 63 x 10.7 mm (4.80 x 2.48 x 0.42 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s4002.jpg,Li-Ion 1450 mAh battery,,verykool s4002 Leo,,,microSDHC,verykool,,Yes,Up to 240 h (3G),,Accelerometer,,0.49 W/kg (head)     0.74 W/kg (body),,Mali-400,"2015, January. Released 2015, January",Dual-core 1.3 GHz Cortex-A7,GPS,GSM,Yes,Dual SIM (Mini-SIM),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,LED flash,,,About 50 EUR,1.3 MP,TFT,,Mediatek MT6571E,Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,,"4.0 inches, 45.5 cm2(~59.3% screen-to-body ratio)",5 MP,,,"4.0, LE",FM radio,microUSB 2.0,Discontinued,512MB 256MB RAM,,Android 4.4.2 (KitKat),"Black, White, Yellow, Blue",,Yes,112 g (3.95 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
,113.4 x 60.2 x 12.5 mm (4.46 x 2.37 x 0.49 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s3501-Lynx.jpg,Li-Ion 1000 mAh battery,,verykool s3501 Lynx,,,microSDHC,verykool,,Yes,Up to 120 h (3G),,Accelerometer,,,,Mali-400,"2014, November. Released 2014, November",Dual-core 1.3 GHz Cortex-A7,GPS,GSM,Yes,Dual SIM (Mini-SIM/ Micro-SIM),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,LED flash,,,,VGA,"TFT, 256K colors",,Mediatek MT6571 (28 nm),Up to 3 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,,"3.5 inches, 36.5 cm2(~53.4% screen-to-body ratio)",2 MP,,,"4.0, A2DP",FM radio,microUSB 2.0,Discontinued,512MB 256MB RAM,,Android 4.4.2 (KitKat),"Yellow, Blue",,Yes,88.5 g (3.14 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
IP65 certified sealed all-weather designFlashlight,111.4 x 51.5 x 15.6 mm (4.39 x 2.03 x 0.61 in),500 entries,,https://fdn2.gsmarena.com/vv/bigpic/verykool-r27.jpg,Li-Ion 900 mAh battery,No,verykool R27,,"SMS, MMS",microSDHC (dedicated slot),verykool,HSPA,,Up to 216 h,1.33 W/kg (head)     1.28 W/kg (body),,,,MP3/WAV/MP4 playerPredictive text input,,"2014, September. Released 2014, October",,No,GSM / HSPA,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,No,144p,No,,,LED flash,No,,About 60 EUR,,TFT,Yes,,Up to 4 h,No,Yes,HSDPA 850 / 1900,"2.2 inches, 15.2 cm2(~26.6% screen-to-body ratio)",2 MP,Scratch-resistant glass,,"2.1, A2DP, EDR","Stereo FM radio, built-in antenna",2.0,Discontinued,"128MB ROM, 32MB RAM",,,Black,,,110 g (3.88 oz),176 x 220 pixels (~128 ppi density)
,150.4 x 77.2 x 8.5 mm (5.92 x 3.04 x 0.33 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5510.jpg,"Li-Ion 2300 mAh, removable",,verykool s5511 Juno Quatro,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,,,Mali-400MP2,"2014, October. Released 2014, October",Quad-core 1.3 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Dual SIM (Mini-SIM/ Micro-SIM),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,LED flash,,,,2 MP,IPS LCD,,Mediatek MT6582M (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900,"5.5 inches, 83.4 cm2(~71.8% screen-to-body ratio)",8 MP,,,"4.0, A2DP",FM radio,microUSB 2.0,Discontinued,4GB 1GB RAM,,Android 4.4.2 (KitKat),"Yellow, Blue",,,157 g (5.54 oz),"540 x 960 pixels, 16:9 ratio (~200 ppi density)"
,150.4 x 77.2 x 8.5 mm (5.92 x 3.04 x 0.33 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5510.jpg,"Li-Ion 2300 mAh, removable",,verykool s5510 Juno,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,,,Mali-400,"2014, October. Released 2014, October",Dual-core 1.2 GHz Cortex-A7,GPS,GSM / HSPA,Yes,Dual SIM (Mini-SIM/ Micro-SIM),,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,720p@30fps,No,,,LED flash,,,,1.3 MP,IPS LCD,,Mediatek MT6572 (28 nm),Up to 7 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900,"5.5 inches, 83.4 cm2(~71.8% screen-to-body ratio)",8 MP,,,"4.0, A2DP",FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 4.4.2 (KitKat),"Yellow, Blue",,,157 g (5.54 oz),"540 x 960 pixels, 16:9 ratio (~200 ppi density)"
,119 x 65 x 12 mm (4.69 x 2.56 x 0.47 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s354.jpg,"Li-Ion 1200 mAh, removable",,verykool s354,,,microSDHC (dedicated slot),verykool,HSPA,,Up to 168 h (3G),,Accelerometer,,0.83 W/kg (head)     1.17 W/kg (body),,Mali-400,"2014, July. Released 2014, July",Dual-core 1.2 GHz Cortex-A7,No,GSM / HSPA,Yes,Mini-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,,LED flash,,,About 60 EUR,VGA,"TFT, 256K colors",,Mediatek MT6572M (28 nm),Up to 3 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1900,"3.5 inches, 36.5 cm2(~47.2% screen-to-body ratio)",2 MP,,,3.0,FM radio,microUSB 2.0,Discontinued,4GB 512MB RAM,,Android 4.2 (Jelly Bean),"Black/Blue, Fuchsia, Yellow",,,105 g (3.70 oz),"320 x 480 pixels, 3:2 ratio (~165 ppi density)"
Flashlight,143 x 72.8 x 8.9 mm (5.63 x 2.87 x 0.35 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl500.jpg,"Li-Ion 2000 mAh, removable",,verykool SL5000 Quantum,,,microSDXC (dedicated slot),verykool,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",,Up to 240 h (3G),,"Accelerometer, proximity",,,,,"2014, September. Released 2014, September",Quad-core 1.2 GHz,GPS,GSM / HSPA / LTE,Yes,Micro-SIM,,GSM 850 / 900 / 1800 / 1900,Yes,720p@30fps,No,,"2, 4, 17",LED flash,,,About 180 EUR,2 MP,IPS LCD,,,Up to 6 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,HSDPA 850 / 1700 / 1900 / 2100,"5.0 inches, 68.9 cm2(~66.2% screen-to-body ratio)","8 MP, AF",Scratch-resistant glass,,"4.0, A2DP",FM radio,microUSB 2.0,Discontinued,4GB 1GB RAM,,Android 4.4.2 (KitKat),White,,,140 g (4.94 oz),"480 x 854 pixels, 16:9 ratio (~196 ppi density)"
Flashlight,126 x 65 x 10.4 mm (4.96 x 2.56 x 0.41 in),,,https://fdn2.gsmarena.com/vv/bigpic/verykool-s401.jpg,"Li-Ion 1400 mAh, removable",,verykool s401,,,microSDHC,verykool,HSPA 21.1/5.76 Mbps,,Up to 240 h (3G),,"Accelerometer, proximity",,,,,"2014, June. Released 2014, June",Dual-core 1.0 GHz,No,GSM / UMTS,Yes,Single SIM or Dual SIM (dual stand-by),,GSM 850 / 900 / 1800 / 1900 - SIM1 & SIM 2 (optional),Yes,Yes,No,,,LED flash,,,,VGA,TFT,,,Up to 6 h (3G),"Wi-Fi 802.11 b/g/n, hotspot",,UMTS 850 / 1900 / 2100,"4.0 inches, 45.5 cm2(~55.6% screen-to-body ratio)",5 MP,,,"4.0, A2DP",FM radio,2.0,Discontinued,4GB 512MB RAM,,Android 4.2 (Jelly Bean),Blue,,,100 g (3.53 oz),"480 x 800 pixels, 5:3 ratio (~233 ppi density)"
