,Features,CPU,Stand-by,Alert types,Single_1,Loudspeaker,Bluetooth,Games,OS,Stand-by_1,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,Announced,Video_1,Technology,_1,Clock,Brand,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,_4,Sensors,Java
Navi key,,,Up to 250 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,"2 - StackAttack 2, Move the Box",,,Predictive text inputCurrency converterCalculatorStopwatchReminder listUser profilesExchangeable Clip-it coversOptional digital camera (VGA 640 x 480),,No,,Mini-SIM,,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 1.2.1,"101 x 80 pixels, 5 lines",Up to 6 h,No,,Yes,,"2003, Q3",,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sic60.gif,,Siemens C60,"SMS, MMS","3 - Sky, Petrol and Grey","CSTN, 4096 colors","100 entries, contact groups",Class 8,110 x 47 x 23 mm (4.33 x 1.85 x 0.91 in),1.86MB,,No,No,No,,,Removable Li-Ion 700 mAh battery (EBA-510),,,Yes
ScreensaverDownloadable pictures,,,Up to 200 h,Vibration; Downloadable polyphonic ringtones,,No,No,No,,,No,Ringtones can be assigned to contacts,No,,Mini-SIM,,73 g (2.57 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,101 x 64 pixels,Up to 4 h,No,,,,"2003, Q2",,GSM,Predefined short messages,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sixel1.gif,,Siemens Xelibri 1,"SMS, EMS",,Monochrome graphic,100,No,"101 x 46 x 19 mm, 72 cc (3.98 x 1.81 x 0.75 in)",,,No,No,No,,,Removable Li-Ion 610 mAh battery,Predictive text inputOrganizerVoice dial,,No
ScreensaverDownloadable pictures,,,Up to 200 h,Vibration; Downloadable polyphonic ringtones,,No,No,No,,,No,Ringtones can be assigned to contacts,No,,Mini-SIM,,73 g (2.57 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,"101 x 65 pixels, 5 lines",Up to 4 h,No,,,,"2003, Q2",,GSM,Predefined short messages,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sixel2.gif,,Siemens Xelibri 2,"SMS, EMS",,Monochrome graphic,100,No,"99 x 56 x 20 mm, 78 cc (3.90 x 2.20 x 0.79 in)",,,No,No,No,,,Removable Li-Ion 650 mAh battery,Predictive text inputOrganizerVoice dial,,No
ScreensaverDownloadable picturesDigit dial with Navi key,,,Up to 300 h,Vibration; Downloadable monophonic ringtones,,No,No,No,,,No,Ringtones can be assigned to contacts,No,,Mini-SIM,,55 g (1.94 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,"101 x 56 pixels, 5 lines, 17:9 ratio",Up to 4 h,No,,,,"2003, Q2",,GSM,Predefined short messages,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sixel3.gif,,Siemens Xelibri 3,"SMS, EMS",,Monochrome graphic,100,No,"74 x 43 x 20 mm, 48 cc (2.91 x 1.69 x 0.79 in)",,,No,No,No,,,Removable Li-Ion 620 mAh battery,Predictive text inputOrganizerVoice dialAntenna in the necklace,,No
ScreensaverDownloadable pictures,,,Up to 200 h,Vibration; Downloadable polyphonic ringtones,,No,No,No,,,No,Ringtones can be assigned to contacts,No,,Mini-SIM,,71 g (2.50 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,"101 x 65 pixels, 5 lines",Up to 4 h,No,,,,"2003, Q2",,GSM,Predefined short messages,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sixel4.gif,,Siemens Xelibri 4,"SMS, EMS",,Monochrome graphic,100,No,"99 x 53 x 19 mm, 70 cc (3.90 x 2.09 x 0.75 in)",,,No,No,No,,,Removable Li-Ion 650 mAh battery,Predictive text inputOrganizerVoice dial,,No
No,,,Up to 120 h,Vibration; Downloadable monophonic ringtones,,Yes,Yes,Yes,,,,,No,,Mini-SIM,VGA,184 g (6.49 oz),,Yes,Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels,Up to 1 h 20 min,"MMC/SD, 32 MB SD included",,,"Yes, 384 kbps",2003,,GSM / UMTS,MP3/MP4 playerPredictive text inputOrganizerVoice memoVoice dial,,Siemens,https://fdn2.gsmarena.com/vv/bigpic/siu10.gif,,Siemens U10,"SMS, EMS, MMS, Email",Titanium,"TFT, 4096 colors",500,,"154 x 55 x 29 mm, 173 cc (6.06 x 2.17 x 1.14 in)",2MB,Proprietary,,No,No,UMTS 2100,No,Removable Li-Po 800 mAh battery (EBA-010),,,Yes
"SoftkeysDownloadable logos, screensavers",,,Up to 250 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,"2 - StackAttack, Balloon Shooter",,,Predictive text inputCalculatorExchangeable Clip-it covers,,No,,Mini-SIM,,84 g (2.96 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,,"101 x 64 pixels, 5 lines",Up to 6 h,No,,Yes,,"2003, Q3",,GSM,No,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sia52.gif,,Siemens A52,"SMS, EMS","Beige, Black",Monochrome graphic,50,No,"104 x 46 x 21 mm, 75 cc (4.09 x 1.81 x 0.83 in)",,,No,No,No,,,Removable Li-Ion 700 mAh battery (EBA-510),,,No
Navi key,,,Up to 250 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,No,"2 - Wappo, Extreme",,,No,Predictive text inputOrganizerStopwatchReminder listVoice dialVoice commandUser profilesSyncMLOptional digital camera,No,,Mini-SIM,,83 g (2.93 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 1.2.1,"101 x 80 pixels, 7 lines",Up to 6 h,No,,Yes,,"2003, Q2",,GSM,20 voice dial numbers10 voice dial commands500 calendar items,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sim55.gif,,Siemens M55,"SMS, MMS, Email",,"CSTN, 4096 colors","500 x 14 fields, 5 c",Class 8,101 x 46 x 21 mm (3.98 x 1.81 x 0.83 in),1.8MB,,No,No,No,,,Removable Li-Ion 700 mAh battery (EBA-510),,,Yes
GSM 900 / 1900 - Siemens A56,,,Up to 250 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,"4 - StackAttack, Balloon Shooter, Wacko, Move the Box",,,25 short messages9 SMS templates,No,No,,Mini-SIM,,84 g (2.96 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"101 x 64 pixels, 5 lines",Up to 2 h,No,,Yes,,"2003, Q1",,GSM,SoftkeysDownloadable logos and screensaver,Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sia55.gif,,Siemens A55,"SMS, EMS",4,Monochrome graphic,"50 entries, 4 contact groups",No,"101 x 44 x 21 mm, 84 cc (3.98 x 1.73 x 0.83 in)",120 KB,,No,No,No,,,Removable Li-Ion 700 mAh battery (EBA-510),Predictive text inputCalculatorCurrency converterExchangeable Clip-it covers,,No
GSM 850 / 1900 - Siemens SL56,,,Up to 210 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,No,Yes,,,20 voice dial numbers20 voice commands100 short messagesSMS templates,No,No,,Mini-SIM,,79 g (2.79 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 1.2.1,101 x 80 pixels,Up to 5 h,No,,Yes,,"2003, Q2",,GSM,"Navi keyRetractable keyboard, like in Siemens SL10",Yes,Siemens,https://fdn2.gsmarena.com/vv/bigpic/sisl55.gif,,Siemens SL55,"SMS, EMS, MMS, Email",,"CSTN, 4096 colors",500 x 14 fields,Class 8,"82 x 45 x 22 mm, 63 cc (3.23 x 1.77 x 0.87 in)",1.6MB,,No,No,No,,,Removable Li-Po 500 mAh battery (EBA-520),Predictive text inputStopwatchOrganizerVoice dialVoice commandVoice memoUser profilesSyncMLOptional digital camera,,Yes
