Unnamed: 0,Battery (new),Camera,3.5mm jack,Audio quality,EDGE,Video,Status,Single,Infrared port,Models,_6,128GB 6GB RAM,OS,Triple,SAR,Dual,Performance,64GB 4GB RAM,2G bands,Size,_2,Loudspeaker_1,SAR EU,Type,Dimensions,Bluetooth,128GB 8GB RAM,_5,4G bands,Music play,_4,USB,Talk time,Loudspeaker,Radio,512GB 16GB RAM,Video_1,Model Name,Technology,128GB 4GB RAM,Display,Speed,512GB 12GB RAM,5G bands,Model Image,Chipset,SIM,Sensors,Features_1,3G bands,Single_1,Quad,Type_1,Charging,Weight,Stand-by,GPRS,Positioning,Battery (old),256GB 8GB RAM,_1,256GB 12GB RAM,NFC,Brand,1TB 16GB RAM,_7,Build,Resolution,WLAN,Price,Colors,GPU,Internal,Card slot,CPU,Announced,Features,Protection,_3,URL,Image,Network,Launch,Body,Platform,Memory,Main Camera,Selfie camera,Sound,Comms,Battery,Misc,
CDMA 800,,,No,,,"8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS","Available. Released 2023, November 14","16 MP, f/2.5, (wide)",Yes,V2329A,,,"Android 14, up to 2 major Android upgrades, Funtouch 14 (International), OriginOS 4 (China)","50 MP, f/1.7, 23mm (wide), 1/1.3"", 1.2µm, ulti-directional PDAF, OIS64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3x optical zoom50 MP, f/2.0, 15mm, 119˚ (ultrawide), AF",,,,,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~89.4% screen-to-body ratio)",IP68 dust/water resistant (up to 1.5m for 30 min),,,"LTPO AMOLED, 1B colors, 144Hz, HDR10+, 1600 nits (HBM), 3000 nits (peak)",164.6 x 75.4 x 8.6 mm or 8.8 mm,"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless",,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 42, 66",,32-bit/384kHz Hi-Res audioSnapdragon Sound,"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,,"1080p@30fps, gyro-EIS",vivo iQOO 12 Pro,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 66, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo12-pro.jpg,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",HDR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,5100 mAh,120W wired50W wireless10W reverse wireless,205 g or 210 g (7.23 oz),,,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",,,CDMA2000 1x,,Yes,vivo,,,,"1440 x 3200 pixels, 20:9 ratio (~518 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band, Wi-Fi Direct",About 650 EUR,"Black, Red, White (BMW M branding)",Adreno 750,"256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",No,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),"2023, November 07","Color spectrum sensor, Dual-LED flash, HDR, panorama",,UFS 4.0,,,,,,,,,,,,,,
CDMA 800,Active use score 13:30h,Photo/Video,No,,,"8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS","Available. Released 2023, November 14","16 MP, f/2.5, (wide)",Yes,V2307A,24-bit/192kHz Hi-Res audioSnapdragon Sound,,"Android 14, upgradable to Android 15, up to 2 major Android upgrades, Funtouch 15 (International), OriginOS 4 (China)","50 MP, f/1.7, 23mm (wide), 1/1.3"", 1.2µm, multi-directional PDAF, OIS64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3x optical zoom50 MP, f/2.0, 15mm, 119˚ (ultrawide), AF",,,"AnTuTu: 1574344 (v9), 2107464 (v10)GeekBench: 5857 (v5), 6953 (v6)GFXBench: 102fps (ES 3.1 onscreen)",,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~89.6% screen-to-body ratio)","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66 - China",-25.9 LUFS (Very good),,"LTPO AMOLED, 1B colors, 144Hz, HDR10+, 1400 nits (HBM), 3000 nits (peak)",163.2 x 75.9 x 8.1 mm or 8.4 mm,"5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless (market/region dependent)",,UFS 4.0,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41 - India",,IP64 dustproof and water splashproof (China only),"USB Type-C 2.0, OTG",,"Yes, with stereo speakers",No,"₹ 48,399",1080p@30fps,vivo iQOO 12,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,1425 nits max brightness (measured),"HSPA, LTE, 5G",,"1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78 SA/NSA - India",https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo12.jpg,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",HDR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,,,5000 mAh,120W wired,198.5 g or 203.7 g (7.02 oz),,,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",,,CDMA2000 1x,"₹ 44,199",Yes,vivo,$ 639.00,Circle to search,"Glass front, aluminum frame, glass back","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band, Wi-Fi Direct","$ 639.00 / ₹ 44,199","Black, Red, White (BMW M branding)",Adreno 750,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",No,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),"2023, November 07","Color spectrum sensor, Dual-LED flash, HDR, panorama",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA - China",,,,,,,,,,,,,,
"IP54, dust and splash resistant",,,Yes,,,1080p@30fps,"Available. Released 2023, November 07","8 MP, f/2.0, (wide)",,V2322,,,"Android 13, Funtouch 13",,,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.64 inches, 106.8 cm2(~85.4% screen-to-body ratio)",,,,"IPS LCD, 90Hz, 650 nits (peak)",164.1 x 76.2 x 8.2 mm (6.46 x 3.00 x 0.32 in),"5.0, A2DP, LE",,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo Y27s,GSM / HSPA / LTE,,,"HSPA, LTE",,,https://fdn2.gsmarena.com/vv/bigpic/vivo-y27s.jpg,Qualcomm SM6225 Snapdragon 680 4G (6 nm),Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 2100,,,Li-Ion 5000 mAh,44W wired,192 g (6.77 oz),,,"GPS, GLONASS, GALILEO, BDS, QZSS",,,UFS 2.2,,Yes (market/region dependent),vivo,,,"Glass front, plastic frame, plastic back",1080 x 2388 pixels (~395 ppi density),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 140 EUR,"Burgundy Black, Garden Green",Adreno 610,"128GB 8GB RAM, 256GB 8GB RAM",microSDXC (dedicated slot),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),"2023, November 07","Dual-LED dual-tone flash, HDR, panorama",,,,,,,,,,,,,,,,
CDMA 800,,,No,,,1080p@30fps,"Available. Released 2023, October 27","8 MP, f/2.0, (wide)",,V2313A,,,"Android 13, OriginOS 3",,,"64 MP, f/1.8, (wide), PDAF, OIS2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~90.1% screen-to-body ratio)","IP54, dust and splash resistant",,,"AMOLED, 120Hz, 1300 nits (peak)",164.4 x 74.9 x 7.6 mm (6.47 x 2.95 x 0.30 in),"5.1, A2DP, LE, aptX HD, aptX Adaptive",,,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo Y100 (China),GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y100-china-1.jpg,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 1700(AWS) / 1900 / 2100,,,5000 mAh,44W wiredReverse wired,172 g or 183 g (6.07 oz),,,"GPS, GLONASS, GALILEO, BDS, QZSS",,,CDMA2000 1x,,No,vivo,,,,"1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 180 EUR,"Blue, Green, Black",Adreno 619,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",No,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),"2023, October 27","LED flash, HDR, panorama",,UFS 2.2,,,,,,,,,,,,,,
,,,No,,,"4K@30/60fps, 1080p@30fps, gyro-EIS","Available. Released 2023, October 23","32 MP, f/2.0, (wide)",,,,,"Android 13, Funtouch 13","64 MP, f/1.8, (wide), PDAF, OIS2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,,,GSM 850 / 900 / 1800 / 1900,"6.62 inches, 105.8 cm2(~85.9% screen-to-body ratio)",,,,"AMOLED, 120Hz",162.5 x 75.8 x 7.7 mm (6.40 x 2.98 x 0.30 in),"5.2, A2DP, LE",,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo T2,GSM / HSPA / LTE,,,"HSPA, LTE",,,https://fdn2.gsmarena.com/vv/bigpic/vivo-t2-global.jpg,Mediatek Helio G99 (6 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",HDR,HSDPA 850 / 900 / 2100,,,4600 mAh,"66W wired, 50% in 19 min",186 g (6.56 oz),,,"GPS, GLONASS, GALILEO, BDS",,,,,Yes,vivo,,,"Glass front, plastic frame, plastic back","1080 x 2400 pixels, 20:9 ratio (~398 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 280 EUR,"Black Onyx, Sea Green, Lavender Glow",Mali-G57 MC2,256GB 8GB RAM,microSDXC (uses shared SIM slot),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"2023, October 23","Ring-LED flash, panorama, HDR",Schott Xensation Up,,,,,,,,,,,,,,,
"IP54, dust and splash resistant",,,No,,,1080p@30fps,"Available. Released 2023, October 23","50 MP, f/2.0, 22mm (wide), AF",,V2317,,,"Android 13, Funtouch 13",,,"64 MP, f/1.8, (wide), PDAF, OIS8 MP, f/2.2, (ultrawide)",,,GSM 850 / 900 / 1800 / 1900,"6.67 inches, 107.4 cm2(~88.3% screen-to-body ratio)",,,,"AMOLED, 120Hz, 1150 nits (peak)",162.4 x 74.9 x 7.7 mm (6.39 x 2.95 x 0.30 in),"5.1, A2DP, LE",,,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo V29e,GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 7, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-v29e-international.jpg,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,Li-Ion 4800 mAh,44W wired,190 g (6.70 oz),,,"GPS, GLONASS, GALILEO, BDS, QZSS",,,UFS 2.2,,No,vivo,,,"Glass front, plastic frame, glass back","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 320 EUR,"Forest Black, Rose Gold, Ice Creek Blue",Adreno 619,"256GB 8GB RAM, 256GB 12GB RAM",No,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),"2023, October 23","Ring-LED flash, panorama, HDR",,,,,,,,,,,,,,,,
"IP54, dust and splash resistant",,,No,,,1080p@30fps,"Available. Released 2023, October 23","16 MP, f/2.0, (wide)",,V2307,,,"Android 13, Funtouch 13",,0.99 W/kg (head)     0.86 W/kg (body),"64 MP, f/1.8, (wide), PDAF, OIS2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.67 inches, 107.4 cm2(~88.3% screen-to-body ratio)",24-bit/192kHz Hi-Res audio,,,"AMOLED, 120Hz, 800 nits (peak)",162.4 x 74.9 x 7.7 mm (6.39 x 2.95 x 0.30 in),"5.1, A2DP, LE",,,"1, 3, 5, 8, 28, 38, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo Y200 (India),GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y200-.jpg,Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 2100,,,Li-Ion 4800 mAh,"44W wired, 50% in 28 minReverse wired",190 g (6.70 oz),,,"GPS, GLONASS, GALILEO, BDS, QZSS",,"₹ 19,999",UFS 2.2,,No,vivo,,,"Glass front, plastic frame, glass back","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band","₹ 19,999","Jungle Green, Desert Gold",Adreno 619,"128GB 8GB RAM, 256GB 8GB RAM",No,Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55),"2023, October 23","Ring-LED flash, panorama, HDR",,,,,,,,,,,,,,,,
CDMA 800,,,Yes,,,4K@30fps,"Available. Released 2023, October 24","8 MP, f/2.0, (wide)",,,,,"Android 13, OriginOS 3",,,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.64 inches, 106.8 cm2(~85.6% screen-to-body ratio)",UFS 2.2,,,"IPS LCD, 120Hz",164.6 x 75.8 x 9.1 mm (6.48 x 2.98 x 0.36 in),"5.1, A2DP, LE, aptX HD, aptX Adaptive",,,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo Y78t,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-y78t.jpg,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 2100,,,6000 mAh,44W wired,199.6 g (7.05 oz),,,"GPS (L1), GLONASS (G1), BDS (B1c), GALILEO (E1), QZSS (L1)",,,CDMA2000 1x,,No,vivo,,,"Glass front, plastic frame, plastic back",1080 x 2388 pixels (~395 ppi density),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 200 EUR,"Black, Blue, Silver",Adreno 710,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",No,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),"2023, October 20","Dual-LED dual-tone flash, HDR, panorama",,,,,,,,,,,,,,,,
,Active use score 12:07h,Photo/Video,No,,,"4K@30fps, 1080p@30fps","Available. Released 2023, October 10","50 MP, f/2.0, 22mm (wide), 1/2.76"", 0.64µm, AF",,V2251,,,"Android 13, up to 3 major Android upgrades, Funtouch 13",,1.17 W/kg (head)     0.77 W/kg (body),"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS12 MP, f/2.0, (telephoto), 1/2.93"", 1.22µm, PDAF, 2x optical zoom8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm","AnTuTu: 682257 (v9), 904412 (v10)GeekBench: 3999 (v5), 3764 (v6)GFXBench: 43fps (ES 3.1 onscreen)",,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~90.8% screen-to-body ratio)",,-30.0 LUFS (Average),,"AMOLED, 120Hz",164.2 x 74.4 x 7.5 mm (6.46 x 2.93 x 0.30 in),"5.3, A2DP, LE",,,"1, 3, 4, 5, 8, 19, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo V29 Pro,GSM / HSPA / LTE / 5G,,1029 nits max brightness (measured),"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 40, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-v29-pro.jpg,Mediatek Dimensity 8200 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,,,4600 mAh,"80W wired, 50% in 18 min",188 g (6.63 oz),,,"GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1), NavIC",Endurance rating 113h,"₹ 31,499",,,No,vivo,,,"Glass front, glass back, plastic frame","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band","₹ 31,499","Himalayan Blue, Space Black, Pink",Mali-G610 MC6,"256GB 8GB RAM, 256GB 12GB RAM",No,Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"2023, October 04","Ring-LED flash, panorama, HDR",,,,,,,,,,,,,,,,
CDMA 800,,,Yes,,,4K@30fps,"Available. Released 2023, September","8 MP, f/2.0, (wide)",,V2312A,,,"Android 13, OriginOS 3",,,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.64 inches, 106.8 cm2(~85.6% screen-to-body ratio)",UFS 2.2,,,"IPS LCD, 120Hz",164.6 x 75.8 x 9.1 mm (6.48 x 2.98 x 0.36 in),"5.1, A2DP, LE, aptX HD, aptX Adaptive",,,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo iQOO Z8x,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z8x.jpg,Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 2100,,,6000 mAh,44W wired,199.6 g (7.05 oz),,,"GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",,,CDMA2000 1x,,No,vivo,,,,1080 x 2388 pixels (~395 ppi density),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",About 170 EUR,"Black, Blue, Silver",Adreno 710,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",No,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),"2023, August 31","Dual-LED dual-tone flash, HDR, panorama",,,,,,,,,,,,,,,,
CDMA 800,,,Yes,,,"4K@30fps, 1080p@30fps","Available. Released 2023, September","16 MP, f/2.5, (wide)",,V2314A,,,"Android 13, OriginOS 3",,,"64 MP, f/1.8, (wide), 1/2.0"", 0.7µm, PDAF, OIS2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.64 inches, 106.8 cm2(~85.6% screen-to-body ratio)",UFS 3.1,,,"IPS LCD, 120Hz",164.6 x 75.8 x 8.8 mm (6.48 x 2.98 x 0.35 in),"5.3, A2DP, LE, aptX HD",,,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo iQOO Z8 (China),GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 5, 8, 28, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z8-china.jpg,Mediatek Dimensity 8200 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 2100,,,5000 mAh,120W wired,200 g (7.05 oz),,,"GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",,,CDMA2000 1x,,Yes,vivo,,,,1080 x 2388 pixels (~395 ppi density),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",About 230 EUR,"Black, Blue, Silver",Mali-G610 MC6,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",No,Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),"2023, August 31","Dual-LED dual-tone flash, HDR, panorama",,,,,,,,,,,,,,,,
Splash resistant,,,No,,,"4K@30fps, 1080p@30fps, gyro-EIS","Available. Released 2023, September 29","16 MP, f/2.5, (wide)",,,,,"Android 13, Funtouch 13",,,"64 MP, f/1.8, 26mm (wide), PDAF, OIS2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~90.4% screen-to-body ratio)",24-bit/192kHz Hi-Res audio,,,"AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak)",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),"5.3, A2DP, LE",,,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,Unspecified,,1080p@30fps,vivo T2 Pro,GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-t2-pro.jpg,Mediatek Dimensity 7200 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 1900 / 2100,,,Li-Ion 4600 mAh,"66W wired, 50% in 22 min",175 g (6.17 oz),,,"GPS, GLONASS, GALILEO, BDS, QZSS",,,UFS 2.2,,No,vivo,,,"Glass front, plastic frame, glass back","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",About 250 EUR,"Moon Black, Dune Gold",Mali-G610 MC4,"128GB 8GB RAM, 256GB 8GB RAM",No,Octa-core (2x2.8 GHz Cortex-A715 & 6x2.0 Cortex-A510),"2023, September 22","Ring-LED flash, panorama, HDR",,,,,,,,,,,,,,,,
"IP54, dust and splash resistant",,,Yes,,,1080p@30fps,"Available. Released 2023, October 02","8 MP, f/2.0, (wide)",,,,,"Android 13, Funtouch 13",,,"50 MP, f/1.8, (wide), PDAF2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.56 inches, 103.4 cm2(~83.8% screen-to-body ratio)",,,,"IPS LCD, 700 nits (peak)",163.7 x 75.4 x 8.1 mm (6.44 x 2.97 x 0.32 in),"5.0, A2DP, LE",,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,FM radio,,1080p@30fps,vivo Y17s,GSM / HSPA / LTE,,,"HSPA, LTE",,,https://fdn2.gsmarena.com/vv/bigpic/vivo-y17s.jpg,Mediatek MT6769 Helio G85 (12 nm),Nano-SIM + Nano-SIM,"Fingerprint (side-mounted), accelerometer, proximity, compass",,HSDPA 850 / 900 / 2100,,,5000 mAh,15W wiredReverse wired,186 g (6.56 oz),,,"GPS, GLONASS, GALILEO, BDS, QZSS",,,eMMC 5.1,,No,vivo,,,"Glass front, plastic frame, plastic back","720 x 1612 pixels, 20:9 ratio (~269 ppi density)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,"Glitter Purple, Forest Green",Mali-G52 MC2,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",microSDXC (dedicated slot),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"2023, September 18","LED flash, panorama",,,,,,,,,,,,,,,,
24-bit/192kHz Hi-Res audio,,,No,,,"4K@30fps, 1080p@30fps, gyro-EIS","Available. Released 2023, September 05","16 MP, f/2.5, (wide)",,,,,"Android 13, planned upgrade to Android 14, Funtouch 14",,,"64 MP, f/1.8, 26mm (wide), PDAF, OIS2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,"6.78 inches, 111.0 cm2(~90.4% screen-to-body ratio)",,,,"AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak)",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),"5.3, A2DP, LE","₹ 18,999",,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41",,,"USB Type-C 2.0, OTG",,Yes,No,,1080p@30fps,vivo iQOO Z7 Pro,GSM / HSPA / LTE / 5G,,,"HSPA, LTE, 5G",,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA",https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z7-pro.jpg,Mediatek Dimensity 7200 (4 nm),Nano-SIM + Nano-SIM,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,HSDPA 850 / 900 / 1700 / 2100,,,4600 mAh,"66W wired, 50% in 22 min",175 g (6.17 oz),,,"GPS, GLONASS, GALILEO, BDS",,"₹ 19,499",,,No,vivo,,,"Glass front, plastic frame, glass back","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","₹ 18,999","Blue Lagoon, Graphite Matte",Mali-G610 MC4,"128GB 8GB RAM, 256GB 8GB RAM",No,Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510),"2023, August 31","Ring-LED flash, panorama, HDR",Asahi Glass,,,,,,,,,,,,,,,
