,Resolution,Alert types,Talk time_1,Price,Display,Type_1,Talk time,Video,_2,GPU,Card slot,Chipset,Charging,Technology,Announced,Type,OS,Features_1,Single_1,Music play,Brand,_6,Protection,Browser,Radio,Audio quality,Performance,CPU,_4,Stand-by_1,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,_7,Size,3.5mm jack,_1,Camera,Loudspeaker_1,Status,Model Image,Battery (old),USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,SAR EU,Dual,Colors,4G bands,WLAN,Positioning,NFC,Keyboard,Models,2G bands,Features,_5,Dimensions,SAR
GSM 850 / 900 / 1800 / 1900,"480 x 360 pixels, 4:3 ratio (~246 ppi density)",,,About 90 EUR,,Removable Li-Ion 1000 mAh battery,Up to 5 h 30 min,480p,No,,microSDHC (dedicated slot),,,GSM / CDMA / EVDO,"2011, August. Released 2011, September",TFT,BlackBerry OS 7.0,,,Up to 45 h,BlackBerry,,,,No,,,800 MHz,,,,,Up to 348 h,99 g (3.49 oz),,Mini-SIM,1GB 512MB RAM,5 MP,MP3/eAAC+/WMA/WAV/Flac playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input,,"2.44 inches, 18.4 cm2(~28.2% screen-to-body ratio)",Yes,Optical trackpad,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9350-9360-9370.jpg,,microUSB 2.0,,,BlackBerry Curve 9370,CDMA2000 1xEV-DO,EV-DO Rev.A 3.1 Mbps,Yes,"2.1, A2DP",0.65 W/kg (head)     0.48 W/kg (body),,Black,,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",Yes,QWERTY,,CDMA 800 / 1900,LED flash,,109 x 60 x 11 mm (4.29 x 2.36 x 0.43 in),1.51 W/kg (head)     1.00 W/kg (body)
HSDPA 900 / 1700 / 2100,"480 x 360 pixels, 4:3 ratio (~246 ppi density)",,,About 90 EUR,Contrast ratio: 1054:1 (nominal),Removable Li-Ion 1000 mAh battery,Up to 5 h (2G) / Up to 5 h (3G),480p,No,,microSDHC (dedicated slot),,,GSM / HSPA,"2011, August. Released 2011, August",TFT,BlackBerry OS 7.0,,,Up to 25 h,BlackBerry,,,HTML,No,Noise -85.9dB / Crosstalk -82.1dB,,800MHz,,,,,Up to 336 h (2G) / Up to 288 h (3G),99 g (3.49 oz),,Mini-SIM,512MB 512MB RAM,5 MP,MP3/eAAC+/WMA/WAV/FLAC playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input,,"2.44 inches, 18.4 cm2(~28.2% screen-to-body ratio)",Yes,Optical trackpad,Photo,Voice 69dB / Noise 65dB / Ring 71dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9350-9360-9370.jpg,,microUSB 2.0,,,BlackBerry Curve 9360,HSDPA 850 / 1900 / 2100,HSPA 7.2/2 Mbps,Yes,"2.1, A2DP",1.22 W/kg (head)     0.62 W/kg (body),,"Black, Purple, Pink",,"Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","GPS, A-GPS",Yes,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,109 x 60 x 11 mm (4.29 x 2.36 x 0.43 in),1.42 W/kg (head)     1.06 W/kg (body)
No,"480 x 360 pixels, 4:3 ratio (~246 ppi density)",,,About 50 EUR,,Removable Li-Ion 1000 mAh battery,Up to 5 h 30 min,480p,,,microSDHC (dedicated slot),,,CDMA / EVDO,"2011, August. Released 2011, September",TFT,BlackBerry OS 7.0,,,Up to 45 h,BlackBerry,,,HTML,No,,,800 MHz,,,,,Up to 348 h,99 g (3.49 oz),,Mini-SIM,"512MB ROM, 512MB RAM",5 MP,,,"2.44 inches, 18.4 cm2(~28.2% screen-to-body ratio)",Yes,MP3/eAAC+/WMA/WAV/Flac playerMP4/H.264/WMV playerOrganizerDocument viewerVoice memo/dialPredictive text input,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-9350-9360-9370.jpg,,microUSB 2.0,,,BlackBerry Curve 9350,CDMA2000 1xEV-DO,EV-DO Rev.A 3.1 Mbps,Yes,"2.1, A2DP",,,"Black, Violet",,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",Yes,QWERTY,,CDMA 800 / 1900,LED flash,,109 x 60 x 11 mm (4.29 x 2.36 x 0.43 in),0.96 W/kg (head)     0.83 W/kg (body)
No,"480 x 640 pixels, 4:3 ratio (~250 ppi density)",,,About 120 EUR,Contrast ratio: 1112:1 (nominal),Removable Li-Ion 1270 mAh battery,Up to 6 h 30 min (2G) / Up to 5 h 50 min (3G),720p,,,microSDHC (dedicated slot),,,GSM / HSPA,"2011, August. Released 2011, August",TFT,BlackBerry OS 7.0,,,Up to 54 h,BlackBerry,,,HTML,No,Noise -85.7dB / Crosstalk -87.9dB,,1.2 GHz,,,,,Up to 308 h (2G) / Up to 300 h (3G),161 g (5.68 oz),,Mini-SIM,8GB 768MB RAM,"5 MP, AF",,,"3.2 inches, 31.7 cm2(~46.1% screen-to-body ratio)",Yes,"Document viewer (Word, Excel, PowerPoint)MP3/WMA/WAV/eAAC+ playerDivX/XviD/MP4/WMV/H.264 playerOrganizerVoice memo/dialPredictive text input",Photo/Video,Voice 67dB / Noise 65dB / Ring 66dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-torch-9810-new.jpg,,microUSB 2.0,"Proximity, compass",,BlackBerry Torch 9810,HSDPA 850 / 1900 / 2100,HSPA 14.4/5.76 Mbps,Yes,"2.1, A2DP",0.97 W/kg (head)     0.74 W/kg (body),,"Black, Gray",,"Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in),1.44 W/kg (head)     0.94 W/kg (body)
HSDPA 850 / 1900 / 2100 / 800,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",,,About 130 EUR,Contrast ratio: 1413:1 (nominal),Removable Li-Ion 1230 mAh battery,Up to 4 h 40 min (2G) / Up to 6 h 50 min (3G),720p,No,,microSDHC (dedicated slot),,,GSM / HSPA,"2011, August. Released 2011, September",TFT,BlackBerry OS 7,,,Up to 44 h,BlackBerry,,,HTML,No,Noise -86.8dB / Crosstalk -86.5dB,,1.2 GHz QC 8655,,,,,Up to 330 h (2G) / Up to 320 h (3G),135 g (4.76 oz),,Mini-SIM,4GB 768MB RAM,"5 MP, AF",Social feedsBlackBerry mapsDocument viewerMP3/WMA/WAV/eAAC+/FlAC playerDivX/XviD/MP4/WMV/H.264 playerOrganizerVoice memo/dial,,"3.7 inches, 39.0 cm2(~52.4% screen-to-body ratio)",Yes,Optical trackpad,Photo/Video,Voice 67dB / Noise 65dB / Ring 75dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-torch-9860-new.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",,BlackBerry Torch 9860,HSDPA 900 / 1700 / 2100,HSPA 14.4/5.76 Mbps,Yes,"2.1, A2DP",0.82 W/kg (head)     0.45 W/kg (body),,Black,,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,LED flash,,120 x 62 x 11.5 mm (4.72 x 2.44 x 0.45 in),1.12 W/kg (head)     0.86 W/kg (body)
GSM 850 / 900 / 1800 / 1900,"480 x 800 pixels, 5:3 ratio (~252 ppi density)",,,About 130 EUR,,Removable Li-Ion 1230 mAh battery,Up to 6 h 50 min,720p,No,Adreno 205,microSDHC (dedicated slot),Qualcomm MSM8655 Snapdragon S2,,GSM / CDMA / HSPA / EVDO,"2011, August. Released 2011, August",TFT,BlackBerry OS 7,,,Up to 50 h,BlackBerry,,,,No,,,1.2 GHz Scorpion,,,,,Up to 320 h,135 g (4.76 oz),,Mini-SIM,4GB 768MB RAM,"5 MP, AF",Social feedsBlackBerry mapsDocument viewerMP3/WMA/eAAC+/FlAC playerDivX/XviD/MP4/WMV/H.264OrganizerVoice memo/dialPredictive test input,,"3.7 inches, 39.0 cm2(~52.4% screen-to-body ratio)",Yes,CDMA2000 1xEV-DO,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Torch-9850.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",,BlackBerry Torch 9850,HSDPA 2100,"HSPA 14.4/5.76 Mbps, EV-DO Rev A 3.1 Mbps",Yes,"2.1, A2DP, EDR",0.76 W/kg (head)     0.43 W/kg (body),,Black,,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",,,,CDMA 800 / 1900,LED flash,,120 x 62 x 11.5 mm (4.72 x 2.44 x 0.45 in),0.90 W/kg (head)     0.66 W/kg (body)
HSDPA 900 / 1700 / 2100,"640 x 480 pixels, 4:3 ratio (~286 ppi density)",,,About 140 EUR,Contrast ratio: 1304:1 (nominal),Removable Li-Ion 1230 mAh battery,Up to 6 h 30 min (2G) / Up to 5 h 50 min (3G),720p,,,microSDHC (dedicated slot),,,GSM / HSPA,"2011, May. Released 2011, August",TFT,BlackBerry OS 7.0,,,Up to 50 h,BlackBerry,,,HTML,No,Noise -86.3dB / Crosstalk -81.2dB,,1.2 GHz QC 8655,,,,,Up to 307 h (2G) / Up to 307 h (3G),130 g (4.59 oz),,Mini-SIM,8GB 768MB RAM,5 MP,,,"2.8 inches, 24.3 cm2(~32.0% screen-to-body ratio)",Yes,No,Photo/Video,Voice 71dB / Noise 72dB / Ring 76dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-touch-9900.jpg,,microUSB 2.0,"Proximity, compass",,BlackBerry Bold Touch 9900,HSDPA 850 / 1900 / 2100 / 800,HSPA 14.4/5.76 Mbps,Yes,"2.1, A2DP, EDR",0.76 W/kg (head)     0.90 W/kg (body),,"Black, White",,Wi-Fi 802.11 b/g/n,"GPS, A-GPS, BlackBerry Maps",Yes,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,115 x 66 x 10.5 mm (4.53 x 2.60 x 0.41 in),1.19 W/kg (head)     1.03 W/kg (body)
CDMA 800 / 1900,"640 x 480 pixels, 4:3 ratio (~286 ppi density)",,,About 120 EUR,,Removable Li-Ion 1230 mAh battery,Up to 6 h 40 min (2G) / Up to 5 h 50 min (3G),720p,Optical trackpad,,microSDHC (dedicated slot),,,GSM / CDMA / HSPA / EVDO,"2011, May. Released 2011, August",TFT,BlackBerry OS 7.0,,,Up to 50 h,BlackBerry,,,HTML,No,,,1.2 GHz QC 8655,BlackBerry mapsDocument viewerMP4/WMV/H.264 playerMP3/eAAC+/WMA/WAV playerOrganizerVoice memo/dialPredictive text input,,,,Up to 307 h (2G) / Up to 307 h (3G),130 g (4.59 oz),,Mini-SIM,8GB 768MB RAM,5 MP,No,,"2.8 inches, 24.3 cm2(~32.0% screen-to-body ratio)",Yes,CDMA2000 1xEV-DO,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-touch-9900.jpg,,microUSB 2.0,"Accelerometer, proximity, compass",,BlackBerry Bold Touch 9930,HSDPA 900 / 2100,"HSPA 14.4/5.76 Mbps, EV-DO Rev.A 3.1 Mbps",Yes,"2.1, A2DP, EDR",0.77 W/kg (head)     0.84 W/kg (body),,Black,,Wi-Fi 802.11 b/g/n,"GPS, A-GPS, BlackBerry Maps",Yes,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,115 x 66 x 10.5 mm (4.53 x 2.60 x 0.41 in),1.38 W/kg (head)     0.78 W/kg (body)
Micro HDMI portDocument viewerMedia player MP3/WMA/AAC+Video player DivX/WMV/XviD/3gpOrganizerPredictive text input,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,,,Non-removable Li-Po 5300 mAh battery,,1080p@30fps,,PowerVR SGX540,No,TI OMAP 4430,,GSM / HSPA,"2011, February",TFT,BlackBerry Tablet OS,,3 MP,,BlackBerry,,,"HTML, Adobe Flash",No,,,Dual-core 1.0 GHz Cortex-A9,,,,,,425 g (14.99 oz),,Mini-SIM,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","5 MP, AF",,,"7.0 inches, 137.9 cm2(~54.7% screen-to-body ratio)",Yes,,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook.jpg,,microUSB 2.0,Accelerometer,,BlackBerry 4G Playbook HSPA+,HSDPA 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"Yes, with stereo speakers","2.1, A2DP, EDR",,,Black,,"Wi-Fi 802.11 a/b/g/n, dual-band",No,,,,GSM 850 / 900 / 1800 / 1900,,,194 x 130 x 10 mm (7.64 x 5.12 x 0.39 in),
Micro HDMI portDocument viewerMedia player MP3/WMA/AAC+Video player DivX/WMV/XviD/3gpOrganizerPredictive text input,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,,,Non-removable Li-Po 5300 mAh battery,,1080p@30fps,,PowerVR SGX540,No,TI OMAP 4430,,No cellular connectivity,"2010, September",TFT,BlackBerry Tablet OS,,3 MP,,BlackBerry,,,"HTML, Adobe Flash",No,,,Dual-core 1.0 GHz Cortex-A9,,,,No,,425 g (14.99 oz),,No,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","5 MP, AF",,,"7.0 inches, 137.9 cm2(~54.7% screen-to-body ratio)",Yes,,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook.jpg,,microUSB 2.0,Accelerometer,No,BlackBerry Playbook Wimax,,,"Yes, with stereo speakers","2.1, A2DP, EDR",,,Black,,"Wi-Fi 802.11 a/b/g/n, WiMAX 802.16 e, dual-band",No,,,,N/A,,,194 x 130 x 10 mm (7.64 x 5.12 x 0.39 in),
Micro HDMI portDocument viewerMedia player MP3/WMA/AAC+Video player DivX/WMV/XviD/3gpOrganizerPredictive text input,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,About 120 EUR,Contrast ratio: 1160:1 (nominal),Non-removable Li-Po 5300 mAh battery,Up to 10 h (multimedia),1080p@30fps,,PowerVR SGX540,No,TI OMAP 4430,,No cellular connectivity,"2010, September. Released 2011, April",TFT,BlackBerry Tablet OS,,3 MP,,BlackBerry,,,"HTML5, Adobe Flash",No,,,Dual-core 1.0 GHz Cortex-A9,,,1080p@30fps,No,,425 g (14.99 oz),,No,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","5 MP, AF",,,"7.0 inches, 137.9 cm2(~54.7% screen-to-body ratio)",Yes,,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-playbook.jpg,,microUSB 2.0,"Accelerometer, gyro",No,BlackBerry Playbook,,,"Yes, with stereo speakers","2.1, EDR",1.69 W/kg (body),,Black,,"Wi-Fi 802.11 a/b/g/n, dual-band",GPS,,,,N/A,,,194 x 130 x 10 mm (7.64 x 5.12 x 0.39 in),1.41 W/kg (body)
HSDPA 900 / 1700 / 2100,"480 x 360 pixels, 4:3 ratio (~246 ppi density)",,,About 90 EUR,,Removable Li-Po 1500 mAh battery,Up to 6 h (2G) / Up to 6 h (3G),Yes,No,,"microSDHC (dedicated slot), 2 GB included",,,GSM / HSPA,"2010, October. Released 2010, November","TFT, 65K colors",BlackBerry OS 6.0,,,,BlackBerry,,,HTML,No,Noise -89.7dB / Crosstalk -89.4dB,,624 MHz,,,,,Up to 528 h (2G) / Up to 408 h (3G),122 g (4.30 oz),,Mini-SIM,256MB 512MB RAM,"5 MP, AF","BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)Media player MP3/WMA/AAC+Video player DivX/WMV/XviD/3gpOrganizerVoice memo/dialPredictive text input",,"2.44 inches, 18.4 cm2(~28.2% screen-to-body ratio)",Yes,Optical trackpad,Photo,Voice 66dB / Noise 66dB / Ring 68dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-9780.jpg,,microUSB 2.0,,,BlackBerry Bold 9780,HSDPA 850 / 1900 / 2100,HSPA,Yes,"2.1, A2DP",1.15 W/kg (head)     0.40 W/kg (body),,"Black, White",,"Wi-Fi 802.11 b/g, UMA","GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,109 x 60 x 14 mm (4.29 x 2.36 x 0.55 in),1.41 W/kg (head)     0.82 W/kg (body)
Optical trackpad,360 x 400 pixels,,,About 50 EUR,,Removable Li-Ion 1150 mAh battery,Up to 4 h 30 min,480p,No,,"microSDHC (dedicated slot), 8 GB included",,,CDMA / EVDO,"2010, October. Released 2010, November","TFT, 65K colors",BlackBerry OS 6.0,,,Up to 14 h,BlackBerry,,,HTML,No,,,,,,,,Up to 264 h,131 g (4.62 oz),,Mini-SIM,512MB,"5 MP, AF","BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)Media player MP3/WAV/WMA/eAAC+Video player MP4/WMV/H.264OrganizerVoice memo/dialPredictive text input",,,Yes,External QVGA display,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-style-9670.jpg,,microUSB 2.0,,,BlackBerry Style 9670,CDMA2000 1xEV-DO,EV-DO Rev.A 3.1 Mbps,Yes,"2.1, A2DP",,,"Steel Grey, Royal Purple",,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",,QWERTY,,CDMA 800 / 1900,LED flash,,96 x 60 x 18.5 mm (3.78 x 2.36 x 0.73 in),0.97 W/kg (head)     0.43 W/kg (body)
Optical trackpad,"320 x 240 pixels, 4:3 ratio (~163 ppi density)",,,About 50 EUR,,Removable Li-Ion 1150 mAh battery,Up to 4 h 30 min,Yes,Dedicated music keys,,microSDHC (dedicated slot),,,CDMA / EVDO,"2010, September. Released 2010, September","TFT, 65K colors","BlackBerry OS 5.0, upgradable",,,Up to 15 h,BlackBerry,,,HTML,No,,,,,,,,Up to 252 h,104 g (3.67 oz),,Mini-SIM,"512MB RAM, 512MB ROM",2 MP,MP3/eAAC+/WMA/WAV playerMP4/H.264/WMV playerOrganizerVoice memo/dial/commandsPredictive text input,,"2.46 inches, 18.7 cm2(~28.7% screen-to-body ratio)",Yes,No,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-3g-9330.jpg,,microUSB 2.0,,,BlackBerry Curve 3G 9330,CDMA2000 1xEV-DO,EV-DO Rev.A 3.1 Mbps,Yes,"2.1, A2DP",,,"Black, Red, Pink",,Wi-Fi 802.11b/g,"GPS, A-GPS; BlackBerry Maps",,QWERTY,,CDMA 800 / 1900,,,109 x 60 x 13.9 mm (4.29 x 2.36 x 0.55 in),1.28 W/kg (head)     0.74 W/kg (body)
HSDPA 900 / 1700 / 2100,"320 x 240 pixels, 4:3 ratio (~163 ppi density)",,,About 80 EUR,,Removable Li-Ion 1150 mAh battery,Up to 4 h 30 min (2G) / Up to 5 h 30 min (3G),Yes,No,,microSDHC (dedicated slot),,,GSM / HSPA,"2010, August. Released 2010, August","TFT, 65K colors","BlackBerry 5.0, upgradable to 6.0",,,Up to 29 h,BlackBerry,,,HTML,No,,,,MP3/eAAC+/WMA/WAV/FLAC playerMP4/H.264/WMV playerOrganizerVoice memo/dialPredictive text input,,,,Up to 456 h (2G) / Up to 348 h (3G),104 g (3.67 oz),,Mini-SIM,"256MB RAM, 256MB ROM",2 MP,Dedicated music keys,,"2.46 inches, 18.7 cm2(~28.7% screen-to-body ratio)",Yes,Optical trackpad,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-curve-3g-9300.jpg,,microUSB 2.0,,,BlackBerry Curve 3G 9300,HSDPA 850 / 1900 / 2100,HSPA,Yes,"2.1, A2DP",1.42 W/kg (head)     0.78 W/kg (body),,"Black, Red",,"Wi-Fi 802.11b/g/n, UMA (carrier dependent)","GPS, A-GPS; BlackBerry Maps",,QWERTY,,GSM 850 / 900 / 1800 / 1900,,,109 x 60 x 13.9 mm (4.29 x 2.36 x 0.55 in),1.07 W/kg (head)     0.72 W/kg (body)
Optical trackpad,"360 x 480 pixels, 4:3 ratio (~188 ppi density)",,,About 110 EUR,,Removable Li-Ion 1300 mAh battery,Up to 5 h 30 min (2G) / Up to 5 h 40 min (3G),480p@24fps,"Social feedsBlackBerry mapsDocument viewer (Word, Excel, PowerPoint)Media player MP3/WMA/eAAC+/FlAC/OGG playerVideo player DivX/XviD/MP4/WMV/H.264OrganizerVoice memo/dial",,"microSDHC (dedicated slot), 4 GB included",,,GSM / HSPA,"2010, August. Released 2010, August",TFT,BlackBerry OS 6.0,,,Up to 30 h,BlackBerry,,,HTML,No,Noise -89.0dB / Crosstalk -89.2dB,,624 MHz,,,,,Up to 432 h (2G) / Up to 336 h (3G),161 g (5.68 oz),,Mini-SIM,4GB 512MB RAM,"5 MP, AF",,,"3.2 inches, 31.7 cm2(~46.1% screen-to-body ratio)",Yes,No,Photo,Voice 65dB / Noise 65dB / Ring 65dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-torch.jpg,,microUSB 2.0,Proximity,,BlackBerry Torch 9800,HSDPA 850 / 1900 / 2100 /800,HSPA,Yes,"2.1, A2DP",0.86 W/kg (head)     0.81 W/kg (body),,"Black, White, Dark Orange",,"Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,111 x 62 x 14.6 mm (4.37 x 2.44 x 0.57 in),0.91 W/kg (head)     0.68 W/kg (body)
HSDPA 900 / 1700 / 2100,360 x 400 pixels (~239 ppi density),,,About 90 EUR,,Removable Li-Ion 1150 mAh battery,Up to 5 h 30 min (2G) / Up to 5 h (3G),480p@30fps,No,,"microSDHC (dedicated slot), 2 GB included",,,GSM / HSPA,"2010, April. Released 2010, April","TFT, 256K colors","BlackBerry OS 5, upgradable",,,Up to 30 h,BlackBerry,,,HTML,No,Noise -89.9dB / Crosstalk -87.1dB,,624 MHz,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP3/WMA/WAV/eAAC+ playerMP4/H.264/WMV playerOrganizerVoice memo/dial",,,,Up to 432 h (2G) / Up to 312 h (3G),93.6 g (3.28 oz),,Mini-SIM,256MB,"3.15 MP, AF",Dedicated music keys,,"2.25 inches, 16.2 cm2(~30.1% screen-to-body ratio)",Yes,Optical trackpad,Photo,Voice 66dB / Noise 66dB / Ring 71dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-pearl-3g-9105.jpg,,microUSB 2.0,,,BlackBerry Pearl 3G 9105,HSDPA 850 / 1900 / 2100,HSPA 3.6/0.384 Mbps,Yes,"2.1, A2DP",1.67 W/kg (head)     1.03 W/kg (body),,"Piano Black, Opal Pink, Royal Purple, Flash White, Red Gradient",,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",,,,GSM 850 / 900 / 1800 / 1900,LED flash,,108 x 50 x 13.3 mm (4.25 x 1.97 x 0.52 in),1.37 W/kg (head)     1.06 W/kg (body)
HSDPA 900 / 1700 / 2100,360 x 400 pixels (~239 ppi density),,,About 90 EUR,,Removable Li-Ion 1150 mAh battery,Up to 5 h 30 min (2G) / Up to 5 h (3G),Yes,No,,"microSDHC (dedicated slot), 2 GB included",,,GSM / HSPA,"2010, April. Released 2010, May","TFT, 256K colors",BlackBerry OS,,,Up to 30 h,BlackBerry,,,HTML,No,,,624 MHz,"BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP3/WMA/WAV/eAAC+ playerMP4/H.264/WMV playerOrganizerVoice memo/dial",,,,Up to 432 h (2G) / Up to 312 h (3G),93.6 g (3.28 oz),,Mini-SIM,256MB,"3.15 MP, AF",Dedicated music keys,,"2.25 inches, 16.2 cm2(~30.1% screen-to-body ratio)",Yes,Optical trackpad,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/bb-pearl-9100-new1.jpg,,,,,BlackBerry Pearl 3G 9100,HSDPA 850 / 1900 / 2100,HSPA 3.6/0.384 Mbps,Yes,"2.1, A2DP",1.67 W/kg (head)     1.03 W/kg (body),,"Piano Black, Opal Pink, Royal Purple, Flash White, Red Gradient",,Wi-Fi 802.11 b/g/n,"GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,108 x 50 x 13.3 mm (4.25 x 1.97 x 0.52 in),1.37 W/kg (head)     1.06 W/kg (body)
CDMA/EVDO Rev A 800/1900,"480 x 360 pixels, 4:3 ratio (~246 ppi density)",,,About 60 EUR,,Removable Li-Ion 1400 mAh battery,Up to 5 h,Yes,No,,"microSDHC (dedicated slot), 2 GB included",,,GSM / HSPA,"2010, April. Released 2010, July","TFT, 65K colors",BlackBerry OS,,,Up to 18 h,BlackBerry,,,HTML,No,,,,,,,,Up to 312 h,136 g (4.80 oz),,Mini-SIM,512MB,"3.15 MP, AF","BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)MP3/WMA/eAAC+ playerMP4/H.263/WMV playerOrganizerVoice memo/dial",,"2.44 inches, 18.4 cm2(~26.6% screen-to-body ratio)",Yes,Optical trackpad,,,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/BlackBerry-Bold-9650.jpg,,microUSB 2.0,,,BlackBerry Bold 9650,HSDPA 2100,HSPA 3.6/0.384 Mbps,Yes,"2.1, A2DP",1.68 W/kg (head)     0.27 W/kg (body),,Black,,Wi-Fi 802.11 b/g,"GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,112 x 62 x 14 mm (4.41 x 2.44 x 0.55 in),1.35 W/kg (head)     0.50 W/kg (body)
HSDPA 900 / 1700 / 2100,"480 x 360 pixels, 4:3 ratio (~246 ppi density)",,,About 90 EUR,,Removable Li-Ion 1500 mAh battery,Up to 6 h,Yes,No,,"microSDHC (dedicated slot), 2 GB included",,,GSM / HSPA,"2009, October. Released 2009, November","TFT, 65K colors","BlackBerry 5.0, upgradable to 6.0",,,,BlackBerry,,,HTML,No,Noise -89.8B / Crosstalk -88.6dB,,624 MHz,,,,,Up to 408 h,122 g (4.30 oz),,Mini-SIM,256MB 256MB RAM,"3.15 MP, AF","BlackBerry mapsDocument editor (Word, Excel, PowerPoint, PDF)Media player MP3/WMA/AAC+Video player DivX/WMV/XviD/3gpOrganizerVoice memo/dial",,"2.44 inches, 18.4 cm2(~28.2% screen-to-body ratio)",Yes,Optical trackpad,Photo,Voice 72dB / Noise 66dB / Ring 73dB,Discontinued,https://fdn2.gsmarena.com/vv/bigpic/blackberry-bold-9700-new.jpg,,microUSB 2.0,,,BlackBerry Bold 9700,HSDPA 850 / 1900 / 2100,HSPA 3.6/0.384 Mbps,Yes,"2.1, A2DP",1.36 W/kg (head)     1.18 W/kg (body),,"Black, White",,"Wi-Fi 802.11 b/g, UMA","GPS, A-GPS",,QWERTY,,GSM 850 / 900 / 1800 / 1900,LED flash,,109 x 60 x 14 mm (4.29 x 2.36 x 0.55 in),1.55 W/kg (head)     1.39 W/kg (body)
