Features,,CPU,Single_1,Stand-by,Alert types,Loudspeaker,Bluetooth,Games,SAR EU,OS,Stand-by_1,_2,Price,_3,3.5mm jack,SIM,Single,Weight,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Browser,Resolution,Talk time,Card slot,Alarm,Speed,Announced,Video_1,Technology,_1,Clock,Brand,Protection,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,_4,Sensors,Java
,MP3 playerPredictive text inputCalculatorPhoto editor,,VGA videocall camera,Up to 300 h,Vibration; Downloadable polyphonic ringtones,No,Yes,Yes + downloadable,,,,,,,No,Mini-SIM,1.3 MP,120 g (4.23 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels,Up to 4 h,microSD (dedicated slot),,"Yes, 384 kbps","2005, Q4",,GSM / UMTS,,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myv85.gif,,Sagem MY V-85,,"SMS, EMS, MMS, EMail",Graphite,"TFT, 256K colors","Yes, Photocall",,112 x 20 x 46 mm (4.41 x 0.79 x 1.81 in),8MB,Proprietary,,No,No,UMTS 2100,QCIF,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
LED flash,No,,,Up to 350 h,Vibration; Downloadable polyphonic ringtones,No,1.2,Yes + downloadable,,,,,,,No,Mini-SIM,1.3 MP,104 g (3.67 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels,Up to 4 h,microSD (dedicated slot),,,"2005, July",,GSM,MP3 playerCalculatorPhoto editorVoice memoPredictive text input,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myv76.gif,,Sagem MY V-76,,"SMS, EMS, MMS",Silver,"TFT, 256K colors","Yes, Photocall",Class 10,110 x 19 x 47 mm (4.33 x 0.75 x 1.85 in),8MB,,No,No,No,,Yes,Removable Li-Ion 920 mAh battery,,,"Yes, MIDP 2.0"
,Animated screensaversColor backgroundsDownloadable logos,,,Up to 370 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,Yes + downloadable,,,,Predictive text inputOrganizerVoice dial/memoExchangeable cover,,,No,Mini-SIM,VGA,97 g (3.42 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,128 x 160 pixels,Up to 4 h 50 min,No,,,"2004, Q4",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myv56.gif,,Sagem MY V-56,,"SMS, MMS",Silver,"CSTN, 65K colors","In shared memory, Photo call",Class 10,106 x 19 x 46 mm (4.17 x 0.75 x 1.81 in),4MB,,No,No,No,,No,Removable Li-Ion 920 mAh battery,,,Yes
,Video telephony & streamingMP3/AAC playerPredictive text inputOrganizerVoice memo,,VGA videocall camera,Up to 300 h,Vibration; Downloadable polyphonic ringtones,Yes,Yes,Yes + downloadable,,,,,,,No,Mini-SIM,1.3 MP,119 g (3.84 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels,Up to 4 h,microSD (dedicated slot),,"Yes, 384 kbps","2006, February",,GSM / UMTS,,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myw7.gif,,Sagem myW-7,,"SMS, EMS, MMS, Email",Silver,"TFT, 256K colors",Yes,,"112 x 46 x 20 mm, 93 cc (4.41 x 1.81 x 0.79 in)",6MB,Proprietary,,No,No,UMTS 2100,Yes,Removable Li-Ion 1100 mAh battery,,,"Yes, MIDP 2.0"
,No,,,Up to 350 h,Vibration; Downloadable polyphonic ringtones,Yes,No,Yes,,,,,,,No,Mini-SIM,1.3 MP,125 g (4.41 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 5 h,microSD (dedicated slot),,,"2006, February",,GSM,DVB-H TV receiverMP3 playerPredictive text inputOrganizerVoice memo,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-mymobiletv.gif,,Sagem myMobileTV,,"SMS, EMS, MMS, EMail, Instant Messaging",Black,"TFT, 256K colors",Yes,Class 10,"115 x 47 x 20.8 mm, 107 cc (4.53 x 1.85 x 0.82 in)",40MB,Proprietary (optional),No,No,No,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,Downloadable wallpapers,,,Up to 240 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,,,,,No,,Predictive text inputCalculatorCurrency converter,No,Mini-SIM,,75 g (2.65 oz),"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2,"101 x 80 pixels, 6 lines",Up to 3 h,No,,,"2005, Q4",,GSM,Message templates,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myc2-3.gif,,Sagem MY C2-3,,"SMS, EMS, MMS",,"CSTN, 4096 colors","255 entries, contact groups",Class 10,"73 x 42 x 21 mm, 70 cc (2.87 x 1.65 x 0.83 in)",240 KB,,No,No,No,,,Removable Li-Ion 700 mAh battery,,,No
,Screensavers and wallpapersDownloadable logos and applications,,,Up to 240 h,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,No,2,,,,Predictive text inputOrganizer,,,No,Mini-SIM,VGA,85 g (3.00 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h,No,,,"2006, February",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myz5.gif,,Sagem myZ-5,,"SMS, EMS, MMS",,"TFT, 65K colors",Yes,Class 10,85 x 42 x 23 mm (3.35 x 1.65 x 0.91 in),3.7MB,Proprietary,No,No,No,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,Second external display B/W (96 x 64 pixels),,,Up to 240 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,Yes  + downloadable,,,,No,About 110 EUR,Predictive text inputOrganizerPhoto editor,No,Mini-SIM,VGA,85 g (3.00 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h,No,,,"2006, October",,GSM,100 short messages,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myc5-3.gif,,Sagem MY C5-3,,"SMS, EMS, MMS",,"CSTN, 65K colors","500 x 10 fields, Photo call, 15 groups",Yes,82 x 43 x 23 mm (3.23 x 1.69 x 0.91 in),3MB,,No,No,No,,Yes,Removable Li-Ion 700 mAh battery,,,"Yes, MIDP 2.0"
,Second external display (96 x 64 pixels)Downloadable wallpapers,,,Up to 240 h,Vibration; Downloadable polyphonic ringtones,Yes,No,Yes,,,,Predictive text inputOrganizer,,,No,Mini-SIM,,75 g (2.65 oz),"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2,"128  x 128 pixels, 6 lines, 1:1 ratio",Up to 3 h,No,,,"2005, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc3-2.gif,,Sagem MY C3-2,,"SMS, EMS, MMS",,"CSTN, 65K colors",Yes,Yes,"77 x 41 x 22 mm, 70 cc (3.03 x 1.61 x 0.87 in)",,,No,No,No,,,Removable Li-Ion 650 mAh battery,,,"Yes, MIDP 2.0 (MY C3-2j only)"
,Screensavers and wallpapersDownloadable logos and applications,,,Up to 300 h,Vibration; Downloadable polyphonic ringtones,No,No,2,,,,Predictive text inputOrganizer,,,No,Mini-SIM,VGA,85 g (3.00 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 2.0/xHTML,128 x 160 pixels,Up to 3 h,No,,,"2005, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myz55.gif,,Sagem MY Z-55,,"SMS, EMS, MMS",,"CSTN, 65K colors",Yes,Class 10,81 x 41 x 24 mm (3.19 x 1.61 x 0.94 in),3.7MB,Proprietary,No,No,No,,No,Removable Li-Ion battery,,,Yes
,Screensavers and wallpapersDownloadable logos,,,Up to 350 h,"Vibration; Downloadable polyphonic, MP3 ringtones",Yes,1.2,Yes + downloadable,,,,MP3/AAC playerPredictive text inputCalculatorPhoto editorVoice memo,,,No,Mini-SIM,1.3 MP,104 g (3.67 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 4 h,microSD (dedicated slot),,,"2005, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myx6-2.gif,"2.0 inches, 31 x 39 mm, 12.6 cm2(~24.3% screen-to-body ratio)",Sagem MY X6-2,,"SMS, EMS, MMS",,"TFT, 256K colors",1500,Class 10,110 x 47 x 19 mm (4.33 x 1.85 x 0.75 in),10MB,,No,No,No,,Yes,Removable Li-Ion 760 mAh battery,,,"Yes, MIDP 2.0"
,Downloadable screensavers,,,Up to 200 h,Vibration; Downloadable polyphonic ringtones,Yes,No,1 embedded,,,,No,,Predictive text inputCalculatorCurrency converterChangeable covers,No,Mini-SIM,,88 g (3.10 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,101 x 80 pixels,Up to 3 h 20 min,No,,,"2005, Q1",,GSM,myX2-2m: up to 470 KBmyX2-2: up to 240 KB,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx2-2.gif,,Sagem MY X2-2,,"SMS, EMS, MMS (myX2-2m only)",,4096 colors,500 x 10 fields,Yes (myX2-2m only),105.6 x 46 x 20 mm (4.16 x 1.81 x 0.79 in),,,No,No,No,,,Removable Li-Ion 680 mAh battery,,,No
,GSM 850 / 1900 - US version,,,Up to 240 h,"Vibration; Polyphonic(16) ringtones, composer",Yes,No,Yes,,,,No,,Exchangeable covers,No,Mini-SIM,,93 g (3.28 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1 (myX1-2w only),"96 x 64 pixels, 3:2 ratio",Up to 3 h,No,,,"2005, Q1",,GSM,Downloadable wallpapers,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx1-2.gif,,Sagem MY X1-2,,"SMS, EMS(myX1-2w only)",,Monochrome graphics,100 entries,Class 8,106 x 47 x 21 mm (4.17 x 1.85 x 0.83 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Second external display B/W (96 x 64 pixels),,,Up to 240 h,Vibration; Downloadable polyphonic ringtones,No,No,"Siberian Strike, Gulo's Tale  + downloadable",,,,No,,Predictive text inputOrganizerPhoto editor,No,Mini-SIM,VGA,80 g (2.82 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,128 x 160 pixels,Up to  3 h,No,,,"2004, Q4",,GSM,100 short messages,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc5-2.gif,,Sagem MY C5-2,,"SMS, EMS, MMS",,"CSTN, 65K colors","500 x 10 fields, Photo call, 15 groups",Yes,82 x 43 x 23 mm (3.23 x 1.69 x 0.91 in),3.7MB,,No,No,No,,No,Removable Li-Ion 670 mAh battery,,,"Yes, MIDP 2.0"
LED flash,Animated screensaversColor backgrounds,,,Up to 350 h,"Vibration; Downloadable polyphonic, MP3, Hi-Fi ringtones",Yes,1.2,Yes,,,,Video/MP3 playerPredictive text inputOrganizer,,,No,Mini-SIM,1.3 MP,125 g (4.41 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 5 h,miniSD,,,"2004, Q3",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx8.gif,"2.2 inches, 34 x 45 mm, 15.0 cm2(~27.7% screen-to-body ratio)",Sagem MY X-8,,"SMS, EMS, MMS",,"TFT, 256K colors","300 entries, Photo call",Class 10,115 x 47 x 20.8 mm (4.53 x 1.85 x 0.82 in),40MB,Proprietary,No,No,No,,Yes,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,5-way navi keyDownloadable pictures,,,Up to 340 h,Vibration; Downloadable polyphonic ringtones,Yes,No,2 + downloadable,,,,Predictive text inputVideo/media playerOrganizerExchangeable covers,,,No,Mini-SIM,,95 g (3.35 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP,"120 x 160 pixels, 4:3 ratio",Up to 4 h,No,,,"2004, Q3",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx4.gif,,Sagem MY X-4,,"SMS, MMS, Instant Messaging",,"TFT, 65K colors","500 x 10 fields, 15 groups, Photo call",Class 10,104 x 46 x 18 mm (4.09 x 1.81 x 0.71 in),3.5MB,Proprietary,No,No,No,,,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
LED flash,Second external display B/W (96 x 64 pixels)WallpapersDownloadable pictures,,,Up to 240 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",No,No,Yes,,,,Predictive text inputOrganizerVoice memo,,,No,Mini-SIM,VGA,75 g (2.65 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 3 h,No,,,"2004, Q4",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sagem-myc4-2.gif,,Sagem MY C4-2,,"SMS, EMS, MMS","Silver , Black","CSTN, 65K colors",Yes,Class 8,77 x 42 x 23 mm (3.03 x 1.65 x 0.91 in),,,No,No,No,,No,Removable Li-Ion 650 mAh battery,,,"Yes, MIDP 2.0"
,WallpapersDownloadable pictures,,,Up to 240 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",No,No,2,,,,Predictive text inputOrganizerVoice memo,,,No,Mini-SIM,,92 g (3.25 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"128 x 128 pixels, 1:1 ratio",Up to 4 h,No,,,"2004, Q3",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc4.gif,,Sagem MY C-4,,"SMS, EMS, MMS",Wine red,"CSTN, 65K colors",In shared memory,Class 10,90 x 44.5 x 23 mm (3.54 x 1.75 x 0.91 in),4.7MB,,No,No,No,,,Removable Li-Ion 630 mAh battery,,,"Yes, MIDP 2.0"
,Animated screensaversColor backgroundsDownloadable logos,Intel PXA 262 200 MHz,,Up to 100 h,"Vibration; Downloadable polyphonic, MP3, Hi-Fi ringtones",Yes,No,,,Microsoft Smartphone 2003 SE,,MP3 playerPredictive text inputOrganizerVoice memo,,,No,Mini-SIM,VGA,120 g (4.23 oz),,Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,176 x 220 pixels (~128 ppi density),Up to 4 h,MMC/SD,,,"2004, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samys7.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~28.3% screen-to-body ratio)",Sagem MY S-7,,,,"TFT, 65K colors",,Class 10,"110 x 49 x 21 mm, 110 cc (4.33 x 1.93 x 0.83 in)",32MB,Proprietary,No,No,No,,Yes,Removable Li-Ion battery,,,
,Screensavers and wallpapersDownloadable logos and applications,,,Up to 300h,Vibration; Downloadable polyphonic ringtones,No,No,2,,,,Predictive text inputOrganizer,,,No,Mini-SIM,,105 g (3.70 oz),"15 dialed, 15 received, 15 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.2.1,128 x 160 pixels,Up to 3 h,No,,,"2004, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyz3.gif,,Sagem MY Z-3,,"SMS, EMS, MMS",,"CSTN, 65K colors",255 entries,Class 10,100 x 45 x 24 mm (3.94 x 1.77 x 0.94 in),1.5MB,Proprietary,No,No,No,,,Removable Li-Ion 780 mAh battery,,,No
,Downloadable wallpapers,,,Up to 360 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,,,,,No,,Predictive text inputCalculatorCurrency converter,No,Mini-SIM,,80 g (2.82 oz),"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2,"101 x 80 pixels, 6 lines",Up to 3 h,No,,,"2004, Q2",,GSM,100 short messagesMessage templates,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc2-2.gif,,Sagem MY C2-2,,"SMS, EMS",,"CSTN, 4096 colors","250 entries, contact groups",No,85 x 44 x 21 mm (3.35 x 1.73 x 0.83 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Screensavers and wallpapersDownloadable logos,,,,Vibration; Downloadable polyphonic ringtones,No,No,Yes + downloadable,,,,Predictive text inputOrganizer,,,No,Mini-SIM,,105 g (3.70 oz),"15 dialed, 15 received, 15 missed calls",Discontinued,No,,,GSM 900 / 1800,"WAP 2.0/xHTML, iMode",128 x 160 pixels,,No,,,"2004, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/sasg321i.gif,,Sagem SG 321i,,"SMS, EMS, MMS",,"TFT, 65K colors",Yes,Class 8,100 x 45 x 24 mm (3.94 x 1.77 x 0.94 in),,Proprietary,No,No,No,,,Removable Li-Ion battery,,,Yes
,Animated screensaversColor backgroundsDownloadable logos,,,Up to 375 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,Yes + downloadable,,,,Predictive text inputOrganizerVoice dial/memoExchangeable cover,,,No,Mini-SIM,VGA,97 g (3.42 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,128 x 160 pixels,Up to 4 h 45 min,No,,,"2004, Q2",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyv55.gif,,Sagem MY V-55,,"SMS, MMS",,"CSTN, 65K colors","In shared memory, Photo call",Class 10,106 x 46 x 19 mm (4.17 x 1.81 x 0.75 in),4MB,,No,No,No,,No,Removable Li-Ion 920 mAh battery,,,Yes
,Screensavers and wallpapersDownloadable logos,,,Up to 300 h,Vibration; Downloadable polyphonic ringtones,Yes,No,Yes + downloadable,,,,Predictive text inputOrganizerPhoto editorVoice memo,,,No,Mini-SIM,VGA,97 g (3.42 oz),"15 dialed, 15 received, 15 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,128 x 160 pixels,Up to 5 h,No,,,"2004, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx52.gif,,Sagem MY X5-2,,"SMS, EMS, MMS",,"CSTN, 65K colors",1500,Class 10,106 x 46 x 19 mm (4.17 x 1.81 x 0.75 in),4MB,Proprietary,No,No,No,,No,Removable Li-Ion battery,,,"Yes, MIDP 2.0"
,Animated screensaversColor backgroundsDownloadable logos,,,,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,Yes + Java downloadable,,,,Predictive text inputOrganizer,,,No,Mini-SIM,VGA,106 g (3.74 oz),"15 dialed, 15 received, 15 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 1.2.1,128 x 160 pixels,,No,,,"2004, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyv75.gif,,Sagem MY V-75,,"SMS, MMS",,"TFT, 65K colors",In shared memory,Yes,110 x 46 x 22 mm (4.33 x 1.81 x 0.87 in),4MB,,No,No,No,,No,Removable Li-Ion battery,,,No
,Animated screensaversColor backgrounds,,,Up to 120 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",No,No,3,,,,Predictive text inputOrganizerVoice memo,,,No,Mini-SIM,,85 g (3.00 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 2.0/xHTML,"128 x 160 pixels, 12 lines",Up to 2 h,No,,,"2004, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc3b.gif,,Sagem MY C-3b,,"SMS, EMS, MMS","2 - Silver, Red","CSTN, 65K colors",300 x 9 fields,Class 8,81 x 51 x 22.5 mm (3.19 x 2.01 x 0.89 in),1.5MB,,No,No,No,,,Removable Li-Ion battery,,,No
,Animated screensaversColor backgrounds,,,Up to 100 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",No,No,3,,,,Stereo sounds,,Predictive text inputOrganizer,No,Mini-SIM,,90 g (3.17 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 2.0/xHTML,"128 x 160 pixels, 12 lines",Up to 3 h,No,,,"2004, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc3s.gif,,Sagem MY C-3s,,"SMS, EMS, MMS","2 - Silver, Red","CSTN, 65K colors",250,Class 8,81 x 52 x 22.5 mm (3.19 x 2.05 x 0.89 in),,,No,No,No,,,Removable Li-Ion 750 mAh battery,,,No
,GSM 850 / 1900 - MY X3-2a,,,Up to 340 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",No,No,"2 - Picture Puzzle, MegaBox Conquest + downloadable",,,,No,,Predictive text inputCalculatorCurrency converterInterchangeable front and back covers,No,Mini-SIM,,89 g (3.14 oz),"20 dialed, 20 received, 20 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,101 x 80 pixels,Up to 5 h,No,,,"2004, Q1",,GSM,Downloadable logos,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx32.gif,,Sagem MY X3-2,,"SMS, EMS, MMS, Email","4 - Silver, Light blue, Purple and White","CSTN, 4096 colors",1500,Class 8,100 x 45 x 21 mm (3.94 x 1.77 x 0.83 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Animated screensaversColor backgrounds,,,Up to 310 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",No,No,"2 - Siberian Strike, Guio's Tale + Java downloadable",,,,Predictive text inputOrganizerChronometerVoice memo (30 sec.)Changeable covers,,,No,Mini-SIM,VGA,106 g (3.74 oz),"20 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 2.0/xHTML,"128 x 160 pixels, 12 lines",Up to 4 h 30 min,No,,,"2004, Q1",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx7.gif,,Sagem MY X-7,,"SMS, EMS, MMS",,"TFT, 65K colors","300 x 9 fields, Photo call",Class 10,"110 x 46 x 22 mm, 111 cc (4.33 x 1.81 x 0.87 in)",4MB,,No,No,No,,Yes,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
,Animated screensaversColor backgrounds,,,Up to 310 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,Yes + Java downloadable,,,,No,,Predictive text inputPCSyncOrganizer,No,Mini-SIM,VGA,106 g (3.74 oz),"15 dialed, 15 received, 15 missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,WAP 1.2.1,128 x 160 pixels,Up to 4 h 30 min,No,,,"2003, Q4",,GSM,100 short messages,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyv65.gif,,Sagem MY V-65,,"SMS, MMS",,"TFT, 65K colors",In shared memory,Yes,110 x 46 x 22 mm (4.33 x 1.81 x 0.87 in),4MB,,No,No,No,,No,Removable Li-Ion 1050 mAh battery,,,Yes
,No,,,Up to 200 h,Vibration; Downloadable polyphonic ringtones,No,No,1,,,,,,,No,Mini-SIM,,80 g (2.82 oz),"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,"96 x 64 pixels, 7 lines, 3:2 ratio",Up to 2 h 30 min,No,,,"2003, Q4",,GSM,Predictive text inputOrganizer,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc1.gif,,Sagem MY C-1,,SMS,,Monochrome graphic,Yes,No,86 x 44 x 20 mm (3.39 x 1.73 x 0.79 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Four way navigation keysDownloadable logos,,,Up to 240 h,Downloadable polyphonic ringtones,Yes,No,Yes,,,,Predictive text inputOrganizerInterchangeable front and back covers,,,No,Mini-SIM,,93 g (3.28 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"64 x 96 pixels, 7 lines, 3:2 ratio",Up to 3 h,No,,,"2003, Q4",,GSM,No,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyx1w.gif,,Sagem MY X-1w,,"SMS, EMS",,Monochrome graphic,Yes,Class 4,106 x 47 x 21 mm (4.17 x 1.85 x 0.83 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,Backgrounds and screensavers,,,Up to 190 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",Yes,No,1 - Picture puzzle,,,,No,,Predictive text inputCalculatorCurrency converter,No,Mini-SIM,,90 g (3.17 oz),"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,WAP 1.2.1,"101 x 80 pixels, 6 lines",Up to 3 h,No,,,"2003, Q4",,GSM,100 short messagesMessage templates,,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc2.gif,,Sagem MY C-2,,"SMS, EMS",,"CSTN, 256 colors","250 entries, contact groups",No,82 x 42 x 23 mm (3.23 x 1.65 x 0.91 in),,,No,No,No,,,Removable Li-Ion battery,,,No
,"Second external display, 84 x 40 pixels, SNTFour way navigation keysDownloadable screensavers",,,Up to 140 h,Vibration; Polyphonic(16) ringtones,No,No,,,,,Predictive text inputCalculator,,,No,Mini-SIM,,86 g (3.03 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP,"160 x 120 pixels, 4:3 ratio",Up to 4 h,No,Yes,,"2003, Q3",,GSM,No,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc6.gif,,Sagem MY C-6,,"SMS, EMS, MMS",,"TFT, 65K colors",300,Class 8,84 x 46 x 22 mm (3.31 x 1.81 x 0.87 in),,,No,No,No,,,Removable Li-Ion 750 mAh battery,,,No
,Backgrounds and screensavers,,,Up to 200 h,"Vibration; Downloadable polyphonic, Hi-Fi ringtones",No,No,"2 - MegaBox Conquest, Picture puzzle",,,,Predictive text inputCalculatorCurrency converter,,,No,Mini-SIM,,80 g (2.82 oz),"10 dialed, 10 received, 10 missed calls",Discontinued,No,Yes,,GSM 900 / 1800,WAP 1.2.1,"101 x 80 pixels, 6 lines",Up to 3 h,No,Yes,,"2003, Q3",,GSM,No,Yes,Sagem,,https://fdn2.gsmarena.com/vv/bigpic/samyc5w.gif,,Sagem MY C-5w,,"SMS, EMS",,"CSTN, 256 colors",300,Class 8,88 x 44 x 20 mm (3.46 x 1.73 x 0.79 in),,,No,No,No,,,Removable Li-Po 1000 mAh battery,,,No
