,Card slot,Games,Dimensions,Bluetooth,2G bands,4G bands,Talk time,Alert types,Positioning,Loudspeaker,Stand-by_1,_4,Messaging,Loudspeaker_1,Phonebook,EDGE,Radio,Camera,OS,Speed,_3,Type,Weight,Sensors,Internal,Size,Colors,Call records,Single_1,Type_1,Browser,Protection,Technology,3G bands,WLAN,NFC,Model Name,Model Image,Features,Stand-by,Keyboard,Talk time_1,Announced,_2,Video,_1,USB,Chipset,Price,CPU,Resolution,Audio quality,Brand,Java,3.5mm jack,Single,GPU,Video_1,Status,GPRS,SIM,SAR EU
No,microSD (dedicated slot),,110.5 x 55.5 x 18.5 mm (4.35 x 2.19 x 0.73 in),2.0,GSM 850 / 900 / 1800 / 1900,,Up to 4 h,"Vibration; Downloadable polyphonic, MP3, WAV, WMA ringtones",No,No,,,,,,No,No,,Microsoft Windows Mobile 6.0 Professional,,,"TFT resistive touchscreen, 256K colors (65K effective)",140 g (4.94 oz),,"64MB RAM, 256MB ROM","2.6 inches, 20.9 cm2(~34.1% screen-to-body ratio)",Black,,,Removable Li-Ion 1300 mAh battery,"WAP 2.0/xHTML, HTML",,GSM,,Wi-Fi 802.11b/g,,Gigabyte GSmart MW998,https://fdn2.gsmarena.com/vv/bigpic/gsmart_mw998.jpg,,Up to 150 h,,,"2008, February. Released 2008",,Yes,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizer,miniUSB 1.1,,,Marvell PXA270 520MHz,"480 x 640 pixels, 4:3 ratio (~308 ppi density)",,Gigabyte,,No,"2 MP, AF",,,Discontinued,Class 10,Mini-SIM,
No,microSD (dedicated slot),,116 x 59 x 15 mm (4.57 x 2.32 x 0.59 in),"2.0, A2DP",GSM 900 / 1800 / 1900,,Up to 4 h,"Vibration; Downloadable polyphonic, MP3, WAV, WMA ringtones","GPS, A-GPS; SiRF Star III chipset",Yes,,,,,,Class 10,"Stereo FM radio, RDS",,Microsoft Windows Mobile 6.0 Professional,,,"TFT resistive touchscreen, 65K colors",133 g (4.69 oz),,"64MB RAM, 256MB ROM","2.8 inches, 24.3 cm2(~35.5% screen-to-body ratio)",White Light,,,Removable Li-Po 1300 mAh battery,WAP 2.0/xHTML,,GSM,,Wi-Fi 802.11b/g,,Gigabyte GSmart MW700,https://fdn2.gsmarena.com/vv/bigpic/gsmart-mw700.jpg,,Up to 150 h,,,"2008, February. Released 2008",,Yes,Pocket OfficeMP3/eAAC+/WMA/WAV/AMR playerWMV/MP4/3gp playerOrganizerBusiness card scannerPredictive text input,miniUSB 1.1,,,Marvell PXA270 520MHz,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Gigabyte,,No,"2 MP, AF",,,Discontinued,Class 12,Mini-SIM,
Trackball,microSDHC (dedicated slot),,103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in),"2.0, A2DP",GSM 900 / 1800,,,,"GPS, A-GPS",Yes,,,,,,,,,Android 1.6 (Donut),HSPA 7.2/0.384 Mbps,,"TFT, 256K colors",-,Accelerometer,"256MB RAM, 512MB","2.8 inches, 24.3 cm2(~43.7% screen-to-body ratio)",Black,,,Removable Li-Ion 1500 mAh battery,HTML,,GSM / HSPA,HSDPA 900 / 2100,Wi-Fi 802.11 b/g,,Gigabyte GSmart,https://fdn2.gsmarena.com/vv/bigpic/Gigabyte-GSmart.jpg,,,,,Not officially announced yet,Dedicated search keyMP3/eAAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerPhoto editorOrganizerVoice memoPredictive text input,Yes,,Proprietary,Qualcomm MSM7225 Snapdragon S1,,528 MHz ARM 11,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",,Gigabyte,,Yes,"2 MP, AF",No,,Cancelled,,Mini-SIM,
No,"miniSD, SDHC",,110 x 54 x 18 mm (4.33 x 2.13 x 0.71 in),2.0,GSM 850 / 900 / 1800 / 1900,,,"Vibration; Downloadable polyphonic, MP3, MIDI ringtones","GPS, SiRF Star III chipset",No,,,,,,No,No,,Microsoft Windows Mobile 6.0 Professional,,,"TFT resistive touchscreen, 256K colors (65K effective)",130 g (4.59 oz),,256MB 64MB RAM,"2.6 inches, 20.9 cm2(~35.2% screen-to-body ratio)","Black, White",,,Removable Li-Ion 1300 mAh battery,WAP 2.0/xHTML,,GSM,,Wi-Fi 802.11b/g,,Gigabyte GSmart i350,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-i350.gif,LED flash,Up to 160 h,,,"2007, June. Released 2008, December",,Yes,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerJavaOrganizer,miniUSB 2.0,,,Intel XScale PXA270 520 MHz,"480 x 640 pixels, 4:3 ratio (~308 ppi density)",,Gigabyte,,No,"2 MP, AF",,,Discontinued,Class 12,Mini-SIM,
"Intel XScale PXA270, 520MHz",microSD (dedicated slot),,111 x 64 x 14 mm (4.37 x 2.52 x 0.55 in),2.0,GSM 900 / 1800 / 1900,,,"Vibration; Downloadable polyphonic, MP3, MIDI ringtones",No,No,,,,,,,No,,Microsoft Windows Mobile 6 Professional,HSPA,,"TFT resistive touchscreen, 256K colors (65K effective)",,,"96MB RAM, 256MB ROM","2.5 inches, 19.4 cm2(~27.2% screen-to-body ratio)",Silver,,VGA videocall camera,Removable Li-Ion battery,"WAP 2.0/xHTML, HTML (IE)",,GSM / HSPA,HSDPA 2100,No,,Gigabyte GSmart q60,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-q60.gif,LED flash,,QWERTY,,"2007, February",,Yes,Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizer,miniUSB 2.0,,,Intel XScale PXA270 520MHz,"320 x 240 pixels, 4:3 ratio (~160 ppi density)",,Gigabyte,,No,"2 MP, AF",,,Cancelled,,Mini-SIM,
"Intel XScale PXA270, 520MHz",microSD (dedicated slot),,110 x 55.5 x 18.5 mm (4.33 x 2.19 x 0.73 in),2.0,GSM 850 / 900 / 1800 / 1900,,Up to 3 h,"Vibration; Downloadable polyphonic, MP3, MIDI ringtones",No,No,,,,,,No,T-DMB radio,,Microsoft Windows Mobile 6 Professional,,,"TFT resistive touchscreen, 65K colors",140 g (4.94 oz),,153MB 64MB RAM 256MB ROM,"2.6 inches, 20.9 cm2(~34.3% screen-to-body ratio)",White,,,Removable Li-Ion 1300 mAh battery,"WAP 2.0/xHTML, HTML (IE)",,GSM,,Wi-Fi 802.11b/g,,Gigabyte GSmart t600,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-t600.gif,LED flash,Up to 150 h,,,"2007, February",DVB-H/T TV broadcast receiverPocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerT-DMB radioOrganizer,320p,No,miniUSB 2.0,,,Intel XScale PXA270 520MHz,"480 x 640 pixels, 4:3 ratio (~308 ppi density)",,Gigabyte,,No,"2 MP, AF",,,Discontinued,Class 10,Mini-SIM,
"Intel XScale PXA272, 520MHz",miniSD,,102.5 x 51.5 x 19 mm (4.04 x 2.03 x 0.75 in),2.0,GSM 900 / 1800 / 1900,,Up to 3 h,"Vibration; Downloadable polyphonic, MP3, MIDI ringtones","GPS, SiRF Star III chipset",No,,,,,,No,No,,Microsoft Windows Mobile 5.0 for PocketPC Phone Edition(AKU2),,,"TFT resistive touchscreen, 256K colors (65K effective)",116 g (4.09 oz),,"64MB RAM, 256MB ROM","2.4 inches, 17.8 cm2(~33.8% screen-to-body ratio)",Silver,,,Removable Li-Ion 920 mAh battery,WAP 2.0/xHTML,,GSM,,Wi-Fi 802.11b/g,,Gigabyte GSmart i300,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-i300.gif,LED flash,Up to 110 h,,,"2006, Q2",Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerOrganizer,Yes,No,miniUSB 2.0,,About 300 EUR,Intel XScale PXA272 520MHz,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Gigabyte,,No,"2.1 MP, AF",,,Discontinued,Class 10,Mini-SIM,
No,miniSD,,106.6 x 53.2 x 19.8 mm (4.20 x 2.09 x 0.78 in),1.2,GSM 900 / 1800 / 1900,,Up to 3.5 h,"Vibration; Downloadable polyphonic, MP3, WMA, AMR, MID ringtones",No,No,,,,,,No,FM radio,,Microsoft Windows Mobile 5.0 for PocketPC Phone Edition(AKU3.3),,,"TFT resistive touchscreen, 256K colors (65K effective)",130 g (4.59 oz),,"64MB RAM, 256MB ROM","2.4 inches, 17.8 cm2(~31.5% screen-to-body ratio)",Silver-black,,,Removable Li-Ion 920/1300 mAh battery,"WAP 2.0/xHTML, HTML (PocketIE)",,GSM,,Wi-Fi 802.11 b/g,,Gigabyte GSmart i120,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-smarti120.gif,LED flash,Up to 125 h,,,"2006, December",,Yes,Analog TV tuner (NTSC/PAL/Secam)Pocket OfficeMP3/AAC/AAC+/WMA/OGG/AMR playerWMV/MP4 playerWise TalkSmart InputAudio MixerZIP ToolOrganizer,miniUSB 1.1,,About 320 EUR,Intel PXA272 416 MHz,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Gigabyte,,No,2 MP,,,Discontinued,Class 10,Mini-SIM,
No,miniSD,,109 x 53.5 x 24 mm (4.29 x 2.11 x 0.94 in),1.2,GSM 900 / 1800 / 1900,,Up to 3 h,"Vibration; Downloadable polyphonic, MP3, WMA, AMR, MID ringtones",No,No,,,,,,No,FM radio,,Microsoft Windows Mobile 5.0 for PocketPC Phone Edition(AKU2),,,"TFT resistive touchscreen, 256K colors (65K effective)",153 g (5.40 oz),,"64MB RAM, 64MB ROM","2.4 inches, 17.8 cm2(~30.6% screen-to-body ratio)",Black,,,Removable Li-Ion 840 mAh battery,WAP 2.0,,GSM,,Wi-Fi 802.11b,,Gigabyte GSmart 2005,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-smart.gif,LED flash,Up to 110 h,,,2005,,Yes,TV-receiver: NTSC/PAL3D mapsVoice navigation systemMP3/MP4 playerOrganizer,miniUSB 1.1,,About 170 EUR,Intel PXA272 416 MHz,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Gigabyte,,No,2.1 MP,,,Discontinued,Class 10,Mini-SIM,
No,miniSD,,106.2 x 53 x 19.5 mm (4.18 x 2.09 x 0.77 in),1.2,GSM 900 / 1800 / 1900,,Up to 3 h 30 min,"Vibration; Downloadable polyphonic, MP3, WMA, AMR, MID ringtones",No,No,,,,,,No,FM radio,,Microsoft Windows Mobile 5.0 for PocketPC Phone Edition(AKU2),,,"TFT resistive touchscreen, 256K colors (65K effective)",130 g (4.59 oz),,"64MB RAM, 64MB ROM","2.4 inches, 17.8 cm2(~31.7% screen-to-body ratio)",Silver,,,Removable Li-Ion 920/1300 mAh battery,WAP 2.0,,GSM,,Wi-Fi 802.11b,,Gigabyte GSmart i,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-smarti.gif,LED flash,Up to 170 h,,,2005,,Yes,TV-receiver: NTSC/PALPocket GhostZip ToolMP3/MP4 playerOrganizer,miniUSB 1.1,,About 190 EUR,Intel PXA272 416 MHz,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Gigabyte,,No,2.1 MP,,,Discontinued,Class 10,Mini-SIM,
No,miniSD,,106.6 x 53.2 x 19.8 mm (4.20 x 2.09 x 0.78 in),1.2,GSM 900 / 1800 / 1900,,Up to 3 h 30 min,"Vibration; Downloadable polyphonic, MP3, WMA, AMR, MID ringtones",No,Yes,,,,,,No,FM radio,,Microsoft Windows Mobile 5.0 for PocketPC Phone Edition(AKU2),,,"TFT resistive touchscreen, 256K colors (65K effective)",130 g (4.59 oz),,"64MB RAM, 128MB ROM","2.4 inches, 17.8 cm2(~31.5% screen-to-body ratio)",Silver,,,Removable Li-Ion 920/1300 mAh battery,WAP 2.0/xHTML,,GSM,,Wi-Fi 802.11 b/g,,Gigabyte GSmart i (128),https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-smarti128.gif,LED flash,Up to 125 h,,,2005,,Yes,Analog TV tuner (NTSC/PAL/Secam)Pocket OfficeWindows MPlayer 10OrganizerVoice memo,miniUSB 1.1,,About 270 EUR,Intel PXA272 416 MHz,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Gigabyte,,No,2 MP,,,Discontinued,Class 10,Mini-SIM,
No,miniSD,3D game/ 3-axis games,99.7 x 48.5 x 19.8 mm (3.93 x 1.91 x 0.78 in),No,GSM 900 / 1800 / 1900,,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones",GPS,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,,"TFT resistive touchscreen, 256K colors",105g (3.70 oz),,64MB,"2.0 inches, 12.6 cm2(~26.0% screen-to-body ratio)",Silver,"20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 1050 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte g-YoYo,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-yoyo.gif,,Up to 300 h,,,2006,,Yes,GPS ApplicationsMP3/MP4 playerOrganizer,No,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,No,No,2 MP,,,Discontinued,Class 10,Mini-SIM,
- Dual display (half and full-screen),miniSD,Yes,105 x 46 x 24.1 mm (4.13 x 1.81 x 0.95 in),No,GSM 900 / 1800 / 1900,,Up to 3 h,"Vibration; Downloadable polyphonic, MIDI, MP3, WAV ringtones",No,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,MP3/MP4 playerPersonal Yellow PageText to speechTv-outPC SyncPictBridge photo plug-and-printOrganizer,"TFT resistive touchscreen, 256K colors",113g (3.99 oz),,,"2.0 inches, 12.6 cm2(~26.1% screen-to-body ratio)",Silver,"20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 700 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte g-Cam,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-cam.gif,xenon flash,Up to 200 h,,,2005,No,Yes,,Proprietary,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,"Yes, MIDP 2.0",No,"5 MP, AF",,,Discontinued,Class 10,Mini-SIM,
,miniSD,Yes,96.7 x 54 x 25.6 mm (3.81 x 2.13 x 1.01 in),No,GSM 900 / 1800 / 1900,,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,,"TFT, 260K colors",106 g (3.74 oz),,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)","Blue, Pink, Orange","20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 700 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte Barbie,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-barbie.gif,,Up to 240 h,,,"2005, December",BMI calculatorFood calorie indexMP3/MP4 playerOrganizer,Yes,No,No,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,Yes,No,1 MP,,,Discontinued,Class 10,Mini-SIM,
,miniSD,Yes,96.7 x 54 x 25.6 mm (3.81 x 2.13 x 1.01 in),No,GSM 900 / 1800 / 1900,,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,,"TFT, 2.6M colors",106 g (3.74 oz),,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)","Hippy Orange, Hip-Hop Blue","20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 700 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte g-re (b),https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-re.gif,,Up to 240 h,,,2005,MP3/MP4 player3-axis motion sensorOrganizer,Yes,No,No,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,Yes,No,1.3 MP,,,Discontinued,Class 10,Mini-SIM,
,miniSD,Yes,96.7 x 54 x 25.6 mm (3.81 x 2.13 x 1.01 in),No,GSM 900 / 1800 / 1900,,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,,"TFT, 2.6M colors",106 g (3.74 oz),,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)","Hippy Orange, Hip-Hop Blue","20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 700 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte g-re (o),https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-re.gif,,Up to 240 h,,,2005,MP3/MP4 player3-axis motion sensorOrganizer,Yes,No,No,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,Yes,No,1.3 MP,,,Discontinued,Class 10,Mini-SIM,
,miniSD,Snoopy,96.7 x 54 x 25.6 mm (3.81 x 2.13 x 1.01 in),No,GSM 900 / 1800 / 1900,,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,,"TFT, 2.6M colors",106 g (3.74 oz),,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)",White,"20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 700 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte Snoopy,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-snoopy.gif,,Up to 240 h,,,2005,MP3/MP4 playerOrganizer,Yes,No,No,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,Yes,No,1 MP,,,Discontinued,Class 10,Mini-SIM,
,miniSD,Snoopy,96.7 x 54 x 25.6 mm (3.81 x 2.13 x 1.01 in),No,GSM 900 / 1800 / 1900,,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,,"TFT, 2.6M colors",106 g (3.74 oz),,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)",White,"20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 700 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte Keroro,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-keroro.gif,,Up to 240 h,,,2005,MP3/MP4 playerEnglish TutorLunar and solar calendarCalorie CalculatorOrganizer,Yes,No,No,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,No,No,1.3 MP,,,Discontinued,Class 10,Mini-SIM,
,miniSD,Doraemon,96.7 x 54 x 25.6 mm (3.81 x 2.13 x 1.01 in),No,GSM 900 / 1800 / 1900,,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,,"TFT, 2.6M colors",106 g (3.74 oz),,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)",Black,"20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 700 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte Doraemon,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-doraemon.gif,,Up to 240 h,,,2005,MP3/MP4 playerOrganizer,Yes,No,No,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,Yes,No,1 MP,,,Discontinued,Class 10,Mini-SIM,
,miniSD,Yes,96.7 x 54 x 25.6 mm (3.81 x 2.13 x 1.01 in),No,GSM 900 / 1800 / 1900,,Up to 5 h,"Vibration; Downloadable polyphonic, MP3 ringtones",No,No,,,"SMS, EMS, MMS",,500 entries,No,No,,,,,"TFT, 2.6M colors",106 g (3.74 oz),,,"2.0 inches, 12.6 cm2(~24.1% screen-to-body ratio)",Black,"20 dialed, 20 received, 20 missed calls",,Removable Li-Ion 700 mAh battery,WAP 2.0,,GSM,,No,,Gigabyte g-X5,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-g-x5.gif,,Up to 240 h,,,"2005, September",E-mapBuilt-in 3 axis sensorMP3/MP4 playerOrganizer,Yes,No,No,,,,176 x 220 pixels (~141 ppi density),,Gigabyte,Yes,No,1 MP,,,Discontinued,Class 10,Mini-SIM,
