,Type,Dimensions,Messaging,Model Image,_1,Keyboard,Bluetooth,3.5mm jack,Chipset,NFC,SIM,4G bands,EDGE,Video,Brand,Status,Sensors,Resolution,Phonebook,WLAN,Single,Build,Price,Features_1,USB,GPU,Internal,Card slot,Colors,3G bands,Dual_1,Talk time,OS,Loudspeaker,Single_1,Triple,Games,CPU,SAR,Dual,Radio,Type_1,Call records,2G bands,Size,Charging,Weight,Announced,Model Name,Video_1,Technology,Stand-by,Features,_2,GPRS,Protection,Positioning,Java,_3,Speed
,IPS LCD,143 x 70.4 x 8.3 mm (5.63 x 2.77 x 0.33 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5m-lte.jpg,,,"4.0, LE",Yes,Mediatek MT6735P (28 nm),No,Dual SIM (Micro-SIM),"2, 4, 7, 17 - AM5ML133",,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",13 MP,,,,microUSB 2.0,Mali-T720MP2,8GB 1GB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 1900 - AM5ML133,,Up to 13 h 40 min (2G) / Up to 9 h 10 min (3G),Android 5.1 (Lollipop),Yes,5 MP,,,Quad-core 1.0 GHz Cortex-A53,,,Stereo FM radio,"Li-Ion 2200 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~68.5% screen-to-body ratio)",,142 g (5.01 oz),"2016, January. Released 2016, March",Yezz Andy 5M LTE,,GSM / HSPA / LTE,Up to 220 h (2G) / Up to 183 h (3G),"LED flash, panorama",,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
No,"TFT, 256K colors",107.4 x 46 x 14.4 mm (4.23 x 1.81 x 0.57 in),"SMS, MMS",https://fdn2.gsmarena.com/vv/bigpic/yezz-cc40.jpg,Video PlayerMusic PlayerOrganizer,,2.1,Yes,,No,Mini-SIM,,,Yes,Yezz,Discontinued,No,128 x 160 pixels (~114 ppi density),Yes,No,VGA,,,,microUSB 2.0,,128MB 64MB RAM,microSDHC (dedicated slot),Black,HSDPA 850 / 1900 - CC40007,,Up to 6 h (2G) / Up to 4 h (3G),,Yes,,,No,,,,Stereo FM radio,"Li-Ion 800 mAh, removable",Yes,GSM 850 / 1900,"1.8 inches, 10.2 cm2(~20.6% screen-to-body ratio)",,82.5 g (2.89 oz),"2016, March. Released 2016, May",Yezz CC40,,GSM / HSPA,Up to 160 h (2G) / Up to 130 h (3G),,,,,No,MIDP 2.0,,HSPA 7.2/5.76 Mbps
,IPS LCD,157.4 x 78 x 9 mm (6.20 x 3.07 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-55m-lte-vr-.jpg,,,"4.0, LE",Yes,Mediatek MT6735 (28 nm),No,Dual SIM (Micro-SIM),"2, 4, 7, 17 - AM55ML194",,720p@30fps,Yezz,Discontinued,"Accelerometer, gyro, proximity","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",13 MP,,,,microUSB 2.0,Mali-T720,8GB 1GB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 1900 - AM55ML194,,Up to 17 h 40 min (2G) / Up to 15 h (3G),Android 5.1 (Lollipop),Yes,5 MP,,,Quad-core 1.0 GHz Cortex-A53,,,Stereo FM radio,"Li-Ion 2400 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~67.9% screen-to-body ratio)",,165 g (5.82 oz),"2016, January. Released 2016, March",Yezz Andy 5.5M LTE VR,,GSM / HSPA / LTE,Up to 240 h (2G) / Up to 200 h (3G),"LED flash, panorama",,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
Includes VR viewer headset,IPS LCD,152 x 77.9 x 7 mm (5.98 x 3.07 x 0.28 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-monte-carlo-55vr.jpg,,,"4.0, LE",Yes,Mediatek MT6753 (28 nm),No,Nano-SIM + Micro-SIM,"2, 3, 7, 20 - MCM55TL142",,1080p@30fps,Yezz,Discontinued,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","20 MP, AF",,,LED flash,"microUSB 2.0, OTG",Mali-T720MP3,8GB 1GB RAM,microSDXC (uses shared SIM slot),Black,HSDPA 850 / 900 / 1900 / 2100 - MCM55TL142,,Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G),Android 5.1 (Lollipop),Yes,8 MP,,,Octa-core 1.3 GHz Cortex-A53,,,Stereo FM radio,"Li-Po 3000 mAh, non-removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~70.4% screen-to-body ratio)",,165 g (5.82 oz),"2015, December. Released 2016, March",Yezz Monte Carlo 55 LTE VR,,GSM / HSPA / LTE,Up to 300 h (2G) / Up to 250 h (3G),"LED flash, panorama, HDR",,,,"GPS, GLONASS",,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
,IPS LCD,152 x 77.9 x 7 mm (5.98 x 3.07 x 0.28 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-monte-carlo-55.jpg,,,"4.0, LE",Yes,Mediatek MT6753 (28 nm),No,Nano-SIM + Micro-SIM,"2, 3, 7, 20 - MCM55TL142",,1080p@30fps,Yezz,Discontinued,"Accelerometer, gyro, proximity, compass","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","20 MP, AF",,,LED flash,"microUSB 2.0, OTG",Mali-T720MP3,8GB 1GB RAM,microSDXC (uses shared SIM slot),Black,HSDPA 850 / 900 / 1900 / 2100 - MCM55TL142,,Up to 22 h 10 min (2G) / Up to 18 h 30 min (3G),Android 5.1 (Lollipop),Yes,8 MP,,,Octa-core 1.3 GHz Cortex-A53,,,Stereo FM radio,"Li-Po 3000 mAh, non-removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.5 inches, 83.4 cm2(~70.4% screen-to-body ratio)",,165 g (5.82 oz),"2015, December. Released 2016, March",Yezz Monte Carlo 55 LTE,,GSM / HSPA / LTE,Up to 300 h (2G) / Up to 250 h (3G),"LED flash, panorama, HDR",,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
No,"TFT, 256K colors",112 x 48.5 x 12.6 mm (4.41 x 1.91 x 0.50 in),SMS,https://fdn2.gsmarena.com/vv/bigpic/yezz-c23a.jpg,Video PlayerMusic PlayerOrganizer,,2.1,Yes,,No,Dual SIM (Mini-SIM),,No,Yes,Yezz,Discontinued,,128 x 160 pixels (~114 ppi density),Yes,No,VGA,,,,microUSB 2.0,,4MB 4MB RAM,microSDHC,"Black, Blue, Fushsia, Gold, Green, Red, Silver, White",,,Up to 4 h,,Yes,,,No,,,,Stereo FM radio,"Li-Ion 600 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - CM22B003,"1.8 inches, 10.2 cm2(~18.8% screen-to-body ratio)",,81 g (2.86 oz),"2015, November. Released 2016, February",Yezz Classic C23A,,GSM,Up to 200 h,,,Yes,,No,No,,
,TFT,121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/andy-4E3I.jpg,,,"4.0, LE",Yes,Mediatek MT6572A,No,"Dual SIM, (Mini-SIM)",,,720p@30fps,Yezz,Discontinued,Accelerometer,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 1900 - AM4E3I043,,Up to 10 h 30 min (2G) / Up to 8 h 40 min (3G),Android 4.4 (KitKat),Yes,1.3 MP,,,Dual-core 1.3 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1400 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~58.3% screen-to-body ratio)",,116.9 g (4.13 oz),"2015, December. Released 2016, March",Yezz Andy 4E3I,,GSM / HSPA,Up to 280 h (2G) / Up to 232 h (3G),"LED flash, panorama",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - AM5E3I043,TFT,145.5 x 75.3 x 9 mm (5.73 x 2.96 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5e2i.jpg,,,"4.0, LE",Yes,Mediatek MT6572M (28 nm),No,Dual SIM,,,Yes,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, Cool Gray",HSDPA 900 / 2100 - AM5E3I047,,Up to 12 h (3G),Android 5.1 (Lollipop),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,FM radio,"Li-Ion 2000 mAh, removable",,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~62.9% screen-to-body ratio)",,104 g (3.67 oz),"2015, October. Released 2015, November",Yezz Andy 5E2I,,GSM / HSPA,Up to 230 h (3G),Panorama,,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - AM4E2I043,"TFT, 256K colors",121 x 64 x 10.7 mm (4.76 x 2.52 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-4ei2.jpg,,,"4.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,Dual SIM,,,Yes,Yezz,Discontinued,Accelerometer,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, Red, Silver, White, Blue, Gold",HSDPA 900 / 2100 - AM4E2I047,,Up to 8 h (3G),Android 4.4 (KitKat),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,FM radio,"Li-Ion 1400 mAh, removable",,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~58.8% screen-to-body ratio)",,110 g (3.88 oz),"2015, October. Released 2015, November",Yezz Andy 4EI2,,GSM / HSPA,Up to 232 h (3G),Panorama,,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - AM35E2I043,"TFT, 256K colors",111.5 x 62.8 x 10.7 mm (4.39 x 2.47 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-35ei2.jpg,,,"4.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,Dual SIM,,,Yes,Yezz,Discontinued,Accelerometer,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",2 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, Red, Silver, White, Blue, Gold",HSDPA 900 / 2100 - AM35E2I047,,Up to 8 h (3G),Android 4.4 (KitKat),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,FM radio,"Li-Ion 1300 mAh, removable",,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"3.5 inches, 36.5 cm2(~52.1% screen-to-body ratio)",,74 g (2.61 oz),"2015, October. Released 2015, November",Yezz Andy 3.5EI2,,GSM / HSPA,Up to 217 h (3G),Panorama,,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - AM6EL133,IPS LCD,166 x 85.6 x 7.5 mm (6.54 x 3.37 x 0.30 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-6el-lte.jpg,LTE 800 / 1800 / 2600 - AM6EL137,,"4.0, LE",Yes,Mediatek MT6735A,No,Hybrid Dual SIM,LTE 700 / 1700 / 2600 -  AM6EL133,,1080p@30fps,Yezz,Discontinued,"Accelerometer, proximity","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","8 MP, AF",,,,microUSB 2.0,Mali-T720MP2,8GB 1GB RAM,microSDXC (uses shared SIM slot),"Black, White",HSDPA 900 / 2100 - AM6EL137,,Up to 18 h (3G),Android 5.1 (Lollipop),Yes,2 MP,,,Quad-core 1.3 GHz Cortex-A53,,,Stereo FM radio,"Li-Po 2900 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"6.0 inches, 99.2 cm2(~69.8% screen-to-body ratio)",,131 g (4.62 oz),"2015, October. Released 2015, November",Yezz Andy 6EL LTE,,GSM / HSPA / LTE,Up to 480 h (3G),"LED flash, HDR",,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
,TFT,143.7 x 72.8 x 9.4 mm (5.66 x 2.87 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5e-lte.jpg,,,"4.0, LE",Yes,Mediatek MT6735M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),LTE 700 / 1800 / 1900 - AM5EL151,,Yes,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 a/b/g/n, hotspot","8 MP, AF",,,,microUSB 2.0,Mali-T720MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, White",HSDPA 850 / 1900 - AM5EL151,,Up to 12 h (3G),Android 5.1 (Lollipop),Yes,2 MP,,,Quad-core 1.0 GHz Cortex-A53,,,Stereo FM radio,"Li-Ion 2100 mAh, removable",,GSM 850 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~65.9% screen-to-body ratio)",,158 g (5.57 oz),"2015, September. Released 2015, November",Yezz Andy 5E LTE,,GSM / HSPA / LTE,Up to 300 h (3G),"LED flash, HDR",,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
,TFT,143.7 x 72.8 x 9.4 mm (5.66 x 2.87 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-c5e-lte.jpg,,,"4.0, A2DP, LE",Yes,Mediatek MT6735M (28 nm),No,Micro-SIM,LTE 700 / 1800 / 1900 - AC5EL191,,Yes,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 a/b/g/n, hotspot","8 MP, AF",,,,microUSB 2.0,Mali-T720MP2,8GB 1GB RAM,microSDXC (dedicated slot),Black,HSDPA 850 / 1900 - AC5EL191,,Up to 12 h (3G),Android 5.1 (Lollipop),Yes,2 MP,,,Quad-core 1.0 GHz Cortex-A53,,,Stereo FM radio,"Li-Ion 2100 mAh, removable",,GSM 850 / 1800 / 1900,"5.0 inches, 68.9 cm2(~65.9% screen-to-body ratio)",,158 g (5.57 oz),"2015, September. Released 2015, November",Yezz Andy C5E LTE,,GSM / HSPA / LTE,Up to 350 h (3G),"LED flash, HDR",,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
HSDPA 850 / 1900 - AM5EI3043,TFT,145.5 x 75.3 x 9 mm (5.73 x 2.96 x 0.35 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5ei3.jpg,,,"4.0, LE",Yes,Mediatek MT6572M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,480p@30fps,Yezz,Discontinued,Accelerometer,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White, Red, Champagne Gold",HSDPA 900 / 2100 - AM5EI3047,,Up to 12 h (3G),Android 5.1 (Lollipop),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~62.9% screen-to-body ratio)",,104 g (3.67 oz),"2015, September. Released 2015, October",Yezz Andy 5EI3,,GSM / HSPA,Up to 230 h (3G),LED flash,,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 850 / 1900 - AM4E2L133,TFT,127 x 64.5 x 10.5 mm (5.0 x 2.54 x 0.41 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-4el2-lte.jpg,LTE 800 / 1800 / 2600 - AM4E2L137,,"4.0, LE",Yes,Mediatek MT6735M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),LTE 700 / 1700 / 2600 - AM4E2L133,,1080p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot","5 MP, AF",,,,microUSB 2.0,Mali-T720MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, White",HSDPA 900 / 2100 - AM4E2L137,,Up to 10 h (3G),Android 5.1 (Lollipop),Yes,1.3 MP,,,Quad-core 1.0 GHz Cortex-A53,,,Stereo FM radio,"Li-Ion 1600 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~55.6% screen-to-body ratio)",,120 g (4.23 oz),"2015, June. Released 2015, September",Yezz Andy 4EL2 LTE,,GSM / HSPA / LTE,Up to 266 h (3G),"LED flash, HDR",,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
FlashlightSOS button,"TFT, 65K colors",100.5 x 50.5 x 17.8 mm (3.96 x 1.99 x 0.70 in),SMS,https://fdn2.gsmarena.com/vv/bigpic/yezz-z51.jpg,No,,"3.0, EDR",Yes,,No,Dual SIM (Mini-SIM),,No,Yes,Yezz,Discontinued,,"240 x 320 pixels, 4:3 ratio (~308 ppi density)",300 entries,No,1.3 MP,,,,microUSB,,8MB 8MB,microSDHC,"Black, White",,,Up to 5 h,,Yes,,,No,,,,Stereo FM radio; built in antenna,"Li-Ion 800 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - ZM51003,"1.3 inches, 5.2 cm2(~10.3% screen-to-body ratio)",Charging dock,86 g (3.03 oz),"2015, July. Released 2015, September",Yezz Classic Z51,,GSM,Up to 130 h,LED flash,Music/Video playerOrganizerCalendarCalculatorVoice memo,Yes,,No,No,,
HSDPA 850 / 1900 - AM5EL133,TFT,143.7 x 72.8 x 9.4 mm (5.66 x 2.87 x 0.37 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-5el-lte.jpg,LTE 800 / 1800 / 2600 - AM5EL137,,"4.0, LE",Yes,Mediatek MT6735M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),LTE 700 / 1700 / 2600 -  AM5EL133,,1080p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"Wi-Fi 802.11 a/b/g/n, hotspot","5 MP, AF",,,,microUSB 2.0,Mali-T720MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, White",HSDPA 900 / 2100 - AM5EL137,,Up to 12 h (3G),Android 5.1 (Lollipop),Yes,1.3 MP,,,Quad-core 1.0 GHz Cortex-A53,,,Stereo FM radio,"Li-Ion 2100 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"5.0 inches, 68.9 cm2(~65.9% screen-to-body ratio)",,158 g (5.57 oz),"2015, June. Released 2015, July",Yezz Andy 5EL LTE,,GSM / HSPA / LTE,Up to 350 h (3G),"LED flash, HDR",,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
HSDPA 850 / 1900 - AM45EL133,TFT,132.8 x 66 x 10.9 mm (5.23 x 2.60 x 0.43 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-45el-lte.jpg,LTE 800 / 1800 / 2600 - AM45EL137,,"4.1, LE",Yes,Mediatek MT6735M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),LTE 700 / 1700 / 2600 -  AM45EL133,,1080p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 854 pixels, 16:9 ratio (~218 ppi density)",,"Wi-Fi 802.11 a/b/g/n, hotspot","5 MP, AF",,,,microUSB 2.0,Mali-T720MP2,8GB 1GB RAM,microSDXC (dedicated slot),"Black, White",HSDPA 900 / 2100 - AM45EL137,,Up to 13 h (3G),Android 5.1 (Lollipop),Yes,1.3 MP,,,Quad-core 1.0 GHz Cortex-A53,,,Stereo FM radio,"Li-Ion 2000 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.5 inches, 55.8 cm2(~63.7% screen-to-body ratio)",,146 g (5.15 oz),"2015, June. Released 2015, July",Yezz Andy 4.5EL LTE,,GSM / HSPA / LTE,Up to 333 h (3G),LED flash,,,,GPS,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps"
HSDPA 900 / 2100 - AM35E3I083,"TFT, 256K colors",117.8 x 63 x 11.7 mm (4.64 x 2.48 x 0.46 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-35-ei3.jpg,,,"2.1, EDR",Yes,Spreadtrum 7715,No,Dual SIM (Mini-SIM/ Micro-SIM),,,480p@30fps,Yezz,Discontinued,Accelerometer,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"Wi-Fi 802.11 a/b/g/n, hotspot","2 MP, AF",,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, Red, White, Blue, Fuchsia",HSDPA 850 / 1900 - AM35E3I079,,Up to 3 h 30 min (3G),Android 4.4 (KitKat),Yes,1.3 MP,,,1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1100 mAh, removable",,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,"3.5 inches, 36.5 cm2(~49.2% screen-to-body ratio)",,98 g (3.46 oz),"2015, June. Released 2015, July",Yezz Andy 3.5EI3,,GSM / HSPA,Up to 171 h (3G),"LED flash, HDR",,,,A-GPS only,,,HSPA 21.1/5.76 Mbps
HSDPA 900 / 2100 - CM60047,"TFT, 256K colors",118 x 50.4 x 12.6 mm (4.65 x 1.98 x 0.50 in),"SMS, MMS, Email",https://fdn2.gsmarena.com/vv/bigpic/yezz-c60.jpg,No,,"2.1, EDR",No,,No,Dual SIM (Mini-SIM),,,Yes,Yezz,Discontinued,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Yes,No,1.3 MP,,,,microUSB 2.0,,128MB 64MB,microSDHC,Black,HSDPA 850 / 1900 - CM60043,,Up to 6 h,,Yes,,,No,,,,Stereo FM radio,"Li-Ion 1000 mAh, removable",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"2.4 inches, 17.8 cm2(~30.0% screen-to-body ratio)",,80 g without battery (2.82 oz),"2015, March. Released 2015, May",Yezz Classic C60,,GSM / HSPA,Up to 167 h,,Music/Video playerOrganizerCalendarCalculatorVoice memo,,,No,No,,HSPA 7.2/0.384 Mbps
HSDPA 850 / 1900 - AM4EI133,TFT,126 x 64 x 10.8 mm (4.96 x 2.52 x 0.43 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-andy-4e-lte.jpg,"1, 3, 7, 8, 20 - AM4EI137",,"4.0, A2DP",Yes,Mediatek MT6732M (28 nm),No,Dual SIM (Micro-SIM),"4, 7, 17 - AM4EI133",,720p@30fps,Yezz,Discontinued,"Accelerometer, proximity","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",5 MP,,,,microUSB 2.0,Mali-T760MP2,4GB 512MB RAM,microSDXC (dedicated slot),Black,HSDPA 900 / 2100 - AM4EI137,,Up to 20 h (2G) / Up to 9 h (3G),Android 4.4 (KitKat),Yes,1.3 MP,,,Quad-core 1.3 GHz Cortex-A53,,,Stereo FM radio,"Li-Ion 1450 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~56.5% screen-to-body ratio)",,127 g (4.48 oz),"2015, January. Released 2015, March",Yezz Andy 4E LTE,,GSM / HSPA / LTE,Up to 290 h (2G) / Up to 242 h (3G),LED flash,,,,"GPS, GLONASS",,,"HSPA, LTE"
HSDPA 850 / 1900 - AM4E2I043,"TFT, 256K colors",121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-4E2I.jpg,HSDPA 850 / 1700(AWS) / 1900 - AM4E2I054,,"4.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,480p@30fps,Yezz,Discontinued,Accelerometer,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White, Red, Blue, Yellow",HSDPA 900 / 2100 - AM4E2I047,,Up to 18 h (2G) / Up to 9 h (3G),Android 4.4 (KitKat),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1400 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"4.0 inches, 45.5 cm2(~58.3% screen-to-body ratio)",,110 g (3.88 oz),"2015, January. Released 2015, March",Yezz Andy 4E2I,,GSM / HSPA,Up to 280 h (2G) / Up to 232 h (3G),"LED flash, panorama",,,,GPS,,,HSPA 21.1/5.76 Mbps
HSDPA 900 / 2100 - AM35E2I047,"LCD, 256K colors",115.5 x 62.8 x 10.7 mm (4.55 x 2.47 x 0.42 in),,https://fdn2.gsmarena.com/vv/bigpic/yezz-35E2I.jpg,HSDPA 850 / 1700(AWS) / 1900 - AM35E2I054,,"4.0, A2DP",Yes,Mediatek MT6572M (28 nm),No,Dual SIM (Mini-SIM/ Micro-SIM),,,480p@30fps,Yezz,Discontinued,Accelerometer,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"Wi-Fi 802.11 b/g/n, hotspot",5 MP,,,,microUSB 2.0,Mali-400,4GB 512MB RAM,microSDXC (dedicated slot),"Black, White, Blue, Green, Orange",UMTS 850 / 1900 - AM35E2I043,,Up to 18 h (2G) / Up to 8 h (3G),Android 4.4 (KitKat),Yes,1.3 MP,,,Dual-core 1.0 GHz Cortex-A7,,,Stereo FM radio,"Li-Ion 1300 mAh, removable",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"3.5 inches, 36.5 cm2(~50.3% screen-to-body ratio)",,102 g (3.60 oz),"2015, February. Released 2015, March",Yezz Andy 3.5E2I,,GSM / UMTS / HSPA,Up to 260 h (2G) / Up to 217 h (3G),"LED flash, panorama",,,,GPS,,,HSPA 21.1/5.76 Mbps
